eRenyi2,BatchSize,MaxNormIw,ESSRenyi,ESSClassic,MaxVanillaIw,MinVanillaIw,VarNormIw,Bound,VarRet,VarJ,AvgDiscRet,AvgNormIw,EpsThisIter,VanillaAvgRet,VarVanillaIw,VarDiscRet,J,AvgRet,MinNormIw,IterType,AvgVanillaIw,Delta,AvgEpLen
220693.0,100,1.0,0.000453117522897,inf,4.80395e-25,,0.01,-51.8024,21532.9148911,4.04746e-05,-317.562754485,0.01,100,-317.562754485,,21532.9148911,-51.8024,-317.562754485,,1,4.80395e-27,1.0,389.5
nan,200,nan,nan,nan,inf,2.08162e+24,nan,nan,21532.9148911,nan,-65.9135128769,nan,100,-317.562754485,nan,2599.48528256,nan,-317.562754485,nan,,inf,1.0,389.5
186437.0,200,1.0,0.00107274807551,1.00000073741,3.58955e-17,,0.005,-51.8024,17718.7419683,0.000395089,-344.478052198,0.005,100,-344.478052198,6.44242e-36,17718.7419683,-51.8024,-344.478052198,,1,1.79477e-19,1.0,420.89
1.0,200,0.01,200.0,100.0,1.0,1.0,3.50449e-18,-74.8354,4996.58447308,70.3322,-74.8354547442,0.01,100,-74.8354547442,,4996.58447308,-74.8354,-74.8354547442,0.01,2,1.0,1.0,104.84
1.19827e-12,300,nan,2.50359895233e+14,nan,inf,2.78587e+16,nan,nan,17718.7419683,nan,-70.4363319981,nan,100,-344.478052198,nan,3817.02493987,nan,-344.478052198,nan,,inf,1.0,420.89
3.53015e+08,300,1.0,8.498229966e-07,inf,1.36855e-35,,0.00333333,-63.3238,21027.7184331,,-320.890761644,0.00333333,100,-320.890761644,,21027.7184331,-63.3238,-320.890761644,,1,4.56184e-38,1.0,393.09
1.0,300,0.01,300.0,100.0,1.0,1.0,3.50449e-18,-70.9626,3808.15831994,61.4009,-70.9626206234,0.01,100,-70.9626206234,,3808.15831994,-70.9626,-70.9626206234,0.01,2,1.0,1.0,100.95
1.0,300,0.005,300.0,200.000000102,1.0,1.0,2.1793e-19,-71.3087,3782.78227488,61.2996,-71.6547922164,0.005,100,-71.6547922164,,3782.78227488,-71.3087,-71.6547922164,0.005,2,1.0,1.0,102.38
nan,400,nan,nan,nan,inf,7.307e+34,nan,nan,21027.7184331,nan,-63.5109520593,nan,100,-320.890761644,nan,1332.46374824,nan,-320.890761644,nan,,inf,1.0,393.09
3.78527e+12,400,1.0,1.05672896916e-10,1.00000056016,2.30734e-20,,0.0025,-63.3238,19204.7815518,1.10291e-09,-333.87583802,0.0025,100,-333.87583802,1.32983e-42,19204.7815518,-63.3238,-333.87583802,,1,5.76835e-23,1.0,408.17
1.0,400,0.01,400.0,100.0,1.0,1.0,3.50449e-18,-86.3556,7119.3645283,83.9534,-86.3556197377,0.01,100,-86.3556197377,,7119.3645283,-86.3556,-86.3556197377,0.01,2,1.0,1.0,120.53
1.0,400,0.005,400.0,200.000000102,1.0,1.0,2.1793e-19,-79.5621,2501.7496073,69.3441,-72.7685167389,0.005,100,-72.7685167389,,2501.7496073,-79.5621,-72.7685167389,0.005,2,1.0,1.0,105.28
1.0,400,0.00333333,400.0,299.999969474,1.0,1.0,5.43914e-20,-79.2663,4894.74042132,69.4347,-78.6746961713,0.00333333,100,-78.6746961713,,4894.74042132,-79.2663,-78.6746961713,0.00333333,2,1.0,1.0,111.25
1.04257e-41,500,nan,4.79585918248e+43,nan,inf,4.334e+19,nan,nan,19204.7815518,nan,-69.2600297038,nan,100,-333.87583802,nan,1311.12193632,nan,-333.87583802,nan,,inf,1.0,408.17
4.42298e+12,500,1.0,1.13046033913e-10,1.0,9.86089e-19,,0.002,-63.3238,21229.3975532,6.91147e-07,-329.308268546,0.002,100,-329.308268546,1.94474e-39,21229.3975532,-63.3238,-329.308268546,,1,1.97218e-21,1.0,401.81
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-68.3666,1303.80595004,35.9273,-68.3666355728,0.01,100,-68.3666355728,,1303.80595004,-68.3666,-68.3666355728,0.01,2,1.0,1.0,100.1
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-67.5744,1316.67403526,36.0245,-66.7821139045,0.005,100,-66.7821139045,,1316.67403526,-67.5744,-66.7821139045,0.005,2,1.0,1.0,97.64
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-73.4737,7153.66874136,57.4064,-85.2722788708,0.00333333,100,-85.2722788708,,7153.66874136,-73.4737,-85.2722788708,0.00333333,2,1.0,1.0,119.16
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-73.7879,3729.90689306,58.2672,-74.7304268824,0.0025,100,-74.7304268824,,3729.90689306,-73.7879,-74.7304268824,0.0025,2,1.0,1.0,106.63
inf,500,0.0366667,,188.713372206,18.2581,0.366313,6.61131e-06,-67.8262,76.2429982978,35.6626,-64.3131807937,0.002,100,-64.3131807937,1.63929,76.2429982978,-67.8262,-64.3131807937,0.000735645,1,0.995896,1.0,94.58
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-73.6436,3760.32262948,61.0141,-73.6435725959,0.01,100,-73.6435725959,,3760.32262948,-73.6436,-73.6435725959,0.01,2,1.0,1.0,105.22
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-72.564,2546.58878929,55.8846,-71.4843918443,0.005,100,-71.4843918443,,2546.58878929,-72.564,-71.4843918443,0.005,2,1.0,1.0,103.36
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-73.0411,3730.77684706,57.5645,-73.9954722424,0.00333333,100,-73.9954722424,,3730.77684706,-73.0411,-73.9954722424,0.00333333,2,1.0,1.0,106.19
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-70.6696,78.9939230198,50.2163,-63.5550940619,0.0025,100,-63.5550940619,,78.9939230198,-70.6696,-63.5550940619,0.0025,2,1.0,1.0,93.86
20571.4,500,1.0,0.0243056396205,1.0,15817.1,,0.002,-52.3387,2559.90374301,1.46805e-11,-70.6114106037,0.002,100,-70.6114106037,500361.0,2559.90374301,-52.3387,-70.6114106037,,1,31.6342,1.0,101.71
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-66.9956,1314.1252047,36.0692,-66.9956017408,0.01,100,-66.9956017408,,1314.1252047,-66.9956,-66.9956017408,0.01,2,1.0,1.0,97.82
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-68.9874,2524.8027209,43.6376,-70.9792377299,0.005,100,-70.9792377299,,2524.8027209,-68.9874,-70.9792377299,0.005,2,1.0,1.0,102.23
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-68.5163,1322.42305452,41.3078,-67.5740104786,0.00333333,100,-67.5740104786,,1322.42305452,-68.5163,-67.5740104786,0.00333333,2,1.0,1.0,98.45
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-67.1619,61.3843647344,36.0617,-63.0988374574,0.0025,100,-63.0988374574,,61.3843647344,-67.1619,-63.0988374574,0.0025,2,1.0,1.0,93.13
1.00001,500,0.0707418,499.997317805,111.635673895,35.7711,0.394282,1.39433e-05,-65.5355,4915.37205346,31.8126,-77.3441211937,0.002,100,-77.3441211937,3.56515,4915.37205346,-65.5355,-77.3441211937,0.000779743,1,1.01131,1.0,109.47
1.0,500,0.01,500.0,100.0,1.0,1.0,3.50449e-18,-71.5017,2522.4880057,49.9726,-71.5016572796,0.01,100,-71.5016572796,,2522.4880057,-71.5017,-71.5016572796,0.01,2,1.0,1.0,103.26
1.0,500,0.005,500.0,200.000000102,1.0,1.0,2.1793e-19,-69.5076,1303.24975524,43.5628,-67.5134691076,0.005,100,-67.5134691076,,1303.24975524,-69.5076,-67.5134691076,0.005,2,1.0,1.0,98.87
1.0,500,0.00333333,500.0,299.999969474,1.0,1.0,5.43914e-20,-71.9844,4916.42673057,53.8501,-76.9379362622,0.00333333,100,-76.9379362622,,4916.42673057,-71.9844,-76.9379362622,0.00333333,2,1.0,1.0,108.46
1.0,500,0.0025,500.0,400.0,1.0,1.0,5.4346e-20,-69.966,72.7629580035,46.9585,-63.9111138546,0.0025,100,-63.9111138546,,72.7629580035,-69.966,-63.9111138546,0.0025,2,1.0,1.0,94.67
192203.0,500,1.0,0.00260141599951,1.0,1291.44,,0.002,-53.089,1304.1044865,,-66.7624646872,0.002,100,-66.7624646872,3335.65,1304.1044865,-53.089,-66.7624646872,,1,2.58289,1.0,97.65
