AvgEpLen,IterType,VarJ,eRenyi2,VarRet,VarDiscRet,EpsThisIter,AvgNormIw,MaxVanillaIw,VanillaAvgRet,VarNormIw,MinNormIw,Bound,ESSRenyi,AvgRet,VarVanillaIw,ESSClassic,AvgDiscRet,MinVanillaIw,AvgVanillaIw,MaxNormIw,BatchSize,J
46.09,1,19.12708,1.1512592,1735.983987476281,1735.983987476281,100,0.01,2.1676733,-119.97597487165837,1.711492e-05,0.0010275254,-147.38983,86.86141348524075,-119.97597487165837,0.1682105,85.5111782639068,-119.97597487165837,0.10186657,0.99137765,0.021865264,100,-113.7204
43.8,1,20.548916,1.2082574,2771.7648238460874,2771.7648238460874,100,0.01,1.9666775,-124.57093803394082,2.5947891e-05,0.000115598064,-156.44647,82.76381916488795,-124.57093803394082,0.26656,79.56181380072708,-124.57093803394082,0.011716476,1.0135529,0.019403797,100,-112.80484
20.16,1,7.8752112,1.0410414,92.56531834768838,92.56531834768838,100,0.009999999,1.7143655,-110.51651529543494,3.9448532e-06,0.006396606,-125.69121,96.05766156625391,-110.51651529543494,0.03979294,96.24139162382866,-110.51651529543494,0.6424469,1.0043559,0.017069304,100,-109.84525
16.97,1,4.0663733,1.0466123,32.452068223067485,32.452068223067485,100,0.01,1.3322821,-109.15836651881331,3.6918832e-06,0.004340249,-121.12418,95.54636761044328,-109.15836651881331,0.03685241,96.47393454878654,-109.15836651881331,0.43363425,0.99909997,0.013334823,100,-108.56885
20.26,1,16.751299,1.0259131,405.1352861105708,405.1352861105708,100,0.01,1.3349724,-110.75661285848145,2.5090794e-06,0.007167438,-135.76518,97.47414095519362,-110.75661285848145,0.024056004,97.57622071524072,-110.75661285848145,0.7018083,0.979162,0.013633826,100,-110.088974
18.21,1,4.5806813,1.061342,40.56465092526546,40.56465092526546,100,0.010000002,1.6156527,-107.84240175703377,6.638358e-06,0.002347762,-120.19572,94.22033605513175,-107.84240175703377,0.065595776,93.83329480184665,-107.84240175703377,0.23337893,0.99404854,0.016253257,100,-107.08602
28.1,1,8.503648,1.0395175,1047.67934586616,1047.67934586616,100,0.01,1.2686106,-111.93026184916909,5.6254316e-06,0.0014311554,-144.7255,96.19847467433019,-111.93026184916909,0.0544032,94.7246216777734,-111.93026184916909,0.14074115,0.98340935,0.012900127,100,-108.79009
16.64,1,2.7438936,1.0172118,8.408545865915634,8.408545865915634,100,0.010000002,1.233834,-107.61321740939125,1.7683308e-06,0.0062826527,-117.41483,98.30794383821569,-107.61321740939125,0.017435204,98.27946476668701,-107.61321740939125,0.6238423,0.99296004,0.012425818,100,-107.44479
17.8,1,3.9699626,1.0389313,13.420662920175893,13.420662920175893,100,0.009999999,1.6536232,-106.91832374249239,4.55984e-06,0.005215856,-116.71448,96.25275969408344,-106.91832374249239,0.04463252,95.68075870850969,-106.91832374249239,0.51603186,0.9893523,0.0167142,100,-106.55566
16.21,1,2.8351517,1.0104685,7.924173555695152,7.924173555695152,100,0.01,1.4662883,-107.26856958900184,1.177339e-06,0.0072885873,-116.92353,98.96399708178826,-107.26856958900184,0.01147052,98.84785042702829,-107.26856958900184,0.7194227,0.9870537,0.014855203,100,-107.17352
