AvgVanillaIw,Delta,J,IterType,ESSClassic,AvgEpLen,MinVanillaIw,BatchSize,AvgRet,AvgDiscRet,VanillaAvgRet,VarNormIw,Bound,EpsThisIter,ESSRenyi,VarJ,MaxNormIw,MaxVanillaIw,AvgNormIw,MinNormIw,VarVanillaIw,VarDiscRet,eRenyi2,VarRet
1.07788,0.5,-116.451,1,90.248075636,45.33,0.146116,100,-124.317717803,-124.317717803,-124.317717803,1.09149e-05,-169.127,100,89.9259858151,34.5715,0.0213953,2.30615,0.01,0.00135559,0.126811,4143.16953978,1.11203,4143.16953978
1.03319,0.5,-118.167,1,84.970541342,50.34,0.10779,100,-129.943076777,-129.943076777,-129.943076777,1.78665e-05,-180.742,100,86.5432520861,35.3805,0.0198228,2.04806,0.01,0.00104328,0.19072,5875.80095714,1.15549,5875.80095714
1.05235,0.5,-108.727,1,96.8511433366,19.93,0.430333,100,-109.402980645,-109.402980645,-109.402980645,3.28409e-06,-125.315,100,96.5641738577,4.58496,0.0160027,1.68405,0.01,0.00408925,0.0363694,52.8223890052,1.03558,52.8223890052
1.0481,0.5,-108.738,1,96.7414347233,18.38,0.440591,100,-109.508598708,-109.508598708,-109.508598708,3.40233e-06,-124.521,100,95.5233017602,4.84169,0.0133373,1.39788,0.01,0.0042037,0.0373752,53.7429138594,1.04686,53.7429138594
0.996147,0.5,-109.22,1,95.3883734353,18.59,0.577237,100,-110.000704522,-110.000704522,-110.000704522,4.88342e-06,-127.593,100,96.0386801294,7.44505,0.0184393,1.83683,0.01,0.0057947,0.0484586,110.965023354,1.04125,110.965023354
1.00057,0.5,-107.479,1,99.2752120316,18.0,0.767348,100,-107.612684576,-107.612684576,-107.612684576,7.37485e-07,-120.355,100,98.9991285687,4.9096,0.0118408,1.18475,0.01,0.00766914,0.0073832,23.6924209175,1.01011,23.6924209175
1.00787,0.5,-108.365,1,95.3973896558,17.87,0.353322,100,-108.821570518,-108.821570518,-108.821570518,4.87342e-06,-121.177,100,96.5476252134,3.70846,0.014711,1.48268,0.01,0.00350563,0.0495043,17.0961192316,1.03576,17.0961192316
0.979247,0.5,-110.921,1,92.7377955165,28.37,0.0992914,100,-115.566804535,-115.566804535,-115.566804535,7.91003e-06,-160.994,100,95.3037125536,25.1892,0.015216,1.49002,0.01,0.00101396,0.0758513,2758.18389148,1.04928,2758.18389148
1.0095,0.5,-107.418,1,98.9272326886,16.99,0.733607,100,-107.550584023,-107.550584023,-107.550584023,1.09535e-06,-119.062,100,98.8024312494,3.25996,0.0125739,1.26933,0.01,0.00726705,0.0111625,11.025798583,1.01212,11.025798583
0.995173,0.5,-107.476,1,99.4855010345,17.07,0.811104,100,-107.529719558,-107.529719558,-107.529719558,5.22384e-07,-119.011,100,99.5322749284,2.72895,0.011696,1.16396,0.01,0.00815038,0.00517353,7.5612798506,1.0047,7.5612798506
0.980566,0.5,-107.937,1,96.3855798141,21.7,0.231181,100,-110.900940276,-110.900940276,-110.900940276,3.78785e-06,-158.017,100,96.6279875558,9.50625,0.0125174,1.22742,0.01,0.00235763,0.0364206,1491.81781907,1.0349,1491.81781907
1.01034,0.5,-107.361,1,99.2203430179,17.06,0.788086,100,-107.415673631,-107.415673631,-107.415673631,7.9372e-07,-119.103,100,99.5334913398,2.85395,0.0123937,1.25219,0.01,0.00780017,0.00810226,8.51273153601,1.00469,8.51273153601
1.00508,0.5,-108.189,1,98.2678611702,17.59,0.588441,100,-108.390144514,-108.390144514,-108.390144514,1.7805e-06,-120.524,100,98.4080588341,3.22959,0.0123938,1.24568,0.01,0.00585468,0.0179862,12.1286264324,1.01618,12.1286264324
0.993004,0.5,-107.345,1,98.7858230651,16.01,0.433589,100,-107.460250044,-107.460250044,-107.460250044,1.24155e-06,-118.836,100,99.0678869352,2.39827,0.0113966,1.13169,0.01,0.00436644,0.0122424,6.32474659802,1.00941,6.32474659802
1.00888,0.5,-106.814,1,98.9545991362,17.28,0.725373,100,-106.923032512,-106.923032512,-106.923032512,1.06714e-06,-119.362,100,99.1393653319,3.55528,0.0153431,1.54793,0.01,0.00718991,0.0108617,12.5839306087,1.00868,12.5839306087
1.00267,0.5,-107.444,1,99.6496262742,15.7,0.700914,100,-107.489219888,-107.489219888,-107.489219888,3.55152e-07,-118.804,100,99.6109777401,2.22574,0.0116106,1.16416,0.01,0.0069905,0.00357048,5.17378024951,1.00391,5.17378024951
1.00026,0.5,-107.598,1,99.8313197744,16.71,0.91003,100,-107.622924404,-107.622924404,-107.622924404,1.70667e-07,-119.144,100,99.7888028139,2.58876,0.0112009,1.12038,0.01,0.00909794,0.00170756,6.91128921727,1.00212,6.91128921727
1.00389,0.5,-107.387,1,99.8706245765,15.58,0.87973,100,-107.409035719,-107.409035719,-107.409035719,1.30857e-07,-118.814,100,99.8160058381,2.42656,0.0109244,1.09669,0.01,0.00876321,0.00131877,6.06496520521,1.00184,6.06496520521
1.00335,0.5,-107.277,1,99.8793664833,18.34,0.943933,100,-107.300984187,-107.300984187,-107.300984187,1.22009e-07,-118.685,100,99.7943348336,2.96774,0.0112942,1.1332,0.01,0.00940782,0.00122828,9.04692437188,1.00206,9.04692437188
0.98724,0.5,-107.232,1,97.8628924925,17.51,0.405565,100,-107.388281619,-107.388281619,-107.388281619,2.20584e-06,-118.857,100,98.7587415695,2.55205,0.0143228,1.414,0.01,0.00410807,0.0214991,7.03420138144,1.01257,7.03420138144
1.00552,0.5,-107.732,1,96.29916107,16.77,0.31877,100,-108.211236374,-108.211236374,-108.211236374,3.88186e-06,-121.117,100,96.8129184406,3.3606,0.0130805,1.31528,0.01,0.00317019,0.0392485,19.2523206187,1.03292,19.2523206187
0.976865,0.5,-108.519,1,96.4662446047,22.96,0.393593,100,-110.786263534,-110.786263534,-110.786263534,3.70022e-06,-157.319,100,96.5593053667,15.2549,0.0129305,1.26314,0.01,0.00402914,0.0353099,1393.98916605,1.03563,1393.98916605
1.00435,0.5,-107.009,1,99.4827033742,15.94,0.76294,100,-107.065247632,-107.065247632,-107.065247632,5.25303e-07,-118.265,100,99.5228398922,2.06326,0.0121861,1.22392,0.01,0.00759635,0.00529885,4.51996364975,1.00479,4.51996364975
1.00247,0.5,-107.49,1,98.8209896305,16.41,0.603647,100,-107.613048676,-107.613048676,-107.613048676,1.20514e-06,-118.991,100,98.9149855011,2.46335,0.0113911,1.14192,0.01,0.00602161,0.0121109,6.59618057244,1.01097,6.59618057244
1.01143,0.5,-107.257,1,99.3068660475,16.96,0.816752,100,-107.340503207,-107.340503207,-107.340503207,7.0504e-07,-118.871,100,99.2584905828,2.5051,0.0134558,1.36096,0.01,0.00807521,0.00721251,6.35301692642,1.00747,6.35301692642
1.23328,0.5,-102.101,1,16.7835519437,18.64,0.200099,100,-106.955558244,-106.955558244,-106.955558244,0.00050083,-117.188,100,57.8066422515,39.6983,0.225572,27.8195,0.01,0.00162249,7.61758,12.3399639065,1.72991,12.3399639065
1.01083,0.5,-107.179,1,97.7366908188,21.51,0.324246,100,-108.181630114,-108.181630114,-108.181630114,2.33909e-06,-132.096,100,97.3349808378,5.16733,0.0125675,1.27037,0.01,0.00320772,0.0239003,199.932487307,1.02738,199.932487307
0.996259,0.5,-106.951,1,99.5329624546,21.2,0.806871,100,-106.99213274,-106.99213274,-106.99213274,4.73974e-07,-118.343,100,99.6138876015,2.69533,0.0117884,1.17443,0.01,0.008099,0.00470434,7.71164086036,1.00388,7.71164086036
