MinVanillaIw,IterType,AvgDiscRet,AvgNormIw,VarVanillaIw,MaxVanillaIw,AvgEpLen,MinNormIw,SamplesThisIter,BatchSize,J,MaxNormIw,AvgRet,ESSRenyi,VarNormIw,EpsThisIter,VanillaAvgRet,delta,VarJ,AvgVanillaIw,Bound,ESSClassic,VarRet,renyi2,VarDiscRet
,1,220.9190534,2.56608e-06,1.02066e+21,4.20877e+12,23.0946882217,,50000,100,157579.0,0.0313788,220.9190534,nan,5.67337e-08,2165,220.9190534,0.8,7982.89,3.44182e+08,1207.2,11.3996371184,35176.4360165,nan,35176.4360165
,1,205.307663366,2.39257e-06,1.12056e+31,5.41043e+17,21.533161068,,50000,100,nan,0.0624611,205.307663366,nan,1.49345e-07,2322,205.307663366,0.8,nan,2.07247e+13,nan,16.0,39150.1198862,nan,39150.1198862
,1,199.793758328,2.33133e-06,4.4277e+26,3.40703e+15,20.9819555183,,50000,100,143003.0,0.0521152,199.793758328,nan,1.03599e-07,2383,199.793758328,0.8,9491.01,1.52411e+11,1110.77,15.6457365522,45161.7151031,nan,45161.7151031
,1,283.229239288,3.25839e-06,8.62107e+27,1.28591e+16,29.3255131965,,50000,100,157422.0,0.0618737,283.229239288,nan,1.99597e-07,1705,283.229239288,0.8,13056.9,6.77184e+11,1184.17,15.9985358329,53435.8191716,nan,53435.8191716
,1,233.760698126,2.70871e-06,1.46585e+27,5.80197e+15,24.3783520234,,50000,100,222619.0,0.0573953,233.760698126,nan,1.43447e-07,2051,233.760698126,0.8,16435.4,2.73817e+11,2046.83,15.9236838382,92273.5310623,nan,92273.5310623
,1,385.5510653,4.39522e-06,8.39483e+26,4.41145e+15,39.5569620253,,50000,100,313349.0,0.0623833,385.5510653,nan,1.67875e-07,1264,385.5510653,0.8,28766.5,3.10809e+11,2747.86,2.814793308,144974.583426,nan,144974.583426
,1,469.408509963,5.32652e-06,inf,1.0402e+20,47.9386385427,,50000,100,414632.0,0.0624913,469.408509963,nan,3.32788e-07,1043,469.408509963,0.8,21920.9,8.86628e+15,3114.5,16.0000054119,277618.947433,nan,277618.947433
,1,208.219583536,2.42389e-06,9.06798e+31,1.44086e+18,21.815008726,,50000,100,431903.0,0.0322004,208.219583536,nan,4.52883e-08,2292,208.219583536,0.8,47204.6,1.08461e+14,4374.45,14.2047553012,263850.58762,nan,263850.58762
,1,156.525513946,1.85e-06,9.73089e+18,1.02494e+12,16.65001665,,50000,100,nan,0.187716,156.525513946,nan,3.26407e-07,3003,156.525513946,0.8,nan,1.01011e+07,nan,4.99769073984,113012.19314,nan,113012.19314
,1,143.501103535,1.70625e-06,2.35198e+19,9.24093e+11,15.3562653563,,50000,100,158819.0,0.054616,143.501103535,nan,8.21566e-08,3256,143.501103535,0.8,19685.5,2.88695e+07,1762.13,15.8925315298,58558.8060298,nan,58558.8060298
