AvgRet,MaxNormIw,EpsThisIter,J,Bound,ESSClassic,IterType,VanillaAvgRet,MinNormIw,VarDiscRet,VarNormIw,MinVanillaIw,VarJ,VarRet,AvgDiscRet,VarVanillaIw,MaxVanillaIw,BatchSize,ESSRenyi,AvgEpLen,AvgNormIw,eRenyi2,Delta,AvgVanillaIw
-128.287298725,0.329454,100,-106.72,-147.152,5.64324131826,1,-128.287298725,,4581.01101113,0.00168892,,16.4572,4581.01101113,-128.287298725,16.7819,32.8405,100,100.0,61.44,0.01,1.0,0.6,0.996818
-109.144433704,0.0158229,100,-108.692,-120.597,96.0009738015,1,-109.144433704,0.00439232,38.0740272594,4.20772e-06,0.448215,5.18784,38.0740272594,-109.144433704,0.043816,1.61465,100,96.4844169637,17.55,0.01,1.03644,0.6,1.02045
-109.242972291,0.0132016,100,-108.364,-121.35,94.0674010235,1,-109.242972291,0.00145501,44.7332782679,6.37043e-06,0.148327,4.8419,44.7332782679,-109.242972291,0.0662031,1.3458,100,94.0699096902,17.55,0.01,1.06304,0.6,1.01942
-108.277743294,0.0154555,100,-107.621,-118.767,93.6568283016,1,-108.277743294,0.00296706,18.9655299708,6.84121e-06,0.292817,3.15978,18.9655299708,-108.277743294,0.0666304,1.52529,100,94.5260663667,17.96,0.01,1.05791,0.6,0.986892
-107.366051284,0.0166292,100,-106.659,-116.737,89.7678984107,1,-107.366051284,0.00210536,29.3258086756,1.15136e-05,0.200544,7.1843,29.3258086756,-107.366051284,0.104467,1.584,100,92.5549220909,18.94,0.01,1.08044,0.6,0.952543
-106.696180358,0.011002,100,-106.656,-116.167,99.6344503051,1,-106.696180358,0.00789,5.7504986184,3.70591e-07,0.792341,2.29341,5.7504986184,-106.696180358,0.00373735,1.10486,100,99.5772073989,18.49,0.01,1.00425,0.6,1.00423
-108.047884269,0.0138457,100,-107.406,-118.711,92.9491593914,1,-108.047884269,0.00186994,20.2325806071,7.66234e-06,0.176918,2.73947,20.2325806071,-108.047884269,0.0685884,1.30996,100,95.1833542416,18.17,0.01,1.0506,0.6,0.946117
-107.051952819,0.0109321,100,-107.008,-116.297,99.4905232722,1,-107.051952819,0.00749983,4.91918892384,5.17242e-07,0.746566,2.20742,4.91918892384,-107.051952819,0.0051254,1.08823,100,99.5448774475,16.51,0.01,1.00457,0.6,0.995444
-107.239637881,0.0143888,100,-106.989,-116.982,96.8208120425,1,-107.239637881,0.00447763,8.56699963923,3.3168e-06,0.442661,2.76996,8.56699963923,-107.239637881,0.0324164,1.42248,100,97.6018083648,18.69,0.01,1.02457,0.6,0.988605
-107.333868423,0.0111768,100,-107.26,-117.076,99.3496737696,1,-107.333868423,0.00721355,6.47621324096,6.61185e-07,0.727612,2.38283,6.47621324096,-107.333868423,0.00672704,1.12737,100,99.273925643,16.53,0.01,1.00731,0.6,1.00867
-106.955341925,0.0118568,100,-106.856,-116.263,98.448627017,1,-106.955341925,0.00614392,7.09714393563,1.59172e-06,0.607595,2.63387,7.09714393563,-106.955341925,0.015567,1.17256,100,98.9392168257,18.24,0.01,1.01072,0.6,0.988937
