NatGradInftyNorm,AvgRet,J,BatchSize,AvgEpLen,VarJ,StepSize,NatGrad2Norm
7.106963772917454,100.22786715898663,100.22786715898663,100,11.03,6.530151236580349,0.07670042272055964,10.335190357279325
80.86734896279097,151.0114079898782,151.0114079898782,100,16.11,123.17872481794922,0.009423900944159333,100.65029739472949
255.28872311294398,263.66170198362323,263.66170198362323,100,27.38,433.0596900193234,0.005800381750858992,261.761022229693
327.56451189845,439.1949674689211,439.1949674689211,100,44.93,1072.226422233398,0.004836559632078816,341.76620242588166
485.3566580969685,781.7936199827185,781.7936199827185,100,79.16,2091.0539241956594,0.003048068103131725,502.59369517854844
226.25408644196148,980.1257238161983,980.1257238161983,100,98.96,1901.9749360717212,0.004089088077884199,265.14913921238775
171.99931581931764,1382.20832057562,1382.20832057562,100,139.07,2494.350724095941,0.0027766110964820914,283.14778413982276
131.89349359017712,1720.5488415571913,1720.5488415571913,100,172.64,1191.092520159264,0.004008982406896476,197.84472061539557
120.04257514551733,1833.6833463751152,1833.6833463751152,100,183.71,1027.1154738806117,0.0033617909098629392,224.27895766850253
16.874844146895533,1985.490346737665,1985.490346737665,100,198.65,55.225124481659314,0.03139574929684617,25.136431390099165
26.856346924627395,1984.4088644261658,1984.4088644261658,100,198.52,66.0843136831867,0.017227484470660047,36.98067954538337
0.9235615876741123,1999.4996747542784,1999.4996747542784,100,199.97,0.16038822208049577,0.5339510134960772,1.1887218945422688
0.01900888495947888,1999.9046386051177,1999.9046386051177,100,200.0,7.885400597320178e-05,18.13426223857593,0.022464916107432845
0.3722719505185458,1999.8386837013763,1999.8386837013763,100,200.0,0.010268086824728651,1.543452791996488,0.3927306328840745
0.007856994777299465,1999.9418931293487,1999.9418931293487,100,200.0,3.3675616200471635e-05,37.07270762277745,0.012776071105440788
0.0055951423213030016,1999.9606890773773,1999.9606890773773,100,200.0,1.4662389718949896e-05,70.8669148069901,0.008893192666983117
0.003636862108555257,1999.967911081314,1999.967911081314,100,200.0,7.094216477600475e-06,120.16156604874212,0.004393635423135493
0.003760535048939717,1999.9754762935638,1999.9754762935638,100,200.0,4.145195193668218e-06,113.36832473440563,0.004917653597449547
0.002996880842977823,1999.975036058426,1999.975036058426,100,200.0,4.220812428554905e-06,119.6836936640681,0.005251429795333525
0.004217059902012762,1999.9769949626923,1999.9769949626923,100,200.0,4.907660776719083e-06,103.02925142209082,0.005942500094102232
0.0014648758919623486,1999.9805385494233,1999.9805385494233,100,200.0,2.7922823933607495e-06,184.09024545519546,0.002456000585203925
0.002744440502570107,1999.978602104187,1999.978602104187,100,200.0,2.730274711667343e-06,142.62343550839887,0.003644924686851071
0.002336673671383117,1999.9811567497254,1999.9811567497254,100,200.0,3.0270508925039193e-06,166.19807561022978,0.0033359683973796365
0.0021394297281582993,1999.980207157135,1999.980207157135,100,200.0,3.0799164055725223e-06,211.80023712816666,0.0027898093380792537
0.001811410440482868,1999.9833272838594,1999.9833272838594,100,200.0,2.59700106274738e-06,210.15411651939118,0.002531697567880829
0.0017635273891499152,1999.9789118766785,1999.9789118766785,100,200.0,2.7148858052988554e-06,185.20099836662976,0.0029259217431477883
0.0018999452259672478,1999.9820386695862,1999.9820386695862,100,200.0,2.5923507506487313e-06,167.4669303105048,0.00345824387412143
0.0020032299944589484,1999.9838735580445,1999.9838735580445,100,200.0,1.8829823907575275e-06,246.11028310406488,0.002820027422463293
0.0010538448193773626,1999.9835370254516,1999.9835370254516,100,200.0,2.1408851406107196e-06,259.35179998275174,0.0017966489050902522
0.0034194957724700457,1999.984139881134,1999.984139881134,100,200.0,1.9025423713908897e-06,181.13565300195037,0.0041427636821104955
0.003432440363420856,1999.9849782848357,1999.9849782848357,100,200.0,2.418913073348688e-06,113.1579883677832,0.005600267352603064
0.0012452751479025983,1999.985104494095,1999.985104494095,100,200.0,1.2879683564205326e-06,233.1765538411498,0.0023241718234930223
0.001777856555727732,1999.9874228286744,1999.9874228286744,100,200.0,1.1106610441691543e-06,257.4544183388797,0.0024007851994882557
5.578219050454049,1997.9855733192899,1997.9855733192899,100,199.81,4.01931473208785,0.09127480963856358,7.836527826394717
0.0007135673805437293,1999.9887522029876,1999.9887522029876,100,200.0,8.73262609220914e-07,357.40173481503916,0.0012481258530824362
0.0009296452282988292,1999.9894424343108,1999.9894424343108,100,200.0,7.56706756689682e-07,373.7069591346843,0.0013195577117453285
0.001626164961682143,1999.9892623138428,1999.9892623138428,100,200.0,8.459683358854486e-07,267.88526925703377,0.0022106368428544817
0.0009137649539218962,1999.9909670734405,1999.9909670734405,100,200.0,5.057511994018935e-07,361.37087218941684,0.0015651841601400757
0.0003518060615592164,1999.9936170959472,1999.9936170959472,100,200.0,3.565363902930814e-07,768.7864172556568,0.0006250760003611731
0.0008028656398732579,1999.9934634113313,1999.9934634113313,100,200.0,3.085382338543819e-07,648.0858260416786,0.0010127431766521666
0.00044304914382099406,1999.9926193523406,1999.9926193523406,100,200.0,3.1898356795073883e-07,686.9710418766799,0.0006788226827979243
0.00479499171414825,1999.9916927337647,1999.9916927337647,100,200.0,1.144837535890713e-06,120.16406654877689,0.005666364665075674
0.000867798154208438,1999.9932867145537,1999.9932867145537,100,200.0,3.53497370149559e-07,465.33380566549243,0.0013712873311704408
0.0008276803237676615,1999.9935165882112,1999.9935165882112,100,200.0,3.3300023733777434e-07,493.6899623819062,0.0009939596735642345
0.0008722697010915642,1999.993450050354,1999.993450050354,100,200.0,3.0482072559405225e-07,335.08215281841467,0.0016880054287799428
