TimestepsSoFar,EpThisIter,EpisodesSoFar,EpRewMean,EpLenMean,surrgain,meankl,Our_bound,TimeElapsed,Step_size,Max_ret,DiscEpRewMean,Avg_iw,entropy,Var_ret,optimgain,ev_tdlam_before,Var_iw,Avg_ret,Reny_4,Var_J,Max_iw,J_hat,entloss
50000,100,100,1.40311219424,500.0,0.0185126,0.00877027,3.37967016073,54.63056993484497,1.0,15.164772033691406,0.851687475827,0.9999999403953552,2.83912,14.684322357177734,0.0185126,-0.0182344913483,13.384613037109375,0.8516876101493835,1.2038,81.14619445800781,98.67439270019531,6.08210563659668,
100000,100,200,7.43634574506,500.0,0.0239795,0.00962922,7.55469853797,106.59849643707275,1.0,19.09515953063965,5.3711298199,0.9999999403953552,2.83135,20.020822525024414,0.0239795,0.556663095951,10.428424835205078,5.371130466461182,1.13252,318.7740173339844,75.25413513183594,12.910971641540527,
150000,100,300,17.8217035348,500.0,0.0217533,0.00958685,10.7616019294,157.42567896842957,1.0,22.928312301635742,11.393222674,1.0,2.81032,27.941286087036133,0.0217533,0.700014680624,4.134968280792236,11.393224716186523,1.24355,301.06170654296875,50.23408126831055,15.966940879821777,
200000,100,400,24.4030862678,500.0,0.0134795,0.0085493,13.0124946285,208.7302987575531,1.0,25.411619186401367,16.6503142557,1.0,2.79492,17.588953018188477,0.0134795,0.763974174857,7.61880350112915,16.650314331054688,1.36405,674.2937622070312,70.5863037109375,20.802644729614258,
250000,100,500,26.0041743303,500.0,0.0076194,0.00782364,13.3925953662,256.98800587654114,1.0,26.894710540771484,19.4470672922,1.0,2.77143,10.034565925598145,0.0076194,0.756416380405,4.607577323913574,19.447067260742188,1.48483,745.5122680664062,63.14669418334961,21.583816528320312,
300000,100,600,25.8813948307,500.0,0.00481832,0.00738445,14.7720083062,306.7228350639343,1.0,26.830345153808594,20.9238759843,1.0,2.74289,8.911774635314941,0.00481832,0.698317050934,2.0350887775421143,20.923877716064453,1.55673,562.4589233398438,30.507532119750977,21.886873245239258,
350000,100,700,26.823326625,500.0,0.00337572,0.00594627,17.180980671,360.46210765838623,1.0,27.511842727661133,22.584165648,1.0000001192092896,2.72731,5.731983661651611,0.00337572,0.678025066853,9.995290756225586,22.58416748046875,1.43036,408.02734375,77.30238342285156,23.240886688232422,
400000,100,800,26.5883182366,500.0,0.00390797,0.00669155,15.4137854879,409.1032211780548,1.0,27.502639770507812,22.8824734142,1.0,2.69632,4.995111465454102,0.00390797,0.680484384298,2.482440233230591,22.88247299194336,1.33901,703.3161010742188,32.47930145263672,23.36981773376465,
450000,100,900,27.3526251277,500.0,0.00391532,0.00751135,15.743987868,460.0932695865631,1.0,27.303848266601562,23.6586594648,0.9999999403953552,2.6355,3.0301122665405273,0.00391532,0.703666001558,1.9279046058654785,23.658658981323242,1.78751,848.64404296875,35.54021072387695,24.483436584472656,
500000,100,1000,27.4567257212,500.0,0.00238521,0.00670712,15.0438198125,510.06323289871216,1.0,28.459272384643555,24.5560263919,1.0,2.63301,1.5201023817062378,0.00238521,0.703857839108,6.558725357055664,24.5560245513916,1.30477,1134.74365234375,88.71174621582031,25.149606704711914,
