VarNormIw,MinNormIw,VarVanillaIw,BatchSize,IterType,ESSClassic,MinVanillaIw,VarJ,AvgRet,Bound,AvgNormIw,EpsThisIter,AvgVanillaIw,ESSRenyi,MaxNormIw,Delta,VanillaAvgRet,AvgDiscRet,VarDiscRet,MaxVanillaIw,eRenyi2,J,VarRet,AvgEpLen
0.00713498,6.66347e-08,310.27,100,1,1.39594108862,1.38955e-05,288.872,129.039102473,277.268,0.01,100,2.08533,10.2754160678,0.845817,0.6,129.039102473,129.039102473,6442.25079311,176.38,9.73197,383.499,6442.25079311,14.13
0.00547023,5.81698e-08,5.19649e+07,200,,1.81306366957,0.00566957,305.757,129.039102473,-1445.85,0.01,100,974.659,0.285055532242,0.738369,0.6,129.039102473,229.54976429,11242.3171191,71965.8,701.618,93.0438,6442.25079311,14.13
0.00173876,7.95613e-13,170.912,200,1,2.8488952089,2.49441e-10,448.573,147.415454403,245.777,0.005,100,1.5676,15.7524001327,0.57464,0.6,147.415454403,147.415454403,8601.62763333,180.161,12.6965,364.7,8601.62763333,16.1
3.50449e-18,0.01,,200,2,100.0,1.0,118.837,277.03883038,204.85,0.01,100,1.0,200.0,0.01,0.6,277.03883038,277.03883038,14264.9708014,1.0,1.0,277.039,14264.9708014,29.96
0.00266022,4.93027e-09,795.403,200,1,1.87131509126,2.69591e-06,1038.92,292.16110073,468.287,0.005,100,2.73404,12.6548836134,0.724834,0.6,292.16110073,292.16110073,15220.6902239,396.345,15.8042,671.215,15220.6902239,31.6
3.50449e-18,0.01,,200,2,100.0,1.0,108.037,310.705570812,241.554,0.01,100,1.0,200.0,0.01,0.6,310.705570812,310.705570812,11789.9165265,1.0,1.0,310.706,11789.9165265,33.57
0.000965217,2.67435e-09,8.59094e+08,300,,5.07413035338,0.00252305,625.874,292.16110073,-inf,0.005,100,4717.13,nan,0.393175,0.6,292.16110073,318.012103832,16898.7942474,370932.0,nan,280.918,15220.6902239,31.6
0.00160251,5.01835e-13,1424.59,300,1,2.07261065654,4.73157e-10,1178.5,269.828475287,450.479,0.00333333,100,3.14285,14.0706628419,0.691342,0.6,269.828475287,269.828475287,10957.0904998,651.834,21.321,642.927,10957.0904998,29.19
3.50449e-18,0.01,,300,2,100.0,1.0,134.316,347.298843841,259.334,0.01,100,1.0,300.0,0.01,0.6,347.298843841,347.298843841,18223.0753676,1.0,1.0,347.299,18223.0753676,37.5
2.1793e-19,0.005,,300,2,200.000000102,1.0,120.334,330.16146405,276.53,0.005,100,1.0,300.0,0.005,0.6,330.16146405,330.16146405,10881.5573559,1.0,1.0,338.73,10881.5573559,35.64
0.00291358,6.77243e-13,1.49508e+16,400,,1.1435167352,0.00153413,210.382,269.828475287,-inf,0.00333333,100,7.55088e+06,nan,0.932988,0.6,269.828475287,330.74383616,9398.4202036,2.11346e+09,nan,220.53,10957.0904998,29.19
0.00120499,2.18381e-15,1856.71,400,1,2.0691465946,2.71078e-12,1272.71,287.778521293,462.904,0.0025,100,3.10328,15.0477298482,0.692007,0.6,287.778521293,287.778521293,11686.0904116,858.996,26.5821,648.999,11686.0904116,31.12
3.50449e-18,0.01,,400,2,100.0,1.0,111.909,346.8520664,280.97,0.01,100,1.0,400.0,0.01,0.6,346.8520664,346.8520664,12650.0257301,1.0,1.0,346.852,12650.0257301,37.45
2.1793e-19,0.005,,400,2,200.000000102,1.0,120.47,354.498151503,300.917,0.005,100,1.0,400.0,0.005,0.6,354.498151503,354.498151503,16639.6326461,1.0,1.0,350.675,16639.6326461,38.26
5.43914e-20,0.00333333,,400,2,299.999969474,1.0,132.215,353.721616173,296.513,0.00333333,100,1.0,400.0,0.00333333,0.6,353.721616173,353.721616173,23646.4117416,1.0,1.0,351.691,23646.4117416,38.18
0.00241247,3.09968e-15,3.40288e+20,500,,1.03618751893,0.00116415,31.5565,287.778521293,-inf,0.0025,100,9.38928e+08,nan,0.98223,0.6,287.778521293,327.014303937,16794.413607,3.68897e+11,nan,296.078,11686.0904116,31.12
0.00092346,1.32039e-15,2482.31,500,1,2.16073120848,2.16481e-12,1357.91,276.355758631,462.141,0.002,100,3.27905,14.5664688493,0.677008,0.6,276.355758631,276.355758631,13291.566523,1109.97,34.3254,651.286,13291.566523,29.89
3.50449e-18,0.01,,500,2,100.0,1.0,125.402,351.053220119,281.774,0.01,100,1.0,500.0,0.01,0.6,351.053220119,351.053220119,15884.6150217,1.0,1.0,351.053,15884.6150217,37.88
2.1793e-19,0.005,,500,2,200.000000102,1.0,128.227,345.820044993,279.116,0.005,100,1.0,500.0,0.005,0.6,345.820044993,345.820044993,17318.0622868,1.0,1.0,348.437,17318.0622868,37.35
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,127.096,340.549630835,289.207,0.00333333,100,1.0,500.0,0.00333333,0.6,340.549630835,340.549630835,15691.0685527,1.0,1.0,345.808,15691.0685527,36.77
5.4346e-20,0.0025,,500,2,400.0,1.0,119.325,331.479073658,293.208,0.0025,100,1.0,500.0,0.0025,0.6,331.479073658,331.479073658,8423.70205502,1.0,1.0,342.225,8423.70205502,35.79
0.00110494,1.31986e-13,2072.63,500,1,1.80712196208,1.80767e-10,1993.0,335.339972782,554.497,0.002,100,2.73918,18.2524216954,0.742411,0.6,335.339972782,335.339972782,11445.6527166,1016.8,27.3936,783.964,11445.6527166,36.19
3.50449e-18,0.01,,500,2,100.0,1.0,160.859,419.446224101,331.19,0.01,100,1.0,500.0,0.01,0.6,419.446224101,419.446224101,26137.0963113,1.0,1.0,419.446,26137.0963113,45.27
2.1793e-19,0.005,,500,2,200.000000102,1.0,159.359,417.063927411,348.561,0.005,100,1.0,500.0,0.005,0.6,417.063927411,417.063927411,25163.8335971,1.0,1.0,418.255,25163.8335971,44.99
5.43914e-20,0.00333333,,500,2,299.999969474,1.0,173.933,423.473911952,345.065,0.00333333,100,1.0,500.0,0.00333333,0.6,423.473911952,423.473911952,40352.8914284,1.0,1.0,419.995,40352.8914284,45.7
5.4346e-20,0.0025,,500,2,400.0,1.0,173.293,422.708461832,355.782,0.0025,100,1.0,500.0,0.0025,0.6,422.708461832,422.708461832,29654.3843001,1.0,1.0,420.673,29654.3843001,45.63
