EpsThisIter,VarNormIw,VarVanillaIw,MinVanillaIw,VarJ,ESSClassic,BatchSize,J,IterType,AvgDiscRet,ESSRenyi,VanillaAvgRet,delta,AvgRet,MinNormIw,AvgEpLen,MaxVanillaIw,AvgVanillaIw,VarDiscRet,AvgNormIw,MaxNormIw,VarRet,Bound,renyi2,SamplesThisIter
816,9.49873e-08,1.86099e+09,,39911.9,3.55297986908,100,644515.0,1,602.924708123,nan,602.924708123,0.6,602.924708123,,61.2745098039,5.35167e+06,952.965,1048082.59773,6.80828e-06,0.038234,1048082.59773,4163.01,nan,50000
320,2.14474e-08,5763.43,,45390.8,5.22649009306,100,690963.0,1,1554.41360855,nan,1554.41360855,0.6,1554.41360855,,156.25,5047.16,8.99975,3705477.70794,1.73611e-05,0.0097363,3705477.70794,4340.26,nan,50000
396,3.00575e-08,53568.6,,21441.7,12.1678353156,100,797590.0,1,1254.02902756,nan,1254.02902756,0.6,1254.02902756,,126.262626263,15032.7,18.7288,2983942.07681,1.40292e-05,0.0112605,2983942.07681,4459.62,nan,50000
220,4.35878e-07,14063.4,,11795.7,3.99846098701,100,870796.0,1,2265.70529991,nan,2265.70529991,0.6,2265.70529991,,227.272727273,11580.8,4.53594,4217468.60291,2.52525e-05,0.0644725,4217468.60291,4496.17,nan,50000
204,6.05544e-09,40.5193,,nan,3.67088102412,100,nan,1,2444.44575355,nan,2444.44575355,0.6,2444.44575355,,245.098039216,283.831,2.22769,4640406.43507,2.72331e-05,0.00346977,4640406.43507,nan,nan,50000
164,7.04708e-09,18.4018,,9134.91,4.079564156,100,877978.0,1,3043.10781686,nan,3043.10781686,0.6,3043.10781686,,304.87804878,169.848,1.73105,4484162.5705,3.38753e-05,0.0033238,4484162.5705,4514.16,nan,50000
156,5.21885e-09,9.11567,,8470.34,2.80029481947,100,878168.0,1,3200.22198917,nan,3200.22198917,0.6,3200.22198917,,320.512820513,76.8658,1.48837,4291285.24238,3.56125e-05,0.00183919,4291285.24238,4541.28,nan,50000
156,4.47917e-09,7.71093,,8118.75,3.21088563658,100,880191.0,1,3200.23024353,nan,3200.23024353,0.6,3200.23024353,,320.512820513,75.0415,1.4776,4285132.1208,3.56125e-05,0.00180862,4285132.1208,4539.51,nan,50000
1156,1.06934e-07,1.25642e+07,,48828.7,8.02136934687,100,647461.0,1,423.201018561,nan,423.201018561,0.6,423.201018561,,43.2525951557,492878.0,52.093,1657631.11684,4.80584e-06,0.0454705,1657631.11684,4429.95,nan,50000
408,9.74183e-09,2933.08,,25495.5,11.9263755611,100,770688.0,1,1217.22888436,nan,1217.22888436,0.6,1217.22888436,,122.549019608,3154.07,7.47153,3780720.45006,1.36166e-05,0.00574817,3780720.45006,4479.73,nan,50000
176,6.64769e-09,14.5669,,9850.59,4.64112774081,100,880092.0,1,2835.67678683,nan,2835.67678683,0.6,2835.67678683,,284.090909091,97.8063,1.47762,5139314.15799,3.15657e-05,0.00208938,5139314.15799,4557.34,nan,50000
168,5.32986e-09,11.6817,,10909.8,2.83581340339,100,874495.0,1,2971.13798087,nan,2971.13798087,0.6,2971.13798087,,297.619047619,72.0285,1.54815,4999593.39838,3.30688e-05,0.00153854,4999593.39838,4548.37,nan,50000
160,3.44789e-09,4.18698,,7188.49,3.21935159112,100,884042.0,1,3120.43976582,nan,3120.43976582,0.6,3120.43976582,,312.5,31.5078,1.20999,5069390.30168,3.47222e-05,0.000904159,5069390.30168,4564.24,nan,50000
188,4.23911e-09,11.5666,,12238.7,3.14107173144,100,876681.0,1,2654.4432636,nan,2654.4432636,0.6,2654.4432636,,265.957446809,88.5152,1.5436,5473132.60416,2.95508e-05,0.00169454,5473132.60416,4567.26,nan,50000
168,1.07701e-08,30.2816,,9909.11,4.48808686235,100,872950.0,1,2970.88124144,nan,2970.88124144,0.6,2970.88124144,,297.619047619,368.495,1.75347,4624418.93473,3.30688e-05,0.00694949,4624418.93473,4542.02,nan,50000
140,3.18676e-09,2.32566,,6287.36,4.57613903491,100,885415.0,1,3567.97605911,nan,3567.97605911,0.6,3567.97605911,,357.142857143,10.454,1.07201,4134289.86984,3.96825e-05,0.000386977,4134289.86984,4571.29,nan,50000
124,2.39325e-09,1.07457,,4134.48,3.02916612858,100,889040.0,1,4029.36719454,nan,4029.36719454,0.6,4029.36719454,,403.225806452,7.60981,0.949354,3518468.70134,4.48029e-05,0.00035913,3518468.70134,4577.09,nan,50000
156,3.83657e-09,5.72832,,8459.48,3.70380382377,100,879039.0,1,3200.69208265,nan,3200.69208265,0.6,3200.69208265,,320.512820513,33.5342,1.37608,4473898.04949,3.56125e-05,0.000867851,4473898.04949,4559.53,nan,50000
164,5.8855e-09,8.98529,,9312.06,3.45330511281,100,878582.0,1,3043.81463928,nan,3043.81463928,0.6,3043.81463928,,304.87804878,161.415,1.3236,5021653.05224,3.38753e-05,0.00413115,5021653.05224,4549.73,nan,50000
136,2.94186e-09,2.02758,,5950.42,6.34159241903,100,884646.0,1,3673.22914202,nan,3673.22914202,0.6,3673.22914202,,367.647058824,10.6623,1.07242,4353797.69891,4.08497e-05,0.000406139,4353797.69891,4571.25,nan,50000
136,3.05148e-09,2.37338,,7331.01,3.58892734679,100,880465.0,1,3672.91851925,nan,3672.91851925,0.6,3672.91851925,,367.647058824,14.9621,1.13924,4090954.28814,4.08497e-05,0.000536495,4090954.28814,4562.14,nan,50000
148,3.03714e-09,3.1431,,8362.67,3.50152461528,100,877518.0,1,3374.60049915,nan,3374.60049915,0.6,3374.60049915,,337.837837838,14.5729,1.20757,4802715.9391,3.75375e-05,0.000453002,4802715.9391,4570.77,nan,50000
132,2.75893e-09,1.75509,2.23642e-34,7315.01,2.62607561996,100,879743.0,1,3784.87821875,nan,3784.87821875,0.6,3784.87821875,8.86695e-39,378.787878788,14.3253,1.06153,3782272.78074,4.20875e-05,0.00056797,3782272.78074,4571.59,nan,50000
112,1.2679e-09,0.446723,3.65614e-13,4465.15,1.52218246359,100,889104.0,1,4462.56906072,nan,4462.56906072,0.6,4462.56906072,1.94781e-17,446.428571429,3.85658,0.93108,2244171.52527,4.96032e-05,0.000205459,2244171.52527,4576.24,nan,50000
120,2.12928e-09,1.01491,4.22153e-19,4893.57,3.12642883552,100,886624.0,1,4164.39936411,nan,4164.39936411,0.6,4164.39936411,1.93363e-23,416.666666667,6.73181,1.01075,2909216.92887,4.62963e-05,0.000308344,2909216.92887,4572.65,nan,50000
144,3.47602e-09,3.27168,,6745.93,3.29669185965,100,883190.0,1,3468.31167691,nan,3468.31167691,0.6,3468.31167691,,347.222222222,26.7107,1.18361,4548762.19398,3.85802e-05,0.000870645,4548762.19398,4560.59,nan,50000
132,2.94026e-09,2.09243,3.93814e-28,7380.04,4.91979538464,100,877236.0,1,3784.53298501,nan,3784.53298501,0.6,3784.53298501,1.47625e-32,378.787878788,9.967,1.12276,3392346.93795,4.20875e-05,0.000373622,3392346.93795,4562.6,nan,50000
120,1.97147e-09,0.916719,2.4464e-23,5005.26,2.00901404314,100,887521.0,1,4164.35294551,nan,4164.35294551,0.6,4164.35294551,1.1345e-27,416.666666667,5.67643,0.998318,3048089.25087,4.62963e-05,0.00026324,3048089.25087,4577.29,nan,50000
124,2.35623e-09,1.27573,,6328.4,2.27731176262,100,882077.0,1,4029.70201201,nan,4029.70201201,0.6,4029.70201201,,403.225806452,10.224,1.0425,3296543.26623,4.48029e-05,0.000439391,3296543.26623,4572.36,nan,50000
112,1.39828e-09,0.52177,2.49998e-11,4556.92,1.67386871539,100,888114.0,1,4462.56235199,nan,4462.56235199,0.6,4462.56235199,1.29418e-15,446.428571429,4.61572,0.95819,1846133.33163,4.96032e-05,0.000238945,1846133.33163,4575.9,nan,50000
116,1.82261e-09,0.79192,2.66083e-14,5352.45,2.8471391478,100,885335.0,1,4308.32303265,nan,4308.32303265,0.6,4308.32303265,1.27651e-18,431.034482759,7.04289,0.998306,2353435.67243,4.78927e-05,0.000337875,2353435.67243,4573.21,nan,50000
120,1.97582e-09,0.809718,1.63333e-29,5253.01,2.14181694616,100,886897.0,1,4164.39202884,nan,4164.39202884,0.6,4164.39202884,8.06827e-34,416.666666667,7.40921,0.937215,2983383.64242,4.62963e-05,0.000365998,2983383.64242,4580.97,nan,50000
120,1.9275e-09,0.878791,4.35077e-15,5851.69,2.49753344047,100,884660.0,1,4164.36551366,nan,4164.36551366,0.6,4164.36551366,2.03761e-19,416.666666667,6.78104,0.988535,2996394.74736,4.62963e-05,0.000317578,2996394.74736,4574.14,nan,50000
120,1.86305e-09,0.702159,4.39959e-20,7073.29,2.12326068268,100,880406.0,1,4164.40813369,nan,4164.40813369,0.6,4164.40813369,2.26625e-24,416.666666667,5.85476,0.898776,3020570.66846,4.62963e-05,0.000301581,3020570.66846,4580.9,nan,50000
128,2.34646e-09,1.29433,2.52063e-26,6410.29,2.79915130045,100,882992.0,1,3903.48648398,nan,3903.48648398,0.6,3903.48648398,1.07323e-30,390.625,10.0401,1.01937,3791807.45105,4.34028e-05,0.000427487,3791807.45105,4580.87,nan,50000
108,1.07234e-09,0.386326,7.75682e-11,3351.06,1.31626694329,100,890731.0,1,4627.85494716,nan,4627.85494716,0.6,4627.85494716,4.08671e-15,462.962962963,3.3412,0.976369,1219779.68658,5.14403e-05,0.000176032,1219779.68658,4572.91,nan,50000
116,1.69899e-09,0.721572,6.0004e-18,5626.83,1.89768851343,100,884779.0,1,4307.98072372,nan,4307.98072372,0.6,4307.98072372,2.91163e-22,431.034482759,5.30059,0.986993,2479675.57091,4.78927e-05,0.000257205,2479675.57091,4572.4,nan,50000
112,1.32484e-09,0.478774,2.43408e-14,4119.74,1.48195179001,100,890450.0,1,4462.54745679,nan,4462.54745679,0.6,4462.54745679,1.28041e-18,446.428571429,4.30087,0.94296,2279350.36811,4.96032e-05,0.000226241,2279350.36811,4581.91,nan,50000
132,2.3244e-09,1.55145,,8262.24,2.36147788983,100,875482.0,1,3784.88066726,nan,3784.88066726,0.6,3784.88066726,,378.787878788,8.61598,1.08735,4020168.76274,4.20875e-05,0.000333496,4020168.76274,4571.42,nan,50000
108,9.22891e-10,0.316309,1.76685e-07,3778.4,1.5764983252,100,891770.0,1,4628.18487129,nan,4628.18487129,0.6,4628.18487129,9.54376e-12,462.962962963,3.03519,0.952323,1604657.00055,5.14403e-05,0.000163948,1604657.00055,4581.7,nan,50000
112,1.51624e-09,0.534866,3.96477e-16,4028.72,2.23886131207,100,889569.0,1,4462.55882298,nan,4462.55882298,0.6,4462.55882298,2.11096e-20,446.428571429,4.19574,0.931641,1958405.50737,4.96032e-05,0.000223393,1958405.50737,4580.43,nan,50000
112,1.38226e-09,0.514346,3.98396e-13,5132.07,1.89049507002,100,887882.0,1,4462.53912258,nan,4462.53912258,0.6,4462.53912258,2.06529e-17,446.428571429,6.19135,0.956846,2035997.84154,4.96032e-05,0.000320961,2035997.84154,4582.18,nan,50000
112,1.28661e-09,0.509691,4.39273e-11,4947.22,1.6862578801,100,887267.0,1,4462.56763786,nan,4462.56763786,0.6,4462.56763786,2.20701e-15,446.428571429,4.16852,0.987276,2009626.32094,4.96032e-05,0.000209436,2009626.32094,4577.24,nan,50000
136,2.45806e-09,1.64672,1.07341e-34,8157.73,2.41084206574,100,878228.0,1,3673.2984976,nan,3673.2984976,0.6,3673.2984976,4.14716e-39,367.647058824,14.3844,1.05731,4507031.70416,4.08497e-05,0.000555748,4507031.70416,4580.24,nan,50000
108,1.01841e-09,0.364349,3.57555e-08,3840.81,1.67016492508,100,891092.0,1,4628.19465246,nan,4628.19465246,0.6,4628.19465246,1.89037e-12,462.962962963,4.96104,0.972973,1266429.45924,5.14403e-05,0.000262286,1266429.45924,4582.04,nan,50000
116,1.48469e-09,0.576916,6.78282e-19,5936.42,2.27197725631,100,885526.0,1,4308.33265716,nan,4308.33265716,0.6,4308.33265716,3.4409e-23,431.034482759,5.06897,0.944077,2897182.80375,4.78927e-05,0.000257147,2897182.80375,4581.22,nan,50000
108,1.01774e-09,0.373878,1.0372e-08,3755.99,2.15264881188,100,890132.0,1,4627.83287144,nan,4627.83287144,0.6,4627.83287144,5.4115e-13,462.962962963,4.26611,0.98594,1230902.60157,5.14403e-05,0.00022258,1230902.60157,4575.61,nan,50000
108,9.08572e-10,0.28887,1.26903e-05,3496.46,1.30244828328,100,893065.0,1,4628.23171004,nan,4628.23171004,0.6,4628.23171004,7.11705e-10,462.962962963,3.43055,0.917223,1700401.90748,5.14403e-05,0.000192394,1700401.90748,4587.36,nan,50000
108,9.74789e-10,0.334074,1.22421e-07,3866.3,1.44262205331,100,890894.0,1,4628.21587769,nan,4628.21587769,0.6,4628.21587769,6.61284e-12,462.962962963,3.39816,0.952291,1349184.85489,5.14403e-05,0.00018356,1349184.85489,4581.77,nan,50000
108,8.99462e-10,0.297925,5.53431e-07,4159.46,1.41379094164,100,892326.0,1,4628.26125769,nan,4628.26125769,0.6,4628.26125769,3.04089e-11,462.962962963,4.56799,0.936194,1722255.38892,5.14403e-05,0.000250994,1722255.38892,4589.31,nan,50000
120,2.16349e-09,1.06808,2.83498e-23,5778.08,2.48259667662,100,883821.0,1,4164.40595563,nan,4164.40595563,0.6,4164.40595563,1.27592e-27,416.666666667,6.66846,1.02866,2795053.43107,4.62963e-05,0.000300124,2795053.43107,4573.04,nan,50000
112,1.50826e-09,0.606774,4.03533e-14,4008.74,1.9389218645,100,889040.0,1,4462.20305169,nan,4462.20305169,0.6,4462.20305169,2.01189e-18,446.428571429,6.03241,0.994913,1601210.44981,4.96032e-05,0.000300757,1601210.44981,4572.69,nan,50000
112,1.08921e-09,0.373518,7.42399e-09,6094.16,1.53528687515,100,886670.0,1,4462.60401592,nan,4462.60401592,0.6,4462.60401592,4.00902e-13,446.428571429,3.59458,0.918562,2386458.05038,4.96032e-05,0.000194111,2386458.05038,4587.07,nan,50000
108,8.17661e-10,0.277655,3.82664e-06,4492.46,1.4533248685,100,891572.0,1,4628.23469108,nan,4628.23469108,0.6,4628.23469108,2.0766e-10,462.962962963,3.12941,0.947916,1700349.97876,5.14403e-05,0.000169823,1700349.97876,4587.25,nan,50000
108,1.01114e-09,0.340133,1.84138e-08,3600.15,1.38521411519,100,891372.0,1,4628.24557508,nan,4628.24557508,0.6,4628.24557508,1.00398e-12,462.962962963,3.93564,0.94346,1430007.01906,5.14403e-05,0.000214583,1430007.01906,4581.57,nan,50000
104,5.97512e-10,0.206588,2.40613e-06,2826.23,1.13467286576,100,893588.0,1,4806.65924051,nan,4806.65924051,0.6,4806.65924051,1.29402e-10,480.769230769,2.47911,0.993284,473730.726812,5.34188e-05,0.000133326,473730.726812,4582.51,nan,50000
