Bound,delta,VanillaAvgRet,AvgDiscRet,BatchSize,VarRet,VarDiscRet,ESSRenyi,AvgRet,MinVanillaIw,VarNormIw,AvgNormIw,VarJ,ESSClassic,EpsThisIter,renyi2,VarVanillaIw,MinNormIw,SamplesThisIter,MaxNormIw,MaxVanillaIw,J,AvgVanillaIw,AvgEpLen,IterType
522.845,0.5,49.3013183578,49.3013183578,100,4015.00424009,4015.00424009,nan,49.3013183578,,8.99703e-08,6.59178e-07,22912.1,6.99729769766,8428,nan,6.5114e+16,,50000,0.139609,1.18769e+11,53166.4,560777.0,5.93260560038,1
445.82,0.5,52.3808029017,52.3808029017,100,4837.65184139,4837.65184139,nan,52.3808029017,,9.90555e-08,6.93404e-07,51370.8,6.9999994749,8012,nan,3.0446e+25,,50000,0.142856,2.50451e+15,33058.3,1.21566e+10,6.24063904144,1
526.927,0.5,52.7421719168,52.7421719168,100,5415.30779619,5415.30779619,nan,52.7421719168,,9.95581e-08,6.97408e-07,36228.8,7.00000078528,7966,nan,1.65268e+20,,50000,0.142806,5.81839e+12,39734.6,2.84147e+07,6.27667587246,1
202.55,0.5,52.1484650351,52.1484650351,100,4124.0773869,4124.0773869,nan,52.1484650351,1.03241e-26,3.30239e-10,6.90818e-07,12915.2,31.6700175054,8042,nan,1429.9,4.96153e-33,50000,0.00550992,11465.3,21753.8,1.43748,6.21735886595,1
321.86,0.5,47.9131142277,47.9131142277,100,2882.72689617,2882.72689617,nan,47.9131142277,5.68619e-15,2.39263e-07,6.43749e-07,37516.3,2.49556938632,8630,nan,4.78012e+08,1.27215e-22,50000,0.430617,1.92474e+07,18095.6,28.7739,5.79374275782,1
nan,0.5,53.6933041595,53.6933041595,100,6516.50398032,6516.50398032,nan,53.6933041595,,9.80622e-08,7.07985e-07,nan,6.99868848874,7847,nan,2.13881e+30,,50000,0.140653,6.56879e+17,nan,3.30643e+12,6.37186185803,1
3109.77,0.5,49.52308688,49.52308688,100,24378.0098756,24378.0098756,nan,49.52308688,,8.76593e-08,6.61533e-07,24688.3,6.9967795709,8398,nan,inf,,50000,0.137555,5.856e+29,419198.0,2.81629e+24,5.95379852346,1
1300.15,0.5,82.0201616785,82.0201616785,100,24172.5629969,24172.5629969,nan,82.0201616785,,2.03742e-07,1.02293e-06,28005.0,4.99999501163,5431,nan,2.02502e+28,,50000,0.199587,6.29224e+16,177147.0,3.22494e+11,9.20640765973,1
2969.7,0.5,143.861772878,143.861772878,100,115152.520409,115152.520409,nan,143.861772878,,1.69269e-07,1.70993e-06,82945.7,3.06746337955,3249,nan,1.4832e+22,,50000,0.11021,3.26236e+13,499752.0,5.06161e+08,15.3893505694,1
3322.05,0.5,135.796486106,135.796486106,100,119894.297703,119894.297703,nan,135.796486106,,3.19757e-07,1.62017e-06,51696.2,4.9999974633,3429,nan,7.11439e+30,,50000,0.19867,9.37109e+17,450082.0,7.6422e+12,14.5815106445,1
nan,0.5,77.2123717565,77.2123717565,100,77504.1998451,77504.1998451,nan,77.2123717565,,1.93832e-07,9.69218e-07,nan,4.9999994514,5732,nan,2.72153e+28,,50000,0.199994,7.49398e+16,nan,3.63175e+11,8.72295882763,1
nan,0.5,322.139146299,322.139146299,100,601819.373131,601819.373131,nan,322.139146299,,3.73642e-07,3.68895e-06,nan,4.99575266917,1506,nan,3.14501e+13,,50000,0.140444,1.2885e+09,nan,33844.3,33.2005312085,1
4341.51,0.5,1196.58321189,1196.58321189,100,3613319.85224,3613319.85224,nan,1196.58321189,,4.19736e-08,1.33869e-05,26569.5,12.1425759221,415,nan,96096.0,,50000,0.0124835,18888.6,797976.0,20.2555,120.481927711,1
4299.13,0.5,1675.54353904,1675.54353904,100,3752513.06339,3752513.06339,nan,1675.54353904,,6.77737e-09,1.87056e-05,26471.4,3.90856987501,297,nan,1071.15,,50000,0.00244516,972.08,827640.0,7.43646,168.35016835,1
4359.55,0.5,2225.23607499,2225.23607499,100,4722758.35185,4722758.35185,nan,2225.23607499,,1.11696e-08,2.48016e-05,17740.1,4.12178755559,224,nan,178.484,,50000,0.00500361,632.505,863160.0,3.13516,223.214285714,1
4461.65,0.5,2409.91677488,2409.91677488,100,5622513.35031,5622513.35031,nan,2409.91677488,,4.04465e-09,2.68384e-05,14903.8,3.27505234871,207,nan,22.0521,,50000,0.00195498,144.353,865374.0,1.98172,241.54589372,1
4474.58,0.5,3263.99587858,3263.99587858,100,5419319.54928,5419319.54928,nan,3263.99587858,,3.07793e-09,3.63108e-05,9312.29,3.43245452322,153,nan,3.67126,,50000,0.000763942,26.3839,876362.0,1.25405,326.797385621,1
4470.01,0.5,3307.39879081,3307.39879081,100,5049518.84825,5049518.84825,nan,3307.39879081,,2.90213e-09,3.67918e-05,9644.79,2.83297921773,151,nan,3.12307,,50000,0.000468899,15.382,875876.0,1.20693,331.125827815,1
4451.96,0.5,3619.37041184,3619.37041184,100,4205595.12633,4205595.12633,nan,3619.37041184,,3.40404e-09,4.02576e-05,8571.24,4.01773853454,138,nan,3.71176,,50000,0.000565169,18.6625,876385.0,1.32936,362.31884058,1
4472.65,0.5,3813.16566703,3813.16566703,100,4079004.9941,4079004.9941,nan,3813.16566703,,2.43171e-09,4.24088e-05,7292.87,3.08525093624,131,nan,1.70523,,50000,0.000432356,11.4493,878419.0,1.12303,381.679389313,1
4465.37,0.5,3672.97671587,3672.97671587,100,4285474.35849,4285474.35849,nan,3672.97671587,3.63998e-33,2.67367e-09,4.08497e-05,7674.35,3.10246007751,136,nan,2.38229,1.21943e-37,50000,0.000334537,9.9859,877831.0,1.21936,367.647058824,1
4353.72,0.5,2444.19296732,2444.19296732,100,3710053.18915,3710053.18915,nan,2444.19296732,,6.59341e-09,2.72331e-05,16306.9,3.15944825728,204,nan,140.476,,50000,0.00237333,346.421,856981.0,3.97506,245.098039216,1
4479.07,0.5,4095.9910667,4095.9910667,100,3026597.72647,3026597.72647,nan,4095.9910667,,1.97061e-09,4.55373e-05,4977.45,2.11238814968,122,nan,0.86858,,50000,0.000289356,6.07487,886226.0,0.956031,409.836065574,1
4487.47,0.5,4271.47943135,4271.47943135,100,3011984.98344,3011984.98344,nan,4271.47943135,1.34653e-12,1.46784e-09,4.74834e-05,3808.81,1.43129904917,117,nan,0.543297,6.99903e-17,50000,0.000215415,4.14434,889736.0,0.913527,427.35042735,1
4477.9,0.5,4199.47891606,4199.47891606,100,2677294.39337,2677294.39337,nan,4199.47891606,1.86201e-26,1.80313e-09,4.66853e-05,4950.28,2.71599848143,119,nan,0.791502,8.8873e-31,50000,0.000310235,6.49985,885906.0,0.978121,420.168067227,1
4477.71,0.5,3997.4328823,3997.4328823,100,3332709.00451,3332709.00451,nan,3997.4328823,4.50987e-27,2.12741e-09,4.44444e-05,6032.22,2.66171587287,125,nan,1.08332,1.99853e-31,50000,0.000261957,5.91129,883686.0,1.00293,400.0,1
4485.4,0.5,3965.6660684,3965.6660684,100,3941629.96124,3941629.96124,nan,3965.6660684,9.7056e-27,2.17743e-09,4.40917e-05,5509.23,2.11632923268,126,nan,1.00976,4.50698e-31,50000,0.000511671,11.0186,884075.0,0.949497,396.825396825,1
4494.58,0.5,4271.48515697,4271.48515697,100,3109809.32005,3109809.32005,nan,4271.48515697,1.89748e-19,1.40672e-09,4.74834e-05,4128.72,2.0868455441,117,nan,0.517266,9.89519e-24,50000,0.000243576,4.67076,889464.0,0.910532,427.35042735,1
4497.5,0.5,4543.96575746,4543.96575746,100,2079171.93952,2079171.93952,nan,4543.96575746,1.62914e-06,8.79003e-10,5.0505e-05,3139.99,1.51231762792,110,nan,0.276035,9.1933e-11,50000,0.000180768,3.20339,893041.0,0.894998,454.545454545,1
4487.0,0.5,4096.03075519,4096.03075519,100,3616793.67067,3616793.67067,nan,4096.03075519,1.25553e-28,1.63762e-09,4.55373e-05,4728.65,2.47937630528,122,nan,0.609306,6.50902e-33,50000,0.000273188,5.26954,887016.0,0.878372,409.836065574,1
