VarVanillaIw,EpsThisIter,VarRet,ESSClassic,AvgVanillaIw,VanillaAvgRet,BatchSize,AvgEpLen,MinVanillaIw,Bound,Delta,AvgNormIw,eRenyi2,AvgDiscRet,MinNormIw,AvgRet,J,VarJ,MaxVanillaIw,MaxNormIw,VarNormIw,IterType,VarDiscRet,ESSRenyi
1.5539432,100,5156160.471291107,26.27348274768362,0.7404268,-2329.9978008527473,100,200.0,3.6798333e-12,-551.28143,0.8,0.01,3.0910068,-2329.9978008527473,4.9698815e-14,-2329.9978008527473,-45.056152,108.12462,4.3579426,0.05885717,0.00028344634,1,5156160.471291107,32.351918937551744
0.08487984,100,182497.9825278813,91.90320098522525,0.976627,-70.2898378429043,100,200.0,0.031521823,-175.20528,0.8,0.01,1.0762476,-70.2898378429043,0.00032276215,-70.2898378429043,-11.968007,20.684551,1.259503,0.01289646,8.89912e-06,1,182497.9825278813,92.91542440430388
3.69775,100,87.61350713419101,28.564361879068603,1.2098768,-9.667418273171224,100,200.0,,-8.601286,0.8,0.009999999,3.9634974,-9.667418273171224,,-9.667418273171224,-5.7640934,11.825704,5.55985,0.045953855,0.00025261275,1,87.61350713419101,25.230242359396858
nan,100,87.61350713419101,nan,inf,-9.667418273171224,200,200.0,0.17986096,nan,0.8,nan,nan,-9.029800665923164,nan,-9.667418273171224,nan,nan,inf,nan,nan,,59.09962587406173,nan
5.0530825,100,77.27952116653334,37.44858473408874,1.0762472,-10.079425091104106,200,200.0,,-8.702887,0.8,0.005,5.8837,-10.079425091104106,,-10.079425091104106,-5.8752885,14.138615,8.230367,0.038236413,0.00010906169,1,77.27952116653334,33.99221639526598
,100,47.94840888007161,100.0,1.0,-8.005160290567654,200,200.0,1.0,-9.1992855,0.8,0.009999998,1.0,-8.005160290567654,0.01,-8.005160290567654,-8.00516,6.8897696,1.0,0.01,3.5044917e-18,2,47.94840888007161,200.0
0.60113084,100,54.49706842953138,131.5051504837586,1.071614,-8.859319498086391,200,200.0,0.75704634,-8.822343,0.8,0.0049999994,1.4948634,-8.859319498086391,0.0035322716,-8.859319498086391,-7.7755384,8.114396,7.5208216,0.035091095,1.3086765e-05,1,54.49706842953138,133.7914897203892
,100,60.89916965852146,100.0,1.0,-7.769554617919157,200,200.0,1.0,-9.097303,0.8,0.009999998,1.0,-7.769554617919157,0.01,-7.769554617919157,-7.769554,7.764675,1.0,0.01,3.5044917e-18,2,60.89916965852146,200.0
0.8958181,100,47.67126740592601,106.92018378873657,1.0118673,-7.265626268752368,200,200.0,0.071518555,-8.218227,0.8,0.005,1.7689508,-7.265626268752368,0.00035339888,-7.265626268752368,-6.912158,8.065337,7.0943985,0.035055973,2.1873222e-05,1,47.67126740592601,113.06136820891655
,100,52.189364052193206,100.0,1.0,-7.582168910699024,200,200.0,1.0,-8.81427,0.8,0.009999998,1.0,-7.582168910699024,0.01,-7.582168910699024,-7.5821686,7.188009,1.0,0.01,3.5044917e-18,2,52.189364052193206,200.0
