AvgVanillaIw,Delta,AvgNormIw,VarDiscRet,ESSClassic,EpsThisIter,ESSRenyi,AvgRet,Bound,MaxVanillaIw,BatchSize,VarJ,MinVanillaIw,J,eRenyi2,MinNormIw,VanillaAvgRet,VarRet,VarNormIw,VarVanillaIw,AvgEpLen,AvgDiscRet,IterType,MaxNormIw
1.0764259,0.4,0.01,58662.7455105487,40.655111253752374,100,45.56460601530877,137.53829658920057,-20.305359,5.6485558,100,920.1598,0.0043194024,329.81647,2.194686,4.0127263e-05,137.53829658920057,58662.7455105487,0.000147446,1.7084459,14.76,137.53829658920057,1,0.052475102
0.5779309,0.4,0.010000002,81207.91095729331,1.6966091349781631,100,4.647303846137482,199.6002029127991,588.7731,44.028748,100,3739.3894,1.6478162e-22,1969.2936,21.517853,2.8512338e-24,199.6002029127991,81207.91095729331,0.005852636,19.548046,20.97,199.6002029127991,1,0.761834
6.0712406e+19,0.4,0.01,170243.94808200083,,100,673596.6032907288,199.6002029127991,-inf,6.0686377e+21,200,1.6560827,0.022712436,349.4996,0.0002969136,3.7409875e-24,199.6002029127991,81207.91095729331,0.009991344,inf,20.97,415.0192475425963,,0.99957126
1.2634835,0.4,0.005,69897.66984186965,19.50530289401191,100,21.659170506664953,199.50550439397844,196.84747,25.03899,200,2761.9243,2.1018611e-14,836.3209,9.233964,8.3177226e-17,199.50550439397844,69897.66984186965,0.00023250307,14.846628,20.96,199.50550439397844,1,0.09908713
1.0,0.4,0.009999998,468126.1476486187,100.0,100,200.0,556.2823419575368,136.34265,1.0,200,680.7679,1.0,556.28235,1.0,0.01,556.2823419575368,468126.1476486187,3.5044917e-18,,56.65,556.2823419575368,2,0.01
1.1960535,0.4,0.0049999994,238480.02785913003,10.036900219674816,100,13.156951366975296,460.5145236711519,927.2742,48.539577,200,4782.4053,2.8734226e-30,2085.0095,15.20109,1.2012099e-32,460.5145236711519,238480.02785913003,0.00047553953,27.211205,47.07,460.5145236711519,1,0.20291558
1.0,0.4,0.009999998,1489424.112578536,100.0,100,200.0,1304.9246440081547,692.5521,1.0,200,1214.3021,1.0,1304.9246,1.0,0.01,1304.9246440081547,1489424.112578536,3.5044917e-18,,131.49,1304.9246440081547,2,0.01
1.2337537,0.4,0.005000001,1377250.7892863473,9.636514863337656,100,16.853127880976842,1203.5876841317433,2226.2246,65.77211,200,5848.4326,2.0506288e-09,3717.9038,11.867233,8.310527e-12,1203.5876841317433,1377250.7892863473,0.0004963416,30.220213,121.36,1203.5876841317433,1,0.26655284
1.0,0.4,0.009999998,3260502.166332448,100.0,100,200.0,2886.674772599038,2274.3022,1.0,200,1796.6349,1.0,2886.6748,1.0,0.01,2886.674772599038,3260502.166332448,3.5044917e-18,,289.38,2886.674772599038,2,0.01
1.291009,0.4,0.005000001,2819064.0409073015,49.95156915417178,100,40.89005962945216,2650.690019006779,3590.02,10.169484,200,1357.2233,2.2928474e-14,4547.67,4.8911643,8.8800605e-17,2650.690019006779,2819064.0409073015,7.547434e-05,5.0317345,265.9,2650.690019006779,1,0.039385803
