AvgVanillaIw,VarVanillaIw,MaxVanillaIw,VarRet,VarJ,BatchSize,AvgRet,Bound,VarNormIw,VarDiscRet,VanillaAvgRet,AvgEpLen,AvgDiscRet,eRenyi2,AvgNormIw,EpsThisIter,ESSRenyi,MinNormIw,J,IterType,MaxNormIw,Delta,ESSClassic,MinVanillaIw
0.8587766,2.011011,4.4953732,5241326.926508991,70.449844,100,-2281.75755841767,-379.1126,0.00027268042,5241326.926508991,-2281.75755841767,200.0,-2281.75755841767,3.2029295,0.010000002,100,31.221417799235674,1.2324255e-21,-35.661873,1,0.052346244,0.9,27.030410883964716,1.05837824e-19
0.86095697,0.8555041,2.4886692,131.1679205504887,9.653236,100,-11.294129080193562,-11.713455,0.00011541419,131.1679205504887,-11.294129080193562,200.0,-11.294129080193562,1.8230144,0.009999999,100,54.85420256513088,8.2007845e-10,-8.117683,1,0.028905848,0.9,46.67225680065111,7.0605225e-08
0.6193431,5.5418386,12.443733,51.06945307482304,5.247978,100,-7.4230720098313325,-5.205814,0.0014447448,51.06945307482304,-7.4230720098313325,200.0,-7.4230720098313325,10.266947,0.01,100,9.739993984584709,,-1.8380975,1,0.20091824,0.9,6.534677885699885,
inf,nan,inf,51.06945307482304,nan,200,-7.4230720098313325,nan,nan,54.89695594015013,-7.4230720098313325,200.0,-7.964890801765989,nan,nan,100,nan,nan,nan,,nan,0.9,nan,0.08036174
1.0119522,1.4905471,3.4330735,61.33499856634275,10.740202,200,-8.768010045568536,-8.303934,3.6388632e-05,61.33499856634275,-8.768010045568536,200.0,-8.768010045568536,2.42017,0.005,100,82.63882054539047,3.544854e-10,-7.147761,1,0.016962629,0.9,81.69040886529257,7.174445e-08
1.0,,1.0,48.92950308650245,6.9599,200,-7.2907638082012545,-8.155644,3.5044917e-18,48.92950308650245,-7.2907638082012545,200.0,-7.2907638082012545,1.0,0.009999998,100,200.0,0.01,-7.290763,2,0.01,0.9,100.0,1.0
0.94901705,0.53340423,2.0648072,46.30288016009331,8.261871,200,-7.715995772002686,-7.644763,1.48063655e-05,46.30288016009331,-7.715995772002686,200.0,-7.715995772002686,1.5408471,0.005,100,129.7987352503512,1.0827903e-09,-6.885624,1,0.010878663,0.9,125.84207898193037,2.055173e-07
1.0,,1.0,58.052502596008374,7.581027,200,-7.797917493646658,-8.613586,3.5044917e-18,58.052502596008374,-7.797917493646658,200.0,-7.797917493646658,1.0,0.009999998,100,200.0,0.01,-7.7979174,2,0.01,0.9,100.0,1.0
1.1423663,39.225674,43.988956,51.95084532266513,7.1087317,200,-7.006885282012592,-4.5138874,0.0007514493,51.95084532266513,-7.006885282012592,200.0,-7.006885282012592,31.415432,0.005,100,6.366297943977481,,-1.2811499,1,0.19253437,0.9,6.470884374994665,
1.0,,1.0,55.387684877320055,7.4049854,200,-8.16388964018733,-8.985664,3.5044917e-18,55.387684877320055,-8.16388964018733,200.0,-8.16388964018733,1.0,0.009999998,100,200.0,0.01,-8.163889,2,0.01,0.9,100.0,1.0
inf,nan,inf,51.95084532266513,nan,300,-7.006885282012592,nan,nan,60.597736890198256,-7.006885282012592,200.0,-8.589362631042686,nan,nan,100,nan,nan,nan,,nan,0.9,nan,0.022732977
0.7211661,29.622906,53.03382,49.244700263775364,9.474161,300,-7.882700916530464,-4.406996,0.00063287024,49.244700263775364,-7.882700916530464,200.0,-7.882700916530464,37.540634,0.0033333334,100,7.991340763162312,,-1.5216084,1,0.24512994,0.9,5.19314592077348,
1.0,,1.0,65.4878879250578,8.051895,300,-9.977983771068839,-10.82858,3.5044917e-18,65.4878879250578,-9.977983771068839,200.0,-9.977983771068839,1.0,0.009999998,100,300.0,0.01,-9.977983,2,0.01,0.9,100.0,1.0
1.0,,1.0,62.86568290726492,7.9794493,300,-9.2388219785699,-10.209865,2.179301e-19,62.86568290726492,-9.2388219785699,200.0,-9.2388219785699,1.0,0.0049999994,100,300.0,0.005,-9.608402,2,0.005,0.9,200.00000010221265,1.0
inf,nan,inf,49.244700263775364,nan,400,-7.882700916530464,nan,nan,57.21341668642602,-7.882700916530464,200.0,-9.135559058309646,nan,nan,100,nan,nan,nan,,nan,0.9,nan,0.018855892
0.99843484,0.07470342,1.5790819,48.93845924591574,7.549915,400,-7.970652983773491,-8.044598,4.6836135e-07,48.93845924591574,-7.970652983773491,200.0,-7.970652983773491,1.0741252,0.0025,100,372.3960772062108,0.00077106187,-7.6219177,1,0.003953893,0.9,372.1793554766263,0.307942
1.0,,1.0,52.095422985316695,7.1815367,400,-7.9642670839532546,-8.761639,3.5044917e-18,52.095422985316695,-7.9642670839532546,200.0,-7.9642670839532546,1.0,0.009999998,100,400.0,0.01,-7.9642673,2,0.01,0.9,100.0,1.0
1.0,,1.0,54.795478913153914,7.2777424,400,-8.431330390474917,-8.808551,2.179301e-19,54.795478913153914,-8.431330390474917,200.0,-8.431330390474917,1.0,0.0049999994,100,400.0,0.005,-8.197799,2,0.005,0.9,200.00000010221265,1.0
1.0,,1.0,56.73552779537459,7.3511424,400,-8.030643616680587,-8.640757,5.4391416e-20,56.73552779537459,-8.030643616680587,200.0,-8.030643616680587,1.0,0.0033333336,100,400.0,0.0033333334,-8.142079,2,0.0033333334,0.9,299.999969473632,1.0
1.3029081,10.394981,12.15554,45.562014704492604,15.484364,400,-7.129838296479876,-7.3254952,3.827156e-05,45.562014704492604,-7.129838296479876,200.0,-7.129838296479876,8.603161,0.0025000004,100,46.4945392275061,,-6.0587797,1,0.023323866,0.9,56.27350294899732,
1.0,,1.0,66.10198418462164,8.089559,400,-9.358782867676563,-10.183881,3.5044917e-18,66.10198418462164,-9.358782867676563,200.0,-9.358782867676563,1.0,0.009999998,100,400.0,0.01,-9.358783,2,0.01,0.9,100.0,1.0
1.0,,1.0,55.64487141432982,7.764625,400,-9.673149022162121,-10.099399,2.179301e-19,55.64487141432982,-9.673149022162121,200.0,-9.673149022162121,1.0,0.0049999994,100,400.0,0.005,-9.515966,2,0.005,0.9,200.00000010221265,1.0
1.0,,1.0,63.353757659516766,7.829058,400,-8.58045741148581,-9.6805,5.4391416e-20,63.353757659516766,-8.58045741148581,200.0,-8.58045741148581,1.0,0.0033333336,100,400.0,0.0033333334,-9.204129,2,0.0033333334,0.9,299.999969473632,1.0
inf,nan,inf,45.562014704492604,nan,500,-7.129838296479876,nan,nan,49.080070282875404,-7.129838296479876,200.0,-7.50656727033996,nan,nan,100,nan,nan,nan,,nan,0.9,nan,0.08226701
1.2177608,13.732472,18.20387,55.18715639915275,16.094416,500,-8.20966952882997,-7.9016953,3.7041176e-05,55.18715639915275,-8.20966952882997,200.0,-8.20966952882997,12.900475,0.002,100,38.758264134116274,,-6.5143075,1,0.029897286,0.9,48.819662572134824,
1.0,,1.0,38.129648665949254,6.143969,500,-6.795399881389645,-7.600034,3.5044917e-18,38.129648665949254,-6.795399881389645,200.0,-6.795399881389645,1.0,0.009999998,100,500.0,0.01,-6.7953997,2,0.01,0.9,100.0,1.0
