AvgDiscRet,MaxVanillaIw,MinNormIw,ESSClassic,VarRet,AvgNormIw,AvgEpLen,VarJ,ESSRenyi,MinVanillaIw,VarNormIw,VarVanillaIw,eRenyi2,MaxNormIw,VarDiscRet,AvgRet,BatchSize,VanillaAvgRet,AvgVanillaIw,Bound,J
-2446.1555259310257,3.7880707,1.6714421e-13,35.361152801545245,5454137.527442945,0.01,200.0,198.76651,36.28231651595978,1.5833116e-11,0.00018464265,1.656846,2.7561636,0.039989226,5454137.527442945,-2446.1555259310257,100,-2446.1555259310257,0.9472728,-878.9541,-74.40191
-84.36364099027688,1.3398783,0.00064498227,90.14789641984872,186286.63872441012,0.010000002,200.0,42.68227,89.69471896996696,0.06506562,1.1039203e-05,0.11234283,1.1148928,0.013281941,186286.63872441012,-84.36364099027688,100,-84.36364099027688,1.008797,-269.13132,-16.268074
-9.696041402244134,1.7976378,0.00081606896,82.97310313952242,85.34327669710655,0.01,200.0,8.652941,84.73355108452701,0.080904074,2.0728276e-05,0.20372777,1.18017,0.018132541,85.34327669710655,-9.696041402244134,100,-9.696041402244134,0.9913877,-11.767332,-8.973442
-34.21642497591925,1.1988873,0.0016562501,93.84569104588655,60723.77369963843,0.01,200.0,41.88305,95.25164972234477,0.16103965,6.6241437e-06,0.062624395,1.0498506,0.012330238,60723.77369963843,-34.21642497591925,100,-34.21642497591925,0.97231483,-226.58855,-13.397098
-7.611695776242305,5.893397,,25.62626689373186,51.22320405570867,0.01,200.0,8.238679,23.81206072373426,,0.0002931562,3.5924895,4.1995525,0.053237483,51.22320405570867,-7.611695776242305,100,-7.611695776242305,1.1070014,-8.459971,-3.7268283
-8.351937758637858,1.9224272,2.5533524e-07,73.88285853499991,51.50645957433168,0.01,200.0,7.8958745,69.82852878007964,2.6832671e-05,3.5706453e-05,0.39432383,1.4320794,0.018293498,51.50645957433168,-8.351937758637858,100,-8.351937758637858,1.0508801,-10.181108,-7.7587004
-7.513025284534462,6.957222,,20.578803259999145,47.350743232754475,0.010000002,200.0,7.4603586,20.221611643024268,,0.00038983533,4.167531,4.9452043,0.06728791,47.350743232754475,-7.513025284534462,100,-7.513025284534462,1.0339484,-8.757986,-4.2897854
-8.468680558201772,3.578974,0.0009420724,70.53948713174344,50.83359107519435,0.01,200.0,8.361673,65.96185592578084,0.09698568,4.2186442e-05,0.4471154,1.5160277,0.034764435,50.83359107519435,-8.468680558201772,100,-8.468680558201772,1.0294929,-10.150267,-7.6502433
-8.601590226976937,1.3600103,0.001547499,90.79269456831575,52.31370574436446,0.010000002,200.0,7.5573444,88.89077272993151,0.16459766,1.0243435e-05,0.1158863,1.1249762,0.012786418,52.31370574436446,-8.601590226976937,100,-8.601590226976937,1.0636367,-10.521922,-8.374043
-7.569940710960425,1.8723314,2.6670776e-08,66.18387565479782,45.36421216052361,0.01,200.0,8.1401825,70.17619825664775,2.3462812e-06,5.1610295e-05,0.3994158,1.4249846,0.021283267,45.36421216052361,-7.569940710960425,100,-7.569940710960425,0.8797199,-9.186884,-6.809787
-7.473218568709959,6.0490513,0.004183157,68.21582267710916,48.76494422488381,0.01,200.0,8.540142,74.00878600950664,0.41553372,4.7064204e-05,0.46440294,1.3511909,0.06089549,48.76494422488381,-7.473218568709959,100,-7.473218568709959,0.9933496,-9.211964,-6.8573914
-6.765235319126998,2.4070852,0.0018299328,80.06274465922608,47.52156578171171,0.01,200.0,6.889628,78.4256105942067,0.16895644,2.5153575e-05,0.21442671,1.2750937,0.026070649,47.52156578171171,-6.765235319126998,100,-6.765235319126998,0.9232932,-8.625757,-6.337779
-8.569277656679732,2.7354846,0.0064536016,84.77980410619419,55.01337512234863,0.010000002,200.0,7.838247,76.6261156818851,0.62795305,1.8133953e-05,0.17168902,1.3050381,0.028113134,55.01337512234863,-8.569277656679732,100,-8.569277656679732,0.9730273,-10.326307,-8.025338
-9.280904534389984,4.633791,0.0045976336,64.58111483789976,48.86527938218664,0.01,200.0,6.7512956,71.64814054180277,0.4825869,5.5397995e-05,0.6103464,1.3957096,0.0441464,48.86527938218664,-9.280904534389984,100,-9.280904534389984,1.0496418,-10.928749,-8.550721
-7.752461898822516,3.0907924,2.8306234e-08,46.067342869144426,51.962846611427274,0.009999999,200.0,10.416556,47.07501186049432,2.930383e-06,0.000118256095,1.2673838,2.1242692,0.029855719,51.962846611427274,-7.752461898822516,100,-7.752461898822516,1.035243,-8.96115,-6.183885
-8.738470208643076,2.2077284,0.0018151666,84.67510834843274,56.15065509341712,0.01,200.0,7.9950094,82.88775501230529,0.17552438,1.8281284e-05,0.17094193,1.2064508,0.022830985,56.15065509341712,-8.738470208643076,100,-8.738470208643076,0.9669878,-10.550597,-8.343551
-8.74815849846042,14.820849,1.6663863e-16,8.215580844703206,59.82509712686093,0.010000002,200.0,11.541205,10.866917117910718,1.205757e-14,0.0011284841,5.908316,9.202242,0.20482785,59.82509712686093,-8.74815849846042,100,-8.74815849846042,0.7235759,-9.719685,-3.6200461
-7.347974767427388,2.4990776,0.0052781906,87.61308589624593,48.897190832971354,0.01,200.0,7.5373974,87.50363789721926,0.47894806,1.4281017e-05,0.117588766,1.1428096,0.027540788,48.897190832971354,-7.347974767427388,100,-7.347974767427388,0.9074096,-9.222473,-7.1031194
-7.492815609941768,1.6151353,0.0032336523,90.62832928915927,48.29370718597812,0.01,200.0,7.176568,91.24349958939051,0.30892158,1.044522e-05,0.095329516,1.0959685,0.016906511,48.29370718597812,-7.492815609941768,100,-7.492815609941768,0.95533335,-9.4313965,-7.309272
-8.013088213514203,1.3534148,0.0014523705,91.2182234733214,45.813236254549096,0.01,200.0,6.954058,89.10709646004483,0.15294032,9.724472e-06,0.10783384,1.1222451,0.012852463,45.813236254549096,-8.013088213514203,100,-8.013088213514203,1.0530392,-9.809993,-7.671369
-7.673309910613508,2.4236655,0.007220539,92.20436816179654,51.834833927062775,0.01,200.0,7.622987,90.43596831003188,0.6838372,8.540135e-06,0.07660038,1.1057547,0.025591137,51.834833927062775,-7.673309910613508,100,-7.673309910613508,0.9470722,-9.613251,-7.4889364
-8.077899107701365,1.2502825,0.0011237989,89.71086162687725,56.52126334104318,0.01,200.0,7.7648726,93.27676494969279,0.107927665,1.1585071e-05,0.10685308,1.0720783,0.01301859,56.52126334104318,-8.077899107701365,100,-8.077899107701365,0.9603824,-9.942206,-7.8442445
-8.054637047456202,15.70286,6.801807e-05,22.06848812163764,55.96198835891574,0.010000002,200.0,11.180997,30.010529397740772,0.0071195993,0.00035670184,3.9081192,3.3321638,0.15001942,55.96198835891574,-8.054637047456202,100,-8.054637047456202,1.0467218,-9.121061,-5.475577
-8.69505791117186,1.7527982,2.4325844e-05,70.8966954893192,52.35044269739566,0.01,200.0,8.402588,74.18962246604599,0.0022996939,4.146494e-05,0.37058285,1.3478974,0.018540857,52.35044269739566,-8.69505791117186,100,-8.69505791117186,0.9453706,-10.447334,-8.136446
-8.220374754045636,1.2785658,0.002864909,91.69785441297287,55.15132433036699,0.01,200.0,7.8149095,92.15021241457252,0.2756158,9.145261e-06,0.08464138,1.0851847,0.013290146,55.15132433036699,-8.220374754045636,100,-8.220374754045636,0.9620404,-10.085787,-8.05653
-9.50330531803539,2.281045,0.0027287728,84.62281677964643,60.39535579976956,0.01,200.0,7.865419,83.39897991789157,0.25588062,1.8354996e-05,0.16139658,1.1990554,0.024325615,60.39535579976956,-9.50330531803539,100,-9.50330531803539,0.93771315,-11.320675,-9.133915
-8.350041251060302,4.1270404,4.180798e-25,31.334200865722433,53.62967213521746,0.009999999,200.0,8.206459,33.726246992679506,3.6448933e-23,0.00022135365,1.6824331,2.9650497,0.047338348,53.62967213521746,-8.350041251060302,100,-8.350041251060302,0.8718175,-9.085346,-5.632144
-9.235766634624378,1.3402603,0.0016501318,91.68945256072924,54.09498130925511,0.01,200.0,7.4591546,89.63654204549911,0.16970356,9.155338e-06,0.09683202,1.1156164,0.013032172,54.09498130925511,-9.235766634624378,100,-9.235766634624378,1.0284243,-11.130938,-9.034183
-8.172191538659966,2.061457,0.006243857,93.93785453613015,52.508735856254724,0.01,200.0,7.127071,91.91429755414804,0.64941734,6.51854e-06,0.07051673,1.08797,0.019819986,52.508735856254724,-8.172191538659966,100,-8.172191538659966,1.0400901,-10.071471,-7.954899
-7.963983116411136,4.8448377,7.016335e-08,37.20878454043223,58.59564105832667,0.009999999,200.0,7.8631697,36.130010371335146,7.5406424e-06,0.00017045834,1.9688574,2.7677822,0.04507972,58.59564105832667,-7.963983116411136,100,-7.963983116411136,1.0747266,-8.80657,-5.470169
-8.133565355988024,2.4818997,9.377513e-05,66.16925330125315,51.96762065003816,0.01,200.0,8.829103,64.73703873283267,0.009236372,5.1644016e-05,0.5010112,1.5447108,0.025198257,51.96762065003816,-8.133565355988024,100,-8.133565355988024,0.98494893,-9.793602,-7.2684784
-6.764049353497147,2.3076339,0.0029181184,85.81930837010762,50.69374928333592,0.01,200.0,7.1145263,85.47409465722716,0.30594015,1.6690805e-05,0.18346126,1.1699451,0.022010673,50.69374928333592,-6.764049353497147,100,-6.764049353497147,1.0484158,-8.600781,-6.439818
-7.755857896766595,4.5398874,8.513713e-09,32.827635746421166,46.14990767685865,0.010000002,200.0,12.062257,33.23064851161412,8.4644495e-07,0.00020668824,2.0430317,3.0092702,0.0456631,46.14990767685865,-7.755857896766595,100,-7.755857896766595,0.9942136,-9.614056,-6.0898423
