Delta,AvgNormIw,BatchSize,MinVanillaIw,ESSRenyi,MinNormIw,VarRet,EpsThisIter,eRenyi2,VarJ,AvgVanillaIw,VanillaAvgRet,MaxVanillaIw,AvgDiscRet,AvgRet,AvgEpLen,J,IterType,Bound,VarVanillaIw,VarDiscRet,MaxNormIw,VarNormIw,ESSClassic
0.45,0.010000002,100,1.8141934e-06,9.713624026160502,1.5930947e-08,27085.56038992746,100,10.294819,1010.2533,1.1387857,108.8423725164873,40.276,108.8423725164873,108.8423725164873,11.89,481.7213,1,176.72226,21.536377,27085.56038992746,0.35367498,0.0016606903,5.733671836478487
0.45,0.01,100,3.3277803e-10,14.754551171223829,3.794496e-12,431232.0969967441,100,6.77757,5407.622,0.87700194,397.4885961050361,21.29192,397.4885961050361,397.4885961050361,40.75,1739.7488,1,300.8164,6.905878,431232.0969967441,0.24278076,0.00089787896,10.112244476350261
0.45,0.01,100,1.0825102e-06,9.939761919906209,8.2319325e-09,1690257.3315462745,100,10.060603,4482.5503,1.3150134,895.7810239245814,61.761402,895.7810239245814,895.7810239245814,90.52,4139.3774,1,2386.074,41.668175,1690257.3315462745,0.46966365,0.002409595,4.023336512461809
0.45,0.009999999,100,1.465717e-05,32.56725341449969,1.6758837e-07,3863154.8158994117,100,3.070569,562.1927,0.8745935,3069.145544661128,6.2094297,3069.145544661128,3069.145544661128,307.46,4791.052,1,3822.4294,1.6641872,3863154.8158994117,0.070997894,0.00021756535,31.706808474678454
0.45,0.010000002,100,0.07280162,82.73252387313214,0.00072266656,710906.3771293432,100,1.2087145,139.1863,1.0074027,4747.863500633276,1.8094356,4747.863500633276,4747.863500633276,474.9,4958.8755,1,4351.151,0.2700556,710906.3771293432,0.017961394,2.6610129e-05,79.14894407229059
0.45,0.009999999,100,0.52941775,97.39362073901864,0.005370129,149033.36209463043,100,1.0267613,209.97874,0.9858567,4961.33663410264,1.2742842,4961.33663410264,4961.33663410264,496.15,4978.9385,1,4418.8203,0.024252573,149033.36209463043,0.012925654,2.4953433e-06,97.58917716233154
0.45,0.01,100,0.19413705,97.43795546590447,0.0019370333,72081.53321434374,100,1.0262941,60.550995,1.0022391,4965.222894857611,1.1652122,4965.222894857611,4965.222894857611,496.55,4991.528,1,4431.537,0.033762634,72081.53321434374,0.011626089,3.361194e-06,96.77958194753741
0.45,0.010000002,100,0.060337268,93.2855818722376,0.00061518006,318710.3181484257,100,1.071977,181.2212,0.98080665,4901.531014607009,1.4510431,4901.531014607009,4901.531014607009,490.2,4973.5664,1,4401.248,0.09158546,318710.3181484257,0.014794385,9.520498e-06,91.38654122969676
0.45,0.01,100,0.32884943,97.06053324348441,0.003278096,144441.86308263443,100,1.0302849,124.82417,1.003172,4961.921932622012,1.2800455,4961.921932622012,4961.921932622012,496.21,4987.4795,1,4426.401,0.03793346,144441.86308263443,0.01275998,3.7693944e-06,96.40254813453802
0.45,0.010000002,100,0.32687426,97.09621412399821,0.0033268956,136937.73581121964,100,1.0299063,123.338135,0.9825203,4962.917091135816,1.2251778,4962.917091135816,4962.917091135816,496.31,4987.6187,1,4426.643,0.030899901,136937.73581121964,0.012469745,3.2009143e-06,96.92840523255104
0.45,0.01,100,0.34530354,97.38188484602519,0.0036056251,117703.41334115058,100,1.026885,123.899185,0.95768005,4965.618103553315,1.21997,4965.618103553315,4965.618103553315,496.58,4987.564,1,4427.4116,0.036701296,117703.41334115058,0.012738805,4.0016625e-06,96.18931068860648
0.45,0.01,100,0.9986668,100.0,0.009986739,0.007033837333600962,100,1.0,0.083361425,0.99999297,4999.949410674572,1.0004328,4999.949410674572,4999.949410674572,500.0,4999.9497,1,4447.1787,1.4546447e-07,0.007033837333600962,0.010004398,1.4546656e-11,99.99998855582886
0.45,0.01,100,0.9935739,99.99995231630692,0.009935225,0.0017944041508457292,100,1.0000005,0.042086195,1.0000517,4999.960502036996,1.0030835,4999.960502036996,4999.960502036996,500.0,4999.961,1,4447.19,2.3968887e-06,0.0017944041508457292,0.010030316,2.3966415e-10,99.99975968693616
0.45,0.009999998,100,1.0,100.0,0.01,0.0031968605809586837,100,1.0,0.05628165,1.0,4999.9430098765315,1.0,4999.9430098765315,4999.9430098765315,500.0,4999.943,1,4447.172,,0.0031968605809586837,0.01,3.5044917e-18,100.0
0.45,0.01,100,0.9974045,100.0,0.009974389,0.015498248344686237,100,1.0,0.12362615,0.9999655,4999.9392480463985,1.0008053,4999.9392480463985,4999.9392480463985,500.0,4999.94,1,4447.169,2.1078569e-07,0.015498248344686237,0.0100083975,2.1079874e-11,99.99996948137643
0.45,0.01,100,0.9984941,99.99997615814777,0.009983935,0.0017885004189491479,100,1.0000002,0.042076644,1.0001007,4999.963143262261,1.003141,4999.963143262261,4999.963143262261,500.0,4999.9634,1,4447.1924,4.6845912e-07,0.0017885004189491479,0.0100304,4.6836954e-11,99.99994278532755
0.45,0.010000002,100,0.9995934,99.99998807907247,0.009995901,0.001709595217234236,100,1.0000001,0.04113213,1.0000033,4999.956974844514,1.0007361,4999.956974844514,4999.956974844514,500.0,4999.9575,1,4447.1865,8.592328e-08,0.001709595217234236,0.010007328,8.592112e-12,99.99998855594673
0.45,0.009999998,100,1.0,100.0,0.01,0.0027388400204156867,100,1.0,0.052082308,1.0,4999.949336512942,1.0,4999.949336512942,4999.949336512942,500.0,4999.9497,1,4447.1787,,0.0027388400204156867,0.01,3.5044917e-18,100.0
0.45,0.009999998,100,1.0,100.0,0.01,0.002527564197277442,100,1.0,0.050015684,1.0,4999.951902784196,1.0,4999.951902784196,4999.951902784196,500.0,4999.952,1,4447.181,,0.002527564197277442,0.01,3.5044917e-18,100.0
0.45,0.009999998,100,1.0,100.0,0.01,0.0035783842622488966,100,1.0,0.059521146,1.0,4999.945564168746,1.0,4999.945564168746,4999.945564168746,500.0,4999.9453,1,4447.175,,0.0035783842622488966,0.01,3.5044917e-18,100.0
