ESSRenyi,MaxNormIw,IterType,ESSClassic,VarNormIw,EpsThisIter,VarJ,Delta,AvgDiscRet,VarVanillaIw,VarRet,MaxVanillaIw,BatchSize,AvgVanillaIw,MinVanillaIw,eRenyi2,VarDiscRet,AvgRet,VanillaAvgRet,AvgEpLen,J,Bound,MinNormIw,AvgNormIw
5.3461428883455495,0.40007883,1,4.056903170405698,0.0023888228,100,2352.6162,0.7,148.23435896617477,139.81882,83958.67826312238,96.79133,100,2.4193065,1.6324183e-06,18.705074,83958.67826312238,148.23435896617477,148.23435896617477,15.83,1303.4437,799.56085,6.747464e-09,0.009999999
438715.4014921289,0.43294197,,3.7786605141353453,0.0025721616,100,3696.2188,0.7,731.9998603080535,5149628400.0,83958.67826312238,612588.06,200,14149.426,0.010331504,0.0004558764,1158801.4358365121,148.23435896617477,148.23435896617477,15.83,721.46704,-inf,7.3017126e-09,0.01
3.860576040877242,0.7246608,1,1.8054804953596224,0.002758137,100,1936.3977,0.7,85.64497655613805,433.19876,5428.587153545498,287.19077,200,1.9815531,,51.80574,5428.587153545498,85.64497655613805,85.64497655613805,9.57,1604.3014,1011.3436,,0.005000001
200.0,0.01,2,100.0,3.5044917e-18,100,617.42004,0.7,422.23109870865324,,385058.0833880673,1.0,200,1.0,1.0,1.0,385058.0833880673,422.23109870865324,422.23109870865324,43.23,422.23108,94.90723,0.01,0.009999998
11272.183395419901,nan,,nan,nan,100,nan,0.7,528.3214375958618,nan,5428.587153545498,inf,300,inf,0.003482006,0.026614187,434217.8828687895,85.64497655613805,85.64497655613805,9.57,nan,nan,nan,nan
4.169975805155946,0.4715319,1,3.2750531455021616,0.0010100509,100,3876.113,0.7,93.04127644778112,455.0565,7718.7669030193865,316.4988,300,2.23738,2.7091762e-27,71.94286,7718.7669030193865,93.04127644778112,93.04127644778112,10.31,1370.633,800.09705,4.036233e-30,0.0033333332
300.0,0.01,2,100.0,3.5044917e-18,100,1246.4756,0.7,876.3235362254156,,1569395.4726683763,1.0,300,1.0,1.0,1.0,1569395.4726683763,876.3235362254156,876.3235362254156,88.6,876.3235,548.9967,0.01,0.009999998
300.0,0.005,2,200.00000010221265,2.179301e-19,100,1192.2079,0.7,771.0031820331012,,1296436.25239698,1.0,300,1.0,1.0,1.0,1296436.25239698,771.0031820331012,771.0031820331012,78.07,823.6634,592.2084,0.005,0.0049999994
23908972667608.996,1.0,,,0.0033333332,100,2.5402012e-06,0.7,724.0938837987306,inf,7718.7669030193865,3.6911588e+26,400,1.2303863e+24,0.0031595696,1.673012e-11,957439.2930196916,93.04127644778112,93.04127644778112,10.31,1019.46954,-inf,8.559831e-30,0.0033333334
3.902803889702436,0.44315025,1,3.055090644909743,0.00081409165,100,3660.2573,0.7,100.84258601559517,535.24414,8573.591484181843,359.3274,400,2.0271194,,102.49042,8573.591484181843,100.84258601559517,100.84258601559517,11.09,1437.971,848.2297,,0.0025
400.0,0.01,2,100.0,3.5044917e-18,100,1256.6855,0.7,1005.2038372666273,,1595210.5242331182,1.0,400,1.0,1.0,1.0,1595210.5242331182,1005.2038372666273,1005.2038372666273,101.48,1005.20386,677.87805,0.01,0.009999998
400.0,0.005,2,200.00000010221265,2.179301e-19,100,1215.8505,0.7,950.0956115349042,,1389705.1075274597,1.0,400,1.0,1.0,1.0,1389705.1075274597,950.0956115349042,950.0956115349042,95.98,977.6498,746.1955,0.005,0.0049999994
400.0,0.0033333334,2,299.999969473632,5.4391416e-20,100,1337.9376,0.7,1283.7731309969727,,2374920.7651466564,1.0,400,1.0,1.0,1.0,2374920.7651466564,1283.7731309969727,1283.7731309969727,129.29,1079.6909,890.709,0.0033333334,0.0033333336
15.215048064676607,0.11932941,1,18.852658639172148,0.000126674,100,2099.8967,0.7,1046.762328714609,72.17662,1685415.106529157,90.07454,400,1.8870986,,26.289762,1685415.106529157,1046.762328714609,1046.762328714609,105.65,4648.005,3808.8457,,0.0025
400.0,0.01,2,100.0,3.5044917e-18,100,1452.6017,0.7,4123.922261535143,,2131365.4312716993,1.0,400,1.0,1.0,1.0,2131365.4312716993,4123.922261535143,4123.922261535143,412.74,4123.922,3796.595,0.01,0.009999998
400.0,0.005,2,200.00000010221265,2.179301e-19,100,1510.0862,0.7,4025.6223667435765,,2470542.944357328,1.0,400,1.0,1.0,1.0,2470542.944357328,4025.6223667435765,4025.6223667435765,402.92,4074.7722,3843.3171,0.005,0.0049999994
400.0,0.0033333334,2,299.999969473632,5.4391416e-20,100,1535.8724,0.7,4088.1859904778976,,2541284.48762202,1.0,400,1.0,1.0,1.0,2541284.48762202,4088.1859904778976,4088.1859904778976,409.13,4079.244,3890.2617,0.0033333334,0.0033333336
119.3713507608376,0.022439262,1,109.46638231499846,1.6629632e-05,100,226.1071,0.7,3740.9349446026117,2.2713737,3046340.350183293,8.292997,400,0.9239383,9.2124864e-08,3.3508878,3046340.350183293,3740.9349446026117,3740.9349446026117,374.54,4946.804,4647.2114,2.4927224e-10,0.0025
400.0,0.01,2,100.0,3.5044917e-18,100,442.72183,0.7,4911.71165096535,,197982.42836441536,1.0,400,1.0,1.0,1.0,197982.42836441536,4911.71165096535,4911.71165096535,491.24,4911.7114,4584.385,0.01,0.009999998
400.0,0.005,2,200.00000010221265,2.179301e-19,100,360.12537,0.7,4974.956025814211,,61998.00804925966,1.0,400,1.0,1.0,1.0,61998.00804925966,4974.956025814211,4974.956025814211,497.52,4943.3335,4711.8784,0.005,0.0049999994
400.0,0.0033333334,2,299.999969473632,5.4391416e-20,100,353.2343,0.7,4935.363272186127,,116061.11130859665,1.0,400,1.0,1.0,1.0,116061.11130859665,4935.363272186127,4935.363272186127,493.59,4940.677,4751.6943,0.0033333334,0.0033333336
346.36160867278136,0.0044867843,1,347.7400046812669,9.416338e-07,100,131.0463,0.7,4953.130852841281,0.14962223,173190.96663359876,1.7885137,400,0.9965453,0.030566696,1.1548624,173190.96663359876,4953.130852841281,4953.130852841281,495.36,4983.5166,4807.6367,7.668165e-05,0.0025
400.0,0.01,2,100.0,3.5044917e-18,100,29.860792,0.7,4996.87668297185,,900.6724140686696,1.0,400,1.0,1.0,1.0,900.6724140686696,4996.87668297185,4996.87668297185,499.71,4996.8765,4669.55,0.01,0.009999998
400.0,0.005,2,200.00000010221265,2.179301e-19,100,21.166866,0.7,4999.829613686731,,0.04606978933289276,1.0,400,1.0,1.0,1.0,0.04606978933289276,4999.829613686731,4999.829613686731,500.0,4998.3535,4766.8984,0.005,0.0049999994
400.0,0.0033333334,2,299.999969473632,5.4391416e-20,100,17.297783,0.7,4999.879696701309,,0.01383672134017443,1.0,400,1.0,1.0,1.0,0.01383672134017443,4999.879696701309,4999.879696701309,500.0,4998.8623,4809.88,0.0033333334,0.0033333336
386.4027237851456,0.0037368685,1,388.39436616101483,1.8722415e-07,100,239.74234,0.7,4909.131253911894,0.030153655,411554.4808756702,1.4996741,400,1.003296,0.33858788,1.0351894,411554.4808756702,4909.131253911894,4909.131253911894,490.95,4984.304,4817.786,0.0008436889,0.0025
400.0,0.01,2,100.0,3.5044917e-18,100,260.68454,0.7,4973.629390199686,,68642.87222828217,1.0,400,1.0,1.0,1.0,68642.87222828217,4973.629390199686,4973.629390199686,497.39,4973.629,4646.3022,0.01,0.009999998
400.0,0.005,2,200.00000010221265,2.179301e-19,100,184.79698,0.7,4999.835742635577,,0.04948470771542962,1.0,400,1.0,1.0,1.0,0.04948470771542962,4999.835742635577,4999.835742635577,500.0,4986.7324,4755.2773,0.005,0.0049999994
400.0,0.0033333334,2,299.999969473632,5.4391416e-20,100,151.01337,0.7,4999.878931392349,,0.014696405352684122,1.0,400,1.0,1.0,1.0,0.014696405352684122,4999.878931392349,4999.878931392349,500.0,4991.1147,4802.1323,0.0033333334,0.0033333336
383.1438078208106,0.003369162,1,383.860836700327,2.6343446e-07,100,65.2616,0.7,4957.7937462516475,0.04049787,177249.79625420464,1.3209965,400,0.9802115,0.19887751,1.0439944,177249.79625420464,4957.7937462516475,4957.7937462516475,495.8,4995.2637,4828.039,0.00050723116,0.0025000004
400.0,0.01,2,100.0,3.5044917e-18,100,250.88943,0.7,4974.630272837703,,63581.32553089742,1.0,400,1.0,1.0,1.0,63581.32553089742,4974.630272837703,4974.630272837703,497.49,4974.6304,4647.3037,0.01,0.009999998
400.0,0.005,2,200.00000010221265,2.179301e-19,100,229.64694,0.7,4979.1496435505,,42949.20392216414,1.0,400,1.0,1.0,1.0,42949.20392216414,4979.1496435505,4979.1496435505,497.94,4976.8896,4745.4346,0.005,0.0049999994
400.0,0.0033333334,2,299.999969473632,5.4391416e-20,100,187.81842,0.7,4999.861176734798,,0.034814482873403184,1.0,400,1.0,1.0,1.0,0.034814482873403184,4999.861176734798,4999.861176734798,500.0,4984.5474,4795.565,0.0033333334,0.0033333336
377.68684474922543,0.0035127015,1,376.44216798811317,3.9210704e-07,100,64.348564,0.7,4960.882925503487,0.061229672,152139.2576063503,1.3880973,400,0.9879129,0.18650657,1.0590785,152139.2576063503,4960.882925503487,4960.882925503487,496.11,4994.4307,4826.002,0.00047197117,0.0025
400.0,0.01,2,100.0,3.5044917e-18,100,170.13803,0.7,4982.775630688954,,29239.347025486706,1.0,400,1.0,1.0,1.0,29239.347025486706,4982.775630688954,4982.775630688954,498.3,4982.776,4655.449,0.01,0.009999998
400.0,0.005,2,200.00000010221265,2.179301e-19,100,120.609856,0.7,4999.893572807911,,0.010645154826633,1.0,400,1.0,1.0,1.0,0.010645154826633,4999.893572807911,4999.893572807911,500.0,4991.335,4759.88,0.005,0.0049999994
400.0,0.0033333334,2,299.999969473632,5.4391416e-20,100,98.55944,0.7,4999.853099652195,,0.042046221717030575,1.0,400,1.0,1.0,1.0,0.042046221717030575,4999.853099652195,4999.853099652195,500.0,4994.1743,4805.192,0.0033333334,0.0033333336
395.48296707175825,0.0028492936,1,395.16622221384927,7.664266e-08,100,34.49172,0.7,4999.876698444459,0.012152156,0.012148303535272239,1.134563,400,0.9954774,0.40149298,1.0114216,0.012148303535272239,4999.876698444459,4999.876698444459,500.0,4998.151,4833.5557,0.0010082925,0.0025
400.0,0.01,2,100.0,3.5044917e-18,100,0.09862903,0.7,4999.903071053343,,0.009826546332855146,1.0,400,1.0,1.0,1.0,0.009826546332855146,4999.903071053343,4999.903071053343,500.0,4999.903,4672.576,0.01,0.009999998
400.0,0.005,2,200.00000010221265,2.179301e-19,100,0.12375151,0.7,4999.884224871569,,0.020932303351356284,1.0,400,1.0,1.0,1.0,0.020932303351356284,4999.884224871569,4999.884224871569,500.0,4999.8936,4768.4385,0.005,0.0049999994
400.0,0.0033333334,2,299.999969473632,5.4391416e-20,100,0.12120275,0.7,4999.889356890971,,0.013561913098674327,1.0,400,1.0,1.0,1.0,0.013561913098674327,4999.889356890971,4999.889356890971,500.0,4999.8926,4810.91,0.0033333334,0.0033333336
400.0,0.0025,1,400.0,5.434597e-20,100,0.12185248,0.7,4999.886130355162,,0.015453171504421805,1.0,400,1.0,1.0,1.0,0.015453171504421805,4999.886130355162,4999.886130355162,500.0,4999.8906,4836.227,0.0025,0.0024999997
