EpisodesSoFar,entloss,EpThisIter,TimestepsSoFar,DiscEpRewMean,entropy,surrgain,TimeElapsed,optimgain,Step_size,EpRewMean,EpLenMean,meankl,ev_tdlam_before
100,,100,1855,6.610733556747436,0.4189424,0.002059414,6.119129657745361,0.002059414,1.0,170.3141054594102,18.55,0.00092774315,
200,,100,3805,6.801334123611451,0.4189424,0.0033274707,11.375547885894775,0.0033274707,1.0,179.11826403881375,19.5,0.00074013305,
300,,100,5785,8.194955110549927,0.4189424,0.0018617047,16.947633028030396,0.0018617047,1.0,181.8227504998065,19.8,0.00076488935,
400,,100,7834,9.727593116760254,0.4189424,0.0020956302,22.40156626701355,0.0020956302,1.0,188.23590660841742,20.49,0.0009783417,
500,,100,9771,6.516545457839966,0.4189424,0.0020228277,28.035393238067627,0.0020228277,1.0,177.78762237560852,19.37,0.00093484326,
600,,100,11829,9.547560262680054,0.4189424,0.0013864441,33.85145044326782,0.0013864441,1.0,189.09570089483987,20.58,0.0009907968,
700,,100,13907,10.296697883605956,0.4189424,0.002453578,39.774094343185425,0.002453578,1.0,190.8754518340608,20.78,0.0009641734,
800,,100,15967,9.374507150650025,0.4189424,0.0020674511,45.62320828437805,0.0020674511,1.0,189.21746859454328,20.6,0.00095696794,
900,,100,18067,9.343790626525879,0.4189424,0.0028014325,51.27846837043762,0.0028014325,1.0,192.92903022378684,21.0,0.0008626613,
1000,,100,20176,10.867412691116334,0.4189424,0.001457711,56.853731632232666,0.001457711,1.0,193.7614779394458,21.09,0.0009181168,
1100,,100,22247,10.029261112213135,0.4189424,0.0015691253,62.0622832775116,0.0015691253,1.0,190.1943180403411,20.71,0.0009706288,
1200,,100,24397,9.55628137588501,0.4189424,0.0019671023,68.1782341003418,0.0019671023,1.0,197.61404505220386,21.5,0.0009229723,
1300,,100,26601,8.887323818206788,0.4189424,0.002125119,74.42278718948364,0.002125119,1.0,202.63926177699105,22.04,0.00089357316,
1400,,100,28781,9.170032777786254,0.4189424,0.0018318655,80.143794298172,0.0018318655,1.0,200.3861650374658,21.8,0.0007876886,
1500,,100,30893,9.450300493240356,0.4189424,0.0018546053,86.26590132713318,0.0018546053,1.0,193.99355678682696,21.12,0.0009424652,
1600,,100,33115,8.80878300666809,0.4189424,0.0021762464,92.24336433410645,0.0021762464,1.0,204.25052102136544,22.22,0.0009194994,
1700,,100,35406,10.966481704711914,0.4189424,0.0015997937,97.88990330696106,0.0015997937,1.0,210.70546983112658,22.91,0.00077545014,
1800,,100,37689,10.687073640823364,0.4189424,0.0020224173,103.70435523986816,0.0020224173,1.0,210.0531214760335,22.83,0.00094479276,
1900,,100,40046,11.53859136581421,0.4189424,0.0018144458,109.74961423873901,0.0018144458,1.0,216.9561405158853,23.57,0.00092412776,
2000,,100,42451,9.090324926376343,0.4189424,0.0028896863,115.66201877593994,0.0028896863,1.0,221.29076339213157,24.05,0.0008844084,
2100,,100,44917,12.071051959991456,0.4189424,0.0022813196,121.46890807151794,0.0022813196,1.0,227.0138098501366,24.66,0.0009675087,
2200,,100,47345,10.30703112602234,0.4189424,0.0033803883,127.66129302978516,0.0033803883,1.0,223.56978874251507,24.28,0.00097334594,
2300,,100,49820,11.551485376358032,0.4189424,0.0033574041,133.52149176597595,0.0033574041,1.0,227.78965942461372,24.75,0.00095678086,
2400,,100,52284,10.6596688747406,0.4189424,0.0018208075,139.6964647769928,0.0018208075,1.0,226.81844593598464,24.64,0.0009608924,
2500,,100,54841,15.196870679855346,0.4189424,0.0012997519,145.9462375640869,0.0012997519,1.0,235.62287844928258,25.57,0.0008193869,
2600,,100,57393,13.995175924301147,0.4189424,0.001612833,151.92934155464172,0.001612833,1.0,235.139901963189,25.52,0.0009110008,
2700,,100,59887,12.722145071029663,0.4189424,0.0013397443,158.18697595596313,0.0013397443,1.0,229.69804569678797,24.94,0.0009123911,
2800,,100,62500,13.746118698120117,0.4189424,0.0017284891,164.35134196281433,0.0017284891,1.0,240.83928705315373,26.13,0.00086266996,
2900,,100,65058,14.127401885986329,0.4189424,0.002635714,170.5508987903595,0.002635714,1.0,235.68721217931818,25.58,0.0009845842,
3000,,100,67592,12.439527864456176,0.4189424,0.0026635614,176.78088331222534,0.0026635614,1.0,233.4663292164647,25.34,0.00093378656,
3100,,100,70214,12.96325572013855,0.4189424,0.0027215772,183.24536323547363,0.0027215772,1.0,241.64612228361736,26.22,0.0009875204,
3200,,100,72745,14.9213277053833,0.4189424,0.0021549328,190.62261390686035,0.0021549328,1.0,233.1296613433684,25.31,0.00091269775,
3300,,100,75350,13.338995504379273,0.4189424,0.002086645,196.93650484085083,0.002086645,1.0,240.1015381168151,26.05,0.0009690132,
