EpisodesSoFar,DiscEpRewMean,EpRewMean,EpThisIter,optimgain,entropy,EpLenMean,meankl,entloss,TimestepsSoFar,TimeElapsed,ev_tdlam_before,surrgain,Step_size
100,7.2605668067932125,181.88798982189132,100,0.0028068812,0.4189424,19.8,0.00069266825,,1980,72.30253219604492,,0.0028068812,1.0
200,7.266051950454712,165.76245258706942,100,0.0018334045,0.4189424,18.06,0.00089441764,,3786,135.62451124191284,,0.0018334045,1.0
300,7.4450063896179195,177.7925056291294,100,0.0022724362,0.4189424,19.37,0.0009575116,,5723,162.43881607055664,,0.0022724362,1.0
400,5.750911178588868,170.62620746706332,100,0.0010321666,0.4189424,18.6,0.00086970336,,7583,215.59943437576294,,0.0010321666,1.0
500,6.411107749938965,179.91801037851184,100,0.0019923854,0.4189424,19.59,0.00096961134,,9542,253.6134786605835,,0.0019923854,1.0
600,6.5923481464385985,175.28742119031634,100,0.001590318,0.4189424,19.1,0.0009014145,,11452,309.7443470954895,,0.001590318,1.0
700,10.55698917388916,189.5153210354162,100,0.002339079,0.4189424,20.62,0.00095981173,,13514,348.9768123626709,,0.002339079,1.0
800,5.379363250732422,177.86903677115006,100,0.0018506999,0.4189424,19.38,0.00093966036,,15452,389.33269000053406,,0.0018506999,1.0
900,6.964232320785523,180.94659667424077,100,0.0018019403,0.4189424,19.72,0.0009546827,,17424,409.0515651702881,,0.0018019403,1.0
1000,5.677518148422241,175.7380495871673,100,0.0013647738,0.4189424,19.15,0.0009513991,,19339,454.639004945755,,0.0013647738,1.0
1100,8.61993803024292,192.00186317965395,100,0.00258333,0.4189424,20.89,0.00091620645,,21428,503.4997901916504,,0.00258333,1.0
1200,9.54899130821228,185.56288119810114,100,0.0010664744,0.4189424,20.21,0.0007934133,,23449,524.2944686412811,,0.0010664744,1.0
1300,9.369590959548951,190.20061936345402,100,0.0022711651,0.4189424,20.7,0.00095023314,,25519,560.5785949230194,,0.0022711651,1.0
1400,9.930192432403565,202.28269019554747,100,0.002388568,0.4189424,21.99,0.00094029197,,27718,578.9585225582123,,0.002388568,1.0
1500,8.994109535217286,204.58397783885695,100,0.0022224893,0.4189424,22.25,0.0009759881,,29943,616.5372219085693,,0.0022224893,1.0
1600,9.162786493301391,206.4822628468172,100,0.0021553966,0.4189424,22.45,0.0009075406,,32188,638.151294708252,,0.0021553966,1.0
1700,10.778721113204956,205.21094019424007,100,0.002383343,0.4189424,22.32,0.0009859734,,34420,695.812123298645,,0.002383343,1.0
1800,9.915873937606811,202.73453686538275,100,0.0025147318,0.4189424,22.06,0.0009657428,,36626,729.8303859233856,,0.0025147318,1.0
1900,9.17331293106079,227.16953434658564,100,0.0015831824,0.4189424,24.67,0.0009796771,,39093,761.24889087677,,0.0015831824,1.0
2000,9.94334909439087,222.47850159575563,100,0.0019322998,0.4189424,24.17,0.0009429416,,41510,795.7798511981964,,0.0019322998,1.0
2100,10.853426179885865,220.31808527122678,100,0.002220081,0.4189424,23.94,0.0009517741,,43904,830.5490992069244,,0.002220081,1.0
2200,14.040445718765259,218.39409982188226,100,0.0025934472,0.4189424,23.73,0.0009748462,,46277,882.6416494846344,,0.0025934472,1.0
2300,9.550377159118652,214.87720178878263,100,0.0024411909,0.4189424,23.36,0.00092873443,,48613,901.8527512550354,,0.0024411909,1.0
2400,10.115104207992553,212.42013961265212,100,0.0015248578,0.4189424,23.09,0.00083016825,,50922,945.8492777347565,,0.0015248578,1.0
2500,11.967542419433594,216.2103372961902,100,0.002158263,0.4189424,23.5,0.00094081863,,53272,978.612096786499,,0.002158263,1.0
2600,12.165029525756836,216.83685160773163,100,0.0023763657,0.4189424,23.55,0.00088304374,,55627,1025.6475551128387,,0.0023763657,1.0
2700,9.560514230728149,225.85140281016308,100,0.002946141,0.4189424,24.52,0.00088215456,,58079,1059.4657504558563,,0.002946141,1.0
2800,10.56105604171753,221.0226607610393,100,0.0023930047,0.4189424,24.02,0.0009789678,,60481,1090.2992408275604,,0.0023930047,1.0
