ev_tdlam_before,meankl,optimgain,entropy,TimeElapsed,DiscEpRewMean,EpRewMean,surrgain,EpLenMean,entloss,EpThisIter,TimestepsSoFar,EpisodesSoFar,Step_size
,0.0009176808,0.002532318,0.4189424,6.2936272621154785,5.9606303787231445,167.2117438699792,0.002532318,18.22,,100,1822,100,1.0
,0.00071422086,0.0013171942,0.4189424,11.842892408370972,6.05332594871521,169.87232156403917,0.0013171942,18.51,,100,3673,200,1.0
,0.00087163394,0.0029284793,0.4189424,17.40633749961853,8.445208129882813,186.27450694529318,0.0029284793,20.27,,100,5700,300,1.0
,0.0009148272,0.0021565834,0.4189424,23.200295448303223,10.48234808921814,196.4394287262842,0.0021565834,21.37,,100,7837,400,1.0
,0.00089615874,0.0017308265,0.4189424,28.742388248443604,10.864530458450318,190.2819130961803,0.0017308265,20.71,,100,9908,500,1.0
,0.00092136237,0.0023153152,0.4189424,34.650551080703735,9.522811765670776,186.46989125947132,0.0023153152,20.3,,100,11938,600,1.0
,0.00096705987,0.002170316,0.4189424,40.550508975982666,8.162444372177124,197.96328294093277,0.002170316,21.55,,100,14093,700,1.0
,0.0009863741,0.0016524091,0.4189424,46.39967203140259,10.940742921829223,206.93836007010302,0.0016524091,22.51,,100,16344,800,1.0
,0.0008594373,0.0018089749,0.4189424,52.439547300338745,11.608540000915527,204.24386025193013,0.0018089749,22.2,,100,18564,900,1.0
,0.0009537532,0.0017982468,0.4189424,58.60620737075806,10.865562086105347,207.21249205345728,0.0017982468,22.53,,100,20817,1000,1.0
,0.00094241614,0.0016548596,0.4189424,64.94386410713196,9.33826319694519,198.11182048581918,0.0016548596,21.55,,100,22972,1100,1.0
,0.0009083548,0.002536734,0.4189424,70.82069945335388,10.877638320922852,214.64744314070572,0.002536734,23.32,,100,25304,1200,1.0
,0.0009686885,0.003286522,0.4189424,77.18885087966919,10.121108503341675,202.78440949431067,0.003286522,22.05,,100,27509,1300,1.0
,0.0009894158,0.0028649347,0.4189424,83.86949372291565,9.36346869468689,206.48489220105603,0.0028649347,22.45,,100,29754,1400,1.0
,0.0009090324,0.0015597101,0.4189424,89.81599617004395,12.300703153610229,214.9872728920196,0.0015597101,23.35,,100,32089,1500,1.0
,0.0009966887,0.0018913939,0.4189424,96.66059684753418,10.293640575408936,221.7251621816141,0.0018913939,24.1,,100,34499,1600,1.0
,0.00087611953,0.0031809206,0.4189424,103.48696112632751,10.966168699264527,220.3937920747652,0.0031809206,23.94,,100,36893,1700,1.0
,0.0009357524,0.0022577764,0.4189424,109.92706441879272,11.329949703216553,228.27869563236212,0.0022577764,24.79,,100,39372,1800,1.0
,0.0009375492,0.0018821014,0.4189424,116.63464689254761,12.65206548690796,224.01381296827148,0.0018821014,24.34,,100,41806,1900,1.0
,0.0009665427,0.0018127322,0.4189424,123.24099445343018,12.526374626159669,232.23187487736752,0.0018127322,25.21,,100,44327,2000,1.0
,0.00079337216,0.0018953261,0.4189424,129.8974905014038,11.04942406654358,226.5774854304621,0.0018953261,24.6,,100,46787,2100,1.0
,0.0009127397,0.00252802,0.4189424,136.83858633041382,14.084912929534912,233.03054140858717,0.00252802,25.31,,100,49318,2200,1.0
,0.0009179852,0.0019135568,0.4189424,143.56113934516907,12.89181007385254,235.59211760318576,0.0019135568,25.57,,100,51875,2300,1.0
,0.0008752861,0.0021263678,0.4189424,150.78166222572327,12.23075577735901,235.56301228957477,0.0021263678,25.55,,100,54430,2400,1.0
,0.00097035774,0.0024934625,0.4189424,157.75728034973145,15.214307594299317,251.9419802334649,0.0024934625,27.32,,100,57162,2500,1.0
,0.0009333155,0.0022286437,0.4189424,164.18808388710022,12.318339824676514,233.240620823381,0.0022286437,25.33,,100,59695,2600,1.0
,0.0009837255,0.0017414053,0.4189424,171.02724027633667,10.862746639251709,227.30289355055106,0.0017414053,24.69,,100,62164,2700,1.0
,0.0009357795,0.0027691487,0.4189424,177.98350167274475,15.415096206665039,233.01643162395746,0.0027691487,25.27,,100,64691,2800,1.0
,0.0009808665,0.0024989324,0.4189424,185.0105607509613,14.815370807647705,226.86301201547548,0.0024989324,24.63,,100,67154,2900,1.0
,0.0009307414,0.0028773304,0.4189424,191.7411127090454,10.377635736465454,226.7744660024456,0.0028773304,24.63,,100,69617,3000,1.0
,0.0009953582,0.0017256195,0.4189424,198.3808696269989,14.012264080047608,236.07780900698057,0.0017256195,25.63,,100,72180,3100,1.0
,0.0009110861,0.0018511157,0.4189424,204.7112114429474,15.031249313354492,232.77462210203348,0.0018511157,25.26,,100,74706,3200,1.0
,0.0008123683,0.0024010967,0.4189424,211.53574895858765,15.248295412063598,238.7006834720792,0.0024010967,25.89,,100,77295,3300,1.0
,0.0009734987,0.0021997553,0.4189424,218.91299533843994,13.936625432968139,242.9895742241615,0.0021997553,26.35,,100,79930,3400,1.0
,0.0009427896,0.0032332058,0.4189424,225.90086793899536,14.087504596710206,236.67742819810894,0.0032332058,25.69,,100,82499,3500,1.0
,0.0009584203,0.0023914736,0.4189424,232.6949441432953,15.98021842956543,247.40051683610042,0.0023914736,26.85,,100,85184,3600,1.0
,0.000981743,0.0035841842,0.4189424,239.82408928871155,14.440577011108399,242.0434320488803,0.0035841842,26.25,,100,87809,3700,1.0
,0.00097156054,0.001531274,0.4189424,246.60000658035278,15.331734580993652,239.11556453473204,0.001531274,25.96,,100,90405,3800,1.0
,0.00097296346,0.0026564135,0.4189424,253.64812421798706,13.263253774642944,244.50391243824168,0.0026564135,26.51,,100,93056,3900,1.0
,0.0009489577,0.0026066278,0.4189424,260.393435716629,12.120473175048827,236.45791883010978,0.0026066278,25.66,,100,95622,4000,1.0
,0.0009371542,0.003083899,0.4189424,267.20132994651794,14.7413694190979,241.83780580477435,0.003083899,26.24,,100,98246,4100,1.0
,0.000923217,0.0026521299,0.4189424,273.8664846420288,14.925331745147705,255.30402380885786,0.0026521299,27.68,,100,101014,4200,1.0
,0.0008709308,0.0015460068,0.4189424,280.98359060287476,15.17472222328186,242.92216408741035,0.0015460068,26.36,,100,103650,4300,1.0
,0.00097404054,0.0023050718,0.4189424,287.86667370796204,17.54198103904724,250.54242300019646,0.0023050718,27.17,,100,106367,4400,1.0
,0.00090805284,0.00219654,0.4189424,294.96294498443604,15.231349935531616,248.72833789301126,0.00219654,26.99,,100,109066,4500,1.0
,0.0007144516,0.0011157775,0.4189424,302.20367074012756,15.196585607528686,238.01309807159424,0.0011157775,25.83,,100,111649,4600,1.0
,0.0009745319,0.0021596735,0.4189424,309.55880427360535,14.736177139282226,246.95560395982753,0.0021596735,26.8,,100,114329,4700,1.0
,0.00094954885,0.0021624407,0.4189424,316.3788151741028,13.891125755310059,240.3578684449957,0.0021624407,26.09,,100,116938,4800,1.0
,0.00096838747,0.0023824102,0.4189424,322.9320216178894,13.731171436309815,240.9946229222128,0.0023824102,26.16,,100,119554,4900,1.0
,0.0008821355,0.0011216889,0.4189424,329.6080689430237,15.144444398880005,244.23126484410955,0.0011216889,26.49,,100,122203,5000,1.0
,0.00094671844,0.0022195873,0.4189424,336.7081243991852,13.730065422058106,240.28707442049182,0.0022195873,26.07,,100,124810,5100,1.0
,0.00096416625,0.0029831347,0.4189424,343.65032267570496,13.990627613067627,246.80853491324604,0.0029831347,26.79,,100,127489,5200,1.0
,0.00091337477,0.001363603,0.4189424,350.57922649383545,15.11700831413269,255.77541950642214,0.001363603,27.73,,100,130262,5300,1.0
,0.0007692669,0.0016156838,0.4189424,357.7610242366791,14.399460153579712,251.21965100130075,0.0016156838,27.25,,100,132987,5400,1.0
,0.0009504625,0.0022097826,0.4189424,365.17404556274414,15.32992639541626,251.97041459310273,0.0022097826,27.34,,100,135721,5500,1.0
,0.0007805011,0.0022058764,0.4189424,372.2494237422943,12.951075820922851,249.82731772421357,0.0022058764,27.11,,100,138432,5600,1.0
,0.00093758386,0.0014830069,0.4189424,379.5472288131714,16.52396308898926,248.33918301286138,0.0014830069,26.93,,100,141125,5700,1.0
,0.00094400987,0.002581775,0.4189424,387.1103265285492,13.166250972747802,241.62989459394927,0.002581775,26.23,,100,143748,5800,1.0
,0.0009499669,0.0022323017,0.4189424,393.61890482902527,15.110495138168336,251.73313664374993,0.0022323017,27.3,,100,146478,5900,1.0
,0.00090464856,0.0027294601,0.4189424,400.1663694381714,14.271263418197632,246.88158457275665,0.0027294601,26.78,,100,149156,6000,1.0
,0.0008637784,0.0026734066,0.4189424,405.9682619571686,18.807146492004396,255.37659787212192,0.0026734066,27.68,,100,151924,6100,1.0
,0.0009403226,0.0016370526,0.4189424,412.1352536678314,17.34473470687866,268.435308068893,0.0016370526,29.1,,100,154834,6200,1.0
,0.0009481323,0.002623114,0.4189424,419.1896643638611,14.279831104278564,249.2185803286837,0.002623114,27.03,,100,157537,6300,1.0
,0.0009792305,0.0028684442,0.4189424,426.2919330596924,14.543642234802245,266.3048857780572,0.0028684442,28.86,,100,160423,6400,1.0
,0.0008746608,0.0026188428,0.4189424,433.40357661247253,15.304313135147094,253.14102911619204,0.0026188428,27.46,,100,163169,6500,1.0
,0.00093768735,0.0014405502,0.4189424,439.4496672153473,13.554669885635375,249.69220760227017,0.0014405502,27.08,,100,165877,6600,1.0
,0.0008333505,0.0030844065,0.4189424,446.49243903160095,17.455768995285034,252.1526993152736,0.0030844065,27.34,,100,168611,6700,1.0
,0.00073804567,0.0008745009,0.4189424,453.2950155735016,13.049417123794555,243.5917056659459,0.0008745009,26.43,,100,171254,6800,1.0
,0.0008750421,0.0013557294,0.4189424,459.79447770118713,14.16833293914795,247.62792800548846,0.0013557294,26.87,,100,173941,6900,1.0
,0.0009053392,0.0020345673,0.4189424,466.3132395744324,13.724139566421508,260.6531970171042,0.0020345673,28.26,,100,176767,7000,1.0
,0.00095747993,0.0023268054,0.4189424,473.1872069835663,13.61041319847107,261.20014740280175,0.0023268054,28.3,,100,179597,7100,1.0
,0.000847626,0.0012935682,0.4189424,480.2725872993469,15.732324743270874,247.2925677659762,0.0012935682,26.83,,100,182280,7200,1.0
,0.0009853017,0.0021361508,0.4189424,487.55349802970886,14.387107419967652,259.1569720865826,0.0021361508,28.07,,100,185087,7300,1.0
,0.0006447688,0.0014075012,0.4189424,494.9508192539215,14.085886535644532,255.38584975361854,0.0014075012,27.7,,100,187857,7400,1.0
,0.0008659561,0.0018689771,0.4189424,502.20536041259766,13.065084457397461,254.56230189502406,0.0018689771,27.59,,100,190616,7500,1.0
,0.0009124687,0.0027206952,0.4189424,509.46439576148987,14.836526489257812,251.92641417622576,0.0027206952,27.32,,100,193348,7600,1.0
,0.0008190041,0.0019996332,0.4189424,516.7939143180847,16.896296911239624,253.41614937313162,0.0019996332,27.48,,100,196096,7700,1.0
,0.00089500943,0.0022289855,0.4189424,522.8668723106384,14.37748155593872,251.4018364295037,0.0022289855,27.28,,100,198824,7800,1.0
,0.00093113095,0.0021612467,0.4189424,530.0313014984131,16.618920431137084,256.4745730257256,0.0021612467,27.82,,100,201606,7900,1.0
,0.00095666037,0.002419986,0.4189424,536.9864099025726,16.42605968475342,258.2148594577475,0.002419986,27.99,,100,204405,8000,1.0
,0.00093997706,0.0027218808,0.4189424,543.5095751285553,16.62908793449402,263.5072521311388,0.0027218808,28.57,,100,207262,8100,1.0
,0.00094871386,0.0016466291,0.4189424,550.6694648265839,17.5506272315979,258.6486685639756,0.0016466291,28.05,,100,210067,8200,1.0
,0.00097103545,0.0023176847,0.4189424,557.6099750995636,17.88417037963867,261.51086458098774,0.0023176847,28.35,,100,212902,8300,1.0
,0.0009544182,0.0025234444,0.4189424,565.0639023780823,18.323609170913695,259.2580785471877,0.0025234444,28.09,,100,215711,8400,1.0
,0.0009695978,0.001740462,0.4189424,572.2846786975861,17.409522132873533,254.2658033761611,0.001740462,27.58,,100,218469,8500,1.0
,0.0009862143,0.0022392508,0.4189424,579.6380815505981,16.823298349380494,265.87165848559505,0.0022392508,28.81,,100,221350,8600,1.0
,0.0009837898,0.0029842078,0.4189424,587.1865286827087,13.331413993835449,251.68129127242642,0.0029842078,27.3,,100,224080,8700,1.0
,0.00079157046,0.0019934655,0.4189424,594.8928480148315,15.980759239196777,261.1105502637124,0.0019934655,28.31,,100,226911,8800,1.0
,0.0009077343,0.00173609,0.4189424,601.8640308380127,17.33992663383484,262.4500443974053,0.00173609,28.43,,100,229754,8900,1.0
,0.0008872613,0.0022922035,0.4189424,608.905544757843,15.619991455078125,250.39139775492558,0.0022922035,27.17,,100,232471,9000,1.0
,0.0008571037,0.0016260456,0.4189424,616.1483044624329,15.06186936378479,272.02595129256156,0.0016260456,29.47,,100,235418,9100,1.0
,0.0008575096,0.0028123779,0.4189424,623.4073066711426,17.256381511688232,265.28630542972553,0.0028123779,28.75,,100,238293,9200,1.0
,0.00082034315,0.0025235235,0.4189424,630.4983522891998,13.839665269851684,261.7857575349736,0.0025235235,28.37,,100,241130,9300,1.0
,0.0009426347,0.0016701387,0.4189424,637.4167015552521,15.094233951568604,257.8562886415055,0.0016701387,27.95,,100,243925,9400,1.0
,0.0008080187,0.0012177344,0.4189424,644.3573734760284,16.62097701072693,262.9001724780086,0.0012177344,28.49,,100,246774,9500,1.0
,0.0007886287,0.0018603723,0.4189424,651.5808305740356,15.012693643569946,268.5995051161807,0.0018603723,29.12,,100,249686,9600,1.0
,0.0008889495,0.001980164,0.4189424,658.9248855113983,17.852229175567626,264.92159431884653,0.001980164,28.7,,100,252556,9700,1.0
,0.0009870615,0.0025913734,0.4189424,666.5394756793976,18.124884338378905,274.0635342544219,0.0025913734,29.69,,100,255525,9800,1.0
,0.0009181105,0.0018849835,0.4189424,673.9054160118103,17.138344316482545,270.7654462353336,0.0018849835,29.35,,100,258460,9900,1.0
,0.00091588637,0.002014284,0.4189424,680.6643869876862,17.427617073059082,263.2327800356151,0.002014284,28.53,,100,261313,10000,1.0
,0.0009236352,0.0012828168,0.4189424,687.5045256614685,16.064518327713014,256.44680998381676,0.0012828168,27.81,,100,264094,10100,1.0
,0.0008904958,0.0013966149,0.4189424,694.682939529419,12.4840829372406,265.61718505331197,0.0013966149,28.79,,100,266973,10200,1.0
,0.0009934157,0.002058234,0.4189424,702.0481941699982,15.330929746627808,263.4260113943439,0.002058234,28.55,,100,269828,10300,1.0
,0.0009635599,0.003074082,0.4189424,709.1584243774414,18.9467879486084,267.6831431933345,0.003074082,29.01,,100,272729,10400,1.0
,0.0009780776,0.002667108,0.4189424,715.7482159137726,16.182251586914063,261.3641311434012,0.002667108,28.33,,100,275562,10500,1.0
,0.00090081635,0.002296673,0.4189424,722.6193940639496,18.958484649658203,266.6162846337663,0.002296673,28.89,,100,278451,10600,1.0
,0.00091550394,0.0020336774,0.4189424,730.2165043354034,14.72927128791809,262.9717419739025,0.0020336774,28.5,,100,281301,10700,1.0
,0.0009620668,0.0014487696,0.4189424,737.336442232132,16.379438047409057,277.3924729526133,0.0014487696,30.04,,100,284305,10800,1.0
