EpLenMean,surrgain,TimeElapsed,entropy,Step_size,EpRewMean,TimestepsSoFar,optimgain,DiscEpRewMean,entloss,EpThisIter,ev_tdlam_before,EpisodesSoFar,meankl
17.9,0.0021173456,5.863856077194214,0.4189424,1.0,164.17382113108704,1790,0.0021173456,5.584036445617675,,100,,100,0.00094089843
18.89,0.0018922348,11.80631160736084,0.4189424,1.0,173.41350715065857,3679,0.0018922348,6.673512649536133,,100,,200,0.0009294708
19.48,0.0029359923,17.535613536834717,0.4189424,1.0,178.8819038234659,5627,0.0029359923,7.7313926219940186,,100,,300,0.00081163755
19.67,0.0016469352,23.323397159576416,0.4189424,1.0,180.6364709426338,7594,0.0016469352,7.819068527221679,,100,,400,0.0009559787
20.39,0.0025364445,29.33131742477417,0.4189424,1.0,187.34839886155973,9633,0.0025364445,10.671447067260742,,100,,500,0.0009804412
19.48,0.0016157285,35.09280252456665,0.4189424,1.0,178.85825319289432,11581,0.0016157285,6.509766511917114,,100,,600,0.0007498901
21.05,0.0022219268,40.76693248748779,0.4189424,1.0,193.47830103954522,13686,0.0022219268,10.04024390220642,,100,,700,0.00087757467
21.98,0.0017868128,46.766536712646484,0.4189424,1.0,202.1882113745179,15884,0.0017868128,9.101639289855957,,100,,800,0.0008712703
21.63,0.001688124,52.73571825027466,0.4189424,1.0,198.79260653297743,18047,0.001688124,10.214275789260864,,100,,900,0.00092653336
23.3,0.0014285144,58.55463933944702,0.4189424,1.0,214.416149118624,20377,0.0014285144,9.82196928024292,,100,,1000,0.0009122207
22.7,0.002191905,65.0122320652008,0.4189424,1.0,208.77717033380736,22647,0.002191905,9.460444583892823,,100,,1100,0.000922814
23.02,0.00286217,70.75180554389954,0.4189424,1.0,211.78980345504434,24949,0.00286217,10.868658199310303,,100,,1200,0.00096129515
22.8,0.0022196674,76.37295198440552,0.4189424,1.0,209.79226097861792,27229,0.0022196674,10.77170394897461,,100,,1300,0.0009886302
22.67,0.0019702793,82.18604731559753,0.4189424,1.0,208.56286398518435,29496,0.0019702793,11.991654901504516,,100,,1400,0.0008430574
