EpLenMean,EpThisIter,entropy,meankl,surrgain,EpRewMean,Step_size,entloss,TimestepsSoFar,DiscEpRewMean,TimeElapsed,optimgain,ev_tdlam_before,EpisodesSoFar
18.63,100,0.4189424,0.0008954975,0.0022264216,171.07752032384667,1.0,,1863,6.974021730422973,8.915973663330078,0.0022264216,,100
18.8,100,0.4189424,0.000913552,0.0015429931,172.5621051284773,1.0,,3743,9.602096586227416,17.24481725692749,0.0015429931,,200
18.36,100,0.4189424,0.0009585888,0.0015928454,168.48653972475043,1.0,,5579,6.883356418609619,26.16028618812561,0.0015928454,,300
18.78,100,0.4189424,0.0009278822,0.0024537847,172.3451858484772,1.0,,7457,8.575434246063232,42.51243853569031,0.0024537847,,400
19.78,100,0.4189424,0.0009766557,0.0015714501,181.7433384415139,1.0,,9435,8.664199104309082,53.739320278167725,0.0015714501,,500
19.24,100,0.4189424,0.000891594,0.0018444775,176.6014069474798,1.0,,11359,6.600893297195435,66.90836071968079,0.0018444775,,600
21.77,100,0.4189424,0.00094608084,0.0027017335,200.200374164479,1.0,,13536,11.785554361343383,88.75933980941772,0.0027017335,,700
20.69,100,0.4189424,0.0009631003,0.0019410541,190.10814601823876,1.0,,15605,10.300119218826294,118.43277311325073,0.0019410541,,800
21.43,100,0.4189424,0.0009370042,0.0025521717,196.9451980472767,1.0,,17748,9.09385754585266,168.223952293396,0.0025521717,,900
21.38,100,0.4189424,0.0009542346,0.0021631946,196.47400181850455,1.0,,19886,9.845479707717896,213.3266463279724,0.0021631946,,1000
20.95,100,0.4189424,0.00094656966,0.0026957472,192.44164402717774,1.0,,21981,9.555424909591675,251.20249009132385,0.0026957472,,1100
22.35,100,0.4189424,0.0008038326,0.0021131777,205.51051462925693,1.0,,24216,10.966808681488038,271.5388431549072,0.0021131777,,1200
23.32,100,0.4189424,0.0007408113,0.0022340093,214.6553727416318,1.0,,26548,12.133201818466187,304.7367444038391,0.0022340093,,1300
24.12,100,0.4189424,0.000945006,0.0029702887,221.95959633058774,1.0,,28960,10.851016063690185,342.4726548194885,0.0029702887,,1400
22.21,100,0.4189424,0.000894087,0.0013826343,204.29646072270643,1.0,,31181,9.649237804412842,367.6934759616852,0.0013826343,,1500
22.68,100,0.4189424,0.00088946114,0.0011550415,208.60841953272066,1.0,,33449,9.536398344039917,399.2621030807495,0.0011550415,,1600
24.24,100,0.4189424,0.000654702,0.001364065,223.2313800029673,1.0,,35873,10.028671712875367,427.7514088153839,0.001364065,,1700
24.24,100,0.4189424,0.0008618377,0.0021175665,223.1837643292425,1.0,,38297,10.59654146194458,455.78751134872437,0.0021175665,,1800
24.97,100,0.4189424,0.0009132745,0.0020802259,230.05819434935668,1.0,,40794,10.863524045944214,490.421142578125,0.0020802259,,1900
24.94,100,0.4189424,0.0009751608,0.0021117846,229.7528334033341,1.0,,43288,11.315434322357177,521.5566947460175,0.0021117846,,2000
24.73,100,0.4189424,0.00086746004,0.0029166802,227.75376953823704,1.0,,45761,11.51702525138855,542.9824566841125,0.0029166802,,2100
23.92,100,0.4189424,0.0009168621,0.0017580774,220.13453490000146,1.0,,48153,9.653923139572143,578.5181465148926,0.0017580774,,2200
25.14,100,0.4189424,0.00096930814,0.0034855723,231.53995437866254,1.0,,50667,13.386735496520997,611.2000467777252,0.0034855723,,2300
25.78,100,0.4189424,0.0009731616,0.0028669569,237.5098809032454,1.0,,53245,14.93550889968872,635.0047821998596,0.0028669569,,2400
25.38,100,0.4189424,0.0009000322,0.0012988391,233.72864875812647,1.0,,55783,12.426813449859619,671.6689050197601,0.0012988391,,2500
25.43,100,0.4189424,0.00097196596,0.00206448,234.20960784320738,1.0,,58326,14.93531922340393,686.3832724094391,0.00206448,,2600
25.67,100,0.4189424,0.00095404265,0.0023851758,236.54062782486315,1.0,,60893,15.115655965805054,727.0807173252106,0.0023851758,,2700
25.67,100,0.4189424,0.00093219144,0.0022381418,236.44228371959164,1.0,,63460,12.601417417526244,745.0869071483612,0.0022381418,,2800
26.66,100,0.4189424,0.000984571,0.0020121764,245.75762636654136,1.0,,66126,18.221830530166628,782.9337739944458,0.0020121764,,2900
25.97,100,0.4189424,0.0008442507,0.0034642315,239.26621821492915,1.0,,68723,14.650753917694091,811.4600794315338,0.0034642315,,3000
27.22,100,0.4189424,0.00090787606,0.0022073938,250.88530516604715,1.0,,71445,13.904527053833007,843.624226808548,0.0022073938,,3100
26.87,100,0.4189424,0.0009525544,0.0023713005,247.76574751986297,1.0,,74132,13.70585973739624,870.9659221172333,0.0023713005,,3200
26.72,100,0.4189424,0.0008505253,0.0018592349,246.2948618583398,1.0,,76804,15.398472356796265,885.1915581226349,0.0018592349,,3300
27.3,100,0.4189424,0.0009865793,0.0030699938,251.87405065419537,1.0,,79534,14.198355083465577,925.5928540229797,0.0030699938,,3400
27.44,100,0.4189424,0.00095028686,0.002147802,253.0531279969033,1.0,,82278,15.19061749458313,945.0731477737427,0.002147802,,3500
27.09,100,0.4189424,0.00097487273,0.0021051038,249.7095202388613,1.0,,84987,14.475724620819092,982.5536651611328,0.0021051038,,3600
27.03,100,0.4189424,0.00081302447,0.0015834875,249.2241049458922,1.0,,87690,16.816853485107423,1007.0806047916412,0.0015834875,,3700
26.86,100,0.4189424,0.0009800979,0.002450618,247.64511932068194,1.0,,90376,16.917000160217285,1033.9081885814667,0.002450618,,3800
