EpisodesSoFar,entropy,EpRewMean,optimgain,EpThisIter,ev_tdlam_before,EpLenMean,meankl,surrgain,entloss,TimestepsSoFar,Step_size,DiscEpRewMean,TimeElapsed
100,0.4189424,162.05268577450107,0.0017300629,100,,17.67,0.00090929086,0.0017300629,,1767,1.0,6.8867183017730715,8.083780288696289
200,0.4189424,164.7579484492534,0.0015692486,100,,17.96,0.0009433811,0.0015692486,,3563,1.0,5.760993700027466,16.299630403518677
300,0.4189424,165.6268619689849,0.0025990917,100,,18.05,0.0009786701,0.0025990917,,5368,1.0,6.333247289657593,23.828346014022827
400,0.4189424,181.11022307916656,0.003038743,100,,19.71,0.0009345876,0.003038743,,7339,1.0,7.351266994476318,31.340141534805298
500,0.4189424,178.27078338644114,0.0031656052,100,,19.4,0.00095291465,0.0031656052,,9279,1.0,7.829848937988281,39.22071599960327
600,0.4189424,181.58033523268833,0.0014789203,100,,19.76,0.00079429045,0.0014789203,,11255,1.0,6.6018537998199465,47.320396423339844
700,0.4189424,192.07953222110402,0.0012603073,100,,20.88,0.00086994184,0.0012603073,,13343,1.0,11.330394248962403,55.47026348114014
800,0.4189424,191.43457133479717,0.00181081,100,,20.83,0.00072233495,0.00181081,,15426,1.0,9.079930343627929,63.01041316986084
900,0.4189424,199.55157174985442,0.0019019864,100,,21.7,0.00092591223,0.0019019864,,17596,1.0,9.189469337463379,71.10213828086853
1000,0.4189424,207.02804892658645,0.002785074,100,,22.5,0.0009680211,0.002785074,,19846,1.0,8.915588445663452,79.51974701881409
1100,0.4189424,199.38191468877946,0.001874989,100,,21.68,0.00085221627,0.001874989,,22014,1.0,10.696275453567505,87.71025109291077
1200,0.4189424,202.0511000305931,0.0019961477,100,,21.97,0.0009379131,0.0019961477,,24211,1.0,10.019351406097412,96.38398599624634
1300,0.4189424,204.02893711988395,0.0027618376,100,,22.18,0.0008300605,0.0027618376,,26429,1.0,9.366195774078369,104.71405482292175
1400,0.4189424,214.92755745680333,0.0018701263,100,,23.35,0.0008406375,0.0018701263,,28764,1.0,10.696878490447999,113.08824610710144
1500,0.4189424,231.42635439766428,0.002599063,100,,25.11,0.00089728914,0.002599063,,31275,1.0,12.71880744934082,121.90754532814026
1600,0.4189424,219.5649853168208,0.0027984087,100,,23.86,0.00094682485,0.0027984087,,33661,1.0,11.21426339149475,130.4961473941803
1700,0.4189424,232.43522363568357,0.0014778894,100,,25.22,0.0009069978,0.0014778894,,36183,1.0,12.978642377853394,140.4422264099121
