EpisodesSoFar,ev_tdlam_before,meankl,entloss,surrgain,Step_size,TimestepsSoFar,EpRewMean,EpLenMean,TimeElapsed,EpThisIter,DiscEpRewMean,optimgain,entropy
100,,0.0007893949,,0.0031957263,1.0,1888,173.29407371803114,18.88,6.156958103179932,100,5.109957990646362,0.0031957263,0.4189424
200,,0.0008049703,,0.0012476885,1.0,3789,174.53317770380002,19.01,11.79713749885559,100,6.791666088104248,0.0012476885,0.4189424
300,,0.0009270483,,0.0028031897,1.0,5768,181.7532428004445,19.79,17.07221245765686,100,8.928901166915894,0.0028031897,0.4189424
400,,0.00095815095,,0.0028547817,1.0,7824,188.91025274581682,20.56,22.454294681549072,100,10.10915807723999,0.0028547817,0.4189424
500,,0.00093399215,,0.0018102243,1.0,9866,187.63373039134768,20.42,28.05370283126831,100,8.914673700332642,0.0018102243,0.4189424
600,,0.0008766484,,0.001628266,1.0,11952,191.76978540310458,20.86,33.60803413391113,100,7.041339311599732,0.001628266,0.4189424
700,,0.0009811799,,0.0018420134,1.0,14109,198.3491438654427,21.57,39.577436447143555,100,10.680371341705323,0.0018420134,0.4189424
800,,0.00097618636,,0.0023647938,1.0,16314,202.85698188136473,22.05,45.41608762741089,100,11.236169624328614,0.0023647938,0.4189424
900,,0.0009668498,,0.0033759559,1.0,18530,203.81577784909328,22.16,51.36768126487732,100,8.902586059570313,0.0033759559,0.4189424
1000,,0.0008590666,,0.0017317676,1.0,20756,204.67508582840964,22.26,57.76292300224304,100,9.079801015853882,0.0017317676,0.4189424
1100,,0.00079298933,,0.001307237,1.0,22958,202.4886760748997,22.02,63.91047930717468,100,10.216397552490234,0.001307237,0.4189424
1200,,0.0009608664,,0.0021254285,1.0,25213,207.43543480040418,22.55,69.58319902420044,100,12.177114753723144,0.0021254285,0.4189424
1300,,0.00088965765,,0.0022527457,1.0,27421,203.1263717793914,22.08,75.26301646232605,100,10.50759404182434,0.0022527457,0.4189424
1400,,0.00096304313,,0.0032777814,1.0,29842,222.9821165949148,24.21,81.36229205131531,100,9.896498374938965,0.0032777814,0.4189424
1500,,0.00090426346,,0.0017781436,1.0,32163,213.72752467479143,23.21,87.35419034957886,100,11.885254440307618,0.0017781436,0.4189424
1600,,0.00091078377,,0.002350688,1.0,34549,219.7161773351293,23.86,93.30202746391296,100,11.798773880004882,0.002350688,0.4189424
1700,,0.0009979606,,0.0022392196,1.0,36958,221.69242069632566,24.09,98.91408610343933,100,11.87441879272461,0.0022392196,0.4189424
1800,,0.0009585127,,0.0019226511,1.0,39339,219.2520919072339,23.81,104.5181086063385,100,11.236239833831787,0.0019226511,0.4189424
1900,,0.00086289574,,0.0020237549,1.0,41698,217.171832929278,23.59,110.60622072219849,100,11.810595588684082,0.0020237549,0.4189424
2000,,0.00086672563,,0.0015026734,1.0,44091,220.37673603008287,23.93,117.15470170974731,100,10.393717908859253,0.0015026734,0.4189424
2100,,0.0009998564,,0.0018590115,1.0,46527,224.2140614970901,24.36,123.31030607223511,100,12.784916114807128,0.0018590115,0.4189424
2200,,0.0009796381,,0.0024946497,1.0,49023,229.88140952028948,24.96,129.0272295475006,100,11.406464023590088,0.0024946497,0.4189424
2300,,0.00095354783,,0.0027102106,1.0,51492,227.48754688627938,24.69,135.20118188858032,100,9.453094291687012,0.0027102106,0.4189424
2400,,0.0009205638,,0.0033368766,1.0,53981,229.23253526562377,24.89,141.14532256126404,100,13.487526378631593,0.0033368766,0.4189424
2500,,0.00088374224,,0.0019006372,1.0,56448,227.0562132766871,24.67,147.3474040031433,100,9.925062742233276,0.0019006372,0.4189424
2600,,0.00087660097,,0.0027595493,1.0,58942,229.7035071732224,24.94,153.86979246139526,100,10.650596532821655,0.0027595493,0.4189424
2700,,0.0009925077,,0.0026663037,1.0,61595,244.5411209485814,26.53,160.14134883880615,100,15.779433784484864,0.0026663037,0.4189424
2800,,0.0008293878,,0.0022251355,1.0,64192,239.20620789540914,25.97,166.81049346923828,100,14.285791187286376,0.0022251355,0.4189424
2900,,0.0007799391,,0.002416721,1.0,66800,240.3381588848166,26.08,172.79270243644714,100,13.342332496643067,0.002416721,0.4189424
3000,,0.0009541269,,0.0026098853,1.0,69558,254.3394317586868,27.58,179.30344343185425,100,14.470741529464721,0.0026098853,0.4189424
3100,,0.00094720384,,0.0023185126,1.0,72337,256.42551271422974,27.79,186.62953448295593,100,16.82113130569458,0.0023185126,0.4189424
3200,,0.0009498856,,0.001407431,1.0,75024,247.76109026101804,26.87,193.04808735847473,100,15.99452570915222,0.001407431,0.4189424
3300,,0.0009978116,,0.0026334447,1.0,77704,246.9532371322023,26.8,200.16177010536194,100,14.061640892028809,0.0026334447,0.4189424
3400,,0.00093395705,,0.0022618712,1.0,80432,251.65845159979227,27.28,206.89126110076904,100,15.438609600067139,0.0022618712,0.4189424
3500,,0.0009667906,,0.0023062734,1.0,83222,257.2209498507638,27.9,214.1555848121643,100,14.535530252456665,0.0023062734,0.4189424
3600,,0.000913521,,0.0020208322,1.0,85938,250.51298914124226,27.16,221.1956868171692,100,13.182966747283935,0.0020208322,0.4189424
3700,,0.00095116656,,0.0020494906,1.0,88691,253.94062933881335,27.53,228.0010576248169,100,16.07490873336792,0.0020494906,0.4189424
3800,,0.0009144978,,0.0014490557,1.0,91396,249.53726411030334,27.05,235.0682475566864,100,13.264235572814941,0.0014490557,0.4189424
3900,,0.0009861368,,0.003077618,1.0,94061,245.7177791653913,26.65,242.13611888885498,100,14.745099449157715,0.003077618,0.4189424
