entropy,EpLenMean,EpisodesSoFar,Step_size,optimgain,entloss,EpThisIter,ev_tdlam_before,meankl,EpRewMean,DiscEpRewMean,TimeElapsed,TimestepsSoFar,surrgain
0.4189424,18.87,100,1.0,0.0023924592,,100,,0.00084149645,173.33351904593275,8.850065298080445,21.517722129821777,1887,0.0023924592
0.4189424,19.22,200,1.0,0.0012438311,,100,,0.000940101,176.538356694446,4.835421705245972,46.44013285636902,3809,0.0012438311
0.4189424,18.48,300,1.0,0.0023888885,,100,,0.00095807447,169.63809207016016,7.455488910675049,72.6128351688385,5657,0.0023888885
0.4189424,18.89,400,1.0,0.0019681058,,100,,0.00091319333,173.43079360690916,4.4609683227539065,141.45493388175964,7546,0.0019681058
0.4189424,19.07,500,1.0,0.002022522,,100,,0.000895896,175.0704432640014,6.227365007400513,204.73471403121948,9453,0.002022522
0.4189424,19.72,600,1.0,0.0020639303,,100,,0.00094196806,181.11922489107863,6.427307510375977,254.34743785858154,11425,0.0020639303
0.4189424,20.27,700,1.0,0.003264362,,100,,0.0009459779,186.1830010043099,9.172933139801025,301.65353655815125,13452,0.003264362
0.4189424,21.36,800,1.0,0.001554495,,100,,0.0007372941,196.34068847095625,9.557089357376098,327.94379472732544,15588,0.001554495
0.4189424,21.43,900,1.0,0.0020938504,,100,,0.0009327249,196.94209946019694,9.275363063812256,379.13057708740234,17731,0.0020938504
0.4189424,21.78,1000,1.0,0.0024495465,,100,,0.0008974572,200.2430164807467,11.81393144607544,421.8685998916626,19909,0.0024495465
0.4189424,22.37,1100,1.0,0.0021724666,,100,,0.00092914136,205.8197719674022,8.913621425628662,468.14743089675903,22146,0.0021724666
0.4189424,22.84,1200,1.0,0.002949253,,100,,0.0008644824,210.14941453226857,10.380993041992188,499.3425850868225,24430,0.002949253
0.4189424,23.46,1300,1.0,0.001810286,,100,,0.00095941406,216.0129005358354,8.615599431991576,549.511331319809,26776,0.001810286
0.4189424,24.91,1400,1.0,0.0032567014,,100,,0.0009718636,229.47984761866937,13.854003601074218,575.410210609436,29267,0.0032567014
0.4189424,24.48,1500,1.0,0.0022879443,,100,,0.000975713,225.40679394627244,10.567351522445678,618.1458365917206,31715,0.0022879443
0.4189424,23.99,1600,1.0,0.002041308,,100,,0.00075090164,220.88986175451845,10.126399612426757,638.8174335956573,34114,0.002041308
0.4189424,24.26,1700,1.0,0.0027051135,,100,,0.0009831863,223.34594895777502,12.664549570083619,676.9484338760376,36540,0.0027051135
0.4189424,25.26,1800,1.0,0.0024038304,,100,,0.0008139806,232.69601892544605,14.322047758102418,699.7441403865814,39066,0.0024038304
0.4189424,25.66,1900,1.0,0.0013797249,,100,,0.00087745505,236.39828835810243,12.986472234725952,759.080979347229,41632,0.0013797249
0.4189424,25.38,2000,1.0,0.0019159927,,100,,0.00095094636,233.903504783218,15.055728302001953,776.4911575317383,44170,0.0019159927
0.4189424,25.85,2100,1.0,0.0012172135,,100,,0.00082667987,238.27328545113807,11.670374717712402,828.8688380718231,46755,0.0012172135
0.4189424,25.9,2200,1.0,0.002151342,,100,,0.0009630224,238.70178057367582,13.364080429077148,849.3760480880737,49345,0.002151342
0.4189424,25.23,2300,1.0,0.0018842327,,100,,0.0009597231,232.52918926846212,12.064261846542358,898.7542436122894,51868,0.0018842327
0.4189424,25.58,2400,1.0,0.0019264697,,100,,0.0009635295,235.75882336209526,14.04403829574585,951.6764197349548,54426,0.0019264697
0.4189424,25.45,2500,1.0,0.0021749793,,100,,0.00096738106,234.6537813750966,17.198702144622803,979.7993803024292,56971,0.0021749793
0.4189424,25.22,2600,1.0,0.0014091185,,100,,0.0009033406,232.29109793747975,13.47123821258545,1015.1075842380524,59493,0.0014091185
0.4189424,26.29,2700,1.0,0.0017207703,,100,,0.00078720617,242.35260246945185,16.4492763710022,1042.8138325214386,62122,0.0017207703
0.4189424,24.9,2800,1.0,0.0026571662,,100,,0.00091873825,229.34357969859997,11.251087703704833,1087.2081291675568,64612,0.0026571662
0.4189424,24.78,2900,1.0,0.0017056525,,100,,0.0009470627,228.24751032718765,11.732064085006714,1111.9412865638733,67090,0.0017056525
0.4189424,25.52,3000,1.0,0.0023123329,,100,,0.00093208725,235.17528732702647,12.704107122421265,1128.1367967128754,69642,0.0023123329
0.4189424,24.65,3100,1.0,0.0019561963,,100,,0.0008989105,227.07157204405226,9.838290166854858,1162.4296293258667,72107,0.0019561963
0.4189424,25.02,3200,1.0,0.0020961033,,100,,0.000967725,230.43764132825316,14.042234058380126,1214.2279741764069,74609,0.0020961033
0.4189424,25.59,3300,1.0,0.001025672,,100,,0.00097363314,235.70148598190133,13.718118000030518,1250.0779395103455,77168,0.001025672
0.4189424,25.96,3400,1.0,0.0022980722,,100,,0.00094540906,239.19423750860528,15.592020092010499,1282.91370677948,79764,0.0022980722
0.4189424,27.4,3500,1.0,0.0024596236,,100,,0.0008425305,252.76470149490575,13.443954696655274,1317.6541275978088,82504,0.0024596236
0.4189424,28.14,3600,1.0,0.0018982764,,100,,0.0008643504,259.55555649659914,16.534489250183107,1366.0652589797974,85318,0.0018982764
0.4189424,27.33,3700,1.0,0.0022330973,,100,,0.00095298723,251.92146192676444,16.45067811012268,1413.3985080718994,88051,0.0022330973
0.4189424,25.48,3800,1.0,0.0028155106,,100,,0.0009583757,234.6947751195261,12.793594884872437,1446.8538708686829,90599,0.0028155106
0.4189424,26.22,3900,1.0,0.002127683,,100,,0.00092556677,241.72346119587138,12.968866033554077,1473.18385887146,93221,0.002127683
