Step_size,DiscEpRewMean,EpisodesSoFar,TimestepsSoFar,surrgain,EpLenMean,entropy,TimeElapsed,meankl,EpThisIter,entloss,EpRewMean,ev_tdlam_before,optimgain
1.0,5.037437038421631,100,1734,0.0021291657,17.34,0.4189424,6.296412944793701,0.00081231067,100,,158.9508941138776,,0.0021291657
1.0,5.948666582107544,200,3586,0.0026839438,18.52,0.4189424,11.876973867416382,0.0009374655,100,,169.90892102680303,,0.0026839438
1.0,7.447381896972656,300,5473,0.0019685745,18.87,0.4189424,17.488027095794678,0.0009342978,100,,173.27494660884378,,0.0019685745
1.0,6.139632787704468,400,7439,0.0018140555,19.66,0.4189424,23.269542932510376,0.0009057071,100,,180.59421263045076,,0.0018140555
1.0,5.575605716705322,500,9396,0.0014231162,19.57,0.4189424,28.895004987716675,0.0008743629,100,,179.66802029144895,,0.0014231162
1.0,9.070679244995118,600,11432,0.0018455952,20.36,0.4189424,34.60038495063782,0.0009492823,100,,187.08799348801574,,0.0018455952
1.0,9.016452026367187,700,13518,0.0018744731,20.86,0.4189424,40.3090181350708,0.00091417565,100,,191.70818211465084,,0.0018744731
1.0,9.83853973388672,800,15687,0.0018385627,21.69,0.4189424,46.10845732688904,0.0008270008,100,,199.45527849191407,,0.0018385627
1.0,10.84468144416809,900,17933,0.0026395435,22.46,0.4189424,51.87277030944824,0.0009389029,100,,206.62550301257122,,0.0026395435
1.0,8.899644737243653,1000,20057,0.0016057513,21.24,0.4189424,57.729077100753784,0.0009802763,100,,195.2295229629488,,0.0016057513
1.0,12.644445190429687,1100,22295,0.002643905,22.38,0.4189424,63.97042655944824,0.00094993605,100,,205.90640956599887,,0.002643905
1.0,8.921235961914062,1200,24506,0.0023327302,22.11,0.4189424,69.97579216957092,0.0009741527,100,,203.287167215299,,0.0023327302
1.0,10.212099151611328,1300,26763,0.0020745979,22.57,0.4189424,76.09039354324341,0.0009813359,100,,207.64766752998148,,0.0020745979
1.0,9.161874694824219,1400,28990,0.0020959228,22.27,0.4189424,82.34151673316956,0.0009693944,100,,204.77596393953007,,0.0020959228
1.0,11.422435169219971,1500,31300,0.002150781,23.1,0.4189424,88.63905215263367,0.00087803294,100,,212.5191129664637,,0.002150781
1.0,10.863324451446534,1600,33576,0.002320798,22.76,0.4189424,95.3081545829773,0.0009190862,100,,209.3301930506151,,0.002320798
1.0,10.361472969055177,1700,36047,0.002611242,24.71,0.4189424,101.1844413280487,0.0009274379,100,,227.41597020963036,,0.002611242
1.0,11.512809991836548,1800,38466,0.0016887187,24.19,0.4189424,107.35687828063965,0.00094784173,100,,222.63802746048975,,0.0016887187
1.0,14.325270566940308,1900,40902,0.0016970776,24.36,0.4189424,114.17414093017578,0.0008764873,100,,224.3840678309608,,0.0016970776
1.0,13.417417030334473,2000,43461,0.0029219808,25.59,0.4189424,120.26346802711487,0.0009473668,100,,235.70695788213908,,0.0029219808
1.0,13.069751491546631,2100,46008,0.002480293,25.47,0.4189424,127.1484534740448,0.00094338076,100,,234.743156788703,,0.002480293
1.0,15.804978256225587,2200,48612,0.0019728902,26.04,0.4189424,133.46159553527832,0.00080015993,100,,239.97382554725453,,0.0019728902
1.0,15.06376184463501,2300,51274,0.0012125104,26.62,0.4189424,140.2650547027588,0.0009095902,100,,245.37775654781683,,0.0012125104
1.0,13.945086259841919,2400,53914,0.0021497016,26.4,0.4189424,147.80989909172058,0.00084662763,100,,243.35487828649084,,0.0021497016
1.0,15.497346658706665,2500,56469,0.0011140708,25.55,0.4189424,153.84127140045166,0.00096119393,100,,235.49898678730534,,0.0011140708
1.0,12.68953405380249,2600,59088,0.0023973181,26.19,0.4189424,160.29081010818481,0.00087226275,100,,241.49189135310434,,0.0023973181
1.0,16.911976490020752,2700,61753,0.0028078833,26.65,0.4189424,167.41851425170898,0.0009794364,100,,245.8697357424083,,0.0028078833
1.0,13.614493389129638,2800,64354,0.0025239356,26.01,0.4189424,174.23771166801453,0.0009482196,100,,239.67468054677863,,0.0025239356
1.0,18.333225650787355,2900,67061,0.0021671015,27.07,0.4189424,181.17839288711548,0.00095074583,100,,249.76327332231847,,0.0021671015
1.0,15.880653219223023,3000,69720,0.0010998718,26.59,0.4189424,187.79940819740295,0.000870752,100,,245.30033763706308,,0.0010998718
1.0,14.639345254898071,3100,72366,0.0020475488,26.46,0.4189424,194.2940411567688,0.0008965666,100,,243.92497909686165,,0.0020475488
1.0,13.164362382888793,3200,74973,0.0020574874,26.07,0.4189424,201.33138918876648,0.0008607848,100,,240.32131045753175,,0.0020574874
1.0,16.35412965774536,3300,77706,0.0023528226,27.33,0.4189424,208.61375188827515,0.0009822424,100,,252.1242966575619,,0.0023528226
1.0,13.068595905303955,3400,80425,0.002119522,27.19,0.4189424,215.69297623634338,0.0009728418,100,,250.8447519818008,,0.002119522
1.0,11.947392959594726,3500,83129,0.0019288068,27.04,0.4189424,222.7798924446106,0.00095379236,100,,249.31064355895896,,0.0019288068
1.0,15.31047534942627,3600,85686,0.0019348706,25.57,0.4189424,228.80605697631836,0.00086795364,100,,235.63540026544345,,0.0019348706
1.0,14.483608694076539,3700,88357,0.0025614104,26.71,0.4189424,235.58114004135132,0.00093101565,100,,246.33854430442713,,0.0025614104
1.0,12.792370471954346,3800,90988,0.0030406907,26.31,0.4189424,241.7179605960846,0.00096457277,100,,242.62879166587715,,0.0030406907
1.0,17.202112092971802,3900,93743,0.0021412529,27.55,0.4189424,249.0149917602539,0.0009360956,100,,254.1829691308084,,0.0021412529
1.0,13.815946807861328,4000,96409,0.0022135116,26.66,0.4189424,256.0573399066925,0.0009613881,100,,245.92935247791982,,0.0022135116
1.0,13.708483781814575,4100,99016,0.0026935737,26.07,0.4189424,263.23632740974426,0.0009913571,100,,240.31533572543105,,0.0026935737
1.0,16.266175394058227,4200,101682,0.001448855,26.66,0.4189424,270.2787415981293,0.0009009764,100,,245.801491487652,,0.001448855
1.0,14.570181293487549,4300,104427,0.0021163274,27.45,0.4189424,277.10859727859497,0.0009488795,100,,253.11937285220756,,0.0021163274
1.0,15.147855653762818,4400,107071,0.0022303606,26.44,0.4189424,284.27095794677734,0.0009344829,100,,243.81449905859324,,0.0022303606
1.0,17.46788032531738,4500,109725,0.0024720605,26.54,0.4189424,290.79076862335205,0.0007562869,100,,244.64991603710976,,0.0024720605
1.0,13.718616342544555,4600,112272,0.0021835475,25.47,0.4189424,297.4905745983124,0.0009365744,100,,234.7671613137453,,0.0021835475
1.0,13.91385479927063,4700,114930,0.0022550225,26.58,0.4189424,304.3079249858856,0.00093572127,100,,244.98545509135636,,0.0022550225
1.0,14.47863751411438,4800,117721,0.0019340374,27.91,0.4189424,311.43495202064514,0.0009215389,100,,257.63383248494915,,0.0019340374
1.0,13.904570646286011,4900,120380,0.003179289,26.59,0.4189424,318.55086874961853,0.00094597315,100,,245.13640937248482,,0.003179289
1.0,13.6906928730011,5000,123184,0.00165823,28.04,0.4189424,325.5693199634552,0.00097163185,100,,258.6854679751734,,0.00165823
1.0,14.481475229263305,5100,126017,0.0016326893,28.33,0.4189424,332.87640404701233,0.00094444974,100,,261.4996510706734,,0.0016326893
1.0,14.596232604980468,5200,128818,0.0019774511,28.01,0.4189424,340.28307271003723,0.000930267,100,,258.44194469172845,,0.0019774511
1.0,16.922512140274048,5300,131611,0.00404985,27.93,0.4189424,347.52539324760437,0.0009635212,100,,257.74008212548483,,0.00404985
1.0,18.02528639793396,5400,134410,0.0036157954,27.99,0.4189424,354.0685315132141,0.0008330745,100,,258.1532648612221,,0.0036157954
1.0,15.588089141845703,5500,137297,0.0035243835,28.87,0.4189424,360.3586094379425,0.0009709735,100,,266.46989385513723,,0.0035243835
1.0,16.725766944885255,5600,140165,0.0014654859,28.68,0.4189424,367.1818358898163,0.0009288681,100,,264.60448115609154,,0.0014654859
1.0,14.080504732131958,5700,143045,0.0018923914,28.8,0.4189424,373.8901722431183,0.0009615127,100,,265.6864096930861,,0.0018923914
1.0,15.603832864761353,5800,145941,0.0011624078,28.96,0.4189424,380.97260665893555,0.00091766345,100,,267.21235892450886,,0.0011624078
1.0,17.941034145355225,5900,148780,0.001868446,28.39,0.4189424,388.0189325809479,0.000987926,100,,261.8222856508223,,0.001868446
1.0,14.838865404129029,6000,151592,0.0020909086,28.12,0.4189424,395.73276925086975,0.00097157987,100,,259.3282956097362,,0.0020909086
1.0,15.978454465866088,6100,154463,0.002801941,28.71,0.4189424,402.67556643486023,0.000918806,100,,264.92681114650145,,0.002801941
1.0,18.22592381477356,6200,157322,0.0020832324,28.59,0.4189424,409.8696837425232,0.00096041075,100,,263.7953929600068,,0.0020832324
1.0,17.77083240509033,6300,160204,0.0019087115,28.82,0.4189424,417.512216091156,0.0010000921,100,,266.04860682676343,,0.0019087115
1.0,17.925574207305907,6400,162952,0.0017930355,27.48,0.4189424,424.1553864479065,0.00084360014,100,,253.3911103845243,,0.0017930355
1.0,17.18316502571106,6500,165777,0.0025842648,28.25,0.4189424,430.64402627944946,0.00097305654,100,,260.5723717806887,,0.0025842648
1.0,15.979210243225097,6600,168616,0.0020849255,28.39,0.4189424,436.8564341068268,0.00083542615,100,,261.84293428510506,,0.0020849255
1.0,15.212144231796264,6700,171510,0.0028839246,28.94,0.4189424,443.30151867866516,0.00095025083,100,,267.0320863502821,,0.0028839246
