ev_tdlam_before,EpisodesSoFar,DiscEpRewMean,EpThisIter,TimestepsSoFar,EpLenMean,meankl,TimeElapsed,surrgain,EpRewMean,entloss,optimgain,Step_size,entropy
,100,6.418683366775513,100,1752,17.52,0.0009555832,9.82689094543457,0.0015563769,160.76937390740895,,0.0015563769,1.0,0.4189424
,200,6.3390518283844,100,3687,19.35,0.00092585565,20.73418664932251,0.002396667,177.78404202124563,,0.002396667,1.0,0.4189424
,300,5.941364841461182,100,5617,19.3,0.00093537656,31.97852611541748,0.0020923011,177.21867889281486,,0.0020923011,1.0,0.4189424
,400,11.810569496154786,100,7634,20.17,0.00069130136,41.519336462020874,0.0012899237,185.38627957286673,,0.0012899237,1.0,0.4189424
,500,8.254476613998413,100,9722,20.88,0.00093442167,50.599857330322266,0.0013735474,192.060303425088,,0.0013735474,1.0,0.4189424
,600,9.630966472625733,100,11866,21.44,0.00092179136,59.871055364608765,0.0014563107,197.1013226724724,,0.0014563107,1.0,0.4189424
,700,10.783908205032349,100,14057,21.91,0.00088813674,70.40581893920898,0.002136969,201.4634428603327,,0.002136969,1.0,0.4189424
,800,10.309850358963013,100,16266,22.09,0.00083637954,79.75213265419006,0.0017444484,203.20361647781047,,0.0017444484,1.0,0.4189424
,900,11.336824855804444,100,18547,22.81,0.00095050933,89.09716486930847,0.002447092,209.98440254673406,,0.002447092,1.0,0.4189424
,1000,10.867126216888428,100,20856,23.09,0.0008357133,99.57283425331116,0.0024414135,212.51320345197294,,0.0024414135,1.0,0.4189424
,1100,10.864830904006958,100,23083,22.27,0.0009776294,107.77136301994324,0.002811053,204.7253362263287,,0.002811053,1.0,0.4189424
,1200,9.364063224792481,100,25345,22.62,0.000970573,116.3949544429779,0.0024671105,208.145697923385,,0.0024671105,1.0,0.4189424
,1300,9.85654499053955,100,27585,22.4,0.0009785248,126.17487788200378,0.0023101142,206.03787319679017,,0.0023101142,1.0,0.4189424
,1400,10.602032079696656,100,29817,22.32,0.0009001575,137.11368250846863,0.0031917577,205.26604897077496,,0.0031917577,1.0,0.4189424
,1500,11.61396017074585,100,32184,23.67,0.00092930696,147.7177300453186,0.0026882272,217.86962420788655,,0.0026882272,1.0,0.4189424
,1600,9.640238561630248,100,34647,24.63,0.00090772356,157.69767665863037,0.0023378509,226.94930502078378,,0.0023378509,1.0,0.4189424
,1700,12.8564901638031,100,37069,24.22,0.0009140163,165.2731158733368,0.002169982,223.09369356211894,,0.002169982,1.0,0.4189424
,1800,10.479228324890137,100,39420,23.51,0.000974127,174.01787161827087,0.002547127,216.4773816841419,,0.002547127,1.0,0.4189424
,1900,10.953687057495117,100,41835,24.15,0.0009252974,184.30181622505188,0.0010825892,222.40021643298653,,0.0010825892,1.0,0.4189424
,2000,12.280534200668335,100,44244,24.09,0.000877485,196.7130150794983,0.0021559044,221.92683022959147,,0.0021559044,1.0,0.4189424
,2100,10.597910709381104,100,46710,24.66,0.0009746507,207.57673168182373,0.0017894054,227.26973774693727,,0.0017894054,1.0,0.4189424
,2200,10.6143190574646,100,49214,25.04,0.00093806244,217.53725504875183,0.0022812583,230.88068773992697,,0.0022812583,1.0,0.4189424
,2300,14.203144063949585,100,51825,26.11,0.0008976541,227.04630708694458,0.0032713069,240.60372119115473,,0.0032713069,1.0,0.4189424
,2400,12.153992528915404,100,54356,25.31,0.0007475418,236.9896800518036,0.0016935018,233.16160593421185,,0.0016935018,1.0,0.4189424
,2500,14.081176414489747,100,56923,25.67,0.0009821396,246.15427041053772,0.0018010617,236.61076110724406,,0.0018010617,1.0,0.4189424
,2600,16.06355568885803,100,59537,26.14,0.00095306436,257.9191312789917,0.0019320115,240.95222328660265,,0.0019320115,1.0,0.4189424
,2700,12.414939670562744,100,62071,25.34,0.00095823256,270.4292325973511,0.001451037,233.48401320950086,,0.001451037,1.0,0.4189424
,2800,12.886424999237061,100,64685,26.14,0.0009273819,281.16247367858887,0.002085553,240.96892373936555,,0.002085553,1.0,0.4189424
,2900,13.067541933059692,100,67325,26.4,0.00084164244,292.19506335258484,0.0032657287,243.39382362706604,,0.0032657287,1.0,0.4189424
,3000,12.784811305999757,100,69934,26.09,0.00094460894,302.6112570762634,0.002061053,240.5467095397496,,0.002061053,1.0,0.4189424
,3100,12.797422761917113,100,72502,25.68,0.0009627472,312.43690824508667,0.0010700849,236.79588528987836,,0.0010700849,1.0,0.4189424
,3200,16.08852125167847,100,75164,26.62,0.00092397444,325.30603766441345,0.0018803616,245.4896682496291,,0.0018803616,1.0,0.4189424
,3300,13.283036069869995,100,77679,25.15,0.00090800796,336.0114769935608,0.0025882036,231.677220205246,,0.0025882036,1.0,0.4189424
,3400,13.133838405609131,100,80350,26.71,0.0008810254,346.47369837760925,0.003462332,246.30227564559172,,0.003462332,1.0,0.4189424
,3500,15.072354164123535,100,82946,25.96,0.0009502923,355.73075771331787,0.0019270502,239.41057078731305,,0.0019270502,1.0,0.4189424
