Bound,AvgDiscRet,VarNormIw,AvgNormIw,MinNormIw,MaxNormIw,MaxVanillaIw,VarJ,VarDiscRet,J,BatchSize,VarVanillaIw,eRenyi2,VanillaAvgRet,AvgVanillaIw,ESSClassic,AvgRet,AvgEpLen,VarRet,ESSRenyi,MinVanillaIw
307.4784,112.93948619549478,0.0060855006,0.01,,0.7757313,67.43798,1604.4192,18670.40339418747,852.41077,100,45.99205,38.770874,112.93948619549478,0.86934716,1.6327481939601993,112.93948619549478,12.3,18670.40339418747,2.5792557562552934,
1500.3157,344.06331345203085,0.0035325678,0.01,7.5752127e-13,0.5886916,96.84433,11145.485,376329.8559452344,3181.501,100,95.6012,15.963383,344.06331345203085,1.6450775,2.779907195461612,344.06331345203085,35.41,376329.8559452344,6.264336434706867,1.2461812e-10
3250.7695,1394.4568668951908,0.00058052107,0.01,3.566189e-08,0.15137804,24.912315,1811.3002,3147837.9449742394,4394.9014,100,15.722454,7.3922877,1394.4568668951908,1.645702,14.821054141199292,1394.4568668951908,140.34,3147837.9449742394,13.52761197028837,5.8688847e-06
3988.9778,3295.364130215137,0.00024362597,0.01,7.450045e-08,0.07969636,8.760252,607.3925,3259617.194730424,4768.897,100,2.9436073,3.4349937,3295.364130215137,1.0992036,29.309209781222826,3295.364130215137,330.16,3259617.194730424,29.11213453523354,8.189116e-06
4481.9556,4822.541634181787,1.930086e-05,0.01,0.0011283164,0.017252682,1.8607601,204.63605,521524.46113618044,4947.1987,100,0.22451438,1.2223259,4822.541634181787,1.0785338,83.9575300270556,4822.541634181787,482.37,521524.46113618044,81.81124058417262,0.12169273
4537.672,4879.183342960559,9.257339e-06,0.01,0.00020141026,0.015043487,1.5057913,122.68669,466721.25110820244,4975.6816,100,0.092751004,1.0834141,4879.183342960559,1.0009589,91.60464413404486,4879.183342960559,487.99,466721.25110820244,92.30081282206116,0.02016034
4561.6206,4970.30851477076,4.0339196e-06,0.01,0.0027077398,0.012919237,1.2450672,66.49589,39371.086856924005,4988.916,100,0.037466154,1.0310585,4970.30851477076,0.9637312,96.15977741617843,4970.30851477076,497.07,39371.086856924005,96.9877026009273,0.26095334
4666.601,4885.984392278158,3.7298335e-06,0.005,3.6832545e-05,0.007852586,1.5122064,111.5628,420376.37187561987,4982.9414,200,0.1383204,1.1302272,4885.984392278158,0.9628716,174.14817773207542,4885.984392278158,488.645,420376.37187561987,176.95557013671402,0.0070930026
4689.5093,4982.30429735467,5.9227756e-07,0.005,0.0024277202,0.006141416,1.214117,83.23284,24736.99322671508,4990.458,200,0.023147784,1.0229211,4982.30429735467,0.98846674,195.3940536366092,4982.30429735467,498.255,24736.99322671508,195.51850368796502,0.47994414
4697.0396,4989.275647516657,4.325801e-07,0.005,0.0014792435,0.0057897926,1.1565338,44.626446,22704.95251913272,4996.78,200,0.017260656,1.0147198,4989.275647516657,0.9987697,196.61495231346817,4989.275647516657,498.94,22704.95251913272,197.0987373601797,0.29548472
4702.3696,4999.927216526326,8.6075987e-13,0.005,0.0049953964,0.005001532,1.0002894,0.08888231,0.007944733499244532,4999.9277,200,3.4429476e-08,1.0,4999.927216526326,0.9999831,199.99999566954043,4999.927216526326,500.0,0.007944733499244532,200.0,0.99906236
4750.499,4992.480422222254,8.430699e-08,0.0033333336,0.0022250963,0.0038202782,1.1411093,73.529274,8951.32463435037,4994.284,300,0.00752191,1.0068443,4992.480422222254,0.9956599,297.74835485388707,4992.480422222254,499.2633333333333,8951.32463435037,297.960673083731,0.6646317
4753.715,4995.21691603273,6.939523e-08,0.003333333,0.0016720978,0.0036702303,1.1074501,40.835873,6626.88175979758,4997.5605,300,0.0063181696,1.0073442,4995.21691603273,1.0057952,298.1441362254736,4995.21691603273,499.53333333333336,6626.88175979758,297.81278963756665,0.50453645
4786.5967,4995.467464311418,6.147652e-08,0.0025,0.0011371932,0.0028403546,1.1372294,40.48971,7921.187983890137,4997.8936,400,0.009855084,1.0084931,4995.467464311418,1.0009573,396.1135078145029,4995.467464311418,499.5575,7921.187983890137,396.631383547681,0.4553127
4789.522,4999.926601530104,1.2689215e-11,0.0025,0.002483346,0.0025051474,1.002044,0.102699764,0.010645029573697017,4999.9272,400,2.0302132e-06,1.0000014,4999.926601530104,0.99998504,399.9991760143421,4999.926601530104,500.0,0.010645029573697017,399.9994277962287,0.99332356
4810.272,4997.994553957051,1.292612e-08,0.0019999999,0.0011576632,0.0021553924,1.0767168,24.847864,1843.2870293472931,4998.803,500,0.0032256586,1.0036064,4997.994553957051,0.99909115,498.39264976918406,4997.994553957051,499.81,1843.2870293472931,498.2032605123187,0.5783055
4807.775,4989.159420826554,8.944714e-08,0.002,0.00028521183,0.0023267625,1.1593428,35.41649,45247.426336701334,4997.744,500,0.022206804,1.018974,4989.159420826554,0.9965286,489.0850196861048,4989.159420826554,498.928,45247.426336701334,490.6896802243111,0.14211088
4806.3076,4990.724744309314,1.0200338e-07,0.002,0.0005718986,0.0024577463,1.2156378,76.22053,42325.32929655156,4996.5244,500,0.0249545,1.0216327,4990.724744309314,0.9892297,487.59087071949676,4990.724744309314,499.082,42325.32929655156,489.4126959900939,0.28286952
4811.738,4999.929600873344,5.431875e-20,0.0020000003,0.002,0.002,1.0,0.067750804,0.004599125316986367,4999.93,500,,1.0,4999.929600873344,1.0,500.00000664260017,4999.929600873344,500.0,0.004599125316986367,500.0,1.0
4811.7393,4999.9312203954005,9.375978e-13,0.002,0.001993719,0.002001487,1.0007559,0.08118921,0.006615351158658328,4999.9316,500,2.3440448e-07,1.0000001,4999.9312203954005,1.0000124,499.99983353143807,4999.9312203954005,500.0,0.006615351158658328,499.99994039536233,0.99687195
4811.7383,4999.930415564972,1.3366151e-11,0.0019999999,0.0019815427,0.0020066476,1.0032871,0.07941866,0.006348523006496625,4999.9307,500,3.3412919e-06,1.0000006,4999.930415564972,0.9999634,499.9983581746059,4999.930415564972,500.0,0.006348523006496625,499.99970197695376,0.9907351
4809.2964,4995.985092977204,3.7609414e-08,0.002,0.00081654725,0.0022361134,1.1164796,35.97697,7762.079997599162,4998.3164,500,0.009375848,1.0088192,4995.985092977204,0.99858946,495.3518242788384,4995.985092977204,499.608,7762.079997599162,495.6289381417436,0.40769774
