VarDiscRet,MinNormIw,J,VarVanillaIw,AvgVanillaIw,MinVanillaIw,EpsThisIter,VarNormIw,AvgRet,MaxVanillaIw,eRenyi2,VanillaAvgRet,ESSClassic,AvgDiscRet,AvgNormIw,AvgEpLen,VarJ,Bound,MaxNormIw,VarRet,BatchSize,ESSRenyi,IterType,Delta
27085.56038992746,2.487533e-24,618.6497,40.05141,1.0840724,2.6966658e-22,100,0.003408013,108.8423725164873,62.315533,19.010725,108.8423725164873,2.8785814424019045,108.8423725164873,0.01,11.89,1406.1013,343.54965,0.57482815,27085.56038992746,100,5.26018865075531,1,0.65
824310.9451199647,6.93778e-20,4179.8896,84.61405,1.5526838,1.07721796e-17,100,0.0035097513,572.4393608121759,84.638466,23.300447,572.4393608121759,2.797473754644607,572.4393608121759,0.010000002,58.24,5485.526,2408.8552,0.54511076,824310.9451199647,100,4.29176307255685,1,0.65
3007690.2646649783,1.2694977e-19,1638.1783,8.617316e+31,930679800000000.0,0.011814959,100,0.009948818,572.4393608121759,9.283172e+16,0.00013642384,572.4393608121759,1.0050929606833003,1916.1337304196754,0.01,58.24,22.534084,-inf,0.99746144,824310.9451199647,200,1466019.4130864348,,0.65
346373.78817585256,1.05060885e-13,2259.7349,84.73859,1.4518625,3.050679e-11,100,0.0010050097,410.24861387305435,122.710014,20.273987,410.24861387305435,4.878121191227149,410.24861387305435,0.005,42.03,7811.0347,1091.5774,0.42259517,346373.78817585256,200,9.864857948815212,1,0.65
2842426.6404474005,0.01,1977.7748,,1.0,1.0,100,3.5044917e-18,1977.7749643775087,1.0,1.0,1977.7749643775087,100.0,1977.7749643775087,0.009999998,198.66,1677.4988,1610.8754,0.01,2842426.6404474005,200,200.0,2,0.65
2687432.8434258737,,4607.9185,39.996105,1.4371322,,100,0.0004841325,1978.3297313698902,50.757076,15.1992235,1978.3297313698902,9.86754320429518,1978.3297313698902,0.005,198.76,2243.0962,3596.4722,0.17659153,2687432.8434258737,200,13.158566933255262,1,0.65
2059034.1470475113,0.01,4262.0225,,1.0,1.0,100,3.5044917e-18,4262.022618116725,1.0,1.0,4262.022618116725,100.0,4262.022618116725,0.009999998,426.52,1427.7408,3895.1228,0.01,2059034.1470475113,200,200.0,2,0.65
2701463.287430239,2.27892e-06,4923.018,1.5351627,1.1080357,0.0005050249,100,3.1259853e-05,4098.250680600199,5.285299,2.2555366,4098.250680600199,89.1209095682572,4098.250680600199,0.005,410.12,242.59174,4533.384,0.023849858,2701463.287430239,200,88.67069764236334,1,0.65
65054.981915351,0.01,4950.313,,1.0,1.0,100,3.5044917e-18,4950.313039469337,1.0,1.0,4950.313039469337,100.0,4950.313039469337,0.009999998,495.09,253.78027,4583.413,0.01,65054.981915351,200,200.0,2,0.65
62492.96699313556,0.0010363759,4977.955,0.07917141,1.0275159,0.21297854,100,1.8746978e-06,4957.875724941161,1.5137995,1.0764998,4957.875724941161,186.11351056148885,4957.875724941161,0.005,495.86,119.61275,4708.7773,0.0073663066,62492.96699313556,200,185.78730467917302,1,0.65
