AvgEpLen,VarDiscRet,EpsThisIter,ESSClassic,eRenyi2,BatchSize,ESSRenyi,IterType,VarNormIw,MaxNormIw,VarVanillaIw,J,Bound,MinVanillaIw,MaxVanillaIw,VarRet,AvgDiscRet,VarJ,AvgNormIw,AvgRet,MinNormIw,AvgVanillaIw,VanillaAvgRet
388.84,22064.83579276305,100,22.173236500217538,5.8328795,100,17.14419083363206,1,0.0003545396,0.07175816,8.457822,-93.93241,-178.72028,3.6192014e-18,11.083278,22064.83579276305,-316.3682765567303,100.5298,0.009999999,-316.3682765567303,2.343235e-20,1.5445321,-316.3682765567303
137.03,5967.386114262358,100,60.53931434159939,1.6391646,100,61.00668719517503,1,6.584034e-05,0.026440457,0.64628124,-79.62276,-124.57086,0.00044687398,2.6195922,5967.386114262358,-98.14031087875367,43.41079,0.01,-98.14031087875367,4.510455e-06,0.9907515,-98.14031087875367
123.95,6040.161834746712,100,71.27476905605124,1.4645256,100,68.28149766579345,1,4.070919e-05,0.02452834,0.4748185,-74.70923,-117.19494,0.02652064,2.649023,6040.161834746712,-90.55806918546557,45.96421,0.01,-90.55806918546557,0.00024556497,1.0799847,-90.55806918546557
119.74,7128.427999281714,100,92.25944964256288,1.083258,100,92.31410889392097,1,8.474755e-06,0.02070433,0.085404694,-83.63074,-120.17055,0.31864467,2.078445,7128.427999281714,-87.11467512547969,74.869286,0.009999998,-87.11467512547969,0.0031741639,1.0038697,-87.11467512547969
109.89,3805.462150853318,100,98.21426442868477,1.0245005,100,97.60854294435518,1,1.8365898e-06,0.016523028,0.017742509,-77.233536,-112.76582,0.85985243,1.6240188,3805.462150853318,-78.20078282415867,56.296288,0.009999999,-78.20078282415867,0.008748277,0.9828821,-78.20078282415867
118.14,6019.151108677005,100,80.80984274168554,1.2270206,100,81.4982228204716,1,2.398715e-05,0.017044744,0.24298225,-74.62504,-113.51385,0.0304996,1.715491,6019.151108677005,-84.87045043691992,49.05053,0.010000002,-84.87045043691992,0.00030303735,1.0064634,-84.87045043691992
124.89,8208.39535464742,100,90.0854393917714,1.0916097,100,91.60783244800803,1,1.1116907e-05,0.029489528,0.11174143,-87.54384,-124.224365,0.78652,2.9565344,8208.39535464742,-91.02155385673046,81.92613,0.01,-91.02155385673046,0.007845031,1.002571,-91.02155385673046
110.68,4942.516898811865,100,90.98092261051497,1.089154,100,91.81438027705619,1,1.0013294e-05,0.01804374,0.09244572,-76.270615,-112.90983,0.3413477,1.7337303,4942.516898811865,-79.05822191044689,60.890556,0.01,-79.05822191044689,0.0035525647,0.9608486,-79.05822191044689
130.6,10342.19333425682,100,67.6317187868448,1.5026263,100,66.55014624024876,1,4.834304e-05,0.025273649,0.51526606,-83.97224,-127.00766,0.0008442011,2.6092565,10342.19333425682,-96.73676002547145,78.05466,0.010000002,-96.73676002547145,8.177058e-06,1.0324019,-96.73676002547145
123.74,8233.756173587548,100,84.20575868408521,1.1611161,100,86.1240301482072,1,1.8946203e-05,0.029721538,0.19778894,-82.623116,-120.4534,0.06955495,3.036765,8233.756173587548,-89.87228257581592,69.93484,0.01,-89.87228257581592,0.0006807507,1.0217389,-89.87228257581592
117.05,6011.140389881775,100,93.44305938980273,1.0700302,100,93.45530513151421,1,7.0879323e-06,0.023925785,0.0759933,-81.34629,-117.66223,0.77244747,2.4773881,6011.140389881775,-84.14411932557822,67.59681,0.01,-84.14411932557822,0.007460039,1.0354469,-84.14411932557822
106.22,3769.1305399052417,100,98.65900643211758,1.0171742,100,98.31157306336253,1,1.3729413e-06,0.012806236,0.013478419,-74.65964,-110.06673,0.62332165,1.2688638,3769.1305399052417,-75.27733574345707,57.87517,0.01,-75.27733574345707,0.0062909857,0.9908171,-75.27733574345707
