AvgNormIw,VarRet,eRenyi2,BatchSize,MinNormIw,Bound,MaxVanillaIw,MinVanillaIw,VarVanillaIw,AvgEpLen,J,ESSRenyi,MaxNormIw,VarNormIw,VarJ,ESSClassic,VanillaAvgRet,VarDiscRet,AvgDiscRet,AvgRet,AvgVanillaIw
0.01,192.74922086873892,1.0000007,100,3.257567e-15,34.73777,17664086.0,5.754195e-08,3120200000000.0,500.0,38.201733,99.99992847447743,0.9999999,0.01,4.1390216e-05,1.0000002264481858,-3.679600363428023,192.74922086873892,-3.679600363428023,-3.679600363428023,176640.88
0.01,262.6305921632084,2.5079267,100,3.4153043e-05,24.382076,1572.0159,0.055886652,24692.232,500.0,33.6561,39.873573617737875,0.9606789,0.0092215305,13.90496,1.0835041433376396,-3.225688631038639,262.6305921632084,-3.225688631038639,-3.225688631038639,16.363594
0.01,301.5668051620715,3.8688848,100,6.9793527e-06,48.182384,1797.914,0.013039529,32300.13,500.0,58.097126,25.847241549245563,0.9623258,0.009253601,17.45894,1.079789510229292,4.773387366302781,301.5668051620715,4.773387366302781,4.773387366302781,18.683006
0.01,454.56095538614176,1.0000007,100,5.3346097e-13,53.760887,394767.44,2.1061966e-07,1558408600.0,500.0,59.208855,99.99992847447743,0.9998735,0.009997447,0.038556043,1.0002530130591643,9.656515768700045,454.56095538614176,9.656515768700045,9.656515768700045,3948.1738
0.01,394.40888120140426,3.8905723,100,4.456517e-06,65.95159,1598.167,0.0074057784,25521.484,500.0,79.59058,25.703159341358013,0.9617164,0.00924178,24.975214,1.0811555142457163,6.501918794285382,394.40888120140426,6.501918794285382,6.501918794285382,16.61786
0.01,448.41107157691187,3.995566,100,3.387048e-06,48.292034,1305.7207,0.004635059,17032.963,500.0,58.43362,25.027743934493884,0.9541495,0.009095415,17.83301,1.098362805502246,14.446463559790327,448.41107157691187,14.446463559790327,14.446463559790327,13.684656
0.01,522.6102390215636,1.0000002,100,2.686086e-12,51.05296,108718.945,2.9215332e-07,118197050.0,500.0,56.61066,99.99997615814777,0.9995726,0.009991369,0.20961152,1.0008554558406382,22.640879089432474,522.6102390215636,22.640879089432474,22.640879089432474,1087.6544
0.010000002,592.4446979182779,4.236204,100,1.7242837e-05,49.900658,1339.888,0.024502315,17932.473,500.0,61.48226,23.606038925866876,0.94290966,0.008880621,21.518993,1.1246298527716991,11.692754869123224,592.4446979182779,11.692754869123224,11.692754869123224,14.210141
0.009999999,590.6146938852821,4.396787,100,1.5429143e-05,65.00651,983.2341,0.016748166,9659.726,500.0,79.63856,22.74388006764323,0.90579826,0.008198116,29.97265,1.217117447224324,21.984369270706544,590.6146938852821,21.984369270706544,21.984369270706544,10.85489
0.01,723.0232629043419,1.0000002,100,5.4104242e-11,61.923504,213421.16,1.1548977e-05,455484260.0,500.0,68.39095,99.99997615814777,0.9998279,0.009996524,0.07171097,1.0003442726769347,23.342918143659848,723.0232629043419,23.342918143659848,23.342918143659848,2134.5789
