MinVanillaIw,MaxVanillaIw,MaxNormIw,BatchSize,AvgDiscRet,IterType,AvgNormIw,ESSClassic,ESSRenyi,eRenyi2,VarDiscRet,AvgEpLen,AvgVanillaIw,AvgRet,Bound,VarJ,J,VarNormIw,Delta,VanillaAvgRet,VarVanillaIw,VarRet,EpsThisIter,MinNormIw
2.51008e-07,3.80494e+12,0.0454546,100,12.782170309,1,0.01,21.999992654,54.1654842233,1.84619,1143.02971371,41.84,8.37087e+11,12.782170309,53.9887,107.011,53.9887,0.000358127,1.0,12.782170309,2.50945e+24,1143.02971371,100,2.99859e-21
2.62816e-13,3.98394e+06,0.0442167,200,-0.132670745673,,0.01,23.2308625047,112.114910256,1.78388,236.651217548,41.84,901003.0,12.782170309,-0.768657,29.736,-0.768657,0.0003338,1.0,12.782170309,2.70981e+12,1143.02971371,100,2.91693e-21
2.75166e-07,5.4536e+09,0.0454545,200,-19.0798350283,1,0.005,22.0000056488,128.951017691,1.55098,841.219204514,43.34,5.99896e+08,-19.0798350283,53.9886,151.336,53.9886,0.000203289,1.0,-19.0798350283,2.92635e+18,841.219204514,100,2.29344e-18
1.0,1.0,0.01,200,-5.02808768524,2,0.01,100.0,200.0,1.0,1215.17392349,38.4,1.0,-5.02808768524,-5.02809,34.6846,-5.02809,3.50449e-18,1.0,-5.02808768524,,1215.17392349,100,0.01
1.83365e-10,3.63417e+06,0.0833042,300,-12.657949231,,0.005,12.0083967795,196.004947902,1.53057,1316.45926323,43.34,218127.0,-19.0798350283,-5.35489,132.524,-5.35489,0.000393342,1.0,-19.0798350283,7.48597e+11,841.219204514,100,4.20318e-18
1.23769e-20,6.25753e+30,0.0833333,300,28.7199854516,1,0.00333333,,0.411958427669,728.229,3727.95868008,80.26,2.50301e+29,28.7199854516,190.496,2.06306e-10,190.496,0.000267559,1.0,28.7199854516,inf,3727.95868008,100,
1.0,1.0,0.01,300,7.65742550584,2,0.01,100.0,300.0,1.0,401.075810953,45.02,1.0,7.65742550584,7.65742,19.9265,7.65742,3.50449e-18,1.0,7.65742550584,,401.075810953,100,0.01
1.0,1.0,0.005,300,-16.4600337113,2,0.005,200.000000102,300.0,1.0,1456.48510507,50.46,1.0,-16.4600337113,-4.4013,32.6329,-4.4013,2.1793e-19,1.0,-16.4600337113,,1456.48510507,100,0.005
1.59807e-31,8.0796e+19,0.0833333,400,6.69526806109,,0.00333333,,1.24761619658,320.611,367.093697514,80.26,3.23184e+18,28.7199854516,9.97459,69.2894,9.97459,0.000267559,1.0,28.7199854516,inf,3727.95868008,100,
2.8354e-12,5.33288e+19,0.0833333,400,0.303697113197,1,0.0025,,30.2420122964,13.2266,583.458295995,56.38,1.59986e+18,0.303697113197,190.496,2.09989e-05,190.496,0.00020259,1.0,0.303697113197,inf,583.458295995,100,4.43069e-33
