VarVanillaIw,AvgVanillaIw,ESSClassic,MinVanillaIw,BatchSize,AvgRet,eRenyi2,VarDiscRet,VarJ,ESSRenyi,MinNormIw,VarRet,J,Bound,AvgNormIw,AvgDiscRet,VarNormIw,AvgEpLen,MaxNormIw,MaxVanillaIw
1.4764834e-06,0.9999085,99.99986265847637,0.99340993,100,1999.929254922867,1.0000014,0.0006899162596342247,0.02610298,99.99985694905718,0.009935008,0.00731513255309474,865.9941,1927.0433,0.01,865.9940544909639,1.4767483e-10,200.0,0.01001654,1.0015624
1.2766831e-06,1.0000559,99.99989319453505,0.9973038,100,1999.9297816562653,1.0,0.0005560359534223253,0.023454173,100.0,0.00997248,0.0042251807426299534,865.9925,1927.0438,0.01,865.9924647718487,1.2765351e-10,200.0,0.010026006,1.0026567
1.9084881e-08,1.0000111,100.00001525862085,0.9996825,100,1999.9388698482514,1.000001,0.0005394107373473504,0.023109835,99.99990463265931,0.009996713,0.0038705495109659723,865.9965,1927.0531,0.01,865.9964949801297,1.9085376e-12,200.0,0.010002597,1.0002708
1.8445255e-07,1.0000733,99.99995804141962,0.9989529,100,1999.9411546230317,1.0000002,0.0005844401912110179,0.024047308,99.99997615814777,0.009988797,0.005272951715291257,865.9974,1927.0552,0.010000002,865.9973395332469,1.8442775e-11,200.0,0.010010349,1.0011083
2.5535994e-06,0.99989855,99.99973294462788,0.99529946,100,1999.9284856414795,1.0000025,0.0006465798378684041,0.025281386,99.99974966111864,0.009954005,0.0059449812116817505,865.9933,1927.0425,0.010000002,865.9932344381705,2.5541308e-10,200.0,0.01002757,1.0026553
9.115546e-07,1.0000794,99.99990082582148,0.9960482,100,1999.9413396930695,1.0000006,0.0006295470180576852,0.024940982,99.99994039539075,0.009959691,0.004883433174485655,865.9967,1927.0554,0.010000002,865.9967102836182,9.1141046e-11,200.0,0.010026956,1.0027752
,1.0,100.0,1.0,100,1999.943342475891,1.0,0.00047690391484812573,0.021728685,100.0,0.01,0.0037906763340890964,865.9979,1927.0573,0.009999998,865.9979701422188,3.5044917e-18,200.0,0.01,1.0
8.2974236e-07,1.0000277,99.99991226445043,0.9972667,100,1999.9334377574921,1.0000007,0.0006002234033626913,0.024363507,99.99992847447743,0.009972391,0.005176209056737133,865.9943,1927.0476,0.010000002,865.9941604242383,8.296982e-11,200.0,0.010018069,1.0018346
3.8332755e-06,1.0001184,99.99959187696707,0.9937918,100,1999.9296194267272,1.0000038,0.0006143860631917845,0.024631962,99.99961853172863,0.009936742,0.005309940938920654,865.99243,1927.0437,0.010000003,865.9924325314736,3.8323758e-10,200.0,0.010049573,1.0050763
4.5173083e-06,0.9998934,99.99954981926102,0.99584395,100,1999.935731534958,1.0000039,0.0005959224713483864,0.024262087,99.99960661089204,0.009959501,0.005254568888826955,865.9956,1927.0498,0.010000002,865.9955128704086,4.518257e-10,200.0,0.010080644,1.007957
2.721952e-07,1.0000467,99.99997329837124,0.99894917,100,1999.9355058002473,1.0000011,0.0006423556594837215,0.025215063,99.99989271175451,0.009989025,0.005193685663990262,865.99457,1927.0494,0.01,865.994577532641,2.7217026e-11,200.0,0.010018002,1.001847
8.0660897e-07,1.000108,99.99990464293093,0.9983134,100,1999.9362521648407,1.0000014,0.0005013700824020614,0.02226574,99.99985694905718,0.009982057,0.0040403950122116375,865.99493,1927.0504,0.01,865.9949075077692,8.064323e-11,200.0,0.010026488,1.0027571
2.7720012e-06,0.9998322,99.99972911159735,0.99039054,100,1999.9335400676728,1.000001,0.0006604280632923858,0.025521081,99.99990463265931,0.009905567,0.0057898512021203165,865.99524,1927.0477,0.01,865.9951281806707,2.7729227e-10,200.0,0.010024281,1.00226
1.2336317e-06,0.9998261,99.99988553926981,0.9960439,100,1999.9208457279206,1.0000017,0.000893080613703555,0.029706098,99.99983310727316,0.009962172,0.008134276973667583,865.9916,1927.0349,0.01,865.9914672553641,1.234057e-10,200.0,0.010015661,1.0013919
3.6485014e-07,1.0000194,99.99996566839874,0.9983258,100,1999.932046766281,1.0000002,0.0007187479034756552,0.026658023,99.99997615814777,0.009983065,0.00718883699276412,865.99493,1927.0461,0.01,865.9948491015043,3.6483424e-11,200.0,0.010010426,1.001062
1.1859488e-06,1.0000457,99.99987030634614,0.99531895,100,1999.9313307380676,1.0000007,0.0008954350424846857,0.029737564,99.99992847447743,0.009952734,0.009968541012098322,865.99457,1927.0455,0.010000002,865.9944533725807,1.1858436e-10,200.0,0.010016628,1.0017085
4.2084007e-08,0.9999754,100.0000114443748,0.9995914,100,1999.919153547287,1.0,0.0008354035610557756,0.028768469,100.0,0.009996161,0.009092929205735345,865.9904,1927.0333,0.009999999,865.9903382685105,4.208766e-12,200.0,0.010010326,1.0010079
2.4279066e-07,0.99997365,99.99996185203415,0.9987277,100,1999.9315150260925,1.0000011,0.0006609452090241082,0.025575962,99.99989271175451,0.00998754,0.005722416160905496,865.9942,1927.0457,0.01,865.9942084670479,2.4280534e-11,200.0,0.010012163,1.00119
2.7959095e-07,1.0000051,99.99995422388253,0.9987572,100,1999.9264969444275,1.0000002,0.0006357737834425703,0.025075866,99.99997615814777,0.009987521,0.005954548227410035,865.9923,1927.0405,0.01,865.9923114289647,2.795853e-11,200.0,0.010013482,1.0013533
0.0040423432,1.0053333,99.60561688264885,0.6972825,100,1999.1341228656283,1.0029882,1.2914190793488731,0.7868469,99.70206835895135,0.006935834,64.90927502628737,865.91815,1926.3868,0.01,865.8831535727304,3.9995678e-07,199.93,0.01070652,1.0763621
4.0202e-06,1.0002837,99.99962626672935,0.9949142,100,1999.9390960884093,1.000003,0.0006764306614343421,0.025838241,99.9997019776643,0.00994632,0.006388815849512123,865.99646,1927.0531,0.01,865.9963781475213,4.0179132e-10,200.0,0.010041495,1.0044343
0.024716359,1.0012668,97.61741199940909,0.3530565,100,1996.5233039401471,1.0178484,14.00346520225331,1.9920036,98.24646057877119,0.003526098,626.7027368884009,865.74585,1924.7268,0.01,865.4886018385395,2.4653857e-06,199.68,0.01243998,1.2455739
1.0444494e-06,0.99993515,99.99990462645161,0.9948947,100,1999.9263673973082,1.0000015,0.0009347187524749016,0.030371599,99.99984502816375,0.009949592,0.008426990908929757,865.9921,1927.0404,0.009999999,865.9920867718879,1.0445864e-10,200.0,0.010014109,1.001346
2.1847486e-06,0.99984205,99.99977108240442,0.9952824,100,1999.9365891742707,1.0000012,0.0005747017196602252,0.02383255,99.99988079085256,0.009954397,0.005385624111311039,865.9963,1927.0507,0.01,865.9961848105407,2.1854342e-10,200.0,0.010022715,1.0021132
0.000686154,1.0004919,99.93217772774868,0.8936969,100,1999.446792962365,1.0006773,0.4813407781303336,0.6173487,99.9323111305423,0.008932576,25.09465919751618,865.93677,1926.5896,0.01,865.929313510273,6.854795e-08,199.96,0.010346593,1.0351683
5.046045e-09,0.9999939,100.0,0.99979454,100,1999.9394244480134,1.0,0.000523164177387566,0.022758745,100.0,0.009998007,0.005143457789959442,865.99646,1927.0535,0.01,865.9963966043838,5.0468776e-13,200.0,0.010003148,1.0003086
9.1602516e-07,0.9999566,99.99990081363907,0.9954518,100,1999.93989777565,1.0000004,0.0005217413125167297,0.022709593,99.99996423722592,0.00995495,0.004010628273353994,865.9964,1927.054,0.01,865.9964116464985,9.161082e-11,200.0,0.01001742,1.0016985
3.4607737e-07,1.0000672,99.99995804116354,0.99829054,100,1999.9464273357391,1.0000012,0.00045838589808994736,0.021297555,99.99988079085256,0.009982235,0.003334450292200063,865.99835,1927.0604,0.01,865.9983565709213,3.4602845e-11,200.0,0.010009136,1.0009809
7.679433e-07,1.0001726,99.99993134733768,0.9987824,100,1999.9460383033752,1.0000004,0.0005505095640329875,0.023336917,99.99996423722592,0.0099861,0.0034729905169128086,865.99756,1927.0599,0.01,865.9975218971424,7.6768446e-11,200.0,0.010033305,1.0035037
0.028987698,0.99819946,97.20047957033862,0.23548953,100,1996.5314236592874,1.0186112,29.963868439676265,1.2951934,98.172885509548,0.002359143,1159.465473555585,865.8663,1925.5731,0.01,865.4477317924083,2.909237e-06,199.67,0.011703842,1.1682769
0.027626114,0.99078673,97.28941636960327,0.14319818,100,1994.5411894537228,1.0257328,93.48407780469459,1.4027146,97.49128069480166,0.0014452976,2919.4345965812154,865.85754,1925.3445,0.01,865.0308701726999,2.8142292e-06,199.47,0.011866453,1.1757125
3.8034793e-06,1.0000973,99.99963763999314,0.9941236,100,1999.9336157226562,1.0000048,0.0006434301463416615,0.02520465,99.99952316511552,0.0099402685,0.004866496842153749,865.99335,1927.0476,0.009999999,865.9933679386926,3.8027467e-10,200.0,0.010048463,1.0049441
2.604839e-07,0.99988484,99.99997710918497,0.99824107,100,1999.9135997104645,1.0000001,0.0010613611097681388,0.03239679,99.99998807907247,0.00998356,0.011579874388021612,865.9888,1927.0277,0.01,865.9887134240989,2.6054424e-11,200.0,0.010007063,1.000591
