AvgEpLen,AvgNormIw,VarJ,eRenyi2,MaxNormIw,Bound,J,VarRet,MaxVanillaIw,VanillaAvgRet,AvgVanillaIw,ESSClassic,ESSRenyi,BatchSize,VarNormIw,AvgRet,AvgDiscRet,VarVanillaIw,MinVanillaIw,VarDiscRet,MinNormIw
12.59,0.01,865.3399,20.614157,0.386463,233.12811,489.10126,12761.899892499938,66.15531,115.83745997929802,1.7118149,4.485029478558557,4.851035205738842,100,0.0021511514,115.83745997929802,115.83745997929802,63.035397,1.7334345e-14,12761.899892499938,1.0126296e-16
37.48,0.01,6036.083,39.904625,0.861689,1685.8613,4344.1265,300759.5220266331,54.922535,364.77152491567597,0.6373823,1.3420552512847543,2.5059751884136885,100,0.0074255136,364.77152491567597,364.77152491567597,30.166613,6.7882395e-30,300759.5220266331,1.0650185e-31
81.69,0.010000002,4020.2812,34.67515,0.84104586,1666.1348,3737.71,419820.4125650397,81.804924,806.6431094745262,0.9726571,1.404235257912737,2.88390950686604,100,0.007092238,806.6431094745262,806.6431094745262,67.09696,,419820.4125650397,
132.57,0.01,3040.973,28.448038,0.8434345,1768.8865,3487.8726,475621.48340426985,81.06979,1315.3054677751677,0.9611866,1.4000195382159484,3.515180893820401,100,0.0071138972,1315.3054677751677,1315.3054677751677,65.72384,2.1928003e-37,475621.48340426985,2.281348e-39
123.95,0.01,2673.044,15.230318,0.3884786,2017.8533,3456.2358,934012.7314846212,37.988205,1229.0736300802937,0.97787124,4.2060428111612245,6.565851057341617,100,0.0023005372,1229.0736300802937,1229.0736300802937,21.998474,1.9799935e-31,934012.7314846212,2.0247999e-33
158.18,0.01,6284.9146,15.472846,0.5371526,1905.3228,3401.677,1332325.0404260294,90.94165,1571.2878662292228,1.6930319,3.2873745775093064,6.462935118621858,100,0.0029716573,1571.2878662292228,1571.2878662292228,85.178314,3.1871255e-06,1332325.0404260294,1.8824958e-08
152.81,0.010000002,4931.428,15.8715515,0.75486773,2314.774,3796.7424,1220152.6647711822,163.79977,1517.597303496359,2.1699135,1.7414656947380736,6.300581257847366,100,0.0056992834,1517.597303496359,1517.597303496359,268.3522,8.5292336e-11,1220152.6647711822,3.9306788e-13
145.16,0.010000002,2162.239,4.5257707,0.09596922,1364.8916,2163.365,972231.7418657335,10.056521,1441.0705844194517,1.0478902,20.966502347087406,22.095684341827596,100,0.00038075887,1441.0705844194517,1441.0705844194517,4.181014,3.5102207e-06,972231.7418657335,3.349798e-08
174.94,0.01,2967.502,10.241191,0.5002601,1682.148,3028.7634,1217108.6046424054,42.58723,1738.9763392479304,0.8513017,3.282559378329106,9.764489391467302,100,0.0029761654,1738.9763392479304,1738.9763392479304,21.568699,7.9539755e-14,1217108.6046424054,9.343309e-16
164.15,0.010000002,2353.8953,16.42505,0.477966,1785.4653,3170.2544,812772.5232604695,53.364815,1630.9264220558432,1.1164981,3.433508203438069,6.088261254744697,100,0.0028408817,1630.9264220558432,1630.9264220558432,35.413536,,812772.5232604695,
