#{"t_start": 1518538551.8952036, "env_id": "LQG1D-v0"}
r,l,t
-62.110904,10,2.521583
-19.836699,10,2.524503
-88.844417,10,2.527494
-62.660393,10,2.530381
-51.308541,10,2.533303
-38.07396,10,2.536199
-14.666778,10,2.539159
-21.500639,10,2.542043
-33.437728,10,2.544972
-15.966713,10,2.547902
-17.710434,10,2.5509
-57.330143,10,2.553813
-118.338432,10,2.556799
-37.335839,10,2.559735
-48.665143,10,2.562683
-43.489037,10,2.565609
-102.498869,10,2.568633
-99.256048,10,2.571733
-27.923711,10,2.574608
-72.091403,10,2.577986
-30.634991,10,2.581916
-49.367283,10,2.58671
-98.531004,10,2.591228
-96.496299,10,2.594892
-56.70229,10,2.598068
-36.149075,10,2.601184
-8.373934,10,2.604217
-31.970198,10,2.607255
-41.142694,10,2.610202
-37.000024,10,2.613191
-14.594532,10,2.616227
-97.003916,10,2.619161
-82.855003,10,2.622054
-61.339428,10,2.624983
-15.721488,10,2.628054
-44.863718,10,2.630976
-21.017473,10,2.633914
-58.351153,10,2.636931
-38.42562,10,2.640026
-77.159549,10,2.642966
-11.703666,10,2.6459
-11.086015,10,2.648887
-14.194809,10,2.651913
-19.238016,10,2.654902
-47.086257,10,2.658217
-41.755802,10,2.661819
-82.636881,10,2.664914
-117.749038,10,2.667839
-48.404339,10,2.670839
-65.611257,10,2.673822
-58.449704,10,2.676909
-19.72311,10,2.67991
-28.325617,10,2.683564
-51.32392,10,2.687176
-35.294186,10,2.690257
-62.949021,10,2.693429
-30.195008,10,2.696618
-90.94442,10,2.699836
-42.515245,10,2.702993
-68.384404,10,2.706104
-92.503754,10,2.7091
-38.777144,10,2.71212
-24.950533,10,2.715068
-83.083135,10,2.718013
-18.143223,10,2.721009
-32.482267,10,2.724043
-48.277519,10,2.727088
-23.003099,10,2.7301
-32.998575,10,2.733061
-11.094505,10,2.736161
-58.7825,10,2.739277
-83.442771,10,2.742326
-34.192442,10,2.745562
-111.309539,10,2.748716
-40.203854,10,2.751863
-90.594464,10,2.755125
-61.459485,10,2.758167
-26.763365,10,2.7613
-37.709114,10,2.764464
-27.244341,10,2.767577
-29.389877,10,2.770581
