Bound,MinVanillaIw,eRenyi2,VarVanillaIw,AvgEpLen,AvgRet,VarJ,MinNormIw,ESSRenyi,ESSClassic,AvgDiscRet,MaxNormIw,AvgNormIw,VarDiscRet,BatchSize,VanillaAvgRet,VarNormIw,MaxVanillaIw,VarRet,J,AvgVanillaIw
-857.0596,1.376501e-13,2.6026433,1.2906749,200.0,-2205.289335665965,207.27979,1.5921779e-15,38.422476820623004,36.906479286450235,-2205.289335665965,0.0420884,0.01,5466384.709018622,100,-2205.289335665965,0.00017268196,3.6387095,5466384.709018622,-75.09867,0.86453974
-298.74002,0.07571651,1.0786772,0.074536234,200.0,-68.80841870432374,48.314598,0.0007522333,92.70614238666755,93.21116771488244,-68.80841870432374,0.012571399,0.01,177605.79851475934,100,-68.80841870432374,7.3568417e-06,1.2653819,177605.79851475934,-15.336317,1.0065562
-14.027122,0.024265848,1.1875725,0.20395008,200.0,-10.103487820427329,8.092292,0.0002394042,84.2053868268474,83.57492275205782,-10.103487820427329,0.014553822,0.01,83.2828020611986,100,-10.103487820427329,1.985164e-05,1.4751656,83.2828020611986,-9.072778,1.0135933
-10.437073,0.00029399368,1.3837534,0.36661083,200.0,-8.875476313485011,7.644792,2.8608624e-06,72.26721078519422,74.42230567258494,-8.875476313485011,0.017532475,0.010000002,65.32859717095512,100,-8.875476313485011,3.4715482e-05,1.8017074,65.32859717095512,-7.6259627,1.0276401
-10.675884,0.008831367,1.2982941,0.28961238,200.0,-8.730718114190953,8.080356,8.6104425e-05,77.02415231826997,78.58233033831722,-8.730718114190953,0.016254213,0.010000002,61.28466158723819,100,-8.730718114190953,2.753038e-05,1.6671259,61.28466158723819,-8.048621,1.0256578
-8.840561,0.061946016,1.1629698,0.17254554,200.0,-7.193046062926459,6.683043,0.00061258045,85.98675358749317,85.68636541835676,-7.193046062926459,0.01446039,0.01,52.26611184524411,100,-7.193046062926459,1.6873426e-05,1.4622791,52.26611184524411,-6.501054,1.0112307
-8.727478,0.00018025903,1.8688692,0.724175,200.0,-6.93598839308172,7.3142734,1.9061312e-06,53.508293024824376,55.504361553159576,-6.93598839308172,0.02770853,0.010000002,40.41682477216325,100,-6.93598839308172,8.097574e-05,2.6203406,40.41682477216325,-6.0225387,0.9456801
-10.276601,0.6807398,1.0119423,0.012376999,200.0,-8.319639687997864,7.4190326,0.0068762004,98.81986672536371,98.7652157919585,-8.319639687997864,0.011715416,0.010000002,54.761446550105134,100,-8.319639687997864,1.2628452e-06,1.1598192,54.761446550105134,-8.29651,0.9899941
-9.095841,,7.499695,6.208183,200.0,-8.904745738137112,11.9976425,,13.333875890132248,12.934365111637529,-8.904745738137112,0.11077676,0.010000002,51.91898315180356,100,-8.904745738137112,0.00067993347,10.585167,51.91898315180356,-3.6974413,0.9555404
-9.007458,0.57688093,1.0167333,0.015389537,200.0,-7.097546755523582,7.034412,0.005685849,98.35421059289995,98.54153348804327,-7.097546755523582,0.011092804,0.01,50.41841022917388,100,-7.097546755523582,1.4950094e-06,1.1254655,50.41841022917388,-7.0570474,1.0145906
-6.603327,4.739466e-13,5.186207,2.765198,200.0,-7.744236135417933,7.2542763,6.5961636e-15,19.2819151870532,15.866571593306412,-7.744236135417933,0.10892693,0.009999999,52.34814822064854,100,-7.744236135417933,0.000535612,7.8266025,52.34814822064854,-2.1799998,0.7185186
-8.689573,0.7174413,1.2007328,0.33333433,200.0,-7.9185998994227305,7.809116,0.0012381901,416.4123680798675,400.73248577612407,-7.9185998994227305,0.008678396,0.002,49.19402528145224,500,-7.9185998994227305,9.928463e-07,5.0285006,49.19402528145224,-7.7266164,1.1588548
-8.549227,0.08090311,1.0983093,0.11071125,200.0,-7.73010529527269,7.4584603,0.00016576807,455.24517528273844,448.04204300685376,-7.73010529527269,0.0026758725,0.002,50.64626553449664,500,-7.73010529527269,4.6479667e-07,1.3059597,50.64626553449664,-7.630883,0.9761001
-8.767112,0.0019907658,1.1541209,0.17080046,200.0,-7.915081256246029,7.591384,3.989689e-06,433.23016716060005,426.92784666253453,-7.915081256246029,0.002832095,0.002,47.627569137889594,500,-7.915081256246029,6.860042e-07,1.4131522,47.627569137889594,-7.8258467,0.9979554
