AvgDiscRet,EpsThisIter,AvgEpLen,J,ESSRenyi,AvgRet,MaxVanillaIw,MinNormIw,ESSClassic,BatchSize,VanillaAvgRet,VarNormIw,eRenyi2,Delta,VarDiscRet,MaxNormIw,VarJ,IterType,AvgNormIw,MinVanillaIw,VarRet,VarVanillaIw,Bound,AvgVanillaIw
-128.287298725,100,61.44,-109.664,66.23977693,-128.287298725,2.27828,5.78716e-06,57.3472089412,100,-128.287298725,7.51277e-05,1.50967,0.9,4581.01101113,0.0256208,7.63406,1,0.01,0.000514613,4581.01101113,0.594059,-129.945,0.889231
-117.724583295,100,33.52,-108.731,77.9229122553,-117.724583295,1.87782,2.1657e-05,77.1905271423,100,-117.724583295,2.9848e-05,1.28332,0.9,2957.7149464,0.0179241,7.48622,1,0.01,0.00226889,2957.7149464,0.327603,-127.22,1.04765
-108.974261469,100,17.68,-107.683,81.8532144915,-108.974261469,1.98266,0.000188179,81.8661286219,100,-108.974261469,2.23744e-05,1.2217,0.9,30.7580330333,0.0199996,3.69467,1,0.01,0.0186551,30.7580330333,0.219889,-112.551,0.991348
-107.860001822,100,16.44,-103.515,99.9999761581,-107.860001822,3.65927e-25,,inf,100,-107.860001822,0.01,1.0,0.9,9.26718009479,1.0,,1,0.01,,9.26718009479,,-107.539,3.65927e-27
-112.98776406,100,16.44,nan,27424303.432,-107.860001822,inf,nan,nan,200,-107.860001822,nan,7.2928e-06,0.9,1220.63276885,nan,nan,,nan,2.73279e+24,9.26718009479,nan,nan,inf
-108.560048903,100,17.81,-107.58,175.583078601,-108.560048903,1.95347,0.000284127,174.963031844,200,-108.560048903,3.59544e-06,1.13906,0.9,33.5915261882,0.00979159,3.13613,1,0.005,0.0566848,33.5915261882,0.143106,-111.326,0.997525
-107.591154867,100,19.11,-107.591,200.0,-107.591154867,1.0,0.01,100.0,200,-107.591154867,3.50449e-18,1.0,0.9,8.99177387176,0.01,2.9836,2,0.01,1.0,8.99177387176,,-111.53,1.0
-110.023920902,100,23.17,-107.523,183.183417556,-110.023920902,1.47912,0.00049266,182.575011816,200,-110.023920902,2.39799e-06,1.0918,0.9,426.644853658,0.00741135,3.44749,1,0.005,0.0983228,426.644853658,0.0955127,-115.069,0.997877
-108.02709854,100,16.79,-108.027,200.0,-108.02709854,1.0,0.01,100.0,200,-108.02709854,3.50449e-18,1.0,0.9,11.0315624799,0.01,3.30473,2,0.01,1.0,11.0315624799,,-111.946,1.0
-107.422161111,100,15.9,-107.277,170.740952459,-107.422161111,2.64681,0.000625884,167.269220853,200,-107.422161111,4.91651e-06,1.17137,0.9,6.15951903664,0.0134662,2.73324,1,0.005,0.123019,6.15951903664,0.189939,-110.277,0.982762
-107.392522521,100,17.38,-107.393,200.0,-107.392522521,1.0,0.01,100.0,200,-107.392522521,3.50449e-18,1.0,0.9,7.52528913989,0.01,2.72948,2,0.01,1.0,7.52528913989,,-111.259,1.0
-106.806393696,100,16.35,-106.831,181.613781729,-106.806393696,1.69803,0.00136836,184.056393163,200,-106.806393696,2.17647e-06,1.10124,0.9,5.74447904995,0.0082614,2.34279,1,0.005,0.281249,5.74447904995,0.0919463,-109.7,1.02769
-107.023713582,100,16.2,-107.024,200.0,-107.023713582,1.0,0.01,100.0,200,-107.023713582,3.50449e-18,1.0,0.9,5.83590754961,0.01,2.40365,2,0.01,1.0,5.83590754961,,-110.808,1.0
-106.901690468,100,18.13,-106.851,192.276799846,-106.901690468,1.74062,0.0018498,190.256690937,200,-106.901690468,1.28672e-06,1.04017,0.9,4.77304261022,0.00871663,2.20844,1,0.005,0.369387,4.77304261022,0.0513093,-109.582,0.998448
-107.01373563,100,17.75,-107.014,200.0,-107.01373563,1.0,0.01,100.0,200,-107.01373563,3.50449e-18,1.0,0.9,7.42098462896,0.01,2.71049,2,0.01,1.0,7.42098462896,,-110.88,1.0
-106.790488638,100,16.04,-106.752,188.681377409,-106.790488638,1.47603,0.00112573,189.708179964,200,-106.790488638,1.36308e-06,1.05999,0.9,5.19684149295,0.00737479,2.5583,1,0.005,0.225311,5.19684149295,0.0546026,-109.567,1.00073
-106.646018037,100,15.72,-106.646,200.0,-106.646018037,1.0,0.01,100.0,200,-106.646018037,3.50449e-18,1.0,0.9,4.49552080118,0.01,2.10964,2,0.01,1.0,4.49552080118,,-110.431,1.0
-106.830870905,100,16.19,-106.64,192.605300716,-106.830870905,1.83646,0.00190374,192.606193331,200,-106.830870905,9.64521e-07,1.03839,0.9,5.07809002615,0.00904914,2.17451,1,0.005,0.38635,5.07809002615,0.0397246,-109.385,1.01471
