entloss,TimestepsSoFar,Avg_ret,Reny_4,optimgain,Step_size,J_hat,ev_tdlam_before,Max_ret,Var_J,Our_bound,EpLenMean,EpThisIter,EpisodesSoFar,Avg_iw,TimeElapsed,Var_ret,surrgain,meankl,entropy,EpRewMean,DiscEpRewMean,Var_iw,Ess,Max_iw
,2000,202.96734619140625,1.1938694,0.023275308,1.0,238.4878387451172,0.00030559301376342773,496.94891357421875,304.0965270996094,236.54617309570312,22.471910112359552,89,89,1.0,3.8132646083831787,10315.0908203125,0.023275308,0.01002515,1.3883084,216.75447798080825,202.9673590453404,0.006026631686836481,58.0,4.103412628173828
,4000,253.73562622070312,1.2366525,0.030775478,1.0,419.3821716308594,0.0128975510597229,788.3800659179688,8853.8955078125,396.60943603515625,28.571428571428573,70,159,1.0,7.717268228530884,20750.685546875,0.030775478,0.009680949,1.3819722,278.1677759200601,253.7356516683923,0.06281795352697372,13.0,17.487667083740234
,6000,342.9198303222656,1.3505033,0.02491115,1.0,449.1324462890625,0.005252063274383545,788.3929443359375,5516.703125,434.0193176269531,40.0,50,209,1.0,11.393625259399414,46583.5703125,0.02491115,0.010105785,1.3668406,393.64760561995206,342.91985552286286,0.03690933436155319,18.0,9.45630168914795
,8000,434.896484375,1.5594329,0.03058065,1.0,480.7401428222656,0.0038454532623291016,788.423095703125,8212.3056640625,456.7212219238281,52.63157894736842,38,247,1.0,14.920753240585327,77928.7890625,0.03058065,0.009018169,1.3533447,521.4141982851648,434.89650104771863,0.060808539390563965,11.0,9.405017852783203
,10000,667.1161499023438,1.4477495,0.021448635,1.0,711.3026733398438,0.0004925727844238281,788.4381103515625,1661.3680419921875,702.1671142578125,83.33333333333333,24,271,1.0,18.95382070541382,44873.33203125,0.021448635,0.0063255453,1.359668,831.5087290191246,667.1161179157453,0.026150785386562347,15.0,2.689568281173706
