#{"t_start": 1522956483.2521074, "env_id": "ContCartPole-v0"}
r,l,t
119.918939,13,1.740725
99.925982,11,1.757893
389.798409,40,1.81814
169.867628,18,1.840013
169.914666,18,1.888279
329.886855,34,1.916742
139.901959,15,1.928427
179.898472,19,1.944192
309.873122,32,1.982985
359.924615,37,2.028135
189.878307,20,2.08988
349.871479,36,2.131809
319.608036,33,2.165269
309.915447,32,2.19589
329.933465,34,2.226157
319.771485,33,2.306912
279.841949,29,2.340309
219.862508,23,2.371274
569.876331,58,2.440173
129.888493,14,2.451566
119.90752,13,2.461534
89.923501,10,2.492186
179.871728,19,2.514995
299.90212,31,2.550483
379.86201,39,2.60616
189.816423,20,2.628987
239.914684,25,2.659848
119.923408,13,2.674648
389.864005,40,2.704446
529.841696,54,2.745223
309.853336,32,2.76727
129.894377,14,2.777509
219.883651,23,2.794016
219.878079,23,2.812274
159.901675,17,2.82495
149.927116,16,2.836965
169.903664,18,2.853111
319.908083,33,2.881725
219.896377,23,2.900625
219.901141,23,2.919254
449.894554,46,2.970311
229.88852,24,2.987073
109.888293,12,3.000182
139.918849,15,3.018734
189.886076,20,3.049176
409.857398,42,3.090672
259.89454,27,3.11225
199.887714,21,3.137942
229.887078,24,3.157261
289.898586,30,3.180956
129.892448,14,3.192161
229.882597,24,3.228117
499.902549,51,3.267895
139.904198,15,3.280754
199.863065,21,3.304997
159.870054,17,3.318527
259.863886,27,3.348108
229.841981,24,3.375047
239.882322,25,3.399457
359.861723,37,3.427827
219.939709,23,3.443936
129.889037,14,3.453673
209.900116,22,3.470222
169.904275,18,3.486033
129.898202,14,3.496197
339.842212,35,3.521554
379.854494,39,3.556967
159.902707,17,3.569991
209.846179,22,3.588056
159.891963,17,3.601295
209.818727,22,5.343849
169.859601,18,5.363925
309.91136,32,5.401071
179.909133,19,5.458627
319.920697,33,5.494574
439.886902,45,5.545795
359.70712,37,5.574766
139.87732,15,5.586749
419.849275,43,5.621888
139.904626,15,5.63606
249.81799,26,5.655895
109.918233,12,5.665573
179.88113,19,5.718629
279.853751,29,5.739588
329.756565,34,5.781836
209.852578,22,5.828382
459.614628,47,5.875536
219.909995,23,5.892639
279.855033,29,5.930531
199.919404,21,5.946193
289.825824,30,5.968497
219.909929,23,5.999981
339.818403,35,6.038405
139.885932,15,6.106451
79.92191,9,6.11322
569.657286,58,6.188866
539.800563,55,6.38749
409.742631,42,6.479492
329.843895,34,6.516507
209.884238,22,6.547006
349.86729,36,6.576162
209.904815,22,6.593494
239.915798,25,6.612161
99.918823,11,6.644396
429.871829,44,6.692863
149.914648,16,6.704415
219.881736,23,6.722811
219.866462,23,6.76001
329.891949,34,6.803394
209.909977,22,6.826268
269.884839,28,6.897569
219.858452,23,6.921913
319.877552,33,6.966642
299.913244,31,7.026496
559.853281,57,7.097022
259.934777,27,7.139422
179.869235,19,7.158807
989.699969,100,7.322084
379.870756,39,7.352399
259.850422,27,7.373922
139.913796,15,7.385963
179.866827,19,7.400697
599.634662,61,9.290828
179.894703,19,9.306346
579.551097,59,9.381778
279.888904,29,9.403147
989.591427,100,9.522357
569.812074,58,9.59081
909.746754,92,9.752183
629.603936,64,9.818389
269.887953,28,9.851827
779.537675,79,9.94182
339.896039,35,10.090309
169.857335,18,10.157839
129.903872,14,10.169189
499.79697,51,10.210541
179.912856,19,10.236915
359.840335,37,10.262929
259.705132,27,10.281678
149.929197,16,10.310821
339.676804,35,10.45549
289.88376,30,10.488961
459.848342,47,10.775122
179.877842,19,10.788746
149.905268,16,10.801412
119.903799,13,10.822361
659.756571,67,10.871018
679.821587,69,10.942588
259.851328,27,10.990374
169.872308,18,11.003727
549.74792,56,11.0852
149.902531,16,11.096227
159.908466,17,11.108485
979.671019,99,12.990099
619.764529,63,13.042294
229.789741,24,13.090223
789.591376,80,13.213611
509.74607,52,13.271866
349.873948,36,13.300794
519.732602,53,13.351346
339.899081,35,13.379729
839.807903,85,13.455739
439.841354,45,13.582858
959.775921,97,13.778237
659.694836,67,13.834309
929.432153,94,14.013698
979.629583,99,14.095321
449.840005,46,14.128861
249.882428,26,14.148393
929.664172,94,14.250097
979.472625,99,14.43938
909.876247,92,17.137042
509.488971,52,17.538939
849.803465,86,17.790298
499.756858,51,17.838812
709.708208,72,21.259379
