ESSRenyi,VarJ,ESSClassic,VarRet,AvgVanillaIw,J,BatchSize,Delta,VanillaAvgRet,IterType,AvgEpLen,VarVanillaIw,VarDiscRet,MinVanillaIw,Bound,VarNormIw,EpsThisIter,MaxVanillaIw,MinNormIw,MaxNormIw,eRenyi2,AvgNormIw,AvgRet,AvgDiscRet
0.00112039914219,0.000401023,1.00001116469,4841.67031171,3.46215e-08,-104.199,100,1.0,-126.517539579,1,42.58,1.19864e-13,4841.67031171,,-104.199,0.00999989,100,3.46213e-06,,0.999994,89253.9,0.01,-126.517539579,-126.517539579
1.88109043714e+15,nan,nan,4841.67031171,inf,nan,200,1.0,-126.517539579,,42.58,nan,6.54938688462,288839.0,nan,nan,100,inf,nan,nan,1.06321e-13,nan,-126.517539579,-107.647406768
0.0111447824787,6.33657e-09,1.0,3930.80632392,7.88789e-13,-105.763,200,1.0,-124.862021072,1,39.79,1.24438e-22,3930.80632392,,-105.763,0.005,100,1.57758e-10,,1.0,17945.6,0.005,-124.862021072,-124.862021072
200.0,4.59367,100.0,21.3149476345,1.0,-108.696,200,1.0,-108.69634112,2,16.37,,21.3149476345,1.0,-108.696,3.50449e-18,100,1.0,0.01,0.01,1.0,0.01,-108.69634112,-108.69634112
nan,nan,nan,3930.80632392,inf,nan,300,1.0,-124.862021072,,39.79,nan,6.95614156139,6.33883e+09,nan,nan,100,inf,nan,nan,nan,nan,-124.862021072,-107.639004261
0.00435802936268,2.5232e-09,1.0,3291.86559003,3.22935e-15,-105.763,300,1.0,-124.343736473,1,45.03,3.12862e-27,3291.86559003,,-105.763,0.00333333,100,9.68806e-13,,1.0,68838.5,0.00333333,-124.343736473,-124.343736473
300.0,4.00313,100.0,16.1869412635,1.0,-108.483,300,1.0,-108.482756691,2,16.65,,16.1869412635,1.0,-108.483,3.50449e-18,100,1.0,0.01,0.01,1.0,0.01,-108.482756691,-108.482756691
300.0,3.55167,200.000000102,9.29667131369,1.0,-108.482,300,1.0,-108.481057051,2,16.0,,9.29667131369,1.0,-108.482,2.1793e-19,100,1.0,0.005,0.005,1.0,0.005,-108.481057051,-108.481057051
nan,nan,nan,3291.86559003,inf,nan,400,1.0,-124.343736473,,45.03,nan,10.092265166,1.0322e+12,nan,nan,100,inf,nan,nan,nan,nan,-124.343736473,-108.165409269
399.996948265,48.567,1.70252205455,4826.97842984,0.0877752,-106.999,400,1.0,-129.752475649,1,55.18,1.80695,4826.97842984,,-106.999,0.00146582,100,25.2189,,0.71828,1.00001,0.0025,-129.752475649,-129.752475649
400.0,2.73506,100.0,7.55613213194,1.0,-107.474,400,1.0,-107.47382933,2,15.84,,7.55613213194,1.0,-107.474,3.50449e-18,100,1.0,0.01,0.01,1.0,0.01,-107.47382933,-107.47382933
400.0,2.74653,200.000000102,7.66803019311,1.0,-107.56,400,1.0,-107.646794609,2,15.41,,7.66803019311,1.0,-107.56,2.1793e-19,100,1.0,0.005,0.005,1.0,0.005,-107.646794609,-107.646794609
400.0,2.73207,299.999969474,7.37232118985,1.0,-107.595,400,1.0,-107.663972991,2,16.21,,7.37232118985,1.0,-107.595,5.43914e-20,100,1.0,0.00333333,0.00333333,1.0,0.00333333,-107.663972991,-107.663972991
2192326520.16,nan,nan,4826.97842984,inf,nan,500,1.0,-129.752475649,,55.18,nan,7.09000809017,0.0396529,nan,nan,100,inf,nan,nan,2.28068e-07,nan,-129.752475649,-107.44677581
,8.74296,57.2191147116,4559.04244578,0.855904,-108.713,500,1.0,-131.812886042,1,56.43,5.68024,4559.04244578,4.47377e-06,-108.713,3.10154e-05,100,41.9091,1.04539e-08,0.0979295,inf,0.002,-131.812886042,-131.812886042
500.0,4.41421,100.0,19.6820777337,1.0,-108.406,500,1.0,-108.405823571,2,16.91,,19.6820777337,1.0,-108.406,3.50449e-18,100,1.0,0.01,0.01,1.0,0.01,-108.405823571,-108.405823571
500.0,4.43428,200.000000102,20.0403779655,1.0,-108.42,500,1.0,-108.434313827,2,16.59,,20.0403779655,1.0,-108.42,2.1793e-19,100,1.0,0.005,0.005,1.0,0.005,-108.434313827,-108.434313827
500.0,6.71871,299.999969474,97.0623498033,1.0,-108.451,500,1.0,-108.513118276,2,17.81,,97.0623498033,1.0,-108.451,5.43914e-20,100,1.0,0.00333333,0.00333333,1.0,0.00333333,-108.513118276,-108.513118276
500.0,6.37426,400.0,27.3395002631,1.0,-108.397,500,1.0,-108.233072696,2,16.62,,27.3395002631,1.0,-108.397,5.4346e-20,100,1.0,0.0025,0.0025,1.0,0.0025,-108.233072696,-108.233072696
,0.382899,1.01373672224,12.4511510874,0.931948,-105.632,500,1.0,-108.336079792,1,16.35,428.367,12.4511510874,,-105.632,0.00197284,100,462.798,,0.993184,inf,0.002,-108.336079792,-108.336079792
500.0,2.13309,100.0,4.59603179771,1.0,-106.871,500,1.0,-106.871358445,2,16.12,,4.59603179771,1.0,-106.871,3.50449e-18,100,1.0,0.01,0.01,1.0,0.01,-106.871358445,-106.871358445
500.0,2.24039,200.000000102,5.54406856731,1.0,-106.869,500,1.0,-106.867502862,2,15.12,,5.54406856731,1.0,-106.869,2.1793e-19,100,1.0,0.005,0.005,1.0,0.005,-106.867502862,-106.867502862
500.0,2.31633,299.999969474,5.99157955425,1.0,-107.014,500,1.0,-107.303805643,2,15.63,,5.99157955425,1.0,-107.014,5.43914e-20,100,1.0,0.00333333,0.00333333,1.0,0.00333333,-107.303805643,-107.303805643
500.0,2.25019,400.0,4.19884292389,1.0,-107.009,500,1.0,-106.992597462,2,15.43,,4.19884292389,1.0,-107.009,5.4346e-20,100,1.0,0.0025,0.0025,1.0,0.0025,-106.992597462,-106.992597462
,11.1315,10.1176267351,5.06975172809,1.30398,-106.276,500,1.0,-107.166495758,1,17.01,82.4945,5.06975172809,2.46246e-15,-106.276,0.000194063,100,196.124,3.77684e-18,0.300808,inf,0.002,-107.166495758,-107.166495758
