Bound,VarVanillaIw,AvgDiscRet,EpsThisIter,BatchSize,ESSRenyi,MinNormIw,AvgRet,MinVanillaIw,MaxNormIw,AvgEpLen,VarDiscRet,VarNormIw,VarJ,AvgVanillaIw,VarRet,AvgNormIw,delta,SamplesThisIter,renyi2,J,IterType,VanillaAvgRet,MaxVanillaIw,ESSClassic
-2.93822,91.9396,-6.79977680697,100,100,nan,4.43196e-21,-6.79977680697,2.51171e-16,0.00159947,500.0,37.6972961156,2.86257e-08,88.8475,3.13109,37.6972961156,5.52486e-05,0.5,50000,nan,393.307,1,-6.79977680697,90.6463,0.435627546467
-0.704325,798.556,-5.1283989151,100,100,nan,1.07184e-25,-5.1283989151,9.93628e-21,0.00643179,500.0,35.2836951119,9.29215e-08,141.157,5.12172,35.2836951119,5.52486e-05,0.5,50000,nan,936.721,1,-5.1283989151,596.247,0.415595505974
-0.759958,89.68,-4.85221371463,100,100,nan,2.64775e-23,-4.85221371463,1.61443e-18,0.00295927,500.0,34.4036656799,2.41219e-08,73.732,3.36871,34.4036656799,5.52486e-05,0.5,50000,nan,582.814,1,-4.85221371463,180.438,0.578600243101
7.55893,5.76177e+22,-2.00589802091,100,100,nan,,-2.00589802091,,0.332905,500.0,38.4483760823,1.83669e-05,53.3948,3.09444e+09,38.4483760823,5.52486e-05,0.5,50000,nan,2489.09,1,-2.00589802091,1.86458e+13,2.99999953752
-0.345532,127.144,-3.34637386811,100,100,nan,2.18132e-22,-3.34637386811,1.41921e-17,0.00244514,500.0,16.0235157422,3.00357e-08,49.6331,3.59459,16.0235157422,5.52486e-05,0.5,50000,nan,439.861,1,-3.34637386811,159.086,0.920779716112
5.85779,inf,-0.68790842446,100,100,nan,,-0.68790842446,,0.333333,500.0,25.6913796673,1.84142e-05,62.9813,3.20941e+15,25.6913796673,5.52486e-05,0.5,50000,nan,2039.38,1,-0.68790842446,1.93635e+19,3.00000038657
1.22055,inf,-4.39980687327,100,100,nan,,-4.39980687327,,0.237205,500.0,20.6933506477,1.0855e-05,58.6456,4.791e+19,20.6933506477,5.52486e-05,0.5,50000,nan,1441.73,1,-4.39980687327,2.05698e+23,2.57682191622
0.322675,200.588,-3.81690127348,100,100,nan,,-3.81690127348,,0.00223901,500.0,29.0200319851,3.35397e-08,40.2212,4.27262,29.0200319851,5.52486e-05,0.5,50000,nan,656.351,1,-3.81690127348,173.153,1.14100684389
-1.80902,10.4786,-4.05153434461,100,100,nan,4.57684e-16,-4.05153434461,1.34825e-11,0.00109834,500.0,51.7761889497,1.20752e-08,103.672,1.62752,51.7761889497,5.52486e-05,0.5,50000,nan,546.937,1,-4.05153434461,32.3552,0.771597697491
-1.73432,15.2767,-4.06616651539,100,100,nan,2.61133e-17,-4.06616651539,7.70667e-13,0.00150095,500.0,26.0871083939,1.75395e-08,65.804,1.63052,26.0871083939,5.52486e-05,0.5,50000,nan,347.234,1,-4.06616651539,44.2966,0.921555209083
1.36481,1.93758e+07,-2.04422303245,100,100,nan,1.60101e-31,-2.04422303245,2.67676e-25,0.16485,500.0,14.0791082071,6.93151e-06,45.4372,92.3714,14.0791082071,5.52486e-05,0.5,50000,nan,768.178,1,-2.04422303245,275616.0,5.85184889104
-1.39547,24.0788,-3.96613539862,100,100,nan,2.02686e-23,-3.96613539862,6.52115e-19,0.00207209,500.0,22.4029991643,2.32613e-08,80.6576,1.77755,22.4029991643,5.52486e-05,0.5,50000,nan,324.193,1,-3.96613539862,66.6668,0.678209915309
1.40489,1144.44,-2.51609445654,100,100,nan,1.57947e-31,-2.51609445654,1.7051e-26,0.0165367,500.0,19.997387353,9.82011e-08,69.3815,5.9643,19.997387353,5.52486e-05,0.5,50000,nan,871.011,1,-2.51609445654,1785.2,1.55366422537
-1.17526,21.8351,-3.98930977785,100,100,nan,6.64529e-22,-3.98930977785,2.19514e-17,0.00162883,500.0,22.2330143414,2.00106e-08,50.8034,1.82503,22.2330143414,5.52486e-05,0.5,50000,nan,304.425,1,-3.98930977785,53.805,1.42353360882
0.339644,549.434,-4.12455276993,100,100,nan,1.02354e-30,-4.12455276993,5.73553e-26,0.0329936,500.0,40.5371331016,1.74975e-07,196.228,3.09593,40.5371331016,5.52486e-05,0.5,50000,nan,1048.23,1,-4.12455276993,1848.84,1.47075538796
-0.666487,64.8925,-4.23273648848,100,100,nan,3.48382e-24,-4.23273648848,1.8842e-19,0.00130049,500.0,28.8598907338,2.21847e-08,41.3872,2.98808,28.8598907338,5.52486e-05,0.5,50000,nan,468.201,1,-4.23273648848,70.3358,0.866643034972
3.06637,1931.19,-2.26537917797,100,100,nan,9.04589e-32,-2.26537917797,1.39351e-26,0.00637156,500.0,29.1914783216,8.13786e-08,63.1301,8.51097,29.1914783216,5.52486e-05,0.5,50000,nan,1332.54,1,-2.26537917797,981.53,0.580503560335
