MaxIWNorm,J_sample_variance,MaxIW,MeanEntropy,OptimizationReturnMax,MeanIW,InitialReturnStd,VarianceInit,LearnableVariance,OptimizationReturnMin,ReturnStepMaxmin,TimestepsSoFar,EpLenMean,EpRewMean,Bound,EmpiricalD2,EpisodesSoFar,ReturnStepMax,ESSRenyi,MinIW,StdIWNorm,TimeElapsed,OptimizationReturnMean,MinIWNorm,InitialReturnMax,InitialBound,EpThisIter,ESSClassic,ReturnMeanIW,Iteration,InitialReturnMean,StdIW,MeanIWNorm,InitialReturnMin
1603.1404,156979640000.0,160314.05,2.7346206,26.856133,1603.1449,5.30583,-1,True,,0.095992565,50000,500.0,-2.9736393277428523,10876.785,36317692.0,100,0.27842835,2.7534788e-06,1.4948085e-12,159.51044,52.47263288497925,12.080253,1.4948085e-14,11.80224,-3.7263339,100,1.0000054,15412.836,1,-2.973639,15951.047,16.031446,-15.053891
14.087583,11017391.0,1408.7583,2.67334,24.440556,14.630027,5.3715982,-1,True,,0.006049648,100000,500.0,-2.2002832807820307,127.24324,1651.8306,200,0.23398998,0.060538895,1.5038592e-05,1.4013972,135.91243815422058,10.487744,1.5038592e-07,11.752527,-2.8346844,100,1.0781027,153.02704,2,-2.2002833,140.13972,0.14630026,-12.688027
1081.1151,42466590000.0,108111.516,2.631476,24.180279,1081.8445,5.7748494,-1,True,,0.062422454,150000,500.0,1.1800697367321826,7235.074,2246519.8,300,0.28531894,4.4513297e-05,1.342564e-06,107.568855,327.44682717323303,12.63417,1.342564e-08,12.726178,0.5437609,100,1.0013493,8188.7993,3,1.1800697,10756.889,10.818445,-11.454101
4762.4897,589369500000.0,476249.0,2.6382136,23.796404,4762.511,4.723173,-1,True,,0.005165711,200000,500.0,2.9241943490043525,28915.842,53871630.0,400,0.2150225,1.8562646e-06,1.264888e-11,473.86172,559.7898752689362,11.797849,1.264888e-13,14.9227495,2.1780567,100,1.000009,34392.29,4,2.9241943,47386.168,47.62511,-8.873654
59.650692,35570276.0,5965.0693,2.702888,24.34744,61.380196,5.052669,-1,True,,0.04008481,250000,500.0,5.713990202117511,91.16449,8475.193,500,0.22328277,0.011799141,1.2187546e-05,5.9339623,792.0168390274048,12.969662,1.2187546e-07,17.091768,4.8594017,100,1.0586314,169.8386,5,5.7139897,593.39624,0.6138019,-7.255672
222.33311,1562428500.0,22233.312,2.661348,24.458933,222.43974,4.857302,-1,True,,0.11997719,300000,500.0,4.4138215265301906,1376.6036,309551.47,600,0.35847902,0.00032304807,5.685514e-06,22.121761,1013.4693529605865,14.131626,5.685514e-08,14.741128,3.6767647,100,1.0009593,1786.6823,6,4.413821,2212.1758,2.2243972,-9.717805
3.1756592,214144.12,317.56592,2.6303637,22.17065,3.81525,4.466262,-1,True,,0.05575593,350000,500.0,5.15974208438426,18.405685,204.46666,700,0.26665097,0.4890773,3.1456354e-06,0.31610626,1200.3026974201202,12.070631,3.1456352e-08,15.259761,4.3967543,100,1.4358164,29.315792,7,5.1597424,31.610626,0.0381525,-6.910889
4000.8835,347836300000.0,400088.38,2.6496868,20.395388,4000.9307,4.1851306,-1,True,,0.036018386,400000,500.0,4.950160607015367,26603.475,221662860.0,800,0.21561912,4.5113555e-07,1.3411083e-07,398.08286,1363.1794881820679,10.217744,1.3411083e-09,15.127805,4.1937704,100,1.0000235,37864.875,8,4.950161,39808.285,40.0093,-5.267583
906.6049,32744653000.0,90660.49,2.5615544,25.097267,907.1144,4.6724887,-1,True,,0.039366335,450000,500.0,8.56675819294249,11738.594,7586932.0,900,0.28065336,1.3180558e-05,9.709329e-10,90.20556,1530.1335384845734,12.339813,9.709329e-12,21.324211,7.5005474,100,1.0011239,14675.405,9,8.566758,9020.555,9.071144,-3.7730567
2.427919,314955.1,242.79189,2.5242937,22.994865,3.416505,4.5973115,-1,True,,0.0012949258,500000,500.0,11.35864094347226,44.385525,478.5697,1000,0.21321374,0.20895597,9.3928575e-05,0.24606213,1685.7771577835083,11.237424,9.392857e-07,23.116081,10.202837,100,1.8913925,69.670166,10,11.35864,24.606216,0.034165055,0.12121588
1514.7255,16398785000.0,151472.55,2.4690263,16.921911,1514.8025,3.9328604,-1,True,,0.0014729798,550000,500.0,14.179450673053386,14132.911,36639724.0,1100,0.19804199,2.729278e-06,3.758556e-09,150.71321,1841.6405827999115,8.838936,3.758556e-11,22.262426,13.066329,100,1.0001018,20870.719,11,14.179451,15071.318,15.148027,5.3405156
2204.4885,115050330000.0,220448.86,2.395295,29.0557,2204.9873,4.526089,-1,True,,0.08289476,600000,500.0,16.94645009516199,27706.75,70441110.0,1200,0.3267934,1.4196255e-06,1.7735581e-09,219.34335,2011.3469333648682,13.596023,1.773558e-11,32.406128,15.326143,100,1.0004523,41305.85,12,16.94645,21934.336,22.049871,3.3504276
1770.4967,29243798000.0,177049.67,2.328097,26.856905,1770.9022,5.0232706,-1,True,,0.0105547905,650000,500.0,16.942819752902732,17947.72,5755186.5,1300,0.21437137,1.737563e-05,1.19043925e-07,176.16179,2235.411283969879,14.479154,1.1904392e-09,29.320572,15.476791,100,1.0004581,21464.719,13,16.94282,17616.18,17.709023,2.4636672
71.11888,172137330.0,7111.888,2.263401,22.915075,72.475105,4.1818304,-1,True,,0.12937322,700000,500.0,19.502062150044022,1396.6683,54118.953,1400,0.33438084,0.0018477815,2.1367718e-08,7.075424,2468.575356721878,14.05134,2.1367717e-10,28.365797,18.083773,100,1.0383401,1726.6119,14,19.502062,707.54254,0.72475106,5.4507217
