StdIWNorm,LearnableVariance,MinIWNorm,InitialReturnMax,ReturnStepMaxmin,Bound,EpRewMean,InitialReturnMean,MaxIW,MinIW,StdIW,ReturnStepMax,MeanEntropy,OptimizationReturnMin,ESSClassic,MaxIWNorm,ESSRenyi,EpLenMean,ReturnMeanIW,MeanIWNorm,EmpiricalD2,InitialReturnStd,VarianceInit,TimestepsSoFar,InitialBound,TimeElapsed,OptimizationReturnMean,Iteration,EpThisIter,InitialReturnMin,MeanIW,OptimizationReturnMax,EpisodesSoFar,J_sample_variance
12.070611,True,8.1711254e-10,8.480807,0.025713608,344.52338,-2.723007692257242,-2.7230074,12131.686,8.1711256e-08,1207.0609,0.2718514,2.74572,,1.004481,121.31686,0.005931516,500.0,453.00418,1.2158846,16859.096,5.3936934,-1,50000,-3.5584872,144.85066294670105,13.986584,1,100,-16.70959,121.58845,25.1904,100,619493800.0
27.271124,True,1.0497453e-08,11.442341,0.024377614,875.08905,-1.244658901965448,-1.2446588,27408.615,1.0497453e-06,2727.113,0.22161412,2.7550163,,1.0007409,274.08615,0.00011646626,500.0,1439.1057,2.741877,858617.75,4.934133,-1,100000,-1.8533432,372.33259415626526,10.929024,2,100,-12.173683,274.18768,23.616024,200,2291536000.0
4.008892,True,2.7750659e-08,17.175144,0.0038164258,230.62085,5.277049327443052,5.2770495,4029.5066,2.775066e-06,400.88916,0.26167786,2.8140569,,1.040337,40.295067,0.0093947975,500.0,319.21942,0.41103828,10644.188,4.8919463,-1,150000,4.4182916,611.4544718265533,11.9029045,3,100,-6.625854,41.103825,23.800999,300,33545818.0
3.2486308,True,6.813188e-08,18.888887,0.033806622,338.04523,7.3515430026803665,7.3515434,3265.5474,6.8131885e-06,324.86316,0.2796631,2.7293975,,1.0414486,32.65547,0.0048578857,500.0,473.54944,0.33326724,20585.088,5.3187847,-1,200000,6.407098,847.149986743927,13.419241,4,100,-6.0676975,33.32673,24.956585,400,44284396.0
7.5987215,True,6.865295e-10,19.892735,0.05078855,1137.0822,6.364268157367243,6.3642683,7637.2656,6.865295e-08,759.8721,0.2920895,2.73792,,1.0070153,76.37266,0.0006722335,500.0,1520.705,0.7664015,148757.83,5.3545723,-1,250000,5.369631,1045.497370481491,13.947895,5,100,-7.5836277,76.640144,27.476362,500,440672930.0
3.799515,True,4.8364605e-08,23.509138,0.012198746,251.03865,7.434268899626006,7.4342694,3806.0115,4.8364604e-06,379.9515,0.2661427,2.7213418,,1.2046487,38.060112,0.007296454,500.0,388.6489,0.41955608,13705.287,5.292456,-1,300000,6.258812,1214.603641986847,14.554588,6,100,-7.120319,41.95562,30.629457,600,39966530.0
112.00755,True,5.0742063e-08,24.405777,0.036187574,11989.412,10.847077925166413,10.847079,112573.54,5.0742065e-06,11200.755,0.2584203,2.8366756,,1.0030975,1125.7354,1.1813564e-05,500.0,15539.7705,11.274779,8464846.0,5.458935,-1,350000,9.626788,1371.833111524582,11.222462,7,100,-0.3753857,1127.4779,24.781162,700,25404228000.0
1.0265093,True,5.5255794e-07,23.768703,0.09348403,144.44029,12.297507515211034,12.297507,1031.565,5.5255794e-05,102.65093,0.28825042,2.842905,,1.1742483,10.315649,0.15116762,500.0,175.00682,0.111894265,661.51733,5.295536,-1,400000,11.109072,1528.8075730800629,15.465392,8,100,-3.1678839,11.189426,26.936588,800,3750704.8
1.0463327,True,1.8888325e-07,22.908634,0.021575958,137.52435,10.41262805472268,10.412629,1052.151,1.8888326e-05,104.63329,0.24740346,2.8531806,,1.1384808,10.52151,0.014739605,500.0,231.87096,0.11228428,6784.4424,5.3690643,-1,450000,9.267197,1680.6176009178162,19.198454,9,100,-8.785826,11.22843,31.69446,900,9892848.0
211.5864,True,3.5806536e-09,23.882269,0.040154383,22825.373,12.391369680626084,12.39137,212652.78,3.5806536e-07,21158.639,0.24404144,2.9348412,,1.0004497,2126.5278,1.5615545e-06,500.0,32381.172,21.270056,64038748.0,4.753324,-1,500000,11.197256,1841.5993807315826,9.22437,10,100,3.1669993,2127.0059,20.71527,1000,65787806000.0
1.4397905,True,1.5261473e-06,24.17079,0.020500302,217.09293,12.340052544358462,12.340053,1447.5745,0.00015261474,143.97905,0.27202532,2.9648173,,1.0968893,14.475744,0.025129681,500.0,293.3302,0.15162672,3979.358,5.4755,-1,550000,11.131514,2042.4678671360016,14.690993,11,100,-2.3509412,15.162672,26.52173,1100,10122593.0
73.062454,True,2.4369723e-10,25.25183,0.07224074,15219.843,14.446926671908258,14.446927,73430.66,2.4369722e-08,7306.2446,0.2642443,2.8490357,,1.0003328,734.3065,3.766592e-05,500.0,17277.1,7.3442864,2654920.0,5.1776505,-1,600000,13.184336,2265.587385416031,12.597051,12,100,1.8498758,734.4288,23.401953,1200,25335790000.0
104.38185,True,1.8159804e-11,28.000593,0.03650412,18943.498,17.647303297679052,17.647303,104907.86,1.8159805e-09,10438.185,0.20843852,2.7974555,,1.0002953,1049.0786,2.3491712e-05,500.0,21832.049,10.492332,4256820.5,5.119375,-1,650000,16.24727,2533.689644098282,12.616646,13,100,5.0306587,1049.2334,22.969934,1300,27422693000.0
