MinIWNorm,ReturnMeanIW,EpisodesSoFar,VarianceInit,EpRewMean,EmpiricalD2,TimestepsSoFar,ESSRenyi,TimeElapsed,MaxIWNorm,OptimizationReturnMin,InitialReturnMin,StdIWNorm,InitialBound,OptimizationReturnMean,ReturnStepMax,MeanEntropy,EpThisIter,InitialReturnStd,ReturnStepMaxmin,InitialReturnMean,MeanIWNorm,InitialReturnMax,LearnableVariance,MinIW,Bound,EpLenMean,OptimizationReturnMax,Iteration,MaxIW,MeanIW,J_sample_variance,ESSClassic,StdIW
1.3577026e-09,122.564285,100,-1,-2.2070926700514963,1633.2974,50000,0.06122584,178.46489214897156,9.797282,,-15.196777,0.9750647,-2.9669313,12.989684,0.27433118,2.7782931,100,5.5344534,0.07755634,-2.2070928,0.11033021,12.373551,True,1.3577026e-07,91.8561,500.0,27.570328,1,979.7282,11.033021,7322056.5,1.264145,97.50648
4.0443135e-10,22281.4,200,-1,1.0493858384586463,4045066.2,100000,2.4721474e-05,412.1491253376007,2856.1821,,-10.141494,284.18463,0.26847953,11.190879,0.27715054,2.794895,100,5.574214,0.04534611,1.0493858,28.581266,15.618125,True,4.0443137e-08,20710.814,500.0,25.759619,2,285618.22,2858.1265,263318930000.0,1.0013615,28418.465
7.4452985e-11,2320.2212,300,-1,5.00095587024874,348848.28,150000,0.00028665757,650.1245574951172,187.13525,,-10.0426855,18.619547,4.061401,15.043641,0.28165725,2.791267,100,5.1101336,0.016180485,5.0009556,1.8731025,18.791098,True,7.445299e-09,1765.2883,500.0,28.833782,3,18713.525,187.31027,1765933600.0,1.0018715,1861.9545
1.8845726e-10,4495.479,400,-1,10.964562259690988,1064155.2,200000,9.397125e-05,880.0244498252869,186.64832,,-1.9286147,18.570961,9.635386,12.893177,0.26333812,2.7734382,100,5.7580996,0.046534166,10.964563,1.8696486,26.583527,True,1.8845727e-08,3124.3286,500.0,28.512142,4,18664.832,186.96484,2351744500.0,1.0033937,1857.0963
3.708326e-07,688.577,500,-1,15.669433857760032,14615.247,250000,0.0068421694,1069.4032816886902,26.43061,,4.0266185,2.6292343,14.292143,11.642817,0.23207201,2.7828712,100,5.526323,0.020942241,15.669434,0.27156764,27.545809,True,3.708326e-05,522.07153,500.0,23.51919,5,2643.061,27.156757,32745480.0,1.0555738,262.92343
9.8366705e-08,5915.406,600,-1,15.567545617458498,671101.5,300000,0.00014900876,1243.2840843200684,384.87662,,1.3690217,38.293976,14.208563,14.198524,0.25753838,2.8592854,100,5.3146653,0.0074506104,15.567545,3.8565764,27.179638,True,9.836671e-06,4802.117,500.0,25.810616,6,38487.664,385.65775,2888976400.0,1.004062,3829.3977
5.7047533e-11,58157.49,700,-1,15.750160795928274,24252670.0,350000,4.1232574e-06,1409.393822669983,2485.8025,,-1.9994471,247.33383,14.40122,17.749609,0.22674444,2.7968678,100,5.5929523,0.01346828,15.750161,24.861916,26.978827,True,5.7047536e-09,51514.355,500.0,28.978273,7,248580.25,2486.1917,398421460000.0,1.000313,24733.385
5.698674e-11,2118.332,800,-1,19.513916536093284,140551.2,400000,0.00071148446,1570.1682617664337,64.08612,,2.1476927,6.375937,17.870836,17.366222,0.25682735,2.7455118,100,5.9756446,0.020511627,19.513916,0.64699286,32.861595,True,5.6986744e-09,1502.3389,500.0,30.713902,8,6408.6123,64.69928,387412640.0,1.0192058,637.5936
1.9998195e-06,339.5112,900,-1,20.93397860334213,3465.1343,450000,0.028858911,1727.4513056278229,16.49876,,2.2738347,1.6412127,19.23716,18.660145,0.3372206,2.7978232,100,5.8547573,0.102038726,20.933979,0.16987067,33.936333,True,0.00019998195,239.62741,500.0,31.662498,9,1649.876,16.98707,8498122.0,1.0599356,164.12125
2.5583042e-09,19629.334,1000,-1,22.268730024782002,796540.6,500000,0.00012554288,1886.8699691295624,749.94507,,8.823751,74.6182,20.358421,13.444978,0.28408015,2.786285,100,6.1259346,0.002940923,22.268728,7.503368,38.206154,True,2.5583043e-07,17924.4,500.0,29.382402,10,74994.51,750.33673,16951370000.0,1.0010445,7461.821
