InitialReturnMean,InitialBound,MaxIW,ReturnMeanIW,EpThisIter,StdIWNorm,EpLenMean,ESSClassic,ReturnStepMaxmin,OptimizationReturnMean,InitialReturnMin,J_sample_variance,TimeElapsed,EpisodesSoFar,LearnableVariance,ReturnStepMax,Iteration,OptimizationReturnMin,VarianceInit,MinIW,TimestepsSoFar,EmpiricalD2,ESSRenyi,MeanEntropy,InitialReturnMax,MeanIWNorm,InitialReturnStd,MaxIWNorm,Bound,MeanIW,MinIWNorm,StdIW,EpRewMean,OptimizationReturnMax
-2.744949,-3.663536,334.74445,45.501087,100,0.4432442,500.0,2.1755476,0.12641719,15.626793,-18.371742,1317344.9,210.45654106140137,100,True,0.3124118,1,,-1,7.0353475e-05,50000,469.97534,0.21277712,2.8344944,8.789536,0.06610034,5.3736796,3.3474443,25.587114,6.6100335,7.0353474e-07,44.32442,-2.7449489241469722,27.161278
0.71063703,-0.21648395,47637.094,7408.347,100,47.397903,500.0,1.0017451,0.047651038,14.608944,-13.898306,19721458000.0,447.2635269165039,200,True,0.23180552,2,,-1,1.1729286e-08,100000,5602053.0,1.7850598e-05,2.811632,18.54242,4.7678647,6.2767134,476.37094,5213.9766,476.7865,1.1729286e-10,4739.7905,0.7106370780539294,32.440727
6.418689,5.475374,3072.4294,236.72256,100,3.0566409,500.0,1.0283157,0.07731375,16.166248,-9.74756,28499842.0,682.2406413555145,300,True,0.26308158,3,,-1,1.965426e-05,150000,2620.036,0.038167417,2.7735882,18.86629,0.3115676,5.139148,30.724295,188.4378,31.156754,1.965426e-07,305.66406,6.418688642006006,28.61385
7.3129315,6.301807,6680.5864,994.04443,100,6.646962,500.0,1.0041256,0.0076888204,10.940625,-3.6276934,152603620.0,887.7790789604187,400,True,0.24481404,4,,-1,6.885951e-06,200000,7959.8125,0.01256311,2.778082,20.222492,0.6694353,5.348029,66.80586,903.83417,66.94353,6.885951e-08,664.6962,7.312931498322885,23.850185
10.133014,8.948211,88040.266,20227.16,100,87.59884,500.0,1.0002705,0.01588957,16.81718,-6.6841664,68211110000.0,1071.235517501831,500,True,0.2576939,5,,-1,7.227617e-07,250000,2208537.8,4.5278826e-05,2.7971194,23.696087,8.805217,4.9530926,880.40265,18466.404,880.5217,7.2276167e-09,8759.883,10.13301450537607,30.380253
12.232715,10.989731,32642.633,6622.218,100,32.47859,500.0,1.0026023,0.091778904,13.005163,-0.77244854,4714413600.0,1229.988805770874,600,True,0.30385715,6,,-1,5.443468e-07,300000,800150.4,0.0001249765,2.8135622,24.859676,3.2685082,5.246705,326.42633,5510.3545,326.85086,5.443468e-09,3247.859,12.232714653213677,25.632126
16.71204,15.285214,107991.055,21586.82,100,107.449425,500.0,1.0005851,0.030813113,12.821375,3.890666,30226650000.0,1387.1300539970398,700,True,0.26812714,7,,-1,1.1189501e-05,350000,2137939.2,4.6774014e-05,2.937148,28.536516,10.802263,4.9073825,1079.9105,19500.559,1080.2264,1.11895005e-07,10744.943,16.712040502647138,24.645851
12.44643,11.456379,4448.5073,619.2757,100,4.425554,500.0,1.0326017,0.07013744,14.25987,-1.813438,47400236.0,1535.6675305366516,800,True,0.27031425,8,,-1,3.3468514e-06,400000,21306.89,0.004693317,2.9405653,19.801054,0.45205167,4.6984053,44.485073,474.75888,45.205162,3.3468513e-08,442.55542,12.446431719914196,21.614492
13.740566,12.670308,1137.1638,226.12575,100,1.1311909,500.0,1.1370891,0.04620506,10.291601,3.4489646,3081878.0,1699.4245328903198,900,True,0.24598193,9,,-1,7.0850376e-07,450000,3796.3782,0.026340894,2.8407357,21.405169,0.12131554,4.2038608,11.371638,160.18204,12.131554,7.0850374e-09,113.11907,13.740566576579365,17.956203
14.736189,13.324062,9831.117,1976.1443,100,9.781369,500.0,1.0098388,0.00035105646,11.647713,3.0884771,276923900.0,1886.1563925743103,1000,True,0.20823152,10,,-1,1.599526e-06,500000,74758.47,0.0013376412,2.8097913,28.242533,0.9879379,4.6270475,98.31117,1590.0406,98.79379,1.5995258e-08,978.1369,14.736189639871007,25.154057
