InitialBound,MeanEntropy,MeanIW,EpThisIter,EpisodesSoFar,MinIWNorm,ESSClassic,MinIW,MaxIW,InitialReturnMean,InitialReturnStd,EpRewMean,TimeElapsed,J_sample_variance,EmpiricalD2,VarianceInit,InitialReturnMax,EpLenMean,OptimizationReturnMean,Iteration,Bound,ESSRenyi,TimestepsSoFar,ReturnStepMax,OptimizationReturnMax,LearnableVariance,MaxIWNorm,StdIWNorm,ReturnMeanIW,MeanIWNorm,StdIW,OptimizationReturnMin,InitialReturnMin,ReturnStepMaxmin
-3.080714,2.9152007,124.78959,100,100,4.2024983e-08,1.0061743,4.2024985e-06,12440.599,-2.0584233,5.419943,-2.0584233273109023,31.053774118423462,1129397200.0,64300.613,-1,8.066598,500.0,18.387384,1,548.0901,0.0015551951,50000,0.36874148,28.512405,True,124.40598,12.377866,807.31805,1.2478958,1237.7865,,-20.445808,0.13225843
-1.4763291,2.9653587,1124.6184,100,200,3.524707e-11,1.0001031,3.524707e-09,112456.04,-0.83354324,4.866872,-0.833543207622625,85.07803964614868,53756300000.0,13705676.0,-1,12.855717,500.0,11.348808,2,7065.1045,7.296247e-06,100000,0.27332017,25.038067,True,1124.5604,111.89229,9444.773,11.246184,11189.229,,-12.182351,0.024815083
1.4900677,2.9748538,11.979622,100,300,1.8420363e-07,1.2014657,1.8420364e-05,1091.1703,2.27406,5.267327,2.274059891308572,175.31349992752075,4431328.0,1389.5914,-1,15.679839,500.0,11.990671,3,84.074715,0.0719636,150000,0.24120331,25.39645,True,10.911703,1.0863323,113.29976,0.11979625,108.63321,,-9.716611,0.003736496
3.60334,3.0095475,125.15994,100,400,8.3384556e-08,1.0186167,8.338456e-06,12401.012,4.4645553,5.096539,4.464554921939618,375.4424297809601,651798600.0,61298.855,-1,17.224297,500.0,11.216966,4,1505.7332,0.0016313519,200000,0.40241644,23.976707,True,124.01012,12.337773,1718.958,1.2515996,1233.7772,,-6.752411,0.17200303
5.566649,2.9602065,354.3503,100,500,1.0607634e-09,1.0045764,1.0607634e-07,35354.19,6.631193,5.381723,6.6311930622323345,609.2319555282593,3442790100.0,398234.16,-1,21.290873,500.0,14.001217,5,2594.4844,0.00025110855,250000,0.23498365,28.660896,True,353.5419,35.176197,3266.2732,3.5435028,3517.6199,,-7.3700237,0.02289012
8.412753,3.0053768,168.28271,100,600,8.534662e-09,1.0093127,8.534662e-07,16750.396,9.49563,5.3636847,9.495629557128245,843.9246814250946,1746564400.0,922220.9,-1,21.65753,500.0,16.6766,6,1940.5022,0.000108433895,300000,0.2387943,28.8385,True,167.50397,16.665709,2980.4138,1.6828274,1666.5708,,-7.1809697,0.0042448193
10.034535,2.9609323,353.3652,100,700,1.1980762e-10,1.0004172,1.1980763e-08,35329.15,11.06323,4.7769866,11.063230203420424,1060.2996785640717,6250682000.0,1939488.1,-1,20.57389,500.0,12.867119,7,5837.026,5.1559997e-05,350000,0.29399437,22.377779,True,353.29147,35.15198,7269.6426,3.5336523,3515.1992,,-1.8038881,0.091970176
12.365022,2.9079313,338.93567,100,800,8.2786633e-10,1.000906,8.2786634e-08,33878.223,13.642971,5.2759266,13.642972609489382,1252.7755749225616,3656033000.0,1652583.9,-1,25.559004,500.0,12.865408,8,4669.8687,6.0511302e-05,400000,0.23587203,24.781439,True,338.78223,33.708252,6312.71,3.3893566,3370.825,,0.7775651,0.018390238
13.773571,2.8964841,135.74234,100,900,1.4319153e-07,1.0013274,1.4319153e-05,13565.234,15.314798,6.368643,15.3147982072629,1414.2143919467926,1203307100.0,786503.94,-1,30.824556,500.0,15.841583,9,2032.0546,0.00012714494,450000,0.2506128,31.351341,True,135.65234,13.497147,3398.8933,1.3574234,1349.7147,,-0.5267857,0.027375534
20.834267,3.0449157,3592.4253,100,1000,3.1652647e-10,1.0002408,3.1652647e-08,359199.28,22.602655,5.786866,22.602657274703223,1576.9685680866241,410133950000.0,559731500.0,-1,35.367832,500.0,15.016151,10,49405.598,1.7865707e-07,500000,0.23402025,27.781326,True,3591.9927,357.39835,91243.35,35.92425,35739.83,,7.5865054,0.019488424
