InitialReturnMax,TimeElapsed,OptimizationReturnMean,InitialReturnMean,ReturnStepMaxmin,InitialReturnMin,MinIW,MaxIWNorm,MeanIWNorm,LearnableVariance,ReturnMeanIW,InitialReturnStd,ESSRenyi,TimestepsSoFar,EpThisIter,OptimizationReturnMin,J_sample_variance,Bound,MinIWNorm,MeanIW,StdIWNorm,Iteration,StdIW,ReturnStepMax,EpisodesSoFar,EmpiricalD2,VarianceInit,MeanEntropy,ESSClassic,EpLenMean,InitialBound,MaxIW,EpRewMean,OptimizationReturnMax
36.198097,3759.995292186737,10.176515,27.206276,0.009192884,17.029762,1.6012942e-07,237.6848,2.3786557,True,7618.4204,3.6403925,0.00014447367,850000,100,,1288254300.0,6112.6406,1.6012941e-09,237.86559,23.649153,17,2364.916,0.22932859,1700,692167.6,-1,2.783196,1.0015217,500.0,25.396372,23768.48,27.20627710376837,19.168335
36.9249,3984.0321826934814,8.710498,28.13215,0.019641072,19.421654,6.026884e-06,11.85353,0.1433734,True,354.50836,3.6486533,0.043547798,900000,100,,340367.8,266.0363,6.026884e-08,14.337342,1.1904813,18,119.04812,0.27857995,1800,2296.3274,-1,2.7592993,1.4296784,500.0,26.285906,1185.353,28.132151047731327,17.503246
36.59073,4210.477415323257,11.858394,27.543066,0.0386675,15.68467,9.3484144e-11,742.4778,7.4295063,True,19553.559,4.358805,9.677128e-05,950000,100,,6371030500.0,17693.752,9.348414e-13,742.9507,73.87514,19,7387.513,0.28811026,1900,1033364.5,-1,2.606591,1.001274,500.0,25.71353,74247.78,27.543064374108912,20.90606
37.556496,4495.08486199379,8.740561,27.878094,0.01300554,19.13753,1.217677e-08,1481.0219,14.812715,True,42982.56,4.100397,7.481415e-05,1000000,100,,22221531000.0,40811.543,1.217677e-10,1481.2716,147.35959,20,14735.954,0.24991378,2000,1336645.6,-1,2.5612717,1.0003371,500.0,26.000267,148102.19,27.878090030445318,18.418966
40.141212,4779.808120012283,10.207844,29.758066,0.11379264,19.550222,8.3136253e-10,1447.0616,14.49618,True,43719.344,3.6531036,2.8355753e-06,1050000,100,,24378970000.0,31800.34,8.313625e-12,1449.6178,143.97845,21,14397.846,0.32193264,2100,35266212.0,-1,2.4952633,1.0035329,500.0,27.751005,144706.17,29.75806633681402,20.59099
35.104897,5057.01180768013,6.6690373,28.880926,0.01690206,22.21189,9.016003e-06,376.20883,3.7638407,True,12313.207,2.8106945,4.9741935e-05,1100000,100,,1631901700.0,9824.485,9.016003e-08,376.3841,37.432137,22,3743.2136,0.22152899,2200,2010376.1,-1,2.5793457,1.000932,500.0,27.125679,37620.883,28.880926416832903,12.893007
41.437077,5253.061705827713,11.463337,29.844149,0.024333358,18.38081,6.298931e-07,46.574272,0.47103667,True,1946.1212,3.5131662,0.002265181,1150000,100,,116054680.0,1510.8021,6.298931e-09,47.10367,4.6335955,23,463.3595,0.23697202,2300,44146.586,-1,2.5749218,1.0228413,500.0,27.772291,4657.4272,29.844146746583696,23.056267
41.89293,5437.109000444412,9.670296,32.27937,0.020109043,22.609074,4.4001063e-05,106.609566,1.0725511,True,3712.6545,3.713015,0.0045171417,1200000,100,,170168430.0,3400.996,4.400106e-07,107.255104,10.606923,24,1060.6924,0.22289579,2400,22137.893,-1,2.6043777,1.0121365,500.0,30.18472,10660.957,32.27936885360842,19.283855
37.09687,5633.68043088913,9.479539,30.461477,0.044464648,20.981937,1.2745791e-07,1302.899,13.03218,True,41382.812,3.6722925,3.3148247e-06,1250000,100,,20456280000.0,31195.094,1.2745791e-09,1303.2181,129.63649,25,12963.65,0.29869375,2500,30167508.0,-1,2.6305168,1.0004898,500.0,28.606634,130289.91,30.461476973264165,16.114933
34.610554,5863.042917728424,9.650015,27.708458,0.11126958,18.058441,2.747251e-08,877.28735,8.779438,True,25492.652,2.8125799,2.9914008e-06,1300000,100,,9529234000.0,15487.096,2.7472508e-10,877.9436,87.28834,26,8728.833,0.27864447,2600,33429154.0,-1,2.7236037,1.0014964,500.0,25.977928,87728.734,27.70845602015534,16.552113
42.970158,6103.432199001312,9.481832,31.17107,0.09188303,21.68924,2.5034183e-07,35.899483,0.36289352,True,1139.9535,3.8148246,0.005787824,1350000,100,,12808001.0,857.544,2.5034181e-09,36.289352,3.5715868,27,357.1587,0.30659446,2700,17277.65,-1,2.69156,1.0218226,500.0,29.022562,3589.9482,31.171070553389963,21.280918
