EmpiricalD2,OptimizationReturnMax,EpRewMean,OptimizationReturnMin,InitialReturnMin,VarianceInit,EpThisIter,MeanEntropy,MaxIWNorm,TimeElapsed,ESSRenyi,MeanIW,ReturnMeanIW,InitialReturnMax,EpLenMean,OptimizationReturnMean,Iteration,ReturnStepMax,LearnableVariance,ESSClassic,StdIWNorm,MeanIWNorm,J_sample_variance,MinIWNorm,InitialReturnStd,MaxIW,Bound,ReturnStepMaxmin,EpisodesSoFar,InitialBound,InitialReturnMean,MinIW,TimestepsSoFar,StdIW
6.0699315,25.955881,-3.443859966249227,,-17.734264,-1,100,2.8200612,0.36387327,13.268673658370972,16.474651,1.1122662,1.0474572,8.221617,500.0,14.290405,1,0.28550076,True,8.196372,0.03722441,0.011122663,8392.684,0.00033958728,5.5179296,36.38733,-1.1371586,0.0705736,100,-4.330573,-3.44386,0.03395873,50000,3.722441
76156.66,22.712097,-0.27213209265218735,,-12.871653,-1,100,2.760735,73.179085,28.518345832824707,0.0013130829,73.37637,588.3756,9.8404455,500.0,12.599522,2,0.29328293,True,1.0053982,7.281032,0.7337639,234898690.0,1.0095326e-09,4.9568577,7317.9087,410.76935,0.033011466,200,-0.9157146,-0.27213207,1.0095326e-07,100000,728.1033
1017104.6,27.518269,1.0084920116761642,,-10.733512,-1,100,2.7488682,271.01596,47.033578395843506,9.8318305e-05,271.67743,1774.8411,16.784756,500.0,11.742004,3,0.28512272,True,1.0048859,26.965109,2.7167742,2198030600.0,1.2395307e-10,5.2427454,27101.596,928.4563,0.089735895,300,0.16925418,1.008492,1.2395308e-08,150000,2696.5103
7522894.5,28.8871,2.685007857954878,,-14.156355,-1,100,2.6776075,685.86426,91.27322888374329,1.3292756e-05,686.56885,10097.444,14.730745,500.0,16.841362,4,0.32382035,True,1.0020546,68.24195,6.8656883,39349293000.0,1.5619314e-09,5.3927946,68586.43,8077.2773,0.039362818,400,1.9484706,2.685008,1.5619314e-07,200000,6824.1978
160190.94,24.58271,6.20239664883938,,-7.311224,-1,100,2.692145,126.11395,138.03152108192444,0.00062425504,126.47345,1465.8033,17.271486,500.0,13.513622,5,0.2438055,True,1.005708,12.547827,1.2647343,569279700.0,2.0271985e-07,5.622553,12611.3955,1120.1676,0.004100114,500,5.3388224,6.202397,2.0271986e-05,250000,1254.7827
45955.227,25.861238,10.12233695597124,,-5.089705,-1,100,2.6607985,50.734844,253.97850823402405,0.002176031,54.101673,1093.5161,20.771534,500.0,15.212041,6,0.3010906,True,1.1337184,5.05222,0.54101676,171663100.0,2.232476e-09,4.9418607,5073.4844,870.87463,0.070550516,600,9.08376,10.122337,2.2324761e-07,300000,505.22195
31869650.0,25.24163,13.289545649388415,,-0.13492715,-1,100,2.7021723,1286.2224,481.53766798973083,3.1377815e-06,1286.3693,23850.658,25.106703,500.0,13.424473,7,0.22808447,True,1.0002283,127.97738,12.863694,57702638000.0,6.5227546e-11,5.5148783,128622.25,16763.889,0.009032652,700,12.034211,13.289547,6.522755e-09,350000,12797.738
343575.56,25.287226,14.404055036060381,,-0.26935813,-1,100,2.66663,145.0475,715.9202234745026,0.0002910568,145.24838,2514.4238,25.017868,500.0,14.673413,8,0.22588293,True,1.0027714,14.431844,1.452484,650277200.0,5.3227017e-11,5.338766,14504.751,1781.2087,0.038078293,800,13.153161,14.404056,5.322702e-09,400000,1443.1847
3413.7065,23.16711,14.87686869922275,,0.828581,-1,100,2.68821,15.5082655,953.3621098995209,0.029293671,16.668974,237.71292,23.995691,500.0,14.048287,9,0.30610088,True,1.1526259,1.5436442,0.1666897,4323813.0,2.1177902e-07,5.168754,1550.8265,167.61319,0.12869613,900,13.677084,14.876869,2.1177902e-05,450000,154.36443
516424.0,28.515308,13.190401031563361,,-1.5847752,-1,100,2.6807904,295.07657,1157.20809674263,0.00019363934,295.30817,5465.2935,26.930532,500.0,14.775176,10,0.21725608,True,1.0015701,29.359514,2.9530814,3516704800.0,1.6377316e-09,4.9326077,29507.658,4497.6436,0.04291466,1000,11.843874,13.190402,1.6377317e-07,500000,2935.952
