InitialReturnMin,EpisodesSoFar,ESSClassic,ReturnStepMaxmin,EmpiricalD2,MaxIWNorm,InitialBound,ESSRenyi,Bound,VarianceInit,OptimizationReturnMean,TimeElapsed,MeanEntropy,TimestepsSoFar,OptimizationReturnMin,MinIWNorm,MeanIW,InitialReturnStd,J_sample_variance,MaxIW,EpRewMean,LearnableVariance,StdIWNorm,MinIW,InitialReturnMean,EpThisIter,ReturnMeanIW,ReturnStepMax,OptimizationReturnMax,Iteration,EpLenMean,MeanIWNorm,StdIW,InitialReturnMax
-17.593338,100,1.0219115,0.07677387,7908.929,60.736713,-3.8648639,0.012643937,174.49498,-1,14.608141,199.29493498802185,2.769157,50000,,1.1907765e-09,61.40058,5.6393023,175809550.0,6073.6714,-2.9851968025195363,True,6.04276,1.19077654e-07,-2.9851968,100,252.72566,0.27045372,26.073341,1,500.0,0.61400586,604.27606,8.480002
-12.52189,200,1.1367915,0.07972133,933.6066,7.1500187,-1.3040884,0.10711149,40.396423,-1,11.91366,440.49601578712463,2.7606323,100000,,3.3146268e-06,7.625135,5.5318456,2281435.5,715.0019,-0.6082307285186123,True,0.71108985,0.00033146268,-0.60823077,100,61.658337,0.33908612,26.439043,2,500.0,0.07625134,71.10899,13.917153
-11.856471,300,1.0003533,0.02513443,1215747.0,1099.4941,0.4758097,8.225396e-05,5467.2544,-1,13.145752,668.1106128692627,2.76905,150000,,1.3876704e-09,1099.6884,6.042338,37803770000.0,109949.414,1.2892809535532694,True,109.39809,1.3876705e-07,1.2892809,100,6364.1953,0.2622072,28.125896,3,500.0,10.996883,10939.81,16.269426
-6.3578176,400,1.0005261,0.039489433,1874537.1,433.093,6.29014,5.3346503e-05,3311.195,-1,13.567777,889.2588546276093,2.738283,200000,,5.228053e-14,433.2069,5.031422,5369968600.0,43309.3,7.209959776040523,True,43.092094,5.2280532e-12,7.2099605,100,4570.554,0.2647905,24.754204,4,500.0,4.332069,4309.2095,18.396387
-4.4415493,500,1.0007821,0.0360713,36166464.0,2233.3457,8.927159,2.7649924e-06,33739.766,-1,14.495746,1072.8989799022675,2.771457,250000,,2.9512278e-11,2234.2192,5.4331493,254419400000.0,223334.58,10.054195795191832,True,222.21417,2.9512277e-09,10.054195,100,40517.605,0.21763998,26.982292,5,500.0,22.342188,22221.428,22.540743
4.009957,600,1.0098673,0.07768625,291749.28,118.844604,13.10576,0.00034276006,2573.4321,-1,10.491855,1235.1035969257355,2.725615,300000,,3.4855505e-09,119.42991,4.9505086,807720450.0,11884.461,14.501811572439191,True,11.82434,3.4855506e-07,14.501812,100,3327.493,0.3117318,23.911072,6,500.0,1.1942989,1182.4337,27.921028
-0.35430592,700,1.0224907,0.08761011,24432.668,80.06641,14.455273,0.004092881,1248.9696,-1,16.225885,1396.3465023040771,2.681887,350000,,2.0349882e-08,80.96466,6.208966,220545300.0,8006.641,15.871578625021453,True,7.965886,2.0349883e-06,15.871579,100,1470.3517,0.2664529,28.680424,7,500.0,0.80964655,796.58856,28.326118
4.3400064,800,1.0001315,0.03379859,55860170.0,2882.0361,15.7834835,1.7901843e-06,43339.44,-1,12.923716,1548.969098329544,2.7012682,400000,,6.3879396e-10,2882.2256,5.9403663,175646520000.0,288203.62,17.263721496841864,True,286.75876,6.38794e-08,17.263721,100,54402.688,0.26587874,25.264748,8,500.0,28.822256,28675.879,29.604753
2.1699636,900,1.0295877,0.012498692,7634.2417,41.312447,17.336992,0.013098878,680.07324,-1,16.790394,1707.3186168670654,2.7593932,450000,,7.928289e-08,41.92072,5.379224,51905250.0,4131.2446,18.960357836269083,True,4.1100745,7.928289e-06,18.960358,100,821.9132,0.25251627,30.297295,9,500.0,0.41920727,411.00745,32.46726
0.9101511,1000,1.007782,0.11528233,1696690.9,330.72894,16.7183,5.8938254e-05,6053.03,-1,17.333364,1897.5031669139862,2.7413454,500000,,1.5306315e-09,332.01465,5.0201387,5942748000.0,33072.895,18.243515111910384,True,32.90595,1.5306316e-07,18.243515,100,8039.728,0.35417536,29.59411,10,500.0,3.3201468,3290.595,30.504261
