VarJ,VarNormIw,ESSClassic,VarVanillaIw,Bound,BatchSize,J,eRenyi2,VanillaAvgRet,VarDiscRet,Delta,ESSRenyi,MaxNormIw,MinNormIw,AvgNormIw,IterType,EpsThisIter,MinVanillaIw,AvgEpLen,AvgRet,VarRet,AvgVanillaIw,AvgDiscRet,MaxVanillaIw
106.814,0.000356434,22.0813961641,47301.4,23.6162,100,53.8971,1.02274,12.782170309,1143.02971371,0.1,97.7769706699,0.0453707,1.57089e-05,0.01,1,100,0.180964,41.84,12.782170309,1143.02971371,115.199,12.782170309,522.664
28.1631,4.04343e-05,71.4133108311,4.1067,-10.4391,200,9.16105,1.02238,12.782170309,523.683898885,0.1,195.622118016,0.0173395,6.00351e-06,0.01,,100,0.00191328,41.84,12.782170309,1143.02971371,3.18692,6.53611606082,5.52597
151.125,0.000202653,22.0614838858,907507.0,32.3862,200,53.9109,1.03355,-7.85975024313,388.913362612,0.1,193.50729504,0.0453912,5.23468e-06,0.005,1,100,0.350299,38.5,-7.85975024313,388.913362612,334.594,-7.85975024313,3037.53
23.3037,3.50449e-18,100.0,,-24.966,200,-9.08807,1.0,-9.08806642234,548.548214162,0.1,200.0,0.01,0.01,0.01,2,100,1.0,39.8,-9.08806642234,548.548214162,1.0,-9.08806642234,1.0
31.9493,4.44145e-06,169.956752573,0.559281,-17.267,300,-5.65952,1.03277,-7.85975024313,1120.07496022,0.1,290.480727844,0.00804469,9.27743e-07,0.005,,100,0.000329215,38.5,-7.85975024313,388.913362612,1.77428,-2.37386182128,2.85471
0.310349,0.000322858,10.0132363307,2.5907e+07,71.5723,300,89.3175,1.05368,14.7943377627,1050.39990724,0.1,284.715149359,0.0999339,1.75746e-06,0.00333333,1,100,0.497839,103.16,14.7943377627,1050.39990724,944.238,14.7943377627,28308.4
40.8846,3.50449e-18,100.0,,-22.5662,300,16.3781,1.0,16.3781324426,1688.43673933,0.1,300.0,0.01,0.01,0.01,2,100,1.0,127.14,16.3781324426,1688.43673933,1.0,16.3781324426,1.0
34.3132,2.1793e-19,200.000000102,,-22.443,300,5.09479,1.0,-6.18854274043,432.940047909,0.1,300.0,0.005,0.005,0.005,2,100,1.0,29.98,-6.18854274043,432.940047909,1.0,-6.18854274043,1.0
42.8402,7.73474e-07,280.536050457,0.167654,-16.1076,400,6.95155,1.05176,14.7943377627,2476.42101247,0.1,380.313795078,0.00431446,7.58753e-08,0.00333333,,100,3.53252e-05,103.16,14.7943377627,1050.39990724,1.5519,6.57998850082,2.00868
0.357326,0.000202315,12.015824699,3.8551e+07,91.7092,400,108.415,1.05406,20.9439607955,3169.54117393,0.1,379.486289801,0.0832784,7.16831e-07,0.0025,1,100,0.312911,72.12,20.9439607955,3169.54117393,1091.3,20.9439607955,36352.7
11.7439,3.50449e-18,100.0,,-11.1755,400,-3.00842,1.0,-3.00842170109,139.311466453,0.1,400.0,0.01,0.01,0.01,2,100,1.0,39.86,-3.00842170109,139.311466453,1.0,-3.00842170109,1.0
30.2532,2.1793e-19,200.000000102,,-21.8176,400,4.63886,1.0,12.2861475536,1591.54918452,0.1,400.0,0.005,0.005,0.005,2,100,1.0,54.54,12.2861475536,1591.54918452,1.0,12.2861475536,1.0
29.0257,5.43914e-20,299.999969474,,-17.6692,400,3.93242,1.0,2.51954058876,700.982227382,0.1,400.0,0.00333333,0.00333333,0.00333333,2,100,1.0,49.78,2.51954058876,700.982227382,1.0,2.51954058876,1.0
26.1836,8.14892e-07,353.964281235,0.276928,-18.3162,500,0.876281,1.05251,20.9439607955,238.166465882,0.1,475.053351851,0.00548208,4.71878e-08,0.0025,,100,2.75083e-05,72.12,20.9439607955,3169.54117393,1.45738,-8.06898189389,3.1958
0.208754,0.000162862,12.0094059152,1.96137e+08,93.4027,500,108.443,1.06808,5.71165741744,416.497359688,0.1,468.12766079,0.0833007,1.43438e-07,0.002,1,100,0.15741,47.38,5.71165741744,416.497359688,2194.83,5.71165741744,91415.3
54.626,3.50449e-18,100.0,,-49.3157,500,-5.62333,1.0,-5.6233324144,3014.14184721,0.1,500.0,0.01,0.01,0.01,2,100,1.0,80.16,-5.6233324144,3014.14184721,1.0,-5.6233324144,1.0
61.9102,2.1793e-19,200.000000102,,-60.7022,500,-24.7607,1.0,-43.8981395173,3989.1671081,0.1,500.0,0.005,0.005,0.005,2,100,1.0,53.64,-43.8981395173,3989.1671081,1.0,-43.8981395173,1.0
