VarJ,J,VarNormIw,BatchSize,IterType,MaxVanillaIw,ESSRenyi,AvgNormIw,ESSClassic,MinNormIw,AvgVanillaIw,VanillaAvgRet,VarVanillaIw,Delta,AvgEpLen,Bound,AvgRet,AvgDiscRet,MinVanillaIw,eRenyi2,EpsThisIter,VarRet,VarDiscRet,MaxNormIw
14.4171,-110.734,4.26377e-05,100,1,2.16546,69.0854711793,0.01,70.3178798346,4.68944e-06,1.01373,-126.517539579,0.438165,0.8,42.58,-139.887,-126.517539579,-126.517539579,0.000475382,1.44748,100,4841.67031171,4841.67031171,0.0213613
10.2619,-110.56,2.91106e-05,100,1,2.40129,78.9485507902,0.01,77.6279693217,0.000292913,1.0018,-123.116748169,0.292157,0.8,45.66,-138.221,-123.116748169,-123.116748169,0.0293441,1.26665,100,4113.73054131,4113.73054131,0.0239697
4.94198,-108.663,1.96929e-05,100,1,1.92135,83.9032717804,0.01,83.6848836026,0.000321524,0.964867,-110.157975742,0.183334,0.8,18.21,-116.858,-110.157975742,-110.157975742,0.0310228,1.19185,100,52.0210828445,52.0210828445,0.0199131
3.73644,-107.229,7.53705e-06,100,1,1.74415,93.9736641875,0.01,93.056455284,0.00445097,0.979676,-107.674756812,0.072338,0.8,18.65,-113.976,-107.674756812,-107.674756812,0.436051,1.06413,100,18.4122493858,18.4122493858,0.0178033
2.89022,-107.184,5.53097e-06,100,1,1.40377,94.5645874524,0.01,94.8086081554,0.00174861,1.01638,-108.186668702,0.0571367,0.8,17.92,-117.288,-108.186668702,-108.186668702,0.177725,1.05748,100,88.77513587,88.77513587,0.0138114
3.61936,-107.547,4.69933e-06,100,1,1.32174,95.6602169122,0.01,95.5544845662,0.00454879,1.00539,-107.859001489,0.0475012,0.8,16.63,-114.061,-107.859001489,-107.859001489,0.457331,1.04537,100,15.9026300941,15.9026300941,0.0131466
2.93619,-107.391,7.20386e-06,100,1,1.31217,94.8057921824,0.01,93.3429688067,0.00204041,0.988769,-107.808765095,0.0704296,0.8,16.27,-114.469,-107.808765095,-107.808765095,0.201749,1.05479,100,17.9280552842,17.9280552842,0.0132707
2.5594,-106.821,4.7544e-06,100,1,2.16992,97.1813541636,0.01,95.5047265496,0.00599293,1.03971,-106.998056037,0.0513947,0.8,16.42,-113.086,-106.998056037,-106.998056037,0.62309,1.029,100,7.96885205253,7.96885205253,0.0208705
2.54002,-107.059,9.83755e-06,100,1,1.51907,93.4660199097,0.01,91.1251733493,0.00195971,0.963828,-107.832340885,0.0913873,0.8,18.26,-114.968,-107.832340885,-107.832340885,0.188882,1.06991,100,29.4832809382,29.4832809382,0.0157608
9.0021,-106.437,2.57869e-05,100,1,4.16499,82.2909764007,0.01,79.6628728548,0.000679015,0.943018,-107.285126822,0.229318,0.8,16.4,-113.026,-107.285126822,-107.285126822,0.0640324,1.2152,100,11.8971463068,11.8971463068,0.0441666
2.76206,-107.283,3.19288e-06,100,1,1.51292,97.6268775199,0.01,96.9359064018,0.00503576,0.991366,-107.41698104,0.0313798,0.8,16.76,-113.117,-107.41698104,-107.41698104,0.499228,1.02431,100,8.12483075528,8.12483075528,0.015261
2.11396,-106.37,1.22239e-06,100,1,1.16813,99.0602943913,0.01,98.8043050049,0.00706891,0.994709,-106.424805357,0.0120949,0.8,15.73,-112.083,-106.424805357,-106.424805357,0.703151,1.00949,100,4.86111109379,4.86111109379,0.0117435
2.80147,-107.316,4.71723e-06,100,1,1.45552,96.7856970615,0.01,95.5383162862,0.00287239,1.01444,-107.509490988,0.0485445,0.8,17.66,-113.119,-107.509490988,-107.509490988,0.291387,1.03321,100,8.66078844312,8.66078844312,0.0143481
2.72951,-106.968,3.18473e-06,100,1,1.66341,97.5563373763,0.01,96.9434723762,0.00513572,1.02275,-107.112428507,0.033313,0.8,18.78,-112.768,-107.112428507,-107.112428507,0.525257,1.02505,100,6.3852274079,6.3852274079,0.0162641
2.39607,-106.704,1.73103e-06,100,1,1.54574,98.1012790717,0.01,98.3151448749,0.00691466,1.00242,-106.830508351,0.0173943,0.8,16.45,-112.834,-106.830508351,-106.830508351,0.693143,1.01935,100,7.03609864965,7.03609864965,0.01542
2.69658,-106.75,2.92781e-06,100,1,1.44665,97.4349110419,0.01,97.183152614,0.00538522,0.98763,-106.908294426,0.0285582,0.8,16.1,-112.774,-106.908294426,-106.908294426,0.531861,1.02633,100,8.05799446667,8.05799446667,0.0146477
2.8531,-106.983,5.09234e-06,100,1,1.69468,96.3187722796,0.01,95.2005386497,0.00369883,1.00413,-107.195713185,0.0513445,0.8,16.95,-112.867,-107.195713185,-107.195713185,0.371409,1.03822,100,7.13400807322,7.13400807322,0.0168772
3.00695,-106.582,1.70869e-06,100,1,1.36305,97.9599691801,0.01,98.3365404347,0.00689355,1.00979,-106.694437272,0.0174232,0.8,17.85,-112.4,-106.694437272,-106.694437272,0.696106,1.02083,100,8.29884007249,8.29884007249,0.0134983
2.96483,-106.412,3.83957e-06,100,1,1.29702,96.8615238095,0.01,96.3380025357,0.00488046,0.991911,-106.586605964,0.037777,0.8,17.33,-112.244,-106.586605964,-106.586605964,0.484098,1.0324,100,7.74216092856,7.74216092856,0.013076
2.56288,-106.862,1.62938e-06,100,1,1.51574,98.0299030301,0.01,98.4125346163,0.00780805,1.01378,-106.974866233,0.016746,0.8,18.56,-112.574,-106.974866233,-106.974866233,0.791566,1.0201,100,6.64456626397,6.64456626397,0.0149514
2.42502,-106.631,1.58192e-06,100,1,1.32966,98.2887882743,0.01,98.4580570753,0.00666558,0.995316,-106.737261665,0.0156714,0.8,16.4,-112.479,-106.737261665,-106.737261665,0.663436,1.01741,100,6.42627508193,6.42627508193,0.0133591
2.23343,-106.546,2.83739e-06,100,1,2.10013,97.9144496569,0.01,97.2677271955,0.00757394,1.01176,-106.667953569,0.0290451,0.8,16.42,-112.204,-106.667953569,-106.667953569,0.766301,1.0213,100,5.03222618331,5.03222618331,0.0207572
3.29415,-107.054,8.83941e-07,100,1,1.37206,99.2339382916,0.01,99.1324805748,0.00863283,1.00544,-107.099934078,0.00893587,0.8,17.22,-112.8,-107.099934078,-107.099934078,0.86798,1.00772,100,9.63641671633,9.63641671633,0.0136463
2.37609,-106.521,7.29012e-06,100,1,3.45186,97.9308071164,0.01,93.268582498,0.00710602,1.02111,-106.635495406,0.0760114,0.8,19.89,-112.307,-106.635495406,-106.635495406,0.725602,1.02113,100,5.87549256346,5.87549256346,0.033805
4.01208,-106.256,2.09533e-06,100,1,1.21902,97.5744139998,0.01,97.9677986287,0.00557373,0.983783,-106.387063041,0.0202792,0.8,16.56,-112.092,-106.387063041,-106.387063041,0.548335,1.02486,100,12.883145182,12.883145182,0.0123911
2.168,-106.602,1.40006e-06,100,1,1.32069,98.7611483813,0.01,98.6328659236,0.00552801,1.00869,-106.677436759,0.0142449,0.8,17.24,-112.344,-106.677436759,-106.677436759,0.557603,1.01254,100,5.00086720421,5.00086720421,0.0130932
2.09852,-107.281,8.0986e-07,100,1,1.17378,99.1078108024,0.01,99.2046089753,0.00673101,0.989039,-107.331609159,0.00792204,0.8,16.25,-112.965,-107.331609159,-107.331609159,0.665723,1.009,100,4.61105517642,4.61105517642,0.0118679
2.43158,-106.693,4.72386e-06,100,1,1.68469,96.7651543343,0.01,95.5323215342,0.00381673,0.999941,-106.896423229,0.0472331,0.8,19.94,-112.505,-106.896423229,-106.896423229,0.381651,1.03343,100,5.69107341848,5.69107341848,0.0168479
3.18205,-106.753,1.17459e-06,100,1,1.31182,98.7468836304,0.01,98.8505510547,0.00648383,1.00082,-106.824618377,0.0117653,0.8,18.0,-112.514,-106.824618377,-106.824618377,0.648917,1.01269,100,9.14002198508,9.14002198508,0.0131074
2.18757,-106.653,2.3789e-06,100,1,1.22537,97.9061529931,0.01,97.6991003795,0.00525107,0.990165,-106.773735659,0.0233233,0.8,16.57,-112.416,-106.773735659,-106.773735659,0.519943,1.02139,100,5.24912726775,5.24912726775,0.0123754
2.46099,-106.478,2.83883e-06,100,1,1.36854,97.8760865144,0.01,97.2663973654,0.00434436,1.00161,-106.598298855,0.0284797,0.8,19.05,-112.142,-106.598298855,-106.598298855,0.435135,1.0217,100,5.95038671584,5.95038671584,0.0136635
