AvgNormIw,VarDiscRet,ESSClassic,AvgRet,AvgVanillaIw,AvgEpLen,VarRet,IterType,VarVanillaIw,BatchSize,MinVanillaIw,VarNormIw,Delta,eRenyi2,MinNormIw,AvgDiscRet,VanillaAvgRet,MaxNormIw,Bound,EpsThisIter,ESSRenyi,J,VarJ,MaxVanillaIw
0.01,83958.67826312238,35.747744617794964,148.23435896617477,1.0829548,15.83,83958.67826312238,1,2.129243,100,0.050069306,0.0001815535,0.1,1.9938538,0.00046233978,148.23435896617477,148.23435896617477,0.094959885,-287.5929,100,50.15412846537936,466.29395,1597.8817,10.283726
0.01,603697.4281622501,67.88419501827002,296.61262789263964,0.9825319,30.65,603697.4281622501,1,0.4613265,100,0.07043905,4.778759e-05,0.1,1.3613367,0.0007169136,296.61262789263964,296.61262789263964,0.049173348,-1064.8741,100,73.45721261116735,685.2648,2568.1328,4.831438
0.01,631295.216111152,33.56727806303791,362.5943570548596,0.963959,37.25,631295.216111152,1,1.8575815,100,0.0060075116,0.0001999083,0.1,1.8120033,6.232124e-05,362.5943570548596,362.5943570548596,0.12882653,-822.5929,100,55.18753883587601,1196.5669,5126.6055,12.418348
0.009999999,882324.9639290464,83.55040228283255,557.7368650110952,1.0255989,56.77,882324.9639290464,1,0.20918348,100,0.2009022,1.9887138e-05,0.1,1.1764759,0.0019588768,557.7368650110952,557.7368650110952,0.023230549,-851.74426,100,84.99961748891351,775.2378,1516.126,2.3825226
0.01,1966103.4354432977,29.16901717059591,950.483734070574,1.0431838,95.98,1966103.4354432977,1,2.6692421,100,0.00084294047,0.00024528234,0.1,3.0146296,8.08046e-06,950.483734070574,950.483734070574,0.08045808,-4.915283,100,33.171571034570356,2599.4863,3875.199,8.393256
0.01,4117709.3262859294,33.614653647919994,2219.668853446496,0.88505393,222.69,4117709.3262859294,1,1.5626001,100,8.7789595e-05,0.00019948414,0.1,2.4959576,9.919123e-07,2219.668853446496,2219.668853446496,0.052269615,1818.1548,100,40.06478294322991,4187.9443,1868.8251,4.626143
0.010000002,2738946.88457066,66.73339296873053,3989.5321526262624,0.97128266,399.32,2738946.88457066,1,0.4750303,100,0.027517807,5.035355e-05,0.1,1.3847958,0.0002833141,3989.5321526262624,3989.5321526262624,0.023545062,2903.9885,100,72.21281367749984,4669.1484,789.0424,2.286891
0.01,1581388.0044836802,87.11514523432567,4532.610434236069,1.0384841,453.43,1581388.0044836802,1,0.16112025,100,0.17660579,1.4939996e-05,0.1,1.1544552,0.0017006116,4532.610434236069,4532.610434236069,0.01686047,3179.0703,100,86.6209457974745,4790.754,618.10785,1.7509329
0.010000002,328725.7006589386,96.37308006467659,4834.022492897087,0.98893595,483.54,328725.7006589386,1,0.037177686,100,0.4132437,3.801422e-06,0.1,1.0359395,0.0041786702,4834.022492897087,4834.022492897087,0.012656399,3364.8247,100,96.53073788648909,4891.541,391.4887,1.2516367
0.01,761320.6001301812,93.2916857493061,4763.318773522122,1.007492,476.44,761320.6001301812,1,0.073725715,100,0.37109572,7.263331e-06,0.1,1.0672005,0.0036833617,4763.318773522122,4763.318773522122,0.014437383,3334.757,100,93.7031008809218,4884.338,434.82077,1.4545547
0.01,871935.1449682205,93.5827514615156,4787.988258477573,0.9968637,478.86,871935.1449682205,1,0.068831876,100,0.1494126,6.926567e-06,0.1,1.0615025,0.0014988268,4787.988258477573,4787.988258477573,0.013877664,3387.3818,100,94.20609379857079,4932.8203,318.3683,1.3834139
0.010000002,221666.90792584867,98.55242748965343,4940.554834689981,0.99975854,494.09,221666.90792584867,1,0.0148293115,100,0.5799594,1.4836477e-06,0.1,1.0130578,0.0058009946,4940.554834689981,4940.554834689981,0.011570437,3453.525,100,98.71104811697141,4963.2866,280.70673,1.1567643
0.01,522209.8699266264,92.75752432648459,4811.783880135001,0.9649969,481.27,522209.8699266264,1,0.07344373,100,0.24189854,7.886838e-06,0.1,1.0547365,0.0025067287,4811.783880135001,4811.783880135001,0.01404202,3377.3374,100,94.81041044122864,4917.843,348.78217,1.3550506
0.010000002,0.03616304280368619,99.99998092650185,4999.885812570932,0.9999992,500.0,0.03616304280368619,1,2.8891528e-10,100,0.9998983,2.8895174e-14,0.1,1.0,0.009998991,4999.885812570932,4999.885812570932,0.010000186,3499.8862,100,100.0,4999.886,0.18917824,1.0000179
0.01,0.012277630862789116,99.99998092595614,4999.910620215479,0.9999706,500.0,0.012277630862789116,1,7.53284e-08,100,0.9994541,7.532938e-12,0.1,1.0,0.009994835,4999.910620215479,4999.910620215479,0.010008866,3499.9116,100,100.0,4999.9116,0.110268906,1.0008572
0.009999998,0.0069116921668926174,100.0,4999.922035228567,1.0,500.0,0.0069116921668926174,1,,100,1.0,3.5044917e-18,0.1,1.0,0.01,4999.922035228567,4999.922035228567,0.01,3499.9224,100,100.0,4999.9224,0.082721904,1.0
0.01,191845.58922553193,98.68405182062516,4956.096650061473,1.0139594,495.63,191845.58922553193,1,0.013848379,100,0.34335715,1.3469695e-06,0.1,1.0124161,0.0033863008,4956.096650061473,4956.096650061473,0.011233662,3475.7817,100,98.77361452022322,4985.065,148.56952,1.1390477
0.01,0.01330119929726805,99.99998474177029,4999.910142045148,1.0000366,500.0,0.01330119929726805,1,8.0725435e-08,100,0.99919766,8.07195e-12,0.1,1.0000001,0.009991611,4999.910142045148,4999.910142045148,0.010005195,3499.9111,100,99.99998807907247,4999.911,0.1147148,1.000556
