AvgRet,BatchSize,VarDiscRet,MinVanillaIw,AvgVanillaIw,ESSClassic,VarRet,AvgEpLen,Delta,AvgNormIw,MaxVanillaIw,EpsThisIter,VarVanillaIw,AvgDiscRet,VanillaAvgRet,VarJ,MaxNormIw,J,ESSRenyi,IterType,Bound,MinNormIw,VarNormIw,eRenyi2
-1436.39346839,100,141890.217217,5.23546e-05,0.955315,65.6839494599,141890.217217,500.0,0.2,0.01,2.66062,100,0.48161,-1436.39346839,-1436.39346839,274.996,0.0278507,-1232.69,66.0349871899,1,-1720.65,5.48035e-07,5.27719e-05,1.51435
-1232.53007145,100,71396.2713148,0.0869359,1.02371,88.6153426869,71396.2713148,500.0,0.2,0.01,1.7873,100,0.135998,-1232.53007145,-1232.53007145,136.738,0.017459,-1167.34,89.2904943171,1,-1582.87,0.000849221,1.2977e-05,1.11994
-1185.98069765,100,48314.010821,0.151004,0.990155,93.2633739775,48314.010821,500.0,0.2,0.01,1.39054,100,0.0715323,-1185.98069765,-1185.98069765,118.063,0.0140437,-1151.72,93.7274217978,1,-1556.45,0.00152506,7.29618e-06,1.06692
-1143.68856405,100,17904.0594091,0.302756,1.22058,18.8202858045,17904.0594091,500.0,0.2,0.01,25.9239,100,6.49111,-1143.68856405,-1143.68856405,739.779,0.21239,-1038.26,71.4178150184,1,-1500.45,0.00248043,0.000435699,1.40021
-1134.35812495,100,23756.3528018,0.626581,1.03715,97.094093211,23756.3528018,500.0,0.2,0.01,1.74666,100,0.0325191,-1134.35812495,-1134.35812495,142.172,0.0168409,-1125.65,97.898120511,1,-1528.5,0.00604136,3.02311e-06,1.02147
-1151.92386603,100,36329.2679103,0.52711,1.02111,97.1027097249,36329.2679103,500.0,0.2,0.01,1.63514,100,0.0314247,-1151.92386603,-1151.92386603,137.212,0.0160134,-1139.28,97.5691480521,1,-1536.26,0.00516213,3.01388e-06,1.02491
-1171.25293343,100,29240.5024451,0.219232,0.998145,95.4859123071,29240.5024451,500.0,0.2,0.01,1.34325,100,0.0475749,-1171.25293343,-1171.25293343,75.0291,0.0134575,-1148.38,95.9499650565,1,-1548.49,0.00219639,4.7752e-06,1.04221
-1139.72134927,100,11715.7068818,0.487024,1.01605,98.4530335095,11715.7068818,500.0,0.2,0.01,1.24916,100,0.0163852,-1139.72134927,-1139.72134927,68.8018,0.0122943,-1133.1,98.7073428798,1,-1525.79,0.0047933,1.58715e-06,1.0131
-1135.76840883,100,9713.59978342,0.919229,1.00319,99.8093000784,9713.59978342,500.0,0.2,0.01,1.12624,100,0.00194247,-1135.76840883,-1135.76840883,93.9709,0.0112266,-1135.12,99.8384704922,1,-1527.71,0.00916309,1.93015e-07,1.00162
-1119.38275338,100,8006.50000772,0.090503,1.04707,50.5494047293,8006.50000772,500.0,0.2,0.01,8.06308,100,1.08335,-1119.38275338,-1119.38275338,402.259,0.0770062,-1060.22,72.0086184326,1,-1347.76,0.000864346,9.88144e-05,1.38872
-1131.94260636,100,10495.2961763,0.542887,0.993184,96.9680675669,10495.2961763,500.0,0.2,0.01,1.37034,100,0.0311541,-1131.94260636,-1131.94260636,104.29,0.0137975,-1123.93,97.1883911621,1,-1422.16,0.00546612,3.15832e-06,1.02893
-1157.56832539,100,37147.9375033,0.200065,0.985077,94.6463093422,37147.9375033,500.0,0.2,0.01,1.34383,100,0.0554441,-1157.56832539,-1157.56832539,127.397,0.0136418,-1134.52,96.1677719389,1,-1534.66,0.00203096,5.71367e-06,1.03985
-1117.83151401,100,21230.0724217,0.216968,1.01214,86.4178300656,21230.0724217,500.0,0.2,0.01,2.61268,100,0.162635,-1117.83151401,-1117.83151401,247.691,0.0258134,-1086.18,89.6150634695,1,-1436.24,0.00214365,1.58756e-05,1.11588
