AvgEpLen,BatchSize,AvgNormIw,ESSRenyi,EpsThisIter,AvgDiscRet,AvgVanillaIw,renyi2,VarNormIw,Bound,MaxVanillaIw,VarVanillaIw,MinVanillaIw,VarRet,ESSClassic,MaxNormIw,AvgRet,SamplesThisIter,VarJ,IterType,VanillaAvgRet,delta,VarDiscRet,J,MinNormIw
500.0,100,5.55556e-05,nan,100,-406.023216426,1.0161,nan,1.13718e-09,-429.123,4.3132,0.380404,0.000705033,208.713314097,1.01913418779,0.000235826,-406.023216426,50000,361.925,1,-406.023216426,0.7,208.713314097,-71917.7,3.85479e-08
500.0,100,5.55556e-05,nan,100,-398.49517147,1.22055,nan,5.6157e-09,-415.603,8.20193,2.71056,,452.416666179,0.719738718202,0.000373326,-398.49517147,50000,393.064,1,-398.49517147,0.7,452.416666179,-68083.0,
446.428571429,100,4.96032e-05,nan,112,-359.903626872,2.13243e+18,nan,4.49129e-06,-190.334,3.90128e+21,inf,,9298.76859101,10.9999656005,0.090749,-359.903626872,50000,1499.07,1,-359.903626872,0.7,9298.76859101,-32386.9,
500.0,100,5.55556e-05,0.0249703446676,100,-410.330544144,0.953857,8.29524,1.00248e-10,-436.906,2.96764,0.029552,0.476457,37.8488918318,0.746460970351,0.000172845,-410.330544144,50000,153.006,1,-410.330544144,0.7,37.8488918318,-73718.1,2.77503e-05
406.504065041,100,4.51671e-05,nan,123,-313.443987777,169.226,nan,7.68488e-07,nan,107506.0,1.07876e+07,,16545.9267005,4.83082032706,0.0286939,-313.443987777,50000,nan,1,-313.443987777,0.7,16545.9267005,nan,
495.04950495,100,5.50055e-05,nan,101,-397.456049272,1.34317e+16,nan,5.04184e-05,-347.165,2.33626e+20,inf,,1741.40112747,0.998641306191,0.956747,-397.456049272,50000,1907.38,1,-397.456049272,0.7,1741.40112747,-39917.4,
409.836065574,100,4.55373e-05,nan,122,-326.838719399,72.9051,nan,1.36683e-07,nan,17048.8,350345.0,,18900.3120475,4.07899254421,0.0106489,-326.838719399,50000,nan,1,-326.838719399,0.7,18900.3120475,nan,
495.04950495,100,5.50055e-05,nan,101,-404.440694089,5.92042e+13,nan,3.33938e-05,nan,8.22434e+17,3.86864e+31,,1453.72867217,0.961690221777,0.764109,-404.440694089,50000,nan,1,-404.440694089,0.7,1453.72867217,nan,
450.45045045,100,5.00501e-05,nan,111,-356.502616883,2.74057e+16,nan,3.24211e-06,-195.489,4.31075e+19,inf,,8465.97264842,9.56081516118,0.0787256,-356.502616883,50000,1707.1,1,-356.502616883,0.7,8465.97264842,-33267.7,
500.0,100,5.55556e-05,8.23429344756e-08,100,-407.730542177,1.01411,20.9175,7.33855e-11,-434.356,1.55679,0.0244524,0.453511,22.7698773168,0.705708359474,8.52854e-05,-407.730542177,50000,76.7174,1,-407.730542177,0.7,22.7698773168,-73287.4,2.48446e-05
500.0,100,5.55556e-05,8.44639794238e-08,100,-409.410907518,0.981902,20.8921,7.35628e-12,-436.244,1.53109,0.00229795,0.86244,3.1210936154,0.594119933187,8.66283e-05,-409.410907518,50000,28.9349,1,-409.410907518,0.7,3.1210936154,-73683.5,4.87965e-05
500.0,100,5.55556e-05,8.62355862392e-08,100,-407.552304458,1.01529,20.8714,5.29547e-11,-434.123,1.51523,0.0176859,0.527321,17.7677758152,0.646735736029,8.29121e-05,-407.552304458,50000,67.1405,1,-407.552304458,0.7,17.7677758152,-73281.5,2.88545e-05
500.0,100,5.55556e-05,8.79199902768e-08,100,-407.90291957,1.0197,20.852,2.32407e-11,-435.016,1.28727,0.00782966,0.693208,8.19971653726,0.653129312564,7.01331e-05,-407.90291957,50000,39.4947,1,-407.90291957,0.7,8.19971653726,-73389.1,3.77674e-05
500.0,100,5.55556e-05,9.13808313252e-08,100,-410.284127926,0.990806,20.8134,1.68527e-11,-437.435,1.30609,0.00536035,0.65174,6.29966101669,0.635378314514,7.32337e-05,-410.284127926,50000,31.398,1,-410.284127926,0.7,6.29966101669,-73825.5,3.65437e-05
500.0,100,5.55556e-05,9.11447973208e-08,100,-408.419630541,0.968927,20.816,4.46339e-11,-434.996,2.23682,0.0135766,0.675748,19.2561437424,0.63472440368,0.000128253,-408.419630541,50000,85.7802,1,-408.419630541,0.7,19.2561437424,-73449.5,3.87455e-05
500.0,100,5.55556e-05,8.87039179598e-08,100,-408.05940808,1.01276,20.8431,1.35674e-11,-434.826,1.22055,0.00450873,0.762918,4.75643640511,0.58905311771,6.69541e-05,-408.05940808,50000,31.114,1,-408.05940808,0.7,4.75643640511,-73430.9,4.18504e-05
500.0,100,5.55556e-05,nan,100,-404.314742848,0.995817,nan,3.48232e-10,-429.07,4.52374,0.111885,0.0668681,109.731203784,0.913657297126,0.000252374,-404.314742848,50000,290.102,1,-404.314742848,0.7,109.731203784,-72322.2,3.7305e-06
500.0,100,5.55556e-05,8.77069392608e-08,100,-407.823907202,0.979039,20.8544,3.9527e-11,-434.397,2.18902,0.0122755,0.639953,16.3074238758,0.653027773744,0.000124216,-407.823907202,50000,77.7375,1,-407.823907202,0.7,16.3074238758,-73350.0,3.63141e-05
