VarDiscRet,AvgVanillaIw,AvgNormIw,J,Delta,VarJ,MinVanillaIw,MaxNormIw,VarVanillaIw,AvgRet,VanillaAvgRet,AvgEpLen,AvgDiscRet,MinNormIw,BatchSize,ESSClassic,VarRet,ESSRenyi,Bound,EpsThisIter,IterType,eRenyi2,MaxVanillaIw,VarNormIw
24805.661666,1.47296,0.01,-78.5226,0.9,40.2969,2.42897e-35,0.0816423,10.2575,-297.610369948,-297.610369948,366.19,-297.610369948,1.64904e-37,100,17.6039190178,24805.661666,12.0792734576,-118.532,100,1,8.27864,12.0256,0.000472783
7059.32427144,0.976424,0.01,-66.6945,0.9,19.8714,6.34721e-14,0.0424775,1.55334,-96.6362610556,-96.6362610556,132.75,-96.6362610556,6.50047e-16,100,38.2706512629,7059.32427144,38.3688651085,-89.1423,100,1,2.60628,4.1476,0.000162926
9075.2419391,1.57553e+11,0.01,-79.1906,0.9,0.00308387,0.241103,0.99998,2.48219e+24,-96.6362610556,-96.6362610556,132.75,-98.3900754562,1.5303e-14,200,1.00004019982,7059.32427144,nan,-inf,100,,nan,1.5755e+13,0.0099996
7869.82974697,0.793253,0.005,-68.4787,0.9,41.0988,,0.0667628,3.90835,-99.8867336561,-99.8867336561,136.86,-99.8867336561,,200,27.8549270345,7869.82974697,28.3466682779,-94.595,100,1,7.0555,10.592,0.000155278
5971.49990666,1.0,0.01,-86.782,0.9,76.8881,1.0,0.01,,-86.782030084,-86.782030084,120.06,-86.782030084,0.01,200,100.0,5971.49990666,200.0,-100.687,100,2,1.0,1.0,3.50449e-18
7072.48037263,0.929854,0.005,-82.3368,0.9,65.2963,0.0523324,0.0167984,0.379254,-90.0738100851,-90.0738100851,123.53,-90.0738100851,0.000281401,200,139.233119528,7072.48037263,136.309523036,-94.2465,100,1,1.46725,3.124,1.09658e-05
1383.66017554,1.0,0.01,-69.7959,0.9,37.0111,1.0,0.01,,-69.7958948365,-69.7958948365,100.33,-69.7958948365,0.01,200,100.0,1383.66017554,200.0,-83.6972,100,2,1.0,1.0,3.50449e-18
3736.57390365,1.09162,0.005,-70.2595,0.9,31.0747,0.00249667,0.0111745,0.538764,-79.4525297706,-79.4525297706,110.97,-79.4525297706,1.14356e-05,200,137.9440041,3736.57390365,131.142632602,-82.4009,100,1,1.52506,2.43965,1.13031e-05
6990.16175982,1.0,0.01,-91.8949,0.9,83.1881,1.0,0.01,,-91.8949519514,-91.8949519514,126.47,-91.8949519514,0.01,200,100.0,6990.16175982,200.0,-105.8,100,2,1.0,1.0,3.50449e-18
5991.4596604,6.93047,0.005,-74.9233,0.9,89.4545,0.409894,0.288966,1228.8,-79.4525297706,-79.4525297706,110.97,-85.9291178459,0.000295719,300,7.55993067869,3736.57390365,18.3737165614,-114.653,100,,16.3277,400.534,0.00063958
