AvgDiscRet,Bound,BatchSize,J,VarJ,IterType,VarRet,AvgNormIw,ESSRenyi,MaxVanillaIw,VarDiscRet,AvgVanillaIw,EpsThisIter,VarNormIw,renyi2,SamplesThisIter,AvgEpLen,VarVanillaIw,MinVanillaIw,MaxNormIw,AvgRet,VanillaAvgRet,delta,MinNormIw,ESSClassic
-395.385462856,-453.464,100,-65540.5,2975.62,1,3452.38104639,5.39374e-05,nan,8.03152,3452.38104639,1.02886,103,1.73735e-09,nan,50000,485.436893204,0.632148,4.0322e-05,0.000421049,-395.385462856,-395.385462856,0.2,2.11387e-09,0.604318764015
-375.25664548,-374.655,100,-47676.2,3204.05,1,8859.38164989,5.14403e-05,nan,98.4745,8859.38164989,2.49522,108,3.19122e-08,nan,50000,462.962962963,75.0877,,0.0020301,-375.25664548,-375.25664548,0.2,,0.55076423983
-357.933907219,-310.725,100,-40743.2,2814.83,1,13944.1260065,4.91642e-05,nan,223.019,13944.1260065,4.17816,113,3.99454e-08,nan,50000,442.477876106,288.496,,0.00262425,-357.933907219,-357.933907219,0.2,,1.31616994657
-332.326702295,-250.571,100,-33762.0,2328.73,1,17830.5203428,4.59137e-05,nan,140.04,17830.5203428,3.61659,121,1.94412e-08,nan,50000,413.223140496,120.625,,0.00177784,-332.326702295,-332.326702295,0.2,,3.09141030386
-369.81746531,-348.756,100,-46903.1,2290.27,1,9346.79019777,5.09684e-05,nan,69.682,9346.79019777,1.92701,109,2.28339e-08,nan,50000,458.71559633,32.6398,,0.00184305,-369.81746531,-369.81746531,0.2,,0.760554916457
-373.821349333,-362.338,100,-46811.1,2917.99,1,9016.91070722,5.14403e-05,nan,73.369,9016.91070722,2.13256,108,2.82775e-08,nan,50000,462.962962963,48.6001,4.53038e-33,0.00176976,-373.821349333,-373.821349333,0.2,1.09279e-37,0.509172970109
-351.39456196,-284.262,100,-38114.0,2330.23,1,14542.3369609,4.83092e-05,nan,145.168,14542.3369609,4.05181,115,2.90965e-08,nan,50000,434.782608696,204.683,,0.00173081,-351.39456196,-351.39456196,0.2,,0.929237450511
-378.84189315,-393.639,100,-47420.5,2892.37,1,6887.76463691,5.24109e-05,nan,425.907,6887.76463691,3.09524,106,1.02931e-07,nan,50000,471.698113208,358.997,,0.00721179,-378.84189315,-378.84189315,0.2,,0.972593798362
-362.7088028,-329.119,100,-44119.2,2581.56,1,11347.7957731,5.005e-05,nan,95.852,11347.7957731,3.26173,111,2.54219e-08,nan,50000,450.45045045,107.968,,0.00147082,-362.7088028,-362.7088028,0.2,,0.761294945491
-392.297035295,-456.347,100,-66902.1,2426.28,1,2770.10840971,5.44662e-05,nan,7.55554,2770.10840971,1.03976,102,1.05813e-09,nan,50000,490.196078431,0.385616,0.00544571,0.000395784,-392.297035295,-392.297035295,0.2,2.85264e-07,0.638199924016
