Delta,VarVanillaIw,IterType,BatchSize,AvgNormIw,Bound,J,AvgDiscRet,MinVanillaIw,ESSRenyi,VarJ,AvgEpLen,AvgVanillaIw,MaxVanillaIw,AvgRet,VarNormIw,VarDiscRet,VanillaAvgRet,ESSClassic,VarRet,eRenyi2,MaxNormIw,MinNormIw,EpsThisIter
0.7,70.8502,1,100,0.01,235.041,318.31,153.812071012,6.079e-05,15.9717139133,272.22,16.78,2.46702,70.7235,153.812071012,0.00116411,10464.2007747,153.812071012,7.98421827227,10464.2007747,6.26107,0.286675,2.4641e-07,100
0.7,35.0557,1,100,0.01,327.027,448.009,250.316353863,1.66409e-07,12.7454769903,204.783,27.1,1.57445,46.7315,250.316353863,0.00141417,17862.9894773,250.316353863,6.66652939681,17862.9894773,7.84592,0.296812,1.05694e-09,100
0.7,188.845,1,100,0.01,477.787,619.644,338.544597776,1.12586e-07,13.7879970017,323.047,36.58,2.42502,132.127,338.544597776,0.00321125,20320.944841,338.544597776,3.04958714322,20320.944841,7.25269,0.544847,4.64268e-10,100
0.7,7.8888e+11,,200,0.01,-61.7866,427.949,428.396831496,0.00756849,3.4166988707,1.70668,36.58,89027.1,8.8821e+06,338.544597776,0.00995328,28053.1852756,338.544597776,1.00464708195,20320.944841,58.536,0.997684,8.50133e-10,100
0.7,323.304,1,200,0.005,498.692,629.116,344.312997472,3.02414e-12,16.8094188122,354.283,37.2,2.03587,248.442,344.312997472,0.00195008,19602.0654902,344.312997472,2.54410340235,19602.0654902,11.8981,0.610164,7.42716e-15,100
0.7,,2,200,0.01,376.58,483.346,483.346091919,1.0,200.0,255.396,52.24,1.0,1.0,483.346091919,3.50449e-18,65885.9797117,483.346091919,100.0,65885.9797117,1.0,0.01,0.01,100
0.7,5.4672e+20,,300,0.005,-inf,352.045,470.046094557,0.00402508,nan,0.529439,37.2,1.65398e+09,3.30673e+11,344.312997472,0.00499624,37161.4184247,344.312997472,1.00074850512,19602.0654902,nan,0.999626,1.21678e-14,100
0.7,81.7271,1,300,0.00333333,513.974,646.981,371.326060285,2.0613e-18,23.3475348,2273.27,40.09,1.28484,145.912,371.326060285,0.000550076,29029.1365494,371.326060285,5.95926362861,29029.1365494,12.8493,0.378547,5.34773e-21,100
0.7,,2,300,0.01,342.444,421.517,421.51691837,1.0,300.0,189.268,45.53,1.0,1.0,421.51691837,3.50449e-18,36184.3744456,421.51691837,100.0,36184.3744456,1.0,0.01,0.01,100
0.7,,2,300,0.005,374.594,432.308,443.099011369,1.0,300.0,198.044,47.86,1.0,1.0,443.099011369,2.1793e-19,42815.972437,443.099011369,200.000000102,42815.972437,1.0,0.005,0.005,100
0.7,7.91044e+32,,400,0.00333333,-inf,378.904,426.165042648,0.00685344,206721479.763,35.1496,40.09,1.77029e+15,4.8513e+17,371.326060285,0.00280457,36754.6727064,371.326060285,1.18778762459,29029.1365494,1.93497e-06,0.913465,1.29045e-20,100
0.7,3241.08,1,400,0.0025,1020.04,1381.03,329.844663397,2.77939e-14,8.26692351533,3359.66,35.65,3.53058,1137.59,329.844663397,0.00162509,36767.8344575,329.844663397,1.53631019161,36767.8344575,48.3856,0.805528,1.96808e-17,100
0.7,,2,400,0.01,439.929,525.011,525.01139831,1.0,400.0,238.6,56.69,1.0,1.0,525.01139831,3.50449e-18,57505.2002988,525.01139831,100.0,57505.2002988,1.0,0.01,0.01,100
0.7,,2,400,0.005,461.623,521.786,518.560338155,1.0,400.0,238.132,55.98,1.0,1.0,518.560338155,2.1793e-19,57033.2297214,518.560338155,200.000000102,57033.2297214,1.0,0.005,0.005,100
0.7,,2,400,0.00333333,460.696,528.404,541.640841701,1.0,400.0,249.406,58.53,1.0,1.0,541.640841701,5.43914e-20,73670.4717291,541.640841701,299.999969474,73670.4717291,1.0,0.00333333,0.00333333,100
0.7,3.24854e+24,,500,0.0025,-inf,537.748,515.045379713,0.000879049,nan,300.388,35.65,9.58554e+10,3.59791e+13,329.844663397,0.00220971,92769.5505538,329.844663397,1.13099953268,36767.8344575,nan,0.938369,2.29264e-17,100
0.7,5594.05,1,500,0.002,1040.9,1416.12,372.350532877,3.66519e-15,7.65192163225,3232.43,40.18,3.99219,1671.45,372.350532877,0.00140399,23709.0204017,372.350532877,1.42329958625,23709.0204017,65.3431,0.837362,1.83618e-18,100
0.7,,2,500,0.01,439.773,535.409,535.408974846,1.0,500.0,248.257,57.82,1.0,1.0,535.408974846,3.50449e-18,62253.8856647,535.408974846,100.0,62253.8856647,1.0,0.01,0.01,100
0.7,,2,500,0.005,446.635,535.877,536.344445636,1.0,500.0,279.954,57.98,1.0,1.0,536.344445636,2.1793e-19,96077.155364,536.344445636,200.000000102,96077.155364,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,477.367,554.918,592.999954242,1.0,500.0,310.014,64.17,1.0,1.0,592.999954242,5.43914e-20,130708.997286,592.999954242,299.999969474,130708.997286,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,493.951,561.113,579.697510599,1.0,500.0,302.19,62.6,1.0,1.0,579.697510599,5.4346e-20,77262.9835603,579.697510599,400.0,77262.9835603,1.0,0.0025,0.0025,100
0.7,3394.87,1,500,0.002,935.284,1290.66,506.774961924,9.39001e-09,14.2864554653,3485.71,54.85,3.77426,1295.89,506.774961924,0.000953277,77155.6560157,506.774961924,2.09343062563,77155.6560157,34.9982,0.686699,4.97581e-12,100
0.7,,2,500,0.01,527.089,606.003,606.002547114,1.0,500.0,210.311,65.54,1.0,1.0,606.002547114,3.50449e-18,44677.4235903,606.002547114,100.0,44677.4235903,1.0,0.01,0.01,100
0.7,,2,500,0.005,568.669,650.037,694.072495975,1.0,500.0,265.257,75.01,1.0,1.0,694.072495975,2.1793e-19,93549.0244205,694.072495975,200.000000102,93549.0244205,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,592.433,658.87,676.535720131,1.0,500.0,283.126,73.11,1.0,1.0,676.535720131,5.43914e-20,100293.164887,676.535720131,299.999969474,100293.164887,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,601.219,666.866,690.853932475,1.0,500.0,297.735,74.66,1.0,1.0,690.853932475,5.4346e-20,114480.975423,690.853932475,400.0,114480.975423,1.0,0.0025,0.0025,100
0.7,5151.43,1,500,0.002,1434.99,1773.84,704.834877787,8.21498e-10,15.0125612457,3860.62,76.18,3.94486,1604.23,704.834877787,0.00132411,99678.5766985,704.834877787,1.50890819432,99678.5766985,33.3054,0.813326,4.1649e-13,100
0.7,,2,500,0.01,834.238,952.772,952.771914991,1.0,500.0,345.056,103.25,1.0,1.0,952.771914991,3.50449e-18,120266.422083,952.771914991,100.0,120266.422083,1.0,0.01,0.01,100
0.7,,2,500,0.005,832.023,918.962,885.151530576,1.0,500.0,354.193,95.79,1.0,1.0,885.151530576,2.1793e-19,130863.507685,885.151530576,200.000000102,130863.507685,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,825.725,896.71,852.206448882,1.0,500.0,356.399,92.25,1.0,1.0,852.206448882,5.43914e-20,128470.199281,852.206448882,299.999969474,128470.199281,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,817.87,879.345,827.249732078,1.0,500.0,350.343,89.43,1.0,1.0,827.249732078,5.4346e-20,107354.602756,827.249732078,400.0,107354.602756,1.0,0.0025,0.0025,100
0.7,3655.49,1,500,0.002,1340.78,1613.56,864.15187128,2.05904e-13,20.3159361184,1728.02,93.67,3.31507,1351.87,864.15187128,0.00133052,109974.45996,864.15187128,1.50166435432,109974.45996,24.6112,0.815589,1.24223e-16,100
0.7,,2,500,0.01,1041.34,1186.23,1186.23385361,1.0,500.0,375.654,128.77,1.0,1.0,1186.23385361,3.50449e-18,142541.165781,1186.23385361,100.0,142541.165781,1.0,0.01,0.01,100
0.7,,2,500,0.005,1079.5,1200.82,1215.40349762,1.0,500.0,415.47,132.04,1.0,1.0,1215.40349762,2.1793e-19,205746.345158,1215.40349762,200.000000102,205746.345158,1.0,0.005,0.005,100
0.7,,2,500,0.00333333,1090.7,1191.28,1172.21396592,1.0,500.0,413.373,127.22,1.0,1.0,1172.21396592,5.43914e-20,168541.382073,1172.21396592,299.999969474,168541.382073,1.0,0.00333333,0.00333333,100
0.7,,2,500,0.0025,1055.67,1182.92,1157.8189203,1.0,500.0,433.055,125.56,1.0,1.0,1157.8189203,5.4346e-20,239065.974108,1157.8189203,400.0,239065.974108,1.0,0.0025,0.0025,100
0.7,11784.7,1,500,0.002,2730.9,3542.87,1252.34896712,1.23923e-13,9.82400629111,6725.68,135.84,5.64032,2427.31,1252.34896712,0.00148174,205185.269899,1252.34896712,1.34882283228,205185.269899,50.8957,0.860702,4.39419e-17,100
0.7,,2,500,0.01,1218.41,1379.65,1379.64733975,1.0,500.0,437.496,150.04,1.0,1.0,1379.64733975,3.50449e-18,193336.178334,1379.64733975,100.0,193336.178334,1.0,0.01,0.01,100
