MaxNormIw,MinNormIw,eRenyi2,BatchSize,VarVanillaIw,VarRet,AvgVanillaIw,MinVanillaIw,VanillaAvgRet,MaxVanillaIw,AvgRet,AvgDiscRet,AvgEpLen,VarJ,Delta,ESSClassic,J,VarNormIw,ESSRenyi,IterType,VarDiscRet,AvgNormIw,Bound,EpsThisIter
0.0170011,0.00282037,1.04521,100,0.051782,4143.16953978,1.05045,0.296267,-124.317717803,1.78589,-124.317717803,-124.317717803,45.33,43.0441,0.2,95.5604197927,-118.677,4.69272e-06,95.6744876146,1,4143.16953978,0.01,-220.816,100
0.0152644,0.00108636,1.07341,100,0.0930834,3629.47603463,1.01123,0.109856,-124.334484055,1.54358,-124.334484055,-124.334484055,38.44,28.9076,0.2,91.7332450676,-116.251,9.10275e-06,93.1610652287,1,3629.47603463,0.01,-213.659,100
0.0164985,0.00832922,1.00997,100,0.015383,97.6833503344,1.01736,0.847381,-110.490310884,1.67849,-110.490310884,-110.490310884,24.0,8.97816,0.2,98.5499563789,-110.109,1.48625e-06,99.0125430404,1,97.6833503344,0.01,-148.114,100
0.0124996,0.0036219,1.0245,100,0.0270539,1562.05562352,0.98881,0.358137,-116.142451856,1.23598,-116.142451856,-116.142451856,31.15,16.562,0.2,97.3337151391,-113.003,2.76697e-06,97.6087587388,1,1562.05562352,0.01,-212.807,100
0.0139921,0.0041767,1.0279,100,0.0338871,584.656894418,0.98402,0.410996,-112.945592796,1.37685,-112.945592796,-112.945592796,28.72,14.0563,0.2,96.6513885346,-110.856,3.49967e-06,97.2854479613,1,584.656894418,0.01,-173.522,100
0.0118833,0.00659588,1.01553,100,0.0151088,38.0202226356,1.0013,0.660442,-110.138947602,1.18987,-110.138947602,-110.138947602,18.39,5.10912,0.2,98.5299997271,-109.676,1.50697e-06,98.4703918833,1,38.0202226356,0.01,-138.059,100
0.0126402,0.00474408,1.02127,100,0.0279985,1279.95089784,0.963974,0.457316,-113.716148385,1.21848,-113.716148385,-113.716148385,24.24,19.2054,0.2,97.103479721,-111.392,3.01304e-06,97.917341249,1,1279.95089784,0.01,-203.187,100
0.0114297,0.007701,1.00829,100,0.00793896,28.7777556972,0.997824,0.768425,-108.90646576,1.14048,-108.90646576,-108.90646576,17.7,4.88074,0.2,99.2168024434,-108.682,7.97363e-07,99.1773417244,1,28.7777556972,0.01,-136.308,100
0.0125597,0.00553636,1.01634,100,0.0213564,58.0349892494,0.987343,0.546628,-109.227819342,1.24007,-109.227819342,-109.227819342,18.15,5.93325,0.2,97.8771932841,-108.69,2.19075e-06,98.3927071751,1,58.0349892494,0.01,-140.018,100
0.0121337,0.00539081,1.01354,100,0.0162895,496.217119918,0.994852,0.536305,-110.490793092,1.20712,-110.490793092,-110.490793092,21.55,14.7854,0.2,98.396732528,-109.548,1.64585e-06,98.6643406717,1,496.217119918,0.01,-175.61,100
0.012106,0.00811066,1.00567,100,0.00500182,20.8462234414,0.996592,0.808302,-108.012017149,1.20648,-108.012017149,-108.012017149,16.93,4.25883,0.2,99.5038833146,-107.864,5.03609e-07,99.4361779921,1,20.8462234414,0.01,-134.403,100
0.0135517,0.00418918,1.02022,100,0.0222168,1477.19476635,1.00225,0.419858,-113.478440977,1.35822,-113.478440977,-113.478440977,27.29,26.4701,0.2,97.8573274762,-111.362,2.21174e-06,98.0177384292,1,1477.19476635,0.01,-198.077,100
0.0114502,0.00799075,1.00393,100,0.00598004,10.8026305844,0.982652,0.785213,-107.814406877,1.12516,-107.814406877,-107.814406877,16.5,3.12175,0.2,99.3906093074,-107.718,6.19305e-07,99.6080680487,1,10.8026305844,0.01,-132.123,100
0.0103161,0.00815114,1.00063,100,0.00101071,10.6883245425,0.998934,0.814245,-107.667884493,1.03051,-107.667884493,-107.667884493,17.61,3.19635,0.2,99.8998021118,-107.639,1.01287e-07,99.9371089937,1,10.6883245425,0.01,-132.611,100
0.0111328,0.00913359,1.00159,100,0.0014876,12.4624943207,1.00764,0.920342,-107.368816668,1.1218,-107.368816668,-107.368816668,17.04,3.4097,0.2,99.8551366296,-107.329,1.46511e-07,99.8415243748,1,12.4624943207,0.01,-132.206,100
0.01143,0.00725561,1.00596,100,0.00587822,21.4897712099,0.993556,0.720885,-108.010419284,1.13564,-108.010419284,-108.010419284,17.57,4.22638,0.2,99.4139301495,-107.85,5.95471e-07,99.4070493545,1,21.4897712099,0.01,-134.363,100
0.011582,0.00863701,1.00253,100,0.00315175,12.8360057907,0.995669,0.85996,-107.747589312,1.15318,-107.747589312,-107.747589312,16.53,3.46539,0.2,99.6862677481,-107.684,3.17923e-07,99.747782919,1,12.8360057907,0.01,-132.609,100
0.0108684,0.00916855,1.00054,100,0.000574943,6.16066826572,0.995774,0.912981,-107.307450541,1.08225,-107.307450541,-107.307450541,16.77,2.46106,0.2,99.9426112068,-107.295,5.79833e-08,99.946444122,1,6.16066826572,0.01,-130.336,100
0.0116564,0.00596969,1.01229,100,0.0109691,416.968098729,1.01318,0.604837,-109.714363697,1.181,-109.714363697,-109.714363697,21.75,13.0435,0.2,98.953234112,-108.877,1.06855e-06,98.7857348099,1,416.968098729,0.01,-170.969,100
0.0114403,0.00756964,1.00543,100,0.00542197,24.471114113,0.998731,0.756003,-108.396424551,1.14258,-108.396424551,-108.396424551,17.03,4.30702,0.2,99.4647598257,-108.243,5.43576e-07,99.4602408404,1,24.471114113,0.01,-135.722,100
0.0106502,0.00812304,1.00175,100,0.00220689,8.94968982926,1.00143,0.813462,-108.038774969,1.06654,-108.038774969,-108.038774969,16.63,2.90318,0.2,99.7826365077,-107.998,2.20061e-07,99.8250213725,1,8.94968982926,0.01,-131.383,100
0.0108369,0.0086279,1.00164,100,0.00143405,7.23166086515,1.00681,0.868664,-107.432217876,1.09106,-107.432217876,-107.432217876,16.41,2.63644,0.2,99.8601279733,-107.394,1.41473e-07,99.8367356849,1,7.23166086515,0.01,-130.768,100
0.0110404,0.00815469,1.00488,100,0.00495431,10.6234142103,1.00212,0.817195,-108.011351722,1.10637,-108.011351722,-108.011351722,17.01,3.08231,0.2,99.5139658033,-107.894,4.9334e-07,99.5145871784,1,10.6234142103,0.01,-131.721,100
0.0108788,0.00524537,1.00497,100,0.00658679,11.1279747236,0.99482,0.521821,-107.792175209,1.08224,-107.792175209,-107.792175209,16.22,2.8108,0.2,99.3454089677,-107.645,6.65556e-07,99.5053915606,1,11.1279747236,0.01,-133.258,100
0.0113016,0.00777277,1.00242,100,0.00347879,10.4375446327,0.994552,0.773042,-107.232817706,1.12401,-107.232817706,-107.232817706,16.58,3.14627,0.2,99.6530019174,-107.175,3.51701e-07,99.7590401564,1,10.4375446327,0.01,-131.134,100
0.0112946,0.00799784,1.0028,100,0.00310028,9.18360027077,0.998847,0.798861,-107.57247754,1.12815,-107.57247754,-107.57247754,16.72,2.99758,0.2,99.693311683,-107.509,3.10744e-07,99.7211860778,1,9.18360027077,0.01,-130.667,100
0.0108933,0.0086178,1.00102,100,0.00100784,7.59519225931,1.00025,0.861993,-107.57905086,1.0896,-107.57905086,-107.57905086,16.02,2.70077,0.2,99.9003600663,-107.555,1.00734e-07,99.8983344934,1,7.59519225931,0.01,-131.045,100
0.0116228,0.007868,1.00177,100,0.00242718,7.3704957091,1.00717,0.792444,-107.326886011,1.17062,-107.326886011,-107.326886011,16.15,2.66991,0.2,99.7636876194,-107.286,2.39273e-07,99.8231563655,1,7.3704957091,0.01,-130.229,100
0.0127308,0.00895157,1.00239,100,0.00364803,8.41449842128,1.00922,0.903414,-107.466925192,1.28482,-107.466925192,-107.466925192,16.2,2.85487,0.2,99.6466517413,-107.408,3.58165e-07,99.7617332547,1,8.41449842128,0.01,-131.242,100
0.0120147,0.00475904,1.01764,100,0.0248922,244.149286383,0.999741,0.475781,-109.413517868,1.20116,-109.413517868,-109.413517868,27.13,9.28822,0.2,97.5937340403,-108.432,2.49051e-06,98.266716226,1,244.149286383,0.01,-157.25,100
0.0108707,0.0095053,1.00092,100,0.000951344,6.03309105089,1.00156,0.952017,-107.031198566,1.08877,-107.031198566,-107.031198566,16.22,2.4438,0.2,99.9061921147,-107.01,9.48373e-08,99.9078289642,1,6.03309105089,0.01,-129.874,100
0.0105498,0.00843114,1.00131,100,0.00157069,4.6843954324,0.999595,0.842773,-107.118068896,1.05455,-107.118068896,-107.118068896,16.14,2.13505,0.2,99.8445969848,-107.089,1.57196e-07,99.8693506415,1,4.6843954324,0.01,-130.004,100
0.010923,0.00882734,1.00142,100,0.00157322,7.18176269694,1.00433,0.886559,-107.412380664,1.09704,-107.412380664,-107.412380664,16.49,2.63507,0.2,99.84582564,-107.379,1.55968e-07,99.8581398186,1,7.18176269694,0.01,-130.239,100
0.0106056,0.00894616,1.00085,100,0.00085708,7.85981538043,1.00214,0.89653,-107.417430271,1.06282,-107.417430271,-107.417430271,16.38,2.76825,0.2,99.91558608,-107.397,8.53424e-08,99.9153496754,1,7.85981538043,0.01,-130.474,100
0.0110134,0.00834641,1.00231,100,0.00273444,6.04216376779,1.00307,0.837204,-107.437885707,1.10472,-107.437885707,-107.437885707,15.7,2.36705,0.2,99.7316299177,-107.383,2.71773e-07,99.7690421308,1,6.04216376779,0.01,-130.291,100
0.011356,0.00515144,1.00885,100,0.0104003,53.1320715229,0.995344,0.512745,-107.628174886,1.13031,-107.628174886,-107.628174886,21.29,4.58248,0.2,98.9714006014,-107.252,1.04979e-06,99.1231170425,1,53.1320715229,0.01,-142.085,100
0.0106352,0.00788873,1.00154,100,0.00205121,6.33656774795,0.996574,0.786171,-107.336922483,1.05988,-107.336922483,-107.336922483,16.23,2.40446,0.2,99.7959230927,-107.3,2.06533e-07,99.8458975749,1,6.33656774795,0.01,-130.804,100
0.0105139,0.00866868,1.00123,100,0.0014311,6.11692928083,0.996862,0.864147,-107.261679341,1.04809,-107.261679341,-107.261679341,15.43,2.4377,0.2,99.8576265118,-107.234,1.44013e-07,99.8766990786,1,6.11692928083,0.01,-130.263,100
0.0105651,0.00919416,1.00076,100,0.00062843,5.77652016396,1.00129,0.920605,-107.24403251,1.05787,-107.24403251,-107.24403251,16.54,2.37454,0.2,99.9379790938,-107.227,6.26809e-08,99.9242522335,1,5.77652016396,0.01,-129.972,100
0.0114305,0.00640724,1.00763,100,0.0138706,8.80932473042,0.978683,0.627066,-107.64281716,1.11868,-107.64281716,-107.64281716,16.62,2.8065,0.2,98.5865953354,-107.474,1.44814e-06,99.2429076869,1,8.80932473042,0.01,-130.575,100
0.198414,2.5663e-08,1.0,100,1.54953,6.23144605244,0.460035,1.18059e-06,-107.10998694,9.12772,-107.10998694,-107.10998694,15.84,3.3763,0.2,12.1233046479,-106.121,0.000732179,100.0,1,6.23144605244,0.01,-128.868,100
0.0105026,0.00882829,1.00145,100,0.00121302,5.97689723597,0.99943,0.882326,-107.19986241,1.04966,-107.19986241,-107.19986241,16.56,2.39828,0.2,99.8799111437,-107.167,1.21441e-07,99.8555009453,1,5.97689723597,0.01,-130.064,100
0.0103805,0.00972117,1.00028,100,0.000234742,6.61910720826,1.00077,0.972866,-107.215227007,1.03885,-107.215227007,-107.215227007,16.45,2.55032,0.2,99.9767675703,-107.209,2.34381e-08,99.972434492,1,6.61910720826,0.01,-130.677,100
0.0106065,0.00843001,1.00112,100,0.00124446,4.31235038602,1.00015,0.843126,-106.894218867,1.06081,-106.894218867,-106.894218867,15.53,2.03509,0.2,99.8769895469,-106.869,1.24409e-07,99.8882946858,1,4.31235038602,0.01,-129.468,100
0.0108395,0.00777287,1.00306,100,0.0046329,6.7283705606,0.997615,0.775432,-107.009208393,1.08137,-107.009208393,-107.009208393,15.82,2.37168,0.2,99.541261572,-106.934,4.65509e-07,99.69527877,1,6.7283705606,0.01,-130.873,100
0.0111411,0.0065481,1.00499,100,0.00612857,7.1790208539,0.998172,0.653613,-106.770097176,1.11207,-106.770097176,-106.770097176,16.01,2.34618,0.2,99.3947088333,-106.647,6.15104e-07,99.503137182,1,7.1790208539,0.01,-130.637,100
0.0109358,0.00671552,1.00486,100,0.00638969,8.06287630545,0.993689,0.667314,-107.016477469,1.08668,-107.016477469,-107.016477469,16.82,2.57003,0.2,99.3634483812,-106.895,6.4711e-07,99.516074691,1,8.06287630545,0.01,-131.173,100
0.0105214,0.00883138,1.00101,100,0.000871006,3.94175878797,1.0013,0.884287,-106.574479764,1.0535,-106.574479764,-106.574479764,16.54,1.9537,0.2,99.914073287,-106.552,8.68746e-08,99.8989888164,1,3.94175878797,0.01,-128.898,100
0.0111766,0.00813925,1.00193,100,0.00249476,6.38607853858,1.00746,0.819999,-106.768441663,1.126,-106.768441663,-106.768441663,16.35,2.4514,0.2,99.7572814067,-106.722,2.45794e-07,99.8075025578,1,6.38607853858,0.01,-129.853,100
0.010726,0.00932984,1.00043,100,0.000450784,3.36305352747,1.00285,0.935641,-107.015031869,1.07566,-107.015031869,-107.015031869,15.63,1.8205,0.2,99.9556350799,-107.006,4.48227e-08,99.9573531905,1,3.36305352747,0.01,-129.384,100
0.0136502,0.00750705,1.00429,100,0.00712098,6.2227044992,1.00553,0.754859,-107.047009231,1.37258,-107.047009231,-107.047009231,16.4,2.43594,0.2,99.3075965507,-106.948,7.04283e-07,99.5729404389,1,6.2227044992,0.01,-129.994,100
0.0104669,0.00880804,1.00091,100,0.00111518,5.25006884454,0.99683,0.878012,-106.791036127,1.04337,-106.791036127,-106.791036127,15.49,2.22856,0.2,99.8890187261,-106.77,1.12228e-07,99.9093877528,1,5.25006884454,0.01,-130.275,100
0.0102639,0.00979138,1.00006,100,6.85864e-05,3.48578119607,1.00098,0.980094,-106.331102146,1.02739,-106.331102146,-106.331102146,16.0,1.85753,0.2,99.9932091858,-106.33,6.84526e-09,99.9940279713,1,3.48578119607,0.01,-128.87,100
0.0127739,0.00965189,1.00073,100,0.00148539,4.38931625512,1.00393,0.968981,-106.819612483,1.28241,-106.819612483,-106.819612483,16.45,2.11143,0.2,99.8542712429,-106.804,1.47379e-07,99.9267042862,1,4.38931625512,0.01,-129.515,100
0.0109731,0.00883748,1.00164,100,0.00148937,6.50697036821,0.992785,0.877371,-107.339373517,1.0894,-107.339373517,-107.339373517,15.75,2.51579,0.2,99.8506204909,-107.302,1.51109e-07,99.8363673431,1,6.50697036821,0.01,-130.369,100
0.0105171,0.00903572,1.0004,100,0.00040197,5.16308679774,0.999797,0.903388,-106.811559058,1.0515,-106.811559058,-106.811559058,15.62,2.251,0.2,99.9602317464,-106.802,4.02133e-08,99.9597234886,1,5.16308679774,0.01,-130.233,100
0.010718,0.00945374,1.00055,100,0.000669286,3.64874047858,1.00451,0.949634,-106.835150311,1.07663,-106.835150311,-106.835150311,15.35,1.88371,0.2,99.9343644868,-106.823,6.63295e-08,99.9455272018,1,3.64874047858,0.01,-129.208,100
0.0103647,0.00932889,1.00058,100,0.000629195,3.50013274283,0.996882,0.92998,-106.633787873,1.03324,-106.633787873,-106.633787873,15.62,1.85166,0.2,99.9373645403,-106.62,6.33138e-08,99.942371696,1,3.50013274283,0.01,-129.265,100
