MaxVanillaIw,eRenyi2,AvgVanillaIw,MinNormIw,MaxNormIw,ESSClassic,BatchSize,VarJ,VarRet,AvgRet,AvgDiscRet,VarVanillaIw,Bound,ESSRenyi,J,AvgEpLen,MinVanillaIw,VarDiscRet,VarNormIw,AvgNormIw
139236.52,1.0000005,1392.6151,1.06861436e-10,0.9998205,1.0003591334395332,100,0.034125645,125.48137696831425,-3.448222737917392,-3.448222737917392,193867380.0,4.7128983,99.99995231630692,13.129112,500.0,1.4881685e-05,125.48137696831425,0.009996375,0.009999998
140040.31,1.0000005,1400.8228,4.9777107e-09,0.9997004,1.0005994707962058,100,0.14885563,116.10718327504907,-2.2663057582648305,-2.2663057582648305,196111660.0,34.749928,99.99995231630692,43.16614,500.0,0.00069728907,116.10718327504907,0.009993951,0.010000002
1234.5214,3.399229,13.215069,2.2838607e-05,0.93417704,1.1457394594531993,100,29.161882,145.76861801891067,1.9695347923960784,1.9695347923960784,15219.945,32.171375,29.418435338841583,47.688343,500.0,0.030181376,145.76861801891067,0.008715139,0.009999999
402.03537,4.8718643,4.578702,3.2610053e-06,0.8780554,1.296477373123122,100,39.2564,175.73839760203342,2.1023760778787937,2.1023760778787937,1612.1936,18.672878,20.526023192627218,37.249393,500.0,0.0014931171,175.73839760203342,0.0076901093,0.01
479545.94,1.0000007,4795.461,1.9132088e-24,0.9999997,1.0000006516582176,100,4.778697e-05,200.74715077075624,2.863015070649018,2.863015070649018,2299643100.0,25.6151,99.99992847447743,34.031315,500.0,9.174718e-19,200.74715077075624,0.009999995,0.01
765.8888,2.8465018,8.398017,2.357007e-05,0.91198766,1.2021195422137858,100,22.349745,274.7273232129535,8.424402664793156,8.424402664793156,5854.883,25.697126,35.130839911303156,39.896606,500.0,0.019794185,274.7273232129535,0.008301655,0.01
668.9381,4.9550905,7.502039,8.0864575e-06,0.89167506,1.257245840157541,100,40.779987,268.8191395890501,12.31340130546099,12.31340130546099,4464.867,38.308685,20.181266021387703,57.0432,500.0,0.0060664923,268.8191395890501,0.007933227,0.010000002
547.4531,3.5167382,6.155121,1.8210836e-05,0.88942707,1.2636400861079553,100,30.02981,311.09845974234264,22.404052195660242,22.404052195660242,2990.1404,38.107758,28.43544073670792,53.890656,500.0,0.01120899,311.09845974234264,0.0078925695,0.01
511.26248,2.8500073,5.8338056,1.8171475e-05,0.876379,1.3014672915704772,100,24.713528,294.3347228651409,25.53432619823514,25.53432619823514,2607.031,36.017693,35.08762947873383,50.22591,500.0,0.010600885,294.3347228651409,0.0076602376,0.01
8971140.0,1.0000026,89711.56,1.2138458e-13,0.9999982,1.0000035669968963,100,0.00020446505,300.523133200802,24.84290218791191,24.84290218791191,804813140000.0,33.91539,99.9997377402508,42.331615,500.0,1.08896e-06,300.523133200802,0.009999965,0.01
451.87225,4.4224205,5.125348,6.3431926e-06,0.8816421,1.2858173218358673,100,36.175137,394.85981877343704,24.351531036905303,24.351531036905303,2037.0975,44.817333,22.612051468501548,62.51625,500.0,0.003251107,394.85981877343704,0.0077547003,0.01
