StdD2w0t,Weights,InitialReturnStd,InitialReturnMean,MeanIW,EpThisIter,InitialReturnMax,MeanD2w0t,ReturnMeanIW,J_sample_variance,EmpiricalD2,MaxIW,InitialReturnMin,StdIW,EpisodesSoFar,TimeElapsed,MinD2w0t,EpLenMean,Iteration,EpRewMean,MeanEntropy,MinIW,ReturnStepMaxmin,Bound,TimestepsSoFar,MaxD2w0t,ReturnStepMax,InitialBound
4.0842733,[-0.875 -0.682 -0.186 -0.897 -0.097],10.314896,-66.19266,0.64770526,100,-37.522076,0.623577,-46.27343,3135.9138,14.502285,7.361703,-89.119156,0.8368741,1900,322.49312806129456,,49.15,19,-101.75652611318897,1.2710216,8.26901e-05,99.00001,-56.852997,79162,101.83457,100.0,-69.956314
1.4037437,[-0.969 -0.67  -0.243 -0.905 -0.148],12.663825,-65.17046,0.6957488,100,-32.516483,0.31473336,-46.69607,5120.6885,8.061476,10.569484,-90.57234,1.154564,2000,343.27622079849243,,51.31,20,-102.01248210598301,1.2457079,0.0033493405,99.0,-55.92781,84293,69.99512,100.0,-68.98225
3.0411782,[-0.973 -0.655 -0.26  -0.937 -0.173],12.9884205,-69.38362,0.68505627,100,-33.13499,0.4491975,-44.62335,4948.247,17.733046,18.895672,-91.87495,1.3065265,2100,362.96009612083435,,45.06,21,-102.4279158779847,1.2176682,0.0025091108,99.0,-58.24853,88799,188.07022,100.0,-73.287575
3.3201888,[-0.994 -0.678 -0.242 -0.909 -0.201],12.495139,-67.70453,0.7470803,100,-35.229076,0.47316575,-49.65474,4580.423,12.029183,10.680859,-92.16172,1.0792516,2200,382.2971365451813,,46.03,22,-101.49051637699466,1.2226874,0.0022611564,99.0,-59.149117,93402,258.49747,100.0,-71.369156
2.0160446,[-1.02  -0.688 -0.2   -0.916 -0.196],11.67833,-65.50339,0.633135,100,-30.012445,0.3645908,-42.683716,2007.2892,7.1274085,5.8733454,-90.159676,0.7186695,2300,402.51873111724854,,48.93,23,-100.91620902125615,1.1370729,0.004285474,99.0,-53.78813,98295,72.70151,100.0,-69.32376
1.0503534,[-0.952 -0.729 -0.203 -0.912 -0.282],12.474979,-64.44892,0.7845636,100,-21.956753,0.21966371,-50.572685,2174.9766,4.188536,6.6360035,-88.23638,0.7862144,2400,422.11004185676575,,49.85,24,-100.04143520894209,1.1079191,0.006994069,99.0,-58.386536,103280,54.421974,100.0,-68.28114
1.6748294,[-0.947 -0.72  -0.229 -0.92  -0.311],13.91909,-64.83583,0.66002655,100,-9.115379,0.31018546,-45.290947,1741.3792,6.5482774,6.0767155,-91.07407,0.65900844,2500,442.220947265625,,50.88,25,-100.88596648417796,1.1118165,0.023920264,99.0,-54.800423,108368,85.25679,100.0,-68.725235
4.3447447,[-0.956 -0.733 -0.24  -0.89  -0.307],12.535002,-67.22411,0.6500305,100,-22.513027,0.5828213,-44.769585,4183.92,17.850588,12.833521,-89.681305,1.0174433,2600,461.25889825820923,,47.87,26,-102.21078331964937,1.0045159,0.00012146917,99.0,-59.04255,113155,233.85281,100.0,-71.0894
2.021643,[-0.873 -0.804 -0.225 -0.949 -0.414],11.436403,-66.30231,0.59756374,100,-34.270187,0.34106007,-40.50481,3572.0066,11.618671,14.497016,-90.5123,0.9108026,2700,480.41491317749023,,48.13,27,-101.63362026610523,0.97408056,0.0010696574,99.0,-49.71258,117968,151.97318,100.0,-70.02336
0.8832255,[-0.872 -0.816 -0.199 -0.931 -0.445],10.958168,-62.605522,0.7717637,100,-21.262882,0.23337895,-49.203426,1076.0193,2.8896804,5.237557,-82.76149,0.56242734,2800,497.9832606315613,,54.04,28,-101.1146080573371,0.9780585,0.028377734,99.0,-56.463505,123372,25.18599,100.0,-66.506226
1.5063943,[-0.856 -0.839 -0.175 -0.957 -0.441],16.641321,-60.833607,0.72493345,100,-4.9219885,0.31784782,-45.473427,1947.8624,4.1794376,7.580513,-87.35725,0.7264161,2900,517.3477663993835,,55.08,29,-97.89331691295638,0.9187713,0.0056171576,99.0,-53.34858,128880,42.013115,100.0,-64.661804
