InitialReturnStd,MeanEntropy,EpLenMean,EmpiricalD2,EpisodesSoFar,TimestepsSoFar,Weights,Bound,InitialReturnMin,StdD2w0t,ReturnStepMax,MeanIW,InitialReturnMean,MinIW,MaxD2w0t,EpThisIter,MinD2w0t,ReturnMeanIW,ReturnStepMaxmin,InitialReturnMax,J_sample_variance,StdIW,MaxIW,EpRewMean,EntropyCoefficient,TimeElapsed,MeanD2w0t,InitialBound,Iteration
2.49757,1.4264656,55.78,1.04217,100,5578,[ 0.74  -1.049  0.227  0.317  0.   ],-131.44312,-2.565277,0.3190946,100.0,1.0340886,-1.0681152e-06,0.59049,1.0596116,100,,176.57027,94.57265,9.139626,857.1258,0.22598632,2.2036498,-151.3689476386113,10.0,9.00907039642334,0.11306618,-133.30945,1
2.7037935,1.4334261,58.77,1.0134772,200,11455,[ 0.745 -1.033  0.227  0.318  0.007],-150.3946,-3.0656128,0.32437503,100.0,1.0200815,3.5095215e-06,0.70339084,1.0348098,100,,165.95546,94.76729,7.5620804,226.43707,0.12116611,1.4357386,-153.7634183911597,10.0,20.286101818084717,0.118375525,-151.87701,2
2.1201966,1.4284518,58.57,1.0048676,300,17312,[ 0.75  -1.035  0.23   0.32   0.014],-146.03346,-2.4897995,0.32242078,100.0,1.0093962,5.340576e-07,0.8072033,1.0100352,100,,165.59306,94.731705,6.40374,78.98661,0.06569202,1.252473,-154.28206472826758,10.0,30.830783128738403,0.11744281,-146.64662,3
2.3060384,1.4337724,59.2,1.0618159,400,23232,[ 0.747 -1.034  0.228  0.318  0.009],-150.76,-2.8628693,0.32956234,100.0,1.0405403,7.93457e-06,0.5032531,1.098298,100,,168.24594,94.78175,6.4686203,1212.2208,0.26400927,2.0439432,-154.4602122944993,10.0,41.797051668167114,0.120760314,-153.46484,4
1.8688483,1.4413923,54.02,1.0114298,500,28634,[ 0.736 -1.042  0.226  0.309  0.015],-128.17429,-2.273079,0.31219083,100.0,1.0184386,1.9073486e-06,0.7733946,1.0236106,100,,180.95815,94.44832,7.1986237,180.43661,0.09328834,1.3202513,-149.95095381846025,10.0,51.980862855911255,0.10865383,-129.73492,5
2.1797962,1.4422512,61.62,1.0017987,600,34796,[ 0.743 -1.046  0.228  0.313  0.022],-159.62454,-2.5683594,0.32917845,100.0,1.0033045,-4.653931e-06,0.8750319,1.0068469,100,,156.57086,94.904755,8.634003,30.376589,0.037341714,1.105963,-156.98456858936726,10.0,63.27846431732178,0.123406075,-159.89632,6
2.173828,1.4533418,55.56,1.0210378,700,40352,[ 0.75  -1.055  0.23   0.312  0.023],-136.33595,-2.884529,0.31850287,100.0,1.0427288,8.544922e-06,0.62086636,1.06731,100,,178.85918,94.56999,5.80204,327.50378,0.131474,1.3905838,-150.84551772962334,10.0,73.52083683013916,0.112603456,-139.68378,7
2.2359302,1.4557402,51.03,1.007714,800,45455,[ 0.752 -1.058  0.233  0.317  0.035],-124.206116,-2.491043,0.3035902,100.0,1.0084276,1.7547608e-06,0.8390566,1.0154853,100,,189.7161,94.2493,7.7347107,131.42664,0.08168742,1.3524528,-146.7292958592278,10.0,83.46347379684448,0.1023449,-124.92139,8
2.383222,1.4561557,56.46,1.408207,900,51101,[ 0.75  -1.067  0.234  0.319  0.037],-126.84027,-2.606018,0.3499622,100.0,1.2641346,-8.544922e-06,0.23308074,1.5689516,100,,203.2692,94.612854,6.601921,9894.84,0.8758979,5.88404,-152.0790722721621,10.0,94.12410092353821,0.12411236,-143.53151,9
2.5959952,1.4646286,56.33,1.0256774,1000,56734,[ 0.717 -1.082  0.225  0.331  0.037],-139.01186,-3.0616302,0.31949845,100.0,1.0283723,4.8065185e-06,0.71334505,1.0492961,100,,174.48734,94.622696,8.274788,330.81573,0.1455672,1.5952566,-151.4516256754876,10.0,105.01363587379456,0.11384494,-141.2746,10
2.2770004,1.4626752,53.16,1.0097492,1100,62050,[ 0.725 -1.076  0.225  0.332  0.045],-131.10999,-2.7321014,0.30939543,100.0,1.0112587,-6.6375733e-06,0.79819036,1.0161827,100,,182.11552,94.41264,7.1469116,136.03632,0.085179724,1.2383783,-148.5118676209312,10.0,114.0009024143219,0.10671365,-131.91556,11
2.4118645,1.4616078,57.77,1.0194958,1200,67827,[ 0.725 -1.066  0.225  0.335  0.044],-147.77936,-2.817894,0.32162982,100.0,1.0186689,3.8146973e-06,0.70671284,1.0301375,100,,168.7809,94.695145,8.101585,231.78004,0.12785928,1.449695,-153.2309075899967,10.0,124.78488612174988,0.116244055,-149.06291,12
2.6642566,1.4533012,72.62,1.0516348,1300,75089,[ 0.72  -1.072  0.223  0.33   0.043],-178.43646,-2.8272324,0.3580454,100.0,1.0598722,-8.544922e-06,0.5147733,1.0811533,100,,138.02246,95.378586,9.430313,426.35587,0.22308339,1.796675,-167.80360768379134,10.0,137.8803310394287,0.14758192,-181.31465,13
