MaxD2w0t,MinD2w0t,InitialReturnMin,EpisodesSoFar,InitialReturnMean,MaxIW,J_sample_variance,ReturnStepMax,MeanEntropy,Iteration,StdIW,MeanIW,EpThisIter,Bound,InitialReturnMax,InitialBound,EmpiricalD2,EpRewMean,TimeElapsed,EpLenMean,ReturnStepMaxmin,InitialReturnStd,ReturnMeanIW,StdD2w0t,TimestepsSoFar,MinIW,Weights,MeanD2w0t
6.507648,,-2.565277,100,-1.0681152e-06,42.762486,126251.29,100.0,1.4522856,1,2.7755988,1.3448358,100,91.11695,9.139626,75.98103,3.7869427,-151.3689476386113,12.88253903388977,55.78,94.57265,2.49757,216.6707,0.5715107,5578,0.06093703,[ 0.74  -1.049  0.227  0.317  0.   ],0.18176855
12.236563,,-2.6914139,200,8.010864e-06,42.0865,198150.67,100.0,1.4550343,2,2.7643366,1.4523975,100,129.09529,9.17556,95.13579,4.6572022,-145.37705886712084,37.2061665058136,49.85,94.16742,2.5283368,266.17297,0.66823775,10563,0.04340069,[ 0.769 -0.983  0.235  0.296  0.033],0.19107564
1.4720443,,-2.3423004,300,-5.9509275e-06,3.341771,5271.8315,100.0,1.4401622,3,0.480259,1.0441529,100,110.89678,6.762558,106.28737,1.2177964,-142.69852589921425,64.26630187034607,46.84,93.90698,2.0311112,213.86517,0.31103212,15247,0.18997097,[ 0.81  -0.923  0.246  0.349  0.036],0.09976769
1.7201079,,-2.3170395,400,-8.544922e-06,7.0399985,10924.668,100.0,1.4686962,4,0.827343,1.1267948,100,94.29574,6.7956467,87.56369,1.1854348,-147.63712134264014,91.17005372047424,51.69,94.2876,1.9258596,202.0294,0.3538213,20416,0.19685674,[ 0.784 -0.942  0.245  0.358  0.021],0.11904185
3.8027875,,-2.5090408,500,8.544922e-06,26.866077,60610.445,100.0,1.4843242,5,2.414638,1.2534772,100,104.49047,11.027924,93.59132,1.8614017,-145.97061744588757,115.85438179969788,50.36,94.20291,2.6277542,219.5016,0.4253928,25452,0.09327396,[ 0.772 -0.948  0.252  0.338  0.05 ],0.13661931
1.5453205,,-2.8707733,600,2.2888183e-07,3.4135375,3219.0972,100.0,1.5089204,6,0.50709015,1.1184901,100,73.37851,8.581253,63.444122,1.2974609,-154.94232278252272,145.90381240844727,59.76,94.814514,2.6798775,175.88898,0.35853422,31428,0.35093462,[ 0.752 -0.977  0.243  0.289  0.065],0.13162103
1.8946201,,-2.512436,700,-8.010864e-06,6.5639143,11479.432,100.0,1.491503,7,0.8461781,1.0821731,100,98.12098,11.380196,92.16254,1.4853592,-146.39800528969795,170.50361251831055,50.74,94.22948,2.3732164,202.14105,0.34119666,36502,0.16273889,[ 0.78  -0.977  0.254  0.292  0.09 ],0.11367205
2.4145257,,-2.957199,800,1.7547608e-06,4.799294,13242.384,100.0,1.5251914,8,0.87748724,1.1639063,100,85.457924,8.013672,73.98381,1.6591668,-150.8225645733948,195.5574915409088,55.73,94.58739,2.4895854,194.64558,0.38694668,42075,0.2492164,[ 0.73  -0.99   0.249  0.296  0.073],0.13498294
2.0146196,,-2.3100128,900,2.4414062e-06,6.3958683,7993.4634,100.0,1.4943112,9,0.9342936,1.18738,100,66.552315,8.065498,57.944313,1.5975401,-157.13135965083006,224.1878125667572,61.26,94.87001,2.100629,175.08058,0.3924509,48201,0.10700615,[ 0.705 -1.028  0.249  0.301  0.106],0.1449923
2.2399063,,-2.5649033,1000,3.6621093e-06,5.505934,8942.701,100.0,1.5193232,10,0.8036161,1.145675,100,67.03669,6.881302,57.30754,1.5735871,-156.51750701472733,252.04319405555725,61.21,94.88588,2.3517618,175.10645,0.3867174,54322,0.16153286,[ 0.674 -1.051  0.238  0.304  0.076],0.14285606
1.0193179,,-2.8869247,1100,-6.866455e-06,1.2431738,113.6256,100.0,1.5221183,11,0.08832292,1.0087286,100,57.49099,10.971504,56.693077,1.0074619,-156.99691844265638,280.6582975387573,61.82,94.92084,2.6527965,156.41571,0.33034804,60504,0.74413234,[ 0.648 -1.076  0.23   0.305  0.1  ],0.12408576
185.39441,,-2.8128052,1200,5.340576e-07,181.10089,4486539.0,100.0,1.5129975,12,19.557266,3.6821895,100,197.01176,8.279335,59.421875,53.84486,-155.9098446820078,307.7839162349701,60.66,94.85954,2.7510285,450.22488,4.7342744,66570,0.00027065453,[ 0.661 -1.09   0.233  0.303  0.103],0.77189773
1.7062807,,-2.7918015,1300,-7.705688e-06,3.4479809,2801.653,100.0,1.481117,13,0.46057832,1.1128559,100,71.22359,7.954872,63.637283,1.1959145,-154.25602313027323,336.6754102706909,58.95,94.76654,2.453912,176.51494,0.3603345,72465,0.2183736,[ 0.711 -0.943  0.25   0.318  0.094],0.13109218
1.3187491,,-2.3538132,1400,2.1362305e-06,2.6257656,4159.852,100.0,1.4894261,14,0.4624442,1.0387627,100,86.55641,9.215004,82.88602,1.2203509,-148.84628442616528,362.01894903182983,52.92,94.374664,2.0568314,188.68027,0.32547775,77757,0.35532477,[ 0.708 -0.97   0.253  0.317  0.062],0.11178816
2.6602483,,-2.781784,1500,-1.2893677e-05,9.036634,25085.395,100.0,1.5050212,15,1.2477193,1.1340821,100,86.71134,9.471909,75.594246,2.0798929,-150.5601093815936,387.4512872695923,55.17,94.54196,2.5299447,197.36272,0.3988607,83274,0.068883836,[ 0.694 -1.003  0.252  0.318  0.071],0.13657
