Weights,TimeElapsed,ReturnStepMaxmin,MinD2w0t,Iteration,EpRewMean,MeanIW,EmpiricalD2,MinIW,EpLenMean,TimestepsSoFar,J_sample_variance,StdD2w0t,MeanD2w0t,ReturnMeanIW,InitialReturnMax,EntropyCoefficient,MaxD2w0t,MeanEntropy,InitialReturnMean,MaxIW,ReturnStepMax,InitialReturnStd,InitialBound,EpisodesSoFar,StdIW,Bound,InitialReturnMin,EpThisIter
[-0.822 -0.493 -0.474 -0.749  0.   ],8.300570011138916,99.00009,,1,-108.1894935537418,0.42981958,37.8189,2.9254756e-05,35.09,3509,7036.45,5.04618,0.64213115,-39.02276,-46.38131,10.0,279.06732,1.2899383,-79.87676,11.33597,100.0,10.794411,-67.97253,100,0.99392116,-36.313942,-96.24779,100
[-0.823 -0.464 -0.529 -0.76  -0.129],24.863213062286377,99.00001,,2,-108.54787038961797,0.54287416,94.87251,0.0016147848,32.3,6739,6656.642,10.133997,0.9225848,-46.854374,-45.437443,10.0,782.80286,1.3111268,-82.03382,20.638096,100.0,10.899943,-71.35051,200,1.0925325,-45.347862,-96.44261,100
[-0.838 -0.512 -0.493 -0.74  -0.108],39.714085817337036,99.00001,,3,-107.8475758881832,0.60174525,47.903683,0.0017707065,36.08,10347,8226.705,5.6549563,0.6376193,-50.18281,-40.59756,10.0,335.23306,1.2909209,-79.078384,37.2316,100.0,12.543516,-68.37147,300,1.2244275,-48.806526,-96.30382,100
[-0.862 -0.559 -0.459 -0.731 -0.128],57.09636688232422,99.00001,,4,-107.4035055492167,0.6260174,34.592438,0.00086734135,38.79,14226,5261.897,4.8838944,0.6707797,-51.402264,-44.252083,10.0,192.35327,1.2930909,-76.63114,11.042711,100.0,11.75535,-65.99055,400,0.94081354,-47.925232,-94.99669,100
[-0.895 -0.537 -0.49  -0.775 -0.126],72.55649185180664,99.00002,,5,-109.02075662042081,0.54420495,53.779922,0.0012662117,36.01,17827,4202.967,6.922163,0.75545424,-47.729862,-39.622032,10.0,476.26236,1.3324143,-79.89719,10.812525,100.0,10.777521,-69.26905,500,0.906257,-44.960304,-95.10266,100
[-0.89  -0.49  -0.487 -0.818 -0.087],87.54234671592712,99.0,,6,-107.19983493556258,0.5577443,18.38343,0.0202199,36.44,21471,1516.4149,2.9525545,0.41704923,-44.708076,-44.77287,10.0,127.09453,1.4278198,-78.16871,6.189078,100.0,12.276033,-67.22492,600,0.5582397,-39.556244,-95.21046,100
[-0.903 -0.508 -0.453 -0.811  0.009],103.71188998222351,99.00001,,7,-107.69303525670192,0.6016862,20.26287,0.0008714397,40.42,25513,4583.0654,3.743871,0.40963265,-48.69961,-38.95363,10.0,327.4357,1.4282645,-76.21198,8.989448,100.0,12.9472475,-64.30455,700,0.8842947,-43.72959,-96.43863,100
[-0.887 -0.454 -0.458 -0.84   0.009],120.37400031089783,99.00042,,8,-107.94575000555182,0.3875931,22.944475,6.80248e-05,35.75,29088,2327.1,3.9282613,0.50271755,-36.215218,-48.94703,10.0,250.60037,1.3101805,-79.40957,4.650758,100.0,12.063757,-67.44284,800,0.6080131,-32.20831,-95.16816,100
[-0.904 -0.382 -0.469 -0.846 -0.109],137.48028302192688,99.0,,9,-106.82438861242228,0.67955416,18.220997,0.005685515,35.41,32629,3509.3936,3.9225087,0.48741078,-56.203213,-44.57778,10.0,180.9047,1.3426769,-78.76715,8.390311,100.0,12.650387,-68.00046,900,0.76059866,-51.908367,-97.27423,100
[-0.867 -0.403 -0.464 -0.919 -0.076],152.80860018730164,99.00004,,10,-106.75359076434557,0.47337997,27.991522,9.222944e-05,31.72,35801,3435.3167,5.5145283,0.56104356,-42.597225,-49.11457,10.0,369.36755,1.1627268,-81.209816,8.598936,100.0,12.294647,-70.12775,1000,0.7488466,-42.53515,-97.03902,100
[-0.811 -0.405 -0.467 -0.965 -0.256],170.37357664108276,99.0001,,11,-106.49811608110818,0.7668478,5.062387,0.006939254,27.91,38592,1661.8567,1.3747069,0.21155713,-65.94292,-48.04177,10.0,35.92089,1.2249733,-83.616,4.970853,100.0,11.430558,-74.24563,1100,0.49620438,-60.070045,-96.22314,100
[-0.769 -0.459 -0.505 -0.969 -0.194],186.7244074344635,99.00002,,12,-106.61294317662552,0.65565276,21.27167,0.001383848,32.05,41797,10631.681,2.849493,0.31965953,-56.589848,-48.66541,10.0,234.23247,1.1939796,-80.727,10.719526,100.0,12.826638,-70.854095,1200,1.2433342,-52.437454,-96.671906,100
[-0.716 -0.408 -0.493 -0.996 -0.225],200.73013186454773,99.000015,,13,-106.59798793337009,0.7804467,2.737537,0.0054579424,28.56,44653,4089.2173,0.53376806,0.10955461,-67.20997,-54.623158,10.0,13.303181,1.1015987,-83.07401,4.909564,100.0,11.26568,-73.42782,1300,0.7784301,-60.50101,-96.06849,100
[-0.706 -0.431 -0.471 -1.018 -0.317],215.8745996952057,99.0,,14,-106.51408635233624,0.74250436,7.0977764,0.003366701,29.78,47631,6341.878,1.1362488,0.17314632,-63.04744,-41.17044,10.0,61.611946,1.1368326,-82.41749,7.2988915,100.0,13.010169,-73.780716,1400,0.97484493,-57.368805,-96.70406,100
[-0.723 -0.432 -0.46  -0.977 -0.282],227.3308823108673,99.0,,15,-106.32445461962905,0.7115253,20.989342,0.0054041776,33.8,51011,3880.3381,3.9156501,0.39963132,-57.6612,-28.059265,10.0,256.86255,1.1893438,-79.605896,6.3326097,100.0,14.397721,-70.62142,1500,0.8737966,-54.607964,-95.18336,100
[-0.713 -0.426 -0.474 -1.021 -0.23 ],239.29461097717285,99.0,,16,-106.74217811467284,0.6925664,21.27171,0.005668074,32.93,54304,3580.8447,5.6511116,0.45085806,-58.543972,-6.196068,10.0,370.63666,1.1783504,-80.66739,6.8520517,100.0,14.987413,-71.18383,1600,0.76064336,-56.312664,-96.56816,100
[-0.725 -0.409 -0.454 -0.959 -0.241],250.6247158050537,99.000046,,17,-107.16448432176622,0.8052136,3.0418015,0.11815467,29.19,57223,2918.1829,0.76085216,0.12837137,-68.60668,-47.04472,10.0,24.210453,1.232902,-83.38361,5.884793,100.0,11.870701,-74.01547,1700,0.6544937,-61.50803,-96.13745,100
[-0.684 -0.367 -0.434 -0.942 -0.186],265.24337816238403,99.0,,18,-106.12331071032835,0.71581143,14.2529125,0.015854448,31.35,60358,4047.176,2.3798182,0.27158406,-60.409737,-19.837208,10.0,152.05719,1.3104249,-81.09605,5.442649,100.0,14.085223,-71.13751,1800,0.83375823,-54.8759,-95.9211,100
[-0.611 -0.356 -0.447 -0.951 -0.109],277.4412000179291,99.000046,,19,-106.60630014460692,0.8204103,2.831305,0.006330313,26.48,63006,3189.36,0.7490132,0.11694767,-72.03914,-46.980217,10.0,25.945518,1.287604,-84.733635,4.5254574,100.0,11.815091,-73.94809,1900,0.6594398,-64.06368,-97.06183,100
[-0.634 -0.295 -0.392 -0.915 -0.131],291.54765033721924,99.000206,,20,-107.16137561692548,0.79580617,4.533829,0.015286216,29.74,65980,2229.2336,1.4915526,0.22360186,-68.1014,-47.529026,10.0,42.156635,1.2886964,-83.00212,5.4859924,100.0,11.847215,-72.52428,2000,0.6223581,-62.358818,-96.35178,100
[-0.644 -0.276 -0.337 -0.936 -0.13 ],308.2578752040863,99.00028,,21,-107.07070824360069,0.7428191,10.24403,0.02270013,38.01,69781,2031.9198,3.1935515,0.49727008,-60.218212,-39.008495,10.0,78.47841,1.3378831,-78.22697,10.431062,100.0,15.685855,-67.76513,2100,0.6138448,-54.17382,-95.633255,100
[-0.632 -0.238 -0.296 -0.901 -0.081],324.26891231536865,99.00021,,22,-106.46832491038204,0.64628,32.058586,0.00089320855,33.81,73162,4358.7065,5.9868817,0.6065413,-55.10713,-37.856808,10.0,317.10168,1.3247017,-80.503815,22.877354,100.0,15.872697,-69.52466,2200,0.89988816,-51.481262,-95.835754,100
[-0.632 -0.286 -0.271 -0.883 -0.094],340.98446440696716,99.00182,,23,-106.23541479740861,0.71696734,18.374304,0.023015093,33.0,76462,3767.239,2.8522143,0.36562133,-59.72036,-38.243084,10.0,131.83138,1.4207925,-80.82711,9.435118,100.0,14.391,-70.010956,2300,0.8304858,-52.898323,-96.19776,100
[-0.695 -0.297 -0.264 -0.855  0.002],358.929646730423,99.0,,24,-106.17817982939438,0.4776631,20.791319,8.4505446e-05,37.93,80255,2823.5527,5.2463813,0.64021575,-42.732494,-39.811367,10.0,265.34802,1.2793043,-77.18622,5.936907,100.0,14.401785,-65.379364,2400,0.66773814,-40.207764,-95.20709,100
[-0.699 -0.297 -0.291 -0.895 -0.14 ],373.55850172042847,99.000015,,25,-105.71535784560909,0.7466022,7.5066166,0.0013864504,34.39,83694,4573.787,2.3116996,0.29630026,-60.655804,-47.052612,10.0,77.47956,1.206644,-78.82407,15.451137,100.0,13.849452,-68.36857,2500,0.8779117,-55.344967,-95.50094,100
[-0.748 -0.266 -0.325 -0.896 -0.212],388.70081400871277,99.00033,,26,-106.76902015096408,0.63326055,30.267973,0.0041875965,33.19,87013,4804.1133,5.355462,0.5550662,-52.811497,-36.61281,10.0,200.33952,1.1826255,-80.81396,14.158455,100.0,14.234501,-71.145645,2600,0.8773748,-50.82415,-95.75971,100
[-0.758 -0.266 -0.285 -0.859 -0.236],406.34164214134216,99.00001,,27,-106.24081366536387,0.7904188,4.5055556,0.0042581926,38.28,90841,2968.1243,1.4611001,0.26085567,-65.475235,-34.775337,10.0,39.5926,1.1526934,-77.524864,5.6627254,100.0,15.52266,-68.1263,2700,0.6922483,-59.34955,-94.50404,100
[-0.789 -0.283 -0.273 -0.888 -0.266],423.9219081401825,99.00009,,28,-106.66713782643285,0.6162072,19.83539,0.001392821,36.87,94528,4459.3164,3.9149923,0.51301,-51.283794,-33.729675,10.0,200.44855,1.1230112,-78.58585,10.788717,100.0,15.0636,-69.46711,2800,0.93882126,-48.513893,-95.37387,100
[-0.784 -0.242 -0.297 -0.885 -0.296],439.0940537452698,99.00002,,29,-105.87333284203213,0.6161704,49.55565,0.00018402743,34.21,97949,7360.965,8.823645,0.76796454,-52.08558,-35.102386,10.0,804.5893,1.0709215,-79.52441,16.254148,100.0,14.7474785,-70.6592,2900,1.0719317,-51.80757,-95.61767,100
[-0.805 -0.285 -0.276 -0.875 -0.348],456.23964381217957,99.00001,,30,-105.3957748134933,0.80044657,14.8487015,0.0033165289,35.82,101531,4503.4443,2.8233829,0.34741804,-62.919025,-29.970474,10.0,228.39291,1.0953608,-78.46268,13.071943,100.0,16.134378,-70.17145,3000,1.0459312,-58.483658,-95.977615,100
[-0.852 -0.307 -0.291 -0.843 -0.323],471.13204073905945,99.0,,31,-105.3832670124672,0.57588017,34.277355,0.0005368275,40.8,105611,3926.9954,6.400894,0.83299094,-49.071053,-24.513369,10.0,231.852,1.0913016,-75.07198,11.071757,100.0,15.071706,-66.532936,3100,0.78717315,-48.012062,-94.83368,100
[-0.849 -0.286 -0.33  -0.848 -0.328],487.18329787254333,99.00002,,32,-105.302058481323,0.45657313,33.5817,0.0030649134,35.16,109127,2060.7913,5.668494,0.590673,-38.75756,-42.384094,10.0,273.7857,1.0732329,-78.39284,7.8749614,100.0,14.8380785,-69.86861,3200,0.6129329,-38.845703,-94.08725,100
[-0.823 -0.251 -0.346 -0.865 -0.346],502.9724917411804,99.0,,33,-106.46157738071597,0.79172903,3.8946416,0.013700848,34.86,112613,2307.9226,1.6142197,0.19576152,-64.60681,-44.907707,10.0,74.73141,1.00586,-79.26647,5.5066724,100.0,13.259515,-70.94162,3300,0.6499258,-60.01258,-95.78835,100
[-0.784 -0.275 -0.373 -0.867 -0.413],516.0986654758453,99.00009,,34,-106.72048245305943,0.59689623,11.192779,0.0008178677,32.56,115869,4225.697,2.180509,0.29435894,-49.38494,-41.02616,10.0,124.56506,0.9239661,-80.89375,6.5536737,100.0,13.935981,-73.2364,3400,0.93227303,-47.83471,-95.71786,100
[-0.782 -0.286 -0.344 -0.85  -0.495],530.2356264591217,99.0,,35,-106.26698887002237,0.80412155,3.2095065,0.0079123555,31.63,119032,5953.133,0.7432326,0.13415189,-66.16562,-33.778275,10.0,20.992949,0.903765,-81.42419,7.438066,100.0,14.35696,-74.64007,3500,0.9687287,-61.839348,-95.69382,100
[-0.797 -0.296 -0.323 -0.853 -0.515],546.1058962345123,99.00002,,36,-105.95819888841561,0.5660149,19.9823,0.0054691634,35.74,122606,2631.7036,4.1661043,0.51144135,-47.431404,-34.88688,10.0,217.39195,0.9364807,-78.474236,8.147849,100.0,14.781444,-71.85445,3600,0.6580964,-46.598682,-95.554756,100
[-0.808 -0.279 -0.282 -0.834 -0.483],559.4538638591766,99.00001,,37,-106.31990352905657,0.4456252,87.31138,0.0005562776,30.96,125702,2892.7803,11.608683,0.75604576,-39.17816,-40.76633,10.0,1235.6735,0.9316059,-82.079834,17.852226,100.0,13.692668,-75.123146,3700,0.70621186,-41.546085,-94.68959,100
[-0.872 -0.301 -0.271 -0.81  -0.487],574.8103742599487,99.0,,38,-103.88500599475682,0.6662393,7.3785553,0.0031661391,40.95,129797,5220.9434,1.6746253,0.30999064,-55.2336,-27.583122,10.0,54.491447,0.88717264,-74.50361,7.551784,100.0,18.249708,-67.54419,3800,0.9606842,-51.411865,-95.01802,100
