EpRewMean,ReturnMeanIW,ReturnStepMax,ReturnStepMaxmin,MeanIW,StdIW,MeanEntropy,InitialReturnStd,Iteration,MaxD2w0t,TimestepsSoFar,EpLenMean,InitialReturnMean,InitialBound,MinD2w0t,TimeElapsed,EpThisIter,MeanD2w0t,Bound,EpisodesSoFar,StdD2w0t,MinIW,InitialReturnMin,MaxIW,InitialReturnMax,J_sample_variance,Weights,EmpiricalD2
-107.5568281044892,-78.8687,100.0,99.00072,0.99549454,0.022084603,1.4179457,12.600159,1,1.0009139,3540,35.4,-79.2192,-1151.9429,,4.936635732650757,100,0.0708182,-1151.7584,100,0.25655103,0.9194371,-95.935974,1.062134,-45.291973,159.62184,[-0.563 -1.093 -0.809 -1.04   0.   ],1.0003568
-107.33984940945973,-78.16737,100.0,99.000015,0.99699885,0.018243175,1.4169061,13.017081,2,1.0005208,7163,36.23,-78.36594,-1147.9215,,15.47759461402893,100,0.07247047,-1147.8187,200,0.25928113,0.95435476,-95.42823,1.0448726,-36.451298,175.46812,[-5.613e-01 -1.094e+00 -8.088e-01 -1.041e+00 -1.059e-03],1.0003195
-108.46303944847722,-78.55972,100.0,99.00001,0.99639,0.015486058,1.4178628,12.032259,3,1.000905,10853,36.9,-78.80115,-1166.3138,,25.367257833480835,100,0.07380927,-1166.1656,300,0.2614886,0.94876075,-95.73113,1.0467362,-42.269176,152.94795,[-0.561 -1.094 -0.809 -1.042 -0.002],1.0003399
-108.07851236593272,-80.42994,100.0,99.00003,0.99858016,0.011720025,1.4169017,12.008192,4,1.0002702,14241,33.88,-80.545555,-1156.3646,,36.912992000579834,100,0.06776486,-1156.3019,400,0.25134343,0.9579782,-95.85606,1.02476,-42.58617,145.4605,[-0.563 -1.094 -0.809 -1.041 -0.001],1.0001217
-106.17662302383093,-76.74587,100.0,99.00002,0.99850756,0.010001635,1.4169855,14.982926,5,1.000441,17976,37.35,-76.83273,-1155.6769,,48.36705422401428,100,0.07470409,-1155.6292,500,0.26292536,0.9700834,-93.49308,1.0298885,-27.274944,230.64723,[-0.563 -1.095 -0.81  -1.042 -0.002],1.0001589
-108.39835847067233,-81.57284,100.0,99.00002,0.99644524,0.017521223,1.4154634,11.167327,6,1.0007092,21210,32.34,-81.82665,-1154.5503,,59.65944719314575,100,0.064690135,-1154.4238,600,0.24599501,0.9016143,-95.7501,1.0419213,-45.68035,128.77835,[-0.561 -1.094 -0.809 -1.042 -0.002],1.0002697
-106.48363705072785,-76.69916,100.0,99.0,0.996002,0.021474367,1.4141687,14.488394,7,1.0008223,24982,37.72,-76.95069,-1177.6575,,71.15334415435791,100,0.075453,-1177.529,700,0.26415458,0.9232739,-96.51779,1.037789,-34.22133,219.48383,[-0.559 -1.094 -0.809 -1.042 -0.004],1.0004758
-107.59895183987459,-78.30168,100.0,99.00012,0.9955623,0.01783041,1.4161221,13.585362,8,1.000721,28621,36.39,-78.603836,-1144.9169,,82.51600694656372,100,0.07279578,-1144.7566,800,0.2598371,0.95083797,-96.68845,1.0683159,-39.488594,193.16661,[-0.558 -1.094 -0.809 -1.042 -0.005],1.0003959
-107.61090229887569,-78.316284,100.0,99.00092,0.99850076,0.01337856,1.4164457,12.935645,9,1.0005258,32286,36.65,-78.457115,-1151.1808,,93.59645628929138,100,0.073306784,-1151.1045,900,0.2606483,0.9557785,-96.507515,1.0392841,-38.244083,165.24388,[-0.559 -1.094 -0.809 -1.042 -0.003],1.000188
-107.73148279276475,-78.22998,100.0,99.0,0.9970937,0.01300017,1.4160155,13.718662,10,1.0004209,35976,36.9,-78.43768,-1228.4114,,103.60540819168091,100,0.073808484,-1228.302,1000,0.26148602,0.95639884,-94.60628,1.033201,-15.11338,190.62062,[-0.56  -1.094 -0.809 -1.042 -0.003],1.0001677
-107.2947329446688,-80.11487,100.0,99.00004,0.9997031,0.005649657,1.4155861,11.661358,11,1.0001011,39317,33.41,-80.14658,-1129.057,,114.00845575332642,100,0.06682115,-1129.0388,1100,0.24971129,0.9853589,-94.90642,1.0158937,-42.411255,136.95726,[-0.56  -1.096 -0.81  -1.043 -0.003],1.0000367
-106.92803213755664,-78.34161,100.0,99.0,0.9964321,0.018383529,1.4160155,13.902703,12,1.0008601,42862,35.45,-78.60336,-1166.1161,,123.58303427696228,100,0.070912965,-1165.9822,1200,0.25671256,0.9409457,-94.99823,1.0661464,-22.474583,196.4305,[-0.561 -1.096 -0.81  -1.043 -0.003],1.0003964
-107.1988745831111,-80.16359,100.0,99.0,0.99808264,0.010742236,1.4165475,13.756639,13,1.0003068,46245,33.83,-80.28541,-1205.3,,132.0339457988739,100,0.06766493,-1205.2378,1300,0.2511784,0.9578706,-96.341194,1.0264747,-27.625145,193.08977,[-0.562 -1.095 -0.81  -1.041 -0.003],1.0001245
-107.64651524190809,-81.07186,100.0,99.0,0.9935262,0.02727373,1.415903,12.355884,14,1.0012472,49450,32.05,-81.52472,-1169.0374,,141.07704329490662,100,0.064120494,-1168.8119,1400,0.24501061,0.9166501,-94.7007,1.0570664,-35.510628,163.24507,[-0.562 -1.094 -0.809 -1.042 -0.002],1.000677
-108.48008728814492,-78.94539,100.0,99.0,0.99766076,0.018485278,1.4149537,12.756786,15,1.0005728,53096,36.46,-79.12119,-1148.6768,,152.27346992492676,100,0.072929196,-1148.5884,1500,0.26003522,0.9379362,-94.74031,1.0455285,-38.54118,165.76965,[-0.562 -1.095 -0.81  -1.043 -0.003],1.0003152
-105.41092427286502,-76.19324,100.0,99.000015,0.9961518,0.015451148,1.4139721,15.75396,16,1.0005214,56835,37.39,-76.42938,-1177.1361,,162.06957960128784,100,0.07479294,-1177.0178,1600,0.2630772,0.9316044,-95.79719,1.0386311,-24.819286,257.39124,[-0.562 -1.096 -0.811 -1.043 -0.004],1.0002341
-107.95564304937905,-76.71358,100.0,99.00003,0.9955104,0.02173159,1.412562,12.908052,17,1.0007857,60719,38.84,-77.00255,-1158.8026,,171.83463430404663,100,0.07769634,-1158.6589,1700,0.26773006,0.9229021,-94.04159,1.0352222,-36.67912,173.41722,[-0.562 -1.097 -0.81  -1.044 -0.005],1.0004392
