StdD2w0t,EpThisIter,ReturnMeanIW,TimestepsSoFar,ReturnStepMax,MinIW,InitialReturnStd,InitialBound,MeanIW,StdIW,MeanEntropy,ReturnStepMaxmin,MinD2w0t,EmpiricalD2,J_sample_variance,MaxD2w0t,TimeElapsed,InitialReturnMean,MeanD2w0t,Bound,EpisodesSoFar,MaxIW,Weights,Iteration,InitialReturnMax,EpRewMean,InitialReturnMin,EpLenMean
0.18356532,100,-92.65708,1745,100.0,0.9396347,3.275067,-1509.0162,0.99589986,0.017757285,1.4185789,99.36191,,1.0003458,15.530586,1.0008979,3.5738027095794678,-93.01559,0.0349067,-1508.8217,100,1.053532,[-0.689  0.919 -0.673  0.288  0.   ],1,-83.81554,-108.67197648780628,-97.78645,17.45
0.1831447,100,-92.41715,3482,100.0,0.94317377,3.334021,-1416.9673,0.996652,0.020420276,1.4176035,99.39297,,1.0004458,13.304174,1.0005503,11.015109300613403,-92.714355,0.03474532,-1416.8218,200,1.0530704,[-6.908e-01  9.187e-01 -6.742e-01  2.895e-01 -3.538e-04],2,-83.103195,-108.25370308838454,-98.00152,17.37
0.18327528,100,-92.51022,5222,100.0,0.9754172,3.1624665,-1433.3845,0.99901694,0.009432117,1.4174421,99.410805,,1.0000871,9.765019,1.0002892,18.571967363357544,-92.60447,0.034801364,-1433.3297,300,1.0287917,[-0.69   0.92  -0.675  0.289 -0.001],3,-83.9151,-108.14129391388902,-97.309105,17.4
0.17714648,100,-92.732285,6842,100.0,0.88989234,2.8195643,-1326.3492,0.9898736,0.038141638,1.4169978,99.35495,,1.0017809,17.900757,1.0038306,24.99477529525757,-93.6393,0.032415234,-1325.88,400,1.0902525,[-0.692  0.92  -0.674  0.289 -0.001],4,-84.747406,-108.19736520821272,-97.5502,16.2
0.18247798,100,-92.40517,8566,100.0,0.9627234,3.2906315,-1494.5015,0.9974809,0.0148753,1.417997,99.37581,,1.0002972,11.384647,1.000352,32.72013545036316,-92.6305,0.034483243,-1494.3785,500,1.0323888,[-0.693  0.917 -0.674  0.287 -0.002],5,-83.35394,-108.01201885525732,-97.58578,17.24
0.17621994,100,-93.390976,10170,100.0,0.9794332,2.7959743,-1326.2292,0.99850374,0.009828349,1.4190564,99.34462,,1.0001082,9.173997,1.0005873,39.73940467834473,-93.51929,0.032082338,-1326.164,600,1.024495,[-6.942e-01  9.163e-01 -6.743e-01  2.868e-01 -8.510e-04],6,-82.472015,-107.90129383399186,-97.75492,16.04
0.17900506,100,-93.47566,11827,100.0,0.98091936,3.0034235,-1450.3058,0.99945915,0.0055771386,1.4185843,99.363976,,1.0000278,9.362432,1.0000538,46.262492656707764,-93.524284,0.033140376,-1450.2695,700,1.0111879,[-6.938e-01  9.169e-01 -6.735e-01  2.871e-01  2.259e-04],7,-82.71812,-108.40355082183324,-97.24825,16.57
0.18123679,100,-93.23622,13527,100.0,0.9911198,2.8428133,-1465.5571,0.9995781,0.004222876,1.418855,99.38558,,1.0000186,8.208758,1.0000353,53.85654306411743,-93.275154,0.03400019,-1465.5258,800,1.0132173,[-6.927e-01  9.166e-01 -6.736e-01  2.871e-01 -3.208e-04],8,-84.56436,-108.52899084498715,-97.62884,17.0
0.17667201,100,-93.187195,15139,100.0,0.9216354,2.5098648,-1364.8584,0.9952525,0.024819776,1.4198148,99.378845,,1.0006857,11.4928875,1.0017778,60.55167889595032,-93.62004,0.032247066,-1364.6221,900,1.0499444,[-6.916e-01  9.163e-01 -6.736e-01  2.871e-01 -1.592e-04],9,-85.684525,-108.10544594033291,-97.64589,16.12
0.1821983,100,-93.44617,16858,100.0,0.9844972,2.8293734,-1523.1821,0.99971044,0.007083869,1.4199235,99.38867,,1.0000408,9.055353,1.0000571,67.76906609535217,-93.47003,0.03438032,-1523.1691,1000,1.0182313,[-6.913e-01  9.182e-01 -6.737e-01  2.891e-01  7.832e-04],10,-84.627686,-108.92943555389293,-97.540985,17.19
0.18134764,100,-93.38107,18560,100.0,0.9508326,3.227839,-1640.7568,0.9980826,0.013822458,1.419895,99.369576,,1.0002049,11.631647,1.0004435,75.31753206253052,-93.5558,0.034042593,-1640.6567,1100,1.0364106,[-0.69   0.918 -0.674  0.289  0.001],11,-80.89385,-108.8697807524783,-97.40736,17.02
0.18327935,100,-93.16167,20300,100.0,0.97457737,3.2018893,-1619.5153,0.99875724,0.010258556,1.4199289,99.370514,,1.0001035,11.366652,1.0002534,82.30562424659729,-93.27292,0.03480194,-1619.4557,1200,1.0277803,[-6.893e-01  9.181e-01 -6.745e-01  2.898e-01  8.833e-04],12,-80.94495,-108.9134626274698,-97.5623,17.4
0.17980215,100,-92.99695,21972,100.0,0.94750386,2.7839978,-1450.0964,0.9964551,0.014733074,1.4179742,99.35617,,1.0002832,9.561781,1.0007817,88.95051336288452,-93.31495,0.03344411,-1449.919,1300,1.0324184,[-0.69   0.918 -0.675  0.291  0.001],13,-83.55393,-108.30362910812329,-97.70277,16.72
0.18070734,100,-92.77886,23661,100.0,0.9408392,2.8867087,-1345.4695,0.99595,0.018490853,1.4164608,99.37613,,1.0003052,9.0456085,1.000961,95.92524433135986,-93.15272,0.03378746,-1345.2739,1400,1.04041,[-0.69   0.917 -0.675  0.291 -0.001],14,-82.75166,-108.27438678270974,-97.668205,16.89
0.18053815,100,-93.22993,25347,100.0,0.9594572,2.9512756,-1434.3102,0.99662,0.017460667,1.4188342,99.39408,,1.0003085,10.203286,1.0004052,102.57915472984314,-93.530205,0.033724573,-1434.1433,1500,1.0460582,[-0.689  0.919 -0.673  0.29  -0.002],15,-82.20582,-108.67415617076574,-97.50079,16.86
0.18454169,100,-92.69763,27112,100.0,0.98267317,3.2336063,-1629.5758,0.999838,0.004015128,1.4183339,99.40161,,1.0000129,10.532046,1.0000206,110.47248768806458,-92.71257,0.035300206,-1629.5687,1600,1.0094969,[-6.903e-01  9.183e-01 -6.733e-01  2.902e-01 -2.111e-04],16,-80.67677,-108.4910313428575,-97.69506,17.65
0.18240193,100,-92.56703,28834,100.0,0.94564784,3.611582,-1465.2892,0.995052,0.017400796,1.4194723,99.35358,,1.0004196,15.911116,1.0009947,116.84276294708252,-93.007225,0.034447413,-1465.028,1700,1.0392015,[-6.901e-01  9.183e-01 -6.734e-01  2.901e-01 -6.256e-04],17,-79.16455,-108.41364621476663,-97.82845,17.22
0.18005241,100,-93.37846,30511,100.0,0.97438127,2.8069704,-1536.5469,0.99836487,0.009691764,1.4202824,99.36708,,1.0001203,8.266907,1.000255,124.12194013595581,-93.52351,0.03354166,-1536.463,1800,1.0327734,[-6.919e-01  9.174e-01 -6.745e-01  2.917e-01  5.121e-04],18,-82.24738,-108.58443028885895,-97.53529,16.77
0.18293554,100,-93.08155,32244,100.0,0.970965,2.4766686,-1480.6271,0.99729484,0.0147377215,1.4219611,99.367294,,1.0002419,8.068765,1.0003874,131.6924479007721,-93.32223,0.034663282,-1480.4954,1900,1.0465747,[-0.693  0.918 -0.674  0.291  0.001],19,-84.551636,-108.8873289447707,-97.297775,17.33
0.18476535,100,-92.96278,34013,100.0,0.9298357,3.3132136,-1585.9655,0.9952017,0.015666224,1.4212365,99.4092,,1.0002384,12.802341,1.0010521,139.39564728736877,-93.391,0.035385597,-1585.7346,2000,1.0443583,[-0.693  0.917 -0.674  0.291  0.003],20,-80.01856,-109.31795016261371,-97.90365,17.69
